timestamp,task_name,name,index,pcie_rx_bytes,dram_power,cpu_usage,temperature.memory,pcie.link.width.current,utilization.gpu [%],sm_occupancy,clocks.current.sm [MHz],dram_usage,nvlink_tx_bytes,power.draw [W],temperature.gpu,usage.memory [%],dram_active,nvlink_rx_bytes,sm_active,pcie.link.gen.current,clocks.current.memory [MHz],tensor_active,clocks.current.graphics [MHz],utilization.memory [%],pcie_tx_bytes,cpu_power
2025-05-07 14:32:03.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.02 W,3.4 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,237.50 W,63.00 °C,90.42 %,21.40 %,0.00 GB/s,100.00 %,4,1512 MHz,90.40 %,1170 MHz,31.00 %,0.08 GB/s,152.43 W
2025-05-07 14:32:03.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,8.95 W,3.7 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,311.51 W,63.00 °C,90.42 %,17.40 %,0.00 GB/s,100.00 %,4,1512 MHz,92.00 %,1170 MHz,31.00 %,0.08 GB/s,150.46 W
2025-05-07 14:32:04.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,8.99 W,4.0 %,63.00 °C,16,100.00 %,12.50 %,1065 MHz,5.5 %,0.00 GB/s,332.96 W,62.00 °C,92.49 %,13.30 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1065 MHz,24.00 %,0.09 GB/s,152.37 W
2025-05-07 14:32:04.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.08 W,3.1 %,63.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,284.34 W,62.00 °C,92.49 %,16.70 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1170 MHz,24.00 %,0.09 GB/s,151.86 W
2025-05-07 14:32:04.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.10 W,3.7 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,281.26 W,63.00 °C,92.49 %,16.90 %,0.00 GB/s,99.90 %,4,1512 MHz,94.00 %,1170 MHz,33.00 %,0.08 GB/s,151.86 W
2025-05-07 14:32:04.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.29 W,6.6 %,63.00 °C,16,100.00 %,12.50 %,1035 MHz,5.5 %,0.00 GB/s,282.89 W,63.00 °C,94.56 %,11.30 %,0.00 GB/s,100.00 %,4,1512 MHz,70.20 %,1035 MHz,33.00 %,0.09 GB/s,152.74 W
2025-05-07 14:32:04.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.20 W,6.5 %,63.00 °C,16,100.00 %,12.50 %,1140 MHz,5.5 %,0.00 GB/s,222.86 W,62.00 °C,94.56 %,13.20 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1140 MHz,24.00 %,0.09 GB/s,151.48 W
2025-05-07 14:32:04.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.20 W,8.0 %,63.00 °C,16,100.00 %,12.40 %,1155 MHz,5.5 %,0.00 GB/s,308.70 W,63.00 °C,94.56 %,15.50 %,0.00 GB/s,100.00 %,4,1512 MHz,91.10 %,1155 MHz,24.00 %,0.08 GB/s,153.14 W
2025-05-07 14:32:04.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.16 W,4.6 %,63.00 °C,16,100.00 %,12.40 %,1095 MHz,5.5 %,0.00 GB/s,350.70 W,63.00 °C,94.56 %,17.80 %,0.00 GB/s,100.00 %,4,1512 MHz,91.60 %,1095 MHz,24.00 %,0.08 GB/s,152.05 W
2025-05-07 14:32:04.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.08 W,4.3 %,63.00 °C,16,100.00 %,12.50 %,1110 MHz,5.5 %,0.00 GB/s,304.39 W,63.00 °C,94.56 %,12.20 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1110 MHz,29.00 %,0.09 GB/s,150.48 W
2025-05-07 14:32:04.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.18 W,5.3 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,305.19 W,62.00 °C,94.56 %,17.00 %,0.00 GB/s,100.00 %,4,1512 MHz,91.00 %,1170 MHz,27.00 %,0.08 GB/s,149.95 W
2025-05-07 14:32:04.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,8.98 W,3.1 %,63.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,304.62 W,63.00 °C,94.56 %,18.90 %,0.00 GB/s,99.90 %,4,1512 MHz,90.40 %,1170 MHz,27.00 %,0.09 GB/s,150.39 W
2025-05-07 14:32:05.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,8.93 W,3.7 %,63.00 °C,16,100.00 %,12.50 %,1140 MHz,5.5 %,0.00 GB/s,304.62 W,63.00 °C,94.56 %,13.00 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1140 MHz,27.00 %,0.09 GB/s,139.10 W
2025-05-07 14:32:05.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.13 W,3.1 %,63.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,292.15 W,62.00 °C,94.56 %,15.30 %,0.00 GB/s,100.00 %,4,1512 MHz,69.70 %,1170 MHz,33.00 %,0.09 GB/s,134.07 W
2025-05-07 14:32:05.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.21 W,3.3 %,63.00 °C,16,100.00 %,12.40 %,1155 MHz,5.5 %,0.00 GB/s,266.49 W,64.00 °C,94.56 %,20.60 %,0.00 GB/s,100.00 %,4,1512 MHz,90.70 %,1155 MHz,33.00 %,0.08 GB/s,134.93 W
2025-05-07 14:32:05.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.25 W,3.4 %,63.00 °C,16,100.00 %,92.20 %,1155 MHz,5.5 %,0.00 GB/s,306.36 W,63.00 °C,94.56 %,36.20 %,0.00 GB/s,100.00 %,4,1512 MHz,4.20 %,1155 MHz,25.00 %,0.08 GB/s,122.27 W
2025-05-07 14:32:05.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.24 W,3.4 %,63.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,306.95 W,63.00 °C,94.56 %,15.30 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1080 MHz,25.00 %,0.09 GB/s,119.37 W
2025-05-07 14:32:05.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.26 W,4.9 %,63.00 °C,16,100.00 %,12.40 %,1155 MHz,5.5 %,0.00 GB/s,332.96 W,63.00 °C,94.56 %,22.20 %,0.00 GB/s,100.00 %,4,1512 MHz,90.50 %,1155 MHz,31.00 %,0.08 GB/s,111.06 W
2025-05-07 14:32:05.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.12 W,3.4 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,309.68 W,63.00 °C,94.56 %,22.40 %,0.00 GB/s,100.00 %,4,1512 MHz,91.00 %,1170 MHz,31.00 %,0.08 GB/s,131.90 W
2025-05-07 14:32:05.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.32 W,5.5 %,63.00 °C,16,100.00 %,12.50 %,1065 MHz,5.5 %,0.00 GB/s,276.85 W,62.00 °C,94.56 %,14.10 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1065 MHz,25.00 %,0.09 GB/s,151.52 W
2025-05-07 14:32:05.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.14 W,3.7 %,63.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,278.41 W,62.00 °C,94.56 %,14.90 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1170 MHz,25.00 %,0.09 GB/s,150.79 W
2025-05-07 14:32:05.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.18 W,3.1 %,63.00 °C,16,100.00 %,12.40 %,1155 MHz,5.5 %,0.00 GB/s,306.37 W,63.00 °C,94.56 %,20.70 %,0.00 GB/s,100.00 %,4,1512 MHz,90.50 %,1155 MHz,28.00 %,0.08 GB/s,150.16 W
2025-05-07 14:32:06.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.16 W,3.3 %,63.00 °C,16,100.00 %,92.40 %,1065 MHz,5.5 %,0.00 GB/s,316.85 W,63.00 °C,94.56 %,37.90 %,0.00 GB/s,100.00 %,4,1512 MHz,4.20 %,1065 MHz,28.00 %,0.08 GB/s,143.55 W
2025-05-07 14:32:06.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.14 W,3.1 %,63.00 °C,16,100.00 %,12.50 %,1110 MHz,5.5 %,0.00 GB/s,330.75 W,63.00 °C,94.56 %,10.90 %,0.00 GB/s,100.00 %,4,1512 MHz,70.20 %,1110 MHz,28.00 %,0.09 GB/s,129.60 W
2025-05-07 14:32:06.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.25 W,2.8 %,63.00 °C,16,100.00 %,12.40 %,1155 MHz,5.5 %,0.00 GB/s,306.08 W,63.00 °C,94.56 %,17.10 %,0.00 GB/s,100.00 %,4,1512 MHz,91.20 %,1155 MHz,31.00 %,0.08 GB/s,135.48 W
2025-05-07 14:32:06.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.12 W,2.5 %,63.00 °C,16,100.00 %,12.40 %,1125 MHz,5.5 %,0.00 GB/s,306.08 W,64.00 °C,94.56 %,23.00 %,0.00 GB/s,100.00 %,4,1512 MHz,90.80 %,1125 MHz,31.00 %,0.08 GB/s,129.24 W
2025-05-07 14:32:06.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.22 W,2.8 %,63.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,294.98 W,63.00 °C,94.56 %,15.50 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1080 MHz,22.00 %,0.09 GB/s,119.88 W
2025-05-07 14:32:06.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.13 W,3.1 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,301.31 W,63.00 °C,94.56 %,23.40 %,0.00 GB/s,100.00 %,4,1512 MHz,90.50 %,1170 MHz,22.00 %,0.08 GB/s,115.33 W
2025-05-07 14:32:06.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.20 W,3.1 %,63.00 °C,16,100.00 %,12.40 %,1125 MHz,5.5 %,0.00 GB/s,301.31 W,64.00 °C,94.56 %,17.00 %,0.00 GB/s,99.90 %,4,1512 MHz,94.00 %,1125 MHz,36.00 %,0.08 GB/s,110.85 W
2025-05-07 14:32:06.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.15 W,2.8 %,63.00 °C,16,100.00 %,12.50 %,1125 MHz,5.5 %,0.00 GB/s,306.75 W,63.00 °C,94.56 %,12.20 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1125 MHz,36.00 %,0.08 GB/s,105.17 W
2025-05-07 14:32:06.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.29 W,5.8 %,63.00 °C,16,100.00 %,12.50 %,1155 MHz,5.5 %,0.00 GB/s,271.56 W,63.00 °C,94.56 %,15.50 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1155 MHz,23.00 %,0.09 GB/s,107.83 W
2025-05-07 14:32:07.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.33 W,5.0 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,301.80 W,64.00 °C,94.56 %,20.40 %,0.00 GB/s,100.00 %,4,1512 MHz,90.60 %,1170 MHz,23.00 %,0.08 GB/s,108.98 W
2025-05-07 14:32:07.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.23 W,3.4 %,63.00 °C,16,100.00 %,92.30 %,1050 MHz,5.5 %,0.00 GB/s,301.80 W,64.00 °C,94.56 %,37.90 %,0.00 GB/s,100.00 %,4,1512 MHz,4.20 %,1050 MHz,30.00 %,0.08 GB/s,110.89 W
2025-05-07 14:32:07.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.18 W,4.0 %,63.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,322.69 W,63.00 °C,94.56 %,12.20 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1170 MHz,30.00 %,0.09 GB/s,108.51 W
