timestamp,task_name,name,index,cpu_power,utilization.gpu [%],tensor_active,dram_power,cpu_usage,clocks.current.memory [MHz],sm_active,dram_usage,dram_active,power.draw [W],clocks.current.graphics [MHz],usage.memory [%],temperature.memory,utilization.memory [%],clocks.current.sm [MHz],temperature.gpu,pcie.link.width.current,nvlink_tx_bytes,pcie_tx_bytes,nvlink_rx_bytes,pcie.link.gen.current,pcie_rx_bytes,sm_occupancy
2025-05-07 14:39:08.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.20 W,100.00 %,70.00 %,8.98 W,2.8 %,1512 MHz,100.00 %,5.6 %,13.50 %,310.44 W,1065 MHz,73.85 %,61.00 °C,35.00 %,1065 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:08.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.22 W,100.00 %,69.90 %,9.18 W,4.0 %,1512 MHz,100.00 %,5.6 %,15.00 %,377.87 W,1170 MHz,75.93 %,63.00 °C,35.00 %,1170 MHz,62.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:08.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.68 W,100.00 %,90.40 %,8.96 W,5.0 %,1512 MHz,100.00 %,5.6 %,21.10 %,293.21 W,1110 MHz,75.93 %,61.00 °C,30.00 %,1110 MHz,63.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:08.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.76 W,100.00 %,91.20 %,9.05 W,3.7 %,1512 MHz,100.00 %,5.6 %,17.50 %,254.94 W,1110 MHz,75.93 %,61.00 °C,30.00 %,1110 MHz,62.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:08.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.43 W,100.00 %,70.00 %,9.15 W,5.6 %,1512 MHz,100.00 %,5.6 %,14.90 %,281.44 W,1050 MHz,78.00 %,63.00 °C,26.00 %,1050 MHz,62.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:09.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,148.97 W,100.00 %,70.10 %,8.93 W,3.1 %,1512 MHz,100.00 %,5.6 %,13.70 %,233.78 W,1170 MHz,78.00 %,63.00 °C,26.00 %,1170 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:09.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.78 W,100.00 %,93.70 %,9.19 W,3.3 %,1512 MHz,99.90 %,5.6 %,17.20 %,307.81 W,1170 MHz,78.00 %,63.00 °C,27.00 %,1170 MHz,63.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:09.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.47 W,100.00 %,69.80 %,9.17 W,4.3 %,1512 MHz,100.00 %,5.6 %,12.20 %,333.38 W,1065 MHz,80.07 %,63.00 °C,27.00 %,1065 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:09.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.26 W,100.00 %,70.00 %,9.37 W,3.7 %,1512 MHz,100.00 %,5.6 %,14.00 %,303.75 W,1050 MHz,80.07 %,63.00 °C,31.00 %,1050 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:09.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.97 W,100.00 %,89.50 %,9.18 W,3.7 %,1512 MHz,100.00 %,5.6 %,15.30 %,310.35 W,1170 MHz,80.07 %,63.00 °C,31.00 %,1170 MHz,62.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.30 %
2025-05-07 14:39:09.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.02 W,100.00 %,91.60 %,9.14 W,3.4 %,1512 MHz,100.00 %,5.6 %,16.60 %,323.34 W,1170 MHz,80.07 %,63.00 °C,24.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:09.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,148.98 W,100.00 %,70.00 %,9.09 W,3.4 %,1512 MHz,100.00 %,5.6 %,13.40 %,277.43 W,1080 MHz,82.14 %,63.00 °C,24.00 %,1080 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:09.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.23 W,100.00 %,3.90 %,9.23 W,3.7 %,1512 MHz,96.80 %,5.6 %,36.70 %,263.94 W,1170 MHz,82.14 %,63.00 °C,24.00 %,1170 MHz,62.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.06 GB/s,87.20 %
2025-05-07 14:39:09.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.55 W,100.00 %,91.60 %,9.18 W,3.4 %,1512 MHz,99.90 %,5.6 %,17.60 %,308.01 W,1185 MHz,82.14 %,63.00 °C,33.00 %,1185 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:09.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.17 W,100.00 %,70.10 %,9.06 W,5.0 %,1512 MHz,100.00 %,5.6 %,14.10 %,308.01 W,1050 MHz,84.21 %,63.00 °C,33.00 %,1050 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:10.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,154.24 W,100.00 %,69.90 %,9.16 W,4.6 %,1512 MHz,100.00 %,5.6 %,14.10 %,322.02 W,1050 MHz,84.21 %,63.00 °C,24.00 %,1050 MHz,62.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:10.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.11 W,100.00 %,91.40 %,9.06 W,4.0 %,1512 MHz,100.00 %,5.6 %,15.20 %,315.61 W,1185 MHz,84.21 %,63.00 °C,24.00 %,1185 MHz,64.00 °C,16,0.00 GB/s,0.04 GB/s,0.00 GB/s,4,0.03 GB/s,12.40 %
2025-05-07 14:39:10.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.14 W,100.00 %,90.90 %,9.12 W,4.0 %,1512 MHz,100.00 %,5.6 %,21.60 %,283.81 W,1170 MHz,84.21 %,63.00 °C,29.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:10.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.88 W,100.00 %,70.00 %,9.16 W,3.7 %,1512 MHz,100.00 %,5.6 %,13.30 %,273.12 W,1065 MHz,86.28 %,63.00 °C,29.00 %,1065 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:10.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.43 W,100.00 %,0.00 %,9.04 W,3.1 %,1512 MHz,100.00 %,5.6 %,90.80 %,276.75 W,1170 MHz,86.28 %,63.00 °C,27.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.05 GB/s,0.00 GB/s,4,0.04 GB/s,91.60 %
2025-05-07 14:39:10.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.13 W,100.00 %,70.10 %,9.24 W,4.0 %,1512 MHz,100.00 %,5.6 %,10.00 %,310.55 W,1170 MHz,86.28 %,63.00 °C,27.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:10.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,147.09 W,100.00 %,70.10 %,9.00 W,3.4 %,1512 MHz,100.00 %,5.6 %,14.80 %,310.25 W,1065 MHz,88.35 %,63.00 °C,26.00 %,1065 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:10.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.45 W,100.00 %,90.50 %,9.46 W,4.3 %,1512 MHz,100.00 %,5.6 %,20.30 %,299.75 W,1155 MHz,88.35 %,63.00 °C,26.00 %,1155 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:11.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.94 W,100.00 %,2.60 %,9.00 W,3.4 %,1512 MHz,100.00 %,5.6 %,51.80 %,299.75 W,1050 MHz,88.35 %,63.00 °C,24.00 %,1050 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.05 GB/s,93.20 %
2025-05-07 14:39:11.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.43 W,100.00 %,70.00 %,9.17 W,3.1 %,1512 MHz,100.00 %,5.6 %,17.50 %,315.07 W,1050 MHz,90.42 %,63.00 °C,24.00 %,1050 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:11.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,154.34 W,100.00 %,91.00 %,9.14 W,3.7 %,1512 MHz,100.00 %,5.6 %,17.40 %,291.86 W,1125 MHz,90.42 %,63.00 °C,31.00 %,1125 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:11.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.19 W,100.00 %,91.20 %,9.28 W,4.7 %,1512 MHz,100.00 %,5.6 %,16.20 %,311.42 W,1170 MHz,90.42 %,63.00 °C,31.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:11.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,148.67 W,100.00 %,69.90 %,9.15 W,3.7 %,1512 MHz,100.00 %,5.6 %,16.00 %,306.17 W,1050 MHz,92.49 %,63.00 °C,26.00 %,1050 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:11.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.53 W,100.00 %,69.70 %,9.48 W,5.2 %,1512 MHz,100.00 %,5.6 %,14.80 %,241.34 W,1110 MHz,92.49 %,63.00 °C,26.00 %,1110 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:11.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.43 W,100.00 %,90.50 %,9.00 W,3.4 %,1512 MHz,100.00 %,5.6 %,20.60 %,313.85 W,1170 MHz,92.49 %,63.00 °C,27.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:11.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.58 W,100.00 %,2.60 %,9.21 W,3.7 %,1512 MHz,98.70 %,5.6 %,51.30 %,359.65 W,1065 MHz,92.49 %,63.00 °C,27.00 %,1065 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.06 GB/s,91.20 %
2025-05-07 14:39:11.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,147.95 W,100.00 %,69.90 %,9.05 W,3.7 %,1512 MHz,100.00 %,5.6 %,13.50 %,277.41 W,1095 MHz,94.56 %,63.00 °C,27.00 %,1095 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:11.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,122.43 W,100.00 %,91.30 %,9.29 W,3.3 %,1512 MHz,100.00 %,5.6 %,16.50 %,304.62 W,1170 MHz,94.56 %,63.00 °C,31.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:12.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,111.80 W,100.00 %,91.50 %,9.38 W,3.4 %,1512 MHz,100.00 %,5.6 %,16.90 %,304.62 W,1110 MHz,94.56 %,63.00 °C,31.00 %,1110 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:12.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.33 W,100.00 %,70.00 %,9.16 W,3.1 %,1512 MHz,100.00 %,5.6 %,12.70 %,282.89 W,1080 MHz,94.56 %,63.00 °C,22.00 %,1080 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:12.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,106.07 W,100.00 %,90.40 %,9.28 W,3.7 %,1512 MHz,100.00 %,5.6 %,23.20 %,219.41 W,1155 MHz,94.56 %,65.00 °C,22.00 %,1155 MHz,63.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:12.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,111.38 W,100.00 %,91.10 %,9.29 W,3.4 %,1512 MHz,99.90 %,5.6 %,18.80 %,302.86 W,1155 MHz,94.56 %,63.00 °C,35.00 %,1155 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:12.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,102.97 W,100.00 %,70.10 %,9.36 W,3.7 %,1512 MHz,100.00 %,5.6 %,14.80 %,302.86 W,1065 MHz,94.56 %,63.00 °C,35.00 %,1065 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:12.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,105.70 W,100.00 %,91.20 %,9.45 W,5.5 %,1512 MHz,100.00 %,5.6 %,17.80 %,311.24 W,1170 MHz,94.56 %,65.00 °C,24.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:12.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,111.12 W,100.00 %,93.70 %,9.30 W,4.0 %,1512 MHz,99.90 %,5.6 %,17.50 %,321.58 W,1170 MHz,94.56 %,63.00 °C,24.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:12.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.80 W,100.00 %,4.30 %,9.28 W,3.7 %,1512 MHz,100.00 %,5.6 %,49.30 %,321.58 W,1050 MHz,94.56 %,63.00 °C,29.00 %,1050 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,93.50 %
2025-05-07 14:39:12.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,121.76 W,100.00 %,70.00 %,9.10 W,3.1 %,1512 MHz,100.00 %,5.6 %,16.90 %,280.95 W,1050 MHz,94.56 %,65.00 °C,29.00 %,1050 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:12.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,105.73 W,100.00 %,90.60 %,9.25 W,3.1 %,1512 MHz,99.90 %,5.6 %,20.30 %,257.57 W,1155 MHz,94.56 %,65.00 °C,27.00 %,1155 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:13.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.45 W,100.00 %,70.00 %,9.24 W,3.7 %,1512 MHz,100.00 %,5.6 %,13.20 %,308.41 W,1155 MHz,94.56 %,65.00 °C,27.00 %,1155 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:13.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,122.14 W,100.00 %,70.00 %,9.16 W,4.4 %,1512 MHz,100.00 %,5.6 %,15.50 %,326.19 W,1110 MHz,94.56 %,65.00 °C,32.00 %,1110 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:13.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,129.19 W,100.00 %,91.10 %,9.16 W,2.8 %,1512 MHz,100.00 %,5.6 %,15.40 %,307.53 W,1170 MHz,94.56 %,65.00 °C,32.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:13.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,109.95 W,100.00 %,90.40 %,9.18 W,3.1 %,1512 MHz,100.00 %,5.6 %,21.80 %,289.05 W,1155 MHz,94.56 %,63.00 °C,26.00 %,1155 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:13.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.48 W,100.00 %,70.10 %,9.27 W,3.4 %,1512 MHz,100.00 %,5.6 %,11.80 %,285.52 W,1080 MHz,94.56 %,65.00 °C,26.00 %,1080 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:13.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,117.28 W,100.00 %,90.50 %,9.27 W,4.3 %,1512 MHz,100.00 %,5.6 %,23.30 %,279.57 W,1155 MHz,94.56 %,65.00 °C,31.00 %,1155 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:13.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,114.60 W,100.00 %,90.70 %,9.47 W,5.6 %,1512 MHz,99.90 %,5.6 %,18.80 %,306.27 W,1170 MHz,94.56 %,65.00 °C,31.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:13.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,131.83 W,100.00 %,70.20 %,9.38 W,6.2 %,1512 MHz,100.00 %,5.6 %,12.30 %,311.52 W,1065 MHz,94.56 %,65.00 °C,31.00 %,1065 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:13.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,124.86 W,100.00 %,70.10 %,9.31 W,3.7 %,1512 MHz,100.00 %,5.6 %,14.10 %,311.52 W,1155 MHz,94.56 %,65.00 °C,24.00 %,1155 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:14.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,121.11 W,100.00 %,91.10 %,9.44 W,3.4 %,1512 MHz,100.00 %,5.6 %,15.30 %,291.73 W,1155 MHz,94.56 %,65.00 °C,24.00 %,1155 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:14.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,110.81 W,100.00 %,70.20 %,9.31 W,2.2 %,1512 MHz,100.00 %,5.6 %,12.80 %,310.72 W,1050 MHz,94.56 %,65.00 °C,29.00 %,1050 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:14.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,109.13 W,100.00 %,70.00 %,9.38 W,4.0 %,1512 MHz,100.00 %,5.6 %,13.40 %,257.77 W,1125 MHz,94.56 %,65.00 °C,29.00 %,1125 MHz,63.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:14.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,116.37 W,100.00 %,90.60 %,9.18 W,4.6 %,1512 MHz,100.00 %,5.6 %,21.70 %,307.73 W,1170 MHz,94.56 %,65.00 °C,30.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:14.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,122.42 W,100.00 %,91.60 %,9.32 W,5.2 %,1512 MHz,100.00 %,5.6 %,16.90 %,307.73 W,1110 MHz,94.56 %,65.00 °C,30.00 %,1110 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:14.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,138.97 W,100.00 %,70.00 %,9.32 W,5.0 %,1512 MHz,100.00 %,5.6 %,13.60 %,313.75 W,1110 MHz,94.56 %,65.00 °C,23.00 %,1110 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:14.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.36 W,100.00 %,4.10 %,9.26 W,3.9 %,1512 MHz,100.00 %,5.6 %,38.60 %,246.31 W,1170 MHz,94.56 %,65.00 °C,23.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.05 GB/s,92.60 %
