timestamp,task_name,name,index,clocks.current.graphics [MHz],temperature.memory,dram_active,utilization.gpu [%],nvlink_tx_bytes,power.draw [W],usage.memory [%],sm_occupancy,pcie.link.width.current,utilization.memory [%],sm_active,cpu_power,pcie.link.gen.current,clocks.current.sm [MHz],nvlink_rx_bytes,clocks.current.memory [MHz],pcie_tx_bytes,cpu_usage,dram_usage,dram_power,pcie_rx_bytes,temperature.gpu,tensor_active
2025-05-07 15:45:53.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,61.00 °C,14.60 %,100.00 %,0.00 GB/s,315.50 W,75.93 %,12.50 %,16,29.00 %,100.00 %,150.87 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,8.97 W,0.04 GB/s,63.00 °C,69.90 %
2025-05-07 15:45:53.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,61.00 °C,13.10 %,100.00 %,0.00 GB/s,286.11 W,75.93 %,12.50 %,16,27.00 %,100.00 %,147.76 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.07 GB/s,3.1 %,5.7 %,9.06 W,0.04 GB/s,63.00 °C,70.00 %
2025-05-07 15:45:53.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,61.00 °C,21.70 %,100.00 %,0.00 GB/s,264.16 W,75.93 %,12.40 %,16,27.00 %,100.00 %,153.44 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.7 %,5.7 %,9.19 W,0.04 GB/s,63.00 °C,90.60 %
2025-05-07 15:45:53.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,61.00 °C,17.30 %,100.00 %,0.00 GB/s,307.34 W,75.93 %,12.40 %,16,26.00 %,100.00 %,152.58 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.06 W,0.04 GB/s,63.00 °C,91.40 %
2025-05-07 15:45:54.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,63.00 °C,15.20 %,100.00 %,0.00 GB/s,323.83 W,78.00 %,12.50 %,16,26.00 %,100.00 %,148.42 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.3 %,5.7 %,9.10 W,0.04 GB/s,63.00 °C,69.70 %
2025-05-07 15:45:54.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1185 MHz,63.00 °C,27.00 %,100.00 %,0.00 GB/s,335.58 W,78.00 %,39.30 %,16,32.00 %,96.80 %,154.06 W,4,1185 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.1 %,5.7 %,9.08 W,0.06 GB/s,63.00 °C,55.30 %
2025-05-07 15:45:54.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,16.50 %,100.00 %,0.00 GB/s,314.54 W,78.00 %,12.40 %,16,32.00 %,99.90 %,154.58 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.0 %,5.7 %,9.08 W,0.04 GB/s,63.00 °C,93.20 %
2025-05-07 15:45:54.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1035 MHz,63.00 °C,12.00 %,100.00 %,0.00 GB/s,284.95 W,80.07 %,12.50 %,16,25.00 %,100.00 %,158.25 W,4,1035 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,5.3 %,5.7 %,9.21 W,0.04 GB/s,63.00 °C,70.10 %
2025-05-07 15:45:54.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1125 MHz,63.00 °C,15.60 %,100.00 %,0.00 GB/s,272.84 W,80.07 %,12.50 %,16,25.00 %,100.00 %,154.62 W,4,1125 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,9.13 W,0.05 GB/s,62.00 °C,69.70 %
2025-05-07 15:45:54.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,21.10 %,100.00 %,0.00 GB/s,311.73 W,80.07 %,12.40 %,16,25.00 %,100.00 %,154.66 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,5.7 %,5.7 %,9.19 W,0.04 GB/s,63.00 °C,90.50 %
2025-05-07 15:45:54.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1050 MHz,63.00 °C,35.40 %,100.00 %,0.00 GB/s,311.73 W,80.07 %,93.00 %,16,31.00 %,100.00 %,155.70 W,4,1050 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,10.4 %,5.7 %,9.28 W,0.04 GB/s,63.00 °C,4.60 %
2025-05-07 15:45:54.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1110 MHz,63.00 °C,15.00 %,100.00 %,0.00 GB/s,311.91 W,82.14 %,12.50 %,16,31.00 %,100.00 %,159.09 W,4,1110 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,11.1 %,5.7 %,9.29 W,0.04 GB/s,62.00 °C,70.00 %
2025-05-07 15:45:54.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,63.00 °C,16.90 %,100.00 %,0.00 GB/s,308.79 W,82.14 %,12.40 %,16,25.00 %,100.00 %,152.30 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.15 W,0.04 GB/s,63.00 °C,91.00 %
2025-05-07 15:45:54.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,63.00 °C,35.80 %,100.00 %,0.00 GB/s,288.26 W,82.14 %,93.00 %,16,28.00 %,100.00 %,152.24 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,2.5 %,5.7 %,9.14 W,0.04 GB/s,63.00 °C,4.60 %
2025-05-07 15:45:55.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,63.00 °C,12.60 %,100.00 %,0.00 GB/s,288.93 W,84.21 %,12.50 %,16,28.00 %,100.00 %,150.23 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.03 W,0.04 GB/s,63.00 °C,70.10 %
2025-05-07 15:45:55.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,62.70 %,100.00 %,0.00 GB/s,298.98 W,84.21 %,89.90 %,16,28.00 %,99.10 %,149.35 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.07 GB/s,4.0 %,5.7 %,9.04 W,0.05 GB/s,63.00 °C,0.80 %
2025-05-07 15:45:55.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1125 MHz,63.00 °C,18.90 %,100.00 %,0.00 GB/s,298.98 W,84.21 %,12.50 %,16,30.00 %,99.90 %,148.50 W,4,1125 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.15 W,0.04 GB/s,64.00 °C,90.80 %
2025-05-07 15:45:55.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1110 MHz,63.00 °C,12.80 %,100.00 %,0.00 GB/s,307.05 W,86.28 %,12.50 %,16,30.00 %,100.00 %,152.13 W,4,1110 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.6 %,5.7 %,9.19 W,0.04 GB/s,63.00 °C,70.10 %
2025-05-07 15:45:55.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1110 MHz,63.00 °C,15.00 %,100.00 %,0.00 GB/s,300.90 W,86.28 %,12.50 %,16,22.00 %,100.00 %,149.44 W,4,1110 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,2.8 %,5.7 %,9.07 W,0.05 GB/s,62.00 °C,70.00 %
2025-05-07 15:45:55.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,15.00 %,100.00 %,0.00 GB/s,308.02 W,86.28 %,12.40 %,16,22.00 %,100.00 %,151.27 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.19 W,0.04 GB/s,64.00 °C,91.10 %
2025-05-07 15:45:55.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,16.80 %,100.00 %,0.00 GB/s,323.05 W,86.28 %,12.40 %,16,23.00 %,100.00 %,151.78 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.1 %,5.7 %,9.04 W,0.04 GB/s,64.00 °C,92.10 %
2025-05-07 15:45:55.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,63.00 °C,17.70 %,100.00 %,0.00 GB/s,252.51 W,88.35 %,12.50 %,16,23.00 %,100.00 %,153.22 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,5.6 %,5.7 %,9.22 W,0.05 GB/s,64.00 °C,69.90 %
2025-05-07 15:45:55.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,56.30 %,100.00 %,0.00 GB/s,303.84 W,88.35 %,92.50 %,16,31.00 %,100.00 %,154.48 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.0 %,5.7 %,9.16 W,0.05 GB/s,62.00 °C,0.00 %
2025-05-07 15:45:55.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,63.00 °C,20.40 %,100.00 %,0.00 GB/s,307.05 W,88.35 %,12.50 %,16,31.00 %,99.90 %,151.60 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.7 %,5.7 %,9.13 W,0.05 GB/s,64.00 °C,90.90 %
2025-05-07 15:45:56.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,63.00 °C,11.20 %,100.00 %,0.00 GB/s,301.00 W,90.42 %,12.50 %,16,31.00 %,100.00 %,148.16 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.1 %,5.7 %,9.21 W,0.05 GB/s,64.00 °C,69.90 %
2025-05-07 15:45:56.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,14.00 %,100.00 %,0.00 GB/s,301.00 W,90.42 %,12.50 %,16,26.00 %,100.00 %,151.18 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.08 W,0.05 GB/s,63.00 °C,70.00 %
2025-05-07 15:45:56.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,63.00 °C,15.80 %,100.00 %,0.00 GB/s,255.04 W,90.42 %,12.40 %,16,26.00 %,100.00 %,150.02 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.09 W,0.04 GB/s,64.00 °C,91.30 %
2025-05-07 15:45:56.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,63.00 °C,21.60 %,100.00 %,0.00 GB/s,306.96 W,90.42 %,12.40 %,16,27.00 %,100.00 %,149.24 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.7 %,5.7 %,9.06 W,0.04 GB/s,64.00 °C,90.50 %
2025-05-07 15:45:56.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,63.00 °C,12.40 %,100.00 %,0.00 GB/s,318.40 W,92.49 %,12.50 %,16,27.00 %,100.00 %,153.18 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.12 W,0.04 GB/s,63.00 °C,69.80 %
2025-05-07 15:45:56.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1140 MHz,65.00 °C,75.00 %,100.00 %,0.00 GB/s,262.87 W,92.49 %,89.30 %,16,31.00 %,100.00 %,149.83 W,4,1140 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.6 %,5.7 %,8.96 W,0.05 GB/s,64.00 °C,2.30 %
2025-05-07 15:45:56.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,63.00 °C,19.60 %,100.00 %,0.00 GB/s,305.97 W,92.49 %,17.70 %,16,31.00 %,52.50 %,152.60 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.1 %,5.7 %,9.00 W,0.04 GB/s,64.00 °C,32.50 %
2025-05-07 15:45:56.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1050 MHz,63.00 °C,14.70 %,100.00 %,0.00 GB/s,286.13 W,94.56 %,12.50 %,16,22.00 %,100.00 %,148.79 W,4,1050 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.04 W,0.04 GB/s,63.00 °C,70.00 %
2025-05-07 15:45:56.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1110 MHz,63.00 °C,16.60 %,100.00 %,0.00 GB/s,233.55 W,94.56 %,12.50 %,16,22.00 %,100.00 %,140.87 W,4,1110 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,9.20 W,0.05 GB/s,63.00 °C,70.10 %
2025-05-07 15:45:56.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,20.60 %,100.00 %,0.00 GB/s,306.18 W,94.56 %,12.40 %,16,35.00 %,100.00 %,120.64 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.7 %,5.7 %,9.22 W,0.04 GB/s,64.00 °C,90.50 %
2025-05-07 15:45:57.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,63.00 °C,18.50 %,100.00 %,0.00 GB/s,351.09 W,94.56 %,12.40 %,16,35.00 %,100.00 %,152.08 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.7 %,5.7 %,9.15 W,0.04 GB/s,64.00 °C,91.40 %
2025-05-07 15:45:57.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1110 MHz,65.00 °C,14.50 %,100.00 %,0.00 GB/s,351.09 W,94.56 %,12.50 %,16,35.00 %,100.00 %,152.66 W,4,1110 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,9.19 W,0.05 GB/s,64.00 °C,69.70 %
2025-05-07 15:45:57.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,57.60 %,100.00 %,0.00 GB/s,281.81 W,94.56 %,92.50 %,16,24.00 %,100.00 %,153.75 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.7 %,5.7 %,9.11 W,0.05 GB/s,64.00 °C,0.00 %
2025-05-07 15:45:57.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1125 MHz,63.00 °C,18.50 %,100.00 %,0.00 GB/s,316.78 W,94.56 %,12.50 %,16,24.00 %,99.90 %,154.49 W,4,1125 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,5.0 %,5.7 %,9.33 W,0.04 GB/s,65.00 °C,90.80 %
2025-05-07 15:45:57.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1125 MHz,63.00 °C,13.50 %,100.00 %,0.00 GB/s,276.07 W,94.56 %,12.50 %,16,29.00 %,100.00 %,150.06 W,4,1125 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,8.97 W,0.05 GB/s,64.00 °C,70.10 %
2025-05-07 15:45:57.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,65.00 °C,13.70 %,100.00 %,0.00 GB/s,285.63 W,94.56 %,12.50 %,16,29.00 %,100.00 %,139.94 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,9.18 W,0.05 GB/s,64.00 °C,69.90 %
2025-05-07 15:45:57.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,20.30 %,100.00 %,0.00 GB/s,311.14 W,94.56 %,12.40 %,16,26.00 %,100.00 %,140.63 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.18 W,0.04 GB/s,65.00 °C,90.40 %
2025-05-07 15:45:57.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,65.00 °C,22.20 %,100.00 %,0.00 GB/s,337.14 W,94.56 %,12.40 %,16,26.00 %,100.00 %,128.18 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.15 W,0.04 GB/s,65.00 °C,90.70 %
2025-05-07 15:45:57.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1095 MHz,65.00 °C,14.70 %,100.00 %,0.00 GB/s,295.86 W,94.56 %,12.50 %,16,26.00 %,100.00 %,129.32 W,4,1095 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,5.0 %,5.7 %,9.10 W,0.05 GB/s,64.00 °C,69.90 %
2025-05-07 15:45:57.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,15.60 %,100.00 %,0.00 GB/s,306.57 W,94.56 %,12.40 %,16,31.00 %,100.00 %,125.49 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,2.2 %,5.7 %,9.20 W,0.04 GB/s,65.00 °C,91.10 %
2025-05-07 15:45:58.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1200 MHz,65.00 °C,23.60 %,100.00 %,0.00 GB/s,308.39 W,94.56 %,12.40 %,16,25.00 %,100.00 %,122.11 W,4,1200 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.1 %,5.7 %,9.19 W,0.04 GB/s,65.00 °C,90.60 %
2025-05-07 15:45:58.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1125 MHz,65.00 °C,13.90 %,100.00 %,0.00 GB/s,277.71 W,94.56 %,12.50 %,16,25.00 %,100.00 %,117.42 W,4,1125 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,9.16 W,0.04 GB/s,64.00 °C,70.00 %
2025-05-07 15:45:58.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,17.50 %,100.00 %,0.00 GB/s,257.87 W,94.56 %,12.40 %,16,25.00 %,100.00 %,143.10 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,4.7 %,5.7 %,9.23 W,0.05 GB/s,64.00 °C,91.10 %
2025-05-07 15:45:58.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1140 MHz,65.00 °C,18.80 %,100.00 %,0.00 GB/s,257.87 W,94.56 %,12.40 %,16,32.00 %,99.90 %,152.69 W,4,1140 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.3 %,5.7 %,9.12 W,0.04 GB/s,65.00 °C,90.40 %
2025-05-07 15:45:58.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,65.00 °C,11.00 %,100.00 %,0.00 GB/s,307.63 W,94.56 %,12.50 %,16,32.00 %,100.00 %,151.56 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.01 W,0.05 GB/s,64.00 °C,70.10 %
2025-05-07 15:45:58.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1080 MHz,65.00 °C,11.50 %,100.00 %,0.00 GB/s,320.15 W,94.56 %,12.50 %,16,24.00 %,100.00 %,147.47 W,4,1080 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.1 %,5.7 %,9.06 W,0.04 GB/s,63.00 °C,70.00 %
2025-05-07 15:45:58.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,15.60 %,100.00 %,0.00 GB/s,310.25 W,94.56 %,12.40 %,16,24.00 %,100.00 %,149.39 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.7 %,5.7 %,9.09 W,0.04 GB/s,65.00 °C,91.10 %
2025-05-07 15:45:58.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1140 MHz,65.00 °C,17.40 %,100.00 %,0.00 GB/s,302.97 W,94.56 %,12.40 %,16,29.00 %,100.00 %,132.28 W,4,1140 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.28 W,0.04 GB/s,65.00 °C,91.40 %
2025-05-07 15:45:58.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,65.00 °C,13.00 %,100.00 %,0.00 GB/s,278.19 W,94.56 %,12.50 %,16,29.00 %,100.00 %,122.58 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.13 W,0.05 GB/s,64.00 °C,69.90 %
2025-05-07 15:45:59.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,17.50 %,100.00 %,0.00 GB/s,274.97 W,94.56 %,12.30 %,16,27.00 %,100.00 %,116.43 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.7 %,5.7 %,9.09 W,0.04 GB/s,64.00 °C,90.20 %
2025-05-07 15:45:59.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,65.00 °C,19.50 %,100.00 %,0.00 GB/s,308.61 W,94.56 %,12.40 %,16,27.00 %,99.90 %,110.11 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.05 GB/s,3.7 %,5.7 %,9.19 W,0.03 GB/s,65.00 °C,91.10 %
2025-05-07 15:45:59.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1050 MHz,65.00 °C,15.60 %,100.00 %,0.00 GB/s,315.61 W,94.56 %,12.50 %,16,27.00 %,100.00 %,114.02 W,4,1050 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.3 %,5.7 %,9.26 W,0.04 GB/s,65.00 °C,69.90 %
2025-05-07 15:45:59.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,65.00 °C,15.20 %,100.00 %,0.00 GB/s,315.61 W,94.56 %,12.50 %,16,26.00 %,100.00 %,106.76 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,3.4 %,5.7 %,9.24 W,0.04 GB/s,64.00 °C,70.10 %
2025-05-07 15:45:59.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,65.00 °C,16.00 %,100.00 %,0.00 GB/s,306.96 W,94.56 %,12.40 %,16,33.00 %,99.90 %,108.19 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.9 %,5.7 %,9.22 W,0.04 GB/s,65.00 °C,92.90 %
2025-05-07 15:45:59.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1050 MHz,65.00 °C,49.80 %,100.00 %,0.00 GB/s,276.64 W,94.56 %,93.40 %,16,33.00 %,100.00 %,144.20 W,4,1050 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,4.3 %,5.7 %,9.02 W,0.05 GB/s,64.00 °C,4.30 %
