timestamp,task_name,name,index,pcie.link.width.current,temperature.memory,tensor_active,pcie_tx_bytes,usage.memory [%],temperature.gpu,cpu_power,dram_power,pcie.link.gen.current,cpu_usage,clocks.current.graphics [MHz],utilization.gpu [%],power.draw [W],sm_occupancy,nvlink_tx_bytes,dram_usage,clocks.current.memory [MHz],sm_active,pcie_rx_bytes,nvlink_rx_bytes,clocks.current.sm [MHz],utilization.memory [%],dram_active
2025-05-07 14:33:47.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,90.60 %,0.08 GB/s,73.85 %,62.00 °C,155.39 W,9.11 W,4,5.3 %,1155 MHz,100.00 %,308.51 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1155 MHz,25.00 %,21.80 %
2025-05-07 14:33:47.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,70.00 %,0.09 GB/s,75.93 %,62.00 °C,152.54 W,9.18 W,4,2.8 %,1170 MHz,100.00 %,312.86 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1170 MHz,25.00 %,14.40 %
2025-05-07 14:33:48.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,90.50 %,0.08 GB/s,75.93 %,63.00 °C,151.51 W,9.06 W,4,3.4 %,1110 MHz,100.00 %,312.19 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1110 MHz,31.00 %,20.00 %
2025-05-07 14:33:48.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,69.80 %,0.09 GB/s,78.00 %,62.00 °C,150.19 W,9.14 W,4,3.1 %,1020 MHz,100.00 %,271.36 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1020 MHz,31.00 %,16.20 %
2025-05-07 14:33:48.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,69.90 %,0.09 GB/s,78.00 %,62.00 °C,152.42 W,9.08 W,4,3.6 %,1170 MHz,100.00 %,289.92 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,24.00 %,14.50 %
2025-05-07 14:33:48.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,91.10 %,0.04 GB/s,78.00 %,63.00 °C,149.11 W,8.95 W,4,3.1 %,1170 MHz,100.00 %,314.54 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.03 GB/s,0.00 GB/s,1170 MHz,24.00 %,15.40 %
2025-05-07 14:33:48.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,91.40 %,0.08 GB/s,78.00 %,63.00 °C,153.25 W,9.07 W,4,4.0 %,1020 MHz,100.00 %,314.54 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1020 MHz,28.00 %,17.10 %
2025-05-07 14:33:48.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,80.07 %,62.00 °C,149.37 W,9.25 W,4,5.2 %,1170 MHz,100.00 %,304.89 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,28.00 %,11.20 %
2025-05-07 14:33:48.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,1.00 %,0.05 GB/s,80.07 %,63.00 °C,150.87 W,9.30 W,4,4.6 %,1170 MHz,100.00 %,325.15 W,91.40 %,0.00 GB/s,5.5 %,1512 MHz,97.20 %,0.05 GB/s,0.00 GB/s,1170 MHz,29.00 %,81.80 %
2025-05-07 14:33:48.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.60 %,0.08 GB/s,80.07 %,63.00 °C,151.19 W,9.21 W,4,4.0 %,1155 MHz,100.00 %,308.41 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,99.90 %,0.04 GB/s,0.00 GB/s,1155 MHz,29.00 %,19.20 %
2025-05-07 14:33:48.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,82.14 %,63.00 °C,151.71 W,9.08 W,4,4.0 %,1080 MHz,100.00 %,289.62 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1080 MHz,24.00 %,13.40 %
2025-05-07 14:33:49.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.00 %,0.05 GB/s,82.14 %,63.00 °C,149.81 W,9.01 W,4,3.4 %,1065 MHz,100.00 %,285.13 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.03 GB/s,0.00 GB/s,1065 MHz,24.00 %,14.70 %
2025-05-07 14:33:49.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.40 %,0.08 GB/s,82.14 %,63.00 °C,148.22 W,8.98 W,4,3.4 %,1170 MHz,100.00 %,298.48 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,34.00 %,20.60 %
2025-05-07 14:33:49.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,91.50 %,0.08 GB/s,82.14 %,63.00 °C,150.68 W,9.01 W,4,3.7 %,1065 MHz,100.00 %,297.70 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1065 MHz,34.00 %,16.80 %
2025-05-07 14:33:49.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,84.21 %,62.00 °C,149.72 W,9.21 W,4,2.8 %,1110 MHz,100.00 %,267.95 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1110 MHz,24.00 %,14.50 %
2025-05-07 14:33:49.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.40 %,0.08 GB/s,84.21 %,64.00 °C,151.53 W,9.03 W,4,3.7 %,1170 MHz,100.00 %,310.55 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,24.00 %,21.20 %
2025-05-07 14:33:49.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,92.00 %,0.08 GB/s,84.21 %,64.00 °C,149.80 W,8.96 W,4,3.7 %,1185 MHz,100.00 %,338.56 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1185 MHz,31.00 %,17.20 %
2025-05-07 14:33:49.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.00 %,0.09 GB/s,86.28 %,63.00 °C,150.59 W,9.14 W,4,4.0 %,1080 MHz,100.00 %,247.12 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1080 MHz,31.00 %,12.70 %
2025-05-07 14:33:49.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,86.28 %,63.00 °C,153.77 W,8.98 W,4,4.0 %,1170 MHz,100.00 %,302.48 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1170 MHz,26.00 %,14.90 %
2025-05-07 14:33:49.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,93.70 %,0.08 GB/s,86.28 %,64.00 °C,150.42 W,9.21 W,4,6.2 %,1170 MHz,100.00 %,306.75 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,99.90 %,0.04 GB/s,0.00 GB/s,1170 MHz,26.00 %,17.20 %
2025-05-07 14:33:49.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.00 %,0.07 GB/s,88.35 %,63.00 °C,154.01 W,9.06 W,4,3.7 %,1065 MHz,100.00 %,302.96 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1065 MHz,26.00 %,14.60 %
2025-05-07 14:33:50.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,88.35 %,63.00 °C,148.83 W,9.05 W,4,3.4 %,1155 MHz,100.00 %,302.96 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1155 MHz,27.00 %,17.10 %
2025-05-07 14:33:50.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.60 %,0.08 GB/s,88.35 %,63.00 °C,151.38 W,8.99 W,4,3.1 %,1170 MHz,100.00 %,231.98 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,27.00 %,22.50 %
2025-05-07 14:33:50.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.80 %,0.08 GB/s,88.35 %,63.00 °C,153.21 W,8.97 W,4,3.7 %,1170 MHz,100.00 %,309.09 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,22.00 %,22.10 %
2025-05-07 14:33:50.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.00 %,0.09 GB/s,90.42 %,62.00 °C,152.39 W,8.88 W,4,4.0 %,1050 MHz,100.00 %,340.99 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1050 MHz,22.00 %,15.30 %
2025-05-07 14:33:50.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,90.42 %,64.00 °C,153.68 W,9.02 W,4,3.1 %,1125 MHz,100.00 %,270.59 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1125 MHz,35.00 %,14.90 %
2025-05-07 14:33:50.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,94.10 %,0.08 GB/s,90.42 %,64.00 °C,151.47 W,8.96 W,4,3.1 %,1170 MHz,100.00 %,305.97 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,99.90 %,0.04 GB/s,0.00 GB/s,1170 MHz,35.00 %,16.70 %
2025-05-07 14:33:50.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,69.90 %,0.09 GB/s,92.49 %,64.00 °C,150.54 W,9.12 W,4,4.0 %,1065 MHz,100.00 %,307.63 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1065 MHz,23.00 %,13.40 %
2025-05-07 14:33:50.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.00 %,0.08 GB/s,92.49 %,63.00 °C,151.94 W,8.91 W,4,4.0 %,1080 MHz,100.00 %,231.01 W,12.50 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1080 MHz,23.00 %,14.60 %
2025-05-07 14:33:50.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.40 %,0.08 GB/s,92.49 %,64.00 °C,153.34 W,9.22 W,4,6.2 %,1170 MHz,100.00 %,306.66 W,12.40 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,23.00 %,21.50 %
2025-05-07 14:33:50.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,91.50 %,0.08 GB/s,92.49 %,64.00 °C,148.89 W,9.13 W,4,3.7 %,1050 MHz,100.00 %,306.66 W,12.40 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1050 MHz,30.00 %,17.40 %
2025-05-07 14:33:51.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.10 %,0.09 GB/s,94.56 %,63.00 °C,150.67 W,9.39 W,4,6.8 %,1095 MHz,100.00 %,326.47 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1095 MHz,30.00 %,13.70 %
2025-05-07 14:33:51.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.40 %,0.08 GB/s,94.56 %,63.00 °C,141.34 W,9.18 W,4,3.1 %,1170 MHz,100.00 %,303.06 W,12.40 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,26.00 %,22.40 %
2025-05-07 14:33:51.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.90 %,0.08 GB/s,94.56 %,64.00 °C,114.53 W,9.26 W,4,3.1 %,1155 MHz,100.00 %,295.46 W,12.40 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1155 MHz,26.00 %,22.10 %
2025-05-07 14:33:51.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,70.20 %,0.09 GB/s,94.56 %,64.00 °C,115.42 W,9.08 W,4,3.4 %,1080 MHz,100.00 %,282.21 W,12.50 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1080 MHz,26.00 %,14.60 %
2025-05-07 14:33:51.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,91.50 %,0.08 GB/s,94.56 %,62.00 °C,103.85 W,9.28 W,4,2.8 %,1170 MHz,100.00 %,243.47 W,12.40 %,0.00 GB/s,5.6 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,26.00 %,17.80 %
2025-05-07 14:33:51.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,91.50 %,0.08 GB/s,94.56 %,64.00 °C,117.29 W,9.30 W,4,5.9 %,1200 MHz,100.00 %,243.47 W,12.50 %,0.00 GB/s,5.6 %,1512 MHz,99.90 %,0.04 GB/s,0.00 GB/s,1200 MHz,31.00 %,17.80 %
2025-05-07 14:33:51.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,69.80 %,0.09 GB/s,94.56 %,64.00 °C,114.39 W,9.31 W,4,3.7 %,1065 MHz,100.00 %,310.55 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1065 MHz,31.00 %,13.70 %
2025-05-07 14:33:51.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,69.90 %,0.09 GB/s,94.56 %,64.00 °C,112.71 W,9.24 W,4,3.4 %,1065 MHz,100.00 %,338.39 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1065 MHz,23.00 %,14.40 %
2025-05-07 14:33:51.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,94.00 %,0.08 GB/s,94.56 %,64.00 °C,104.68 W,9.33 W,4,2.5 %,1170 MHz,100.00 %,332.67 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,99.90 %,0.04 GB/s,0.00 GB/s,1170 MHz,23.00 %,16.70 %
2025-05-07 14:33:52.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,4.20 %,0.08 GB/s,94.56 %,64.00 °C,109.56 W,9.17 W,4,3.4 %,1080 MHz,100.00 %,332.67 W,92.30 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1080 MHz,34.00 %,36.90 %
2025-05-07 14:33:52.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,69.90 %,0.08 GB/s,94.56 %,63.00 °C,102.59 W,9.15 W,4,2.5 %,1170 MHz,100.00 %,272.44 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1170 MHz,34.00 %,14.60 %
2025-05-07 14:33:52.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,91.20 %,0.08 GB/s,94.56 %,64.00 °C,107.18 W,9.37 W,4,5.6 %,1170 MHz,100.00 %,272.44 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,29.00 %,15.20 %
2025-05-07 14:33:52.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,90.80 %,0.08 GB/s,94.56 %,65.00 °C,109.61 W,9.32 W,4,4.6 %,1170 MHz,100.00 %,312.11 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,29.00 %,22.20 %
2025-05-07 14:33:52.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,69.70 %,0.09 GB/s,94.56 %,64.00 °C,104.96 W,9.20 W,4,3.1 %,1035 MHz,100.00 %,304.23 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1035 MHz,27.00 %,15.40 %
2025-05-07 14:33:52.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,91.30 %,0.08 GB/s,94.56 %,64.00 °C,105.45 W,9.28 W,4,3.4 %,1170 MHz,100.00 %,324.54 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,27.00 %,17.50 %
2025-05-07 14:33:52.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,90.70 %,0.08 GB/s,94.56 %,64.00 °C,107.15 W,9.27 W,4,4.0 %,1155 MHz,100.00 %,299.25 W,12.30 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1155 MHz,26.00 %,16.40 %
2025-05-07 14:33:52.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,69.90 %,0.09 GB/s,94.56 %,64.00 °C,109.76 W,9.42 W,4,4.0 %,1065 MHz,100.00 %,285.23 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1065 MHz,26.00 %,13.90 %
2025-05-07 14:33:52.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,0.00 %,0.08 GB/s,94.56 %,64.00 °C,138.44 W,9.12 W,4,2.2 %,1170 MHz,100.00 %,284.55 W,92.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.06 GB/s,0.00 GB/s,1170 MHz,32.00 %,58.20 %
2025-05-07 14:33:53.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,63.00 °C,0.00 %,0.08 GB/s,94.56 %,65.00 °C,137.76 W,9.09 W,4,3.4 %,1170 MHz,100.00 %,305.59 W,92.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1170 MHz,32.00 %,53.90 %
2025-05-07 14:33:53.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,69.90 %,0.09 GB/s,94.56 %,64.00 °C,123.16 W,9.16 W,4,4.0 %,1065 MHz,100.00 %,313.35 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1065 MHz,25.00 %,17.00 %
2025-05-07 14:33:53.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,70.00 %,0.09 GB/s,94.56 %,64.00 °C,125.74 W,9.17 W,4,3.4 %,1095 MHz,100.00 %,325.61 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1095 MHz,25.00 %,13.80 %
2025-05-07 14:33:53.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,90.60 %,0.08 GB/s,94.56 %,64.00 °C,126.77 W,9.12 W,4,3.1 %,1170 MHz,100.00 %,311.23 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,31.00 %,20.40 %
2025-05-07 14:33:53.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,90.90 %,0.08 GB/s,94.56 %,65.00 °C,126.29 W,9.23 W,4,4.7 %,1050 MHz,100.00 %,284.06 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1050 MHz,31.00 %,22.20 %
2025-05-07 14:33:53.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,70.10 %,0.09 GB/s,94.56 %,64.00 °C,123.52 W,9.18 W,4,4.7 %,1095 MHz,100.00 %,288.26 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1095 MHz,31.00 %,14.20 %
2025-05-07 14:33:53.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,0.00 %,0.08 GB/s,94.56 %,63.00 °C,120.53 W,9.26 W,4,4.0 %,1170 MHz,100.00 %,290.11 W,92.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.05 GB/s,0.00 GB/s,1170 MHz,24.00 %,58.70 %
2025-05-07 14:33:53.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,90.60 %,0.08 GB/s,94.56 %,64.00 °C,129.18 W,9.16 W,4,2.5 %,1200 MHz,100.00 %,306.18 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1200 MHz,28.00 %,21.60 %
2025-05-07 14:33:53.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,70.10 %,0.09 GB/s,94.56 %,64.00 °C,125.86 W,9.19 W,4,3.7 %,1065 MHz,100.00 %,299.65 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1065 MHz,28.00 %,11.50 %
2025-05-07 14:33:53.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,65.00 °C,90.40 %,0.08 GB/s,94.56 %,63.00 °C,124.85 W,9.39 W,4,4.6 %,1170 MHz,100.00 %,275.47 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1170 MHz,28.00 %,23.50 %
