timestamp,task_name,name,index,pcie.link.width.current,sm_occupancy,sm_active,clocks.current.memory [MHz],tensor_active,pcie_tx_bytes,power.draw [W],nvlink_rx_bytes,dram_usage,temperature.memory,clocks.current.sm [MHz],dram_active,nvlink_tx_bytes,temperature.gpu,cpu_power,utilization.memory [%],utilization.gpu [%],cpu_usage,pcie.link.gen.current,clocks.current.graphics [MHz],dram_power,pcie_rx_bytes,usage.memory [%]
2025-05-07 14:40:02.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,93.30 %,100.00 %,1512 MHz,2.60 %,0.08 GB/s,287.27 W,0.00 GB/s,5.6 %,61.00 °C,1050 MHz,52.30 %,0.00 GB/s,62.00 °C,149.47 W,30.00 %,100.00 %,3.4 %,4,1050 MHz,9.00 W,0.05 GB/s,73.85 %
2025-05-07 14:40:03.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.80 %,0.09 GB/s,287.27 W,0.00 GB/s,5.6 %,61.00 °C,1170 MHz,17.20 %,0.00 GB/s,61.00 °C,153.59 W,30.00 %,100.00 %,3.7 %,4,1170 MHz,9.04 W,0.05 GB/s,75.93 %
2025-05-07 14:40:03.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.60 %,0.08 GB/s,244.95 W,0.00 GB/s,5.6 %,61.00 °C,1140 MHz,22.00 %,0.00 GB/s,62.00 °C,150.93 W,26.00 %,100.00 %,3.4 %,4,1140 MHz,9.08 W,0.04 GB/s,75.93 %
2025-05-07 14:40:03.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.70 %,0.08 GB/s,305.12 W,0.00 GB/s,5.6 %,61.00 °C,1050 MHz,21.90 %,0.00 GB/s,62.00 °C,152.48 W,26.00 %,100.00 %,3.7 %,4,1050 MHz,9.12 W,0.04 GB/s,75.93 %
2025-05-07 14:40:03.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,325.99 W,0.00 GB/s,5.6 %,61.00 °C,1050 MHz,15.80 %,0.00 GB/s,62.00 °C,151.90 W,27.00 %,100.00 %,3.4 %,4,1050 MHz,9.09 W,0.04 GB/s,78.00 %
2025-05-07 14:40:03.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.80 %,0.09 GB/s,296.53 W,0.00 GB/s,5.6 %,63.00 °C,1050 MHz,13.70 %,0.00 GB/s,62.00 °C,147.41 W,27.00 %,100.00 %,3.7 %,4,1050 MHz,8.93 W,0.04 GB/s,78.00 %
2025-05-07 14:40:03.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,99.90 %,1512 MHz,94.00 %,0.08 GB/s,307.72 W,0.00 GB/s,5.6 %,61.00 °C,1170 MHz,16.50 %,0.00 GB/s,63.00 °C,150.61 W,31.00 %,100.00 %,3.4 %,4,1170 MHz,9.21 W,0.04 GB/s,78.00 %
2025-05-07 14:40:03.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.80 %,0.09 GB/s,318.05 W,0.00 GB/s,5.6 %,63.00 °C,1095 MHz,17.70 %,0.00 GB/s,62.00 °C,152.01 W,31.00 %,100.00 %,3.4 %,4,1095 MHz,9.22 W,0.05 GB/s,80.07 %
2025-05-07 14:40:03.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,283.85 W,0.00 GB/s,5.6 %,63.00 °C,1065 MHz,11.90 %,0.00 GB/s,62.00 °C,150.21 W,35.00 %,100.00 %,4.0 %,4,1065 MHz,9.12 W,0.04 GB/s,80.07 %
2025-05-07 14:40:03.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.50 %,0.03 GB/s,259.24 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,21.70 %,0.00 GB/s,62.00 °C,152.83 W,35.00 %,100.00 %,4.3 %,4,1170 MHz,9.20 W,0.02 GB/s,80.07 %
2025-05-07 14:40:03.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.30 %,0.09 GB/s,321.32 W,0.00 GB/s,5.6 %,63.00 °C,1110 MHz,17.40 %,0.00 GB/s,63.00 °C,149.88 W,24.00 %,100.00 %,5.3 %,4,1110 MHz,9.12 W,0.04 GB/s,80.07 %
2025-05-07 14:40:04.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,334.71 W,0.00 GB/s,5.6 %,63.00 °C,1140 MHz,14.20 %,0.00 GB/s,63.00 °C,151.79 W,24.00 %,100.00 %,5.3 %,4,1140 MHz,9.26 W,0.05 GB/s,82.14 %
2025-05-07 14:40:04.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,3.10 %,43.30 %,1512 MHz,26.20 %,0.10 GB/s,305.19 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,0.00 %,0.00 GB/s,62.00 °C,153.05 W,24.00 %,100.00 %,4.0 %,4,1170 MHz,9.25 W,0.05 GB/s,82.14 %
2025-05-07 14:40:04.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,99.90 %,1512 MHz,92.20 %,0.08 GB/s,288.74 W,0.00 GB/s,5.6 %,63.00 °C,1125 MHz,16.50 %,0.00 GB/s,63.00 °C,150.27 W,29.00 %,100.00 %,3.4 %,4,1125 MHz,9.10 W,0.04 GB/s,82.14 %
2025-05-07 14:40:04.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.10 %,0.09 GB/s,288.74 W,0.00 GB/s,5.6 %,63.00 °C,1065 MHz,14.30 %,0.00 GB/s,63.00 °C,148.67 W,29.00 %,100.00 %,4.3 %,4,1065 MHz,9.11 W,0.04 GB/s,84.21 %
2025-05-07 14:40:04.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,279.77 W,0.00 GB/s,5.6 %,63.00 °C,1065 MHz,13.50 %,0.00 GB/s,63.00 °C,154.28 W,26.00 %,100.00 %,8.8 %,4,1065 MHz,9.43 W,0.04 GB/s,84.21 %
2025-05-07 14:40:04.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.30 %,0.08 GB/s,277.43 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,23.10 %,0.00 GB/s,63.00 °C,149.71 W,26.00 %,100.00 %,5.2 %,4,1170 MHz,9.22 W,0.04 GB/s,84.21 %
2025-05-07 14:40:04.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.90 %,0.08 GB/s,310.55 W,0.00 GB/s,5.6 %,63.00 °C,1155 MHz,16.70 %,0.00 GB/s,63.00 °C,152.83 W,26.00 %,100.00 %,5.7 %,4,1155 MHz,9.31 W,0.04 GB/s,84.21 %
2025-05-07 14:40:04.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.07 GB/s,315.40 W,0.00 GB/s,5.6 %,63.00 °C,1035 MHz,14.70 %,0.00 GB/s,63.00 °C,149.97 W,26.00 %,100.00 %,3.7 %,4,1035 MHz,8.94 W,0.05 GB/s,86.28 %
2025-05-07 14:40:04.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,90.90 %,99.30 %,1512 MHz,0.00 %,0.06 GB/s,322.80 W,0.00 GB/s,5.6 %,63.00 °C,1110 MHz,85.00 %,0.00 GB/s,63.00 °C,151.59 W,32.00 %,100.00 %,4.3 %,4,1110 MHz,9.06 W,0.05 GB/s,86.28 %
2025-05-07 14:40:04.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,99.90 %,1512 MHz,90.60 %,0.08 GB/s,310.94 W,0.00 GB/s,5.6 %,63.00 °C,1155 MHz,18.60 %,0.00 GB/s,63.00 °C,150.66 W,32.00 %,100.00 %,3.9 %,4,1155 MHz,9.04 W,0.04 GB/s,86.28 %
2025-05-07 14:40:05.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,291.08 W,0.00 GB/s,5.6 %,63.00 °C,1050 MHz,16.20 %,0.00 GB/s,62.00 °C,152.08 W,25.00 %,100.00 %,3.4 %,4,1050 MHz,9.00 W,0.05 GB/s,88.35 %
2025-05-07 14:40:05.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.10 %,0.09 GB/s,285.33 W,0.00 GB/s,5.6 %,63.00 °C,1110 MHz,14.30 %,0.00 GB/s,62.00 °C,149.59 W,25.00 %,100.00 %,5.6 %,4,1110 MHz,9.21 W,0.05 GB/s,88.35 %
2025-05-07 14:40:05.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.30 %,100.00 %,1512 MHz,89.50 %,0.08 GB/s,297.72 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,17.80 %,0.00 GB/s,63.00 °C,155.37 W,31.00 %,100.00 %,4.3 %,4,1170 MHz,9.19 W,0.04 GB/s,88.35 %
2025-05-07 14:40:05.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.60 %,0.08 GB/s,305.68 W,0.00 GB/s,5.6 %,63.00 °C,1110 MHz,22.70 %,0.00 GB/s,64.00 °C,149.09 W,31.00 %,100.00 %,4.3 %,4,1110 MHz,9.04 W,0.04 GB/s,88.35 %
2025-05-07 14:40:05.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.80 %,0.09 GB/s,299.45 W,0.00 GB/s,5.6 %,63.00 °C,1125 MHz,17.90 %,0.00 GB/s,63.00 °C,150.94 W,24.00 %,100.00 %,4.0 %,4,1125 MHz,8.88 W,0.05 GB/s,90.42 %
2025-05-07 14:40:05.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.30 %,100.00 %,1512 MHz,90.80 %,0.09 GB/s,260.83 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,17.40 %,0.00 GB/s,62.00 °C,150.14 W,24.00 %,100.00 %,3.1 %,4,1170 MHz,9.13 W,0.04 GB/s,90.42 %
2025-05-07 14:40:05.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,99.90 %,1512 MHz,90.50 %,0.08 GB/s,310.35 W,0.00 GB/s,5.6 %,63.00 °C,1140 MHz,18.90 %,0.00 GB/s,64.00 °C,148.82 W,24.00 %,100.00 %,3.1 %,4,1140 MHz,8.99 W,0.05 GB/s,90.42 %
2025-05-07 14:40:05.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,310.35 W,0.00 GB/s,5.6 %,63.00 °C,1095 MHz,11.90 %,0.00 GB/s,64.00 °C,149.33 W,29.00 %,100.00 %,3.4 %,4,1095 MHz,9.18 W,0.04 GB/s,92.49 %
2025-05-07 14:40:05.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,244.38 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,15.20 %,0.00 GB/s,63.00 °C,154.08 W,29.00 %,100.00 %,6.2 %,4,1170 MHz,9.07 W,0.05 GB/s,92.49 %
2025-05-07 14:40:05.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.90 %,0.08 GB/s,289.14 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,20.40 %,0.00 GB/s,64.00 °C,150.39 W,30.00 %,100.00 %,3.4 %,4,1170 MHz,9.26 W,0.04 GB/s,92.49 %
2025-05-07 14:40:06.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,289.14 W,0.00 GB/s,5.6 %,63.00 °C,1050 MHz,11.80 %,0.00 GB/s,64.00 °C,146.82 W,30.00 %,100.00 %,4.0 %,4,1050 MHz,9.18 W,0.05 GB/s,94.56 %
2025-05-07 14:40:06.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.50 %,0.08 GB/s,312.11 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,23.30 %,0.00 GB/s,63.00 °C,121.14 W,34.00 %,100.00 %,2.8 %,4,1170 MHz,9.17 W,0.04 GB/s,94.56 %
2025-05-07 14:40:06.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.80 %,0.08 GB/s,373.24 W,0.00 GB/s,5.6 %,63.00 °C,1200 MHz,21.50 %,0.00 GB/s,64.00 °C,125.07 W,34.00 %,100.00 %,5.0 %,4,1200 MHz,9.22 W,0.04 GB/s,94.56 %
2025-05-07 14:40:06.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,283.96 W,0.00 GB/s,5.6 %,63.00 °C,1065 MHz,13.20 %,0.00 GB/s,64.00 °C,118.05 W,23.00 %,100.00 %,4.6 %,4,1065 MHz,9.34 W,0.04 GB/s,94.56 %
2025-05-07 14:40:06.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.70 %,0.09 GB/s,283.96 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,18.50 %,0.00 GB/s,63.00 °C,113.46 W,23.00 %,100.00 %,3.6 %,4,1170 MHz,9.21 W,0.05 GB/s,94.56 %
2025-05-07 14:40:06.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,91.20 %,100.00 %,1512 MHz,0.00 %,0.05 GB/s,310.25 W,0.00 GB/s,5.6 %,63.00 °C,1155 MHz,91.00 %,0.00 GB/s,64.00 °C,114.46 W,30.00 %,100.00 %,3.7 %,4,1155 MHz,9.15 W,0.04 GB/s,94.56 %
2025-05-07 14:40:06.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,93.40 %,100.00 %,1512 MHz,4.30 %,0.08 GB/s,282.26 W,0.00 GB/s,5.6 %,63.00 °C,1155 MHz,48.60 %,0.00 GB/s,64.00 °C,113.47 W,30.00 %,100.00 %,3.7 %,4,1155 MHz,9.25 W,0.05 GB/s,94.56 %
2025-05-07 14:40:06.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,278.40 W,0.00 GB/s,5.6 %,65.00 °C,1050 MHz,11.00 %,0.00 GB/s,63.00 °C,114.56 W,26.00 %,100.00 %,5.4 %,4,1050 MHz,9.34 W,0.04 GB/s,94.56 %
2025-05-07 14:40:06.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.50 %,0.08 GB/s,221.58 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,20.40 %,0.00 GB/s,64.00 °C,111.86 W,26.00 %,100.00 %,3.4 %,4,1170 MHz,9.39 W,0.04 GB/s,94.56 %
2025-05-07 14:40:07.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,353.54 W,0.00 GB/s,5.6 %,65.00 °C,1065 MHz,16.00 %,0.00 GB/s,64.00 °C,114.45 W,27.00 %,100.00 %,3.1 %,4,1065 MHz,9.28 W,0.05 GB/s,94.56 %
2025-05-07 14:40:07.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,353.54 W,0.00 GB/s,5.6 %,65.00 °C,1170 MHz,11.80 %,0.00 GB/s,64.00 °C,112.02 W,27.00 %,100.00 %,3.1 %,4,1170 MHz,9.23 W,0.05 GB/s,94.56 %
2025-05-07 14:40:07.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.10 %,0.08 GB/s,305.97 W,0.00 GB/s,5.6 %,65.00 °C,1170 MHz,15.80 %,0.00 GB/s,64.00 °C,109.61 W,31.00 %,100.00 %,3.4 %,4,1170 MHz,9.29 W,0.04 GB/s,94.56 %
2025-05-07 14:40:07.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,93.00 %,100.00 %,1512 MHz,4.60 %,0.08 GB/s,325.67 W,0.00 GB/s,5.6 %,63.00 °C,1050 MHz,35.60 %,0.00 GB/s,64.00 °C,103.88 W,31.00 %,100.00 %,4.0 %,4,1050 MHz,9.24 W,0.04 GB/s,94.56 %
2025-05-07 14:40:07.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,283.56 W,0.00 GB/s,5.6 %,65.00 °C,1050 MHz,15.30 %,0.00 GB/s,64.00 °C,116.76 W,22.00 %,100.00 %,7.5 %,4,1050 MHz,9.37 W,0.05 GB/s,94.56 %
2025-05-07 14:40:07.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,92.20 %,99.80 %,1512 MHz,0.00 %,0.04 GB/s,258.06 W,0.00 GB/s,5.6 %,65.00 °C,1170 MHz,57.90 %,0.00 GB/s,64.00 °C,133.01 W,22.00 %,100.00 %,3.1 %,4,1170 MHz,9.26 W,0.03 GB/s,94.56 %
2025-05-07 14:40:07.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,92.30 %,100.00 %,1512 MHz,4.20 %,0.08 GB/s,306.56 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,37.50 %,0.00 GB/s,64.00 °C,128.91 W,35.00 %,100.00 %,3.4 %,4,1170 MHz,9.32 W,0.04 GB/s,94.56 %
2025-05-07 14:40:07.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,299.95 W,0.00 GB/s,5.6 %,65.00 °C,1095 MHz,11.60 %,0.00 GB/s,64.00 °C,148.32 W,35.00 %,100.00 %,3.1 %,4,1095 MHz,9.25 W,0.05 GB/s,94.56 %
2025-05-07 14:40:08.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.60 %,0.08 GB/s,320.06 W,0.00 GB/s,5.6 %,65.00 °C,1170 MHz,21.40 %,0.00 GB/s,65.00 °C,135.78 W,29.00 %,100.00 %,3.7 %,4,1170 MHz,9.36 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.40 %,0.08 GB/s,313.56 W,0.00 GB/s,5.6 %,63.00 °C,1170 MHz,17.00 %,0.00 GB/s,64.00 °C,129.84 W,29.00 %,100.00 %,3.7 %,4,1170 MHz,9.18 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.10 %,0.09 GB/s,278.69 W,0.00 GB/s,5.6 %,65.00 °C,1050 MHz,14.90 %,0.00 GB/s,63.00 °C,116.59 W,27.00 %,100.00 %,3.7 %,4,1050 MHz,9.17 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,277.53 W,0.00 GB/s,5.6 %,65.00 °C,1140 MHz,14.70 %,0.00 GB/s,63.00 °C,104.73 W,27.00 %,100.00 %,2.8 %,4,1140 MHz,9.36 W,0.05 GB/s,94.56 %
2025-05-07 14:40:08.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,99.90 %,1512 MHz,91.50 %,0.06 GB/s,300.92 W,0.00 GB/s,5.6 %,65.00 °C,1155 MHz,16.40 %,0.00 GB/s,64.00 °C,105.98 W,26.00 %,100.00 %,3.7 %,4,1155 MHz,9.18 W,0.03 GB/s,94.56 %
2025-05-07 14:40:08.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,93.40 %,100.00 %,1512 MHz,4.30 %,0.08 GB/s,321.62 W,0.00 GB/s,5.6 %,65.00 °C,1065 MHz,49.10 %,0.00 GB/s,64.00 °C,118.91 W,26.00 %,100.00 %,3.1 %,4,1065 MHz,9.19 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,316.70 W,0.00 GB/s,5.6 %,65.00 °C,1125 MHz,15.70 %,0.00 GB/s,64.00 °C,131.82 W,32.00 %,100.00 %,2.5 %,4,1125 MHz,9.13 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,90.50 %,0.08 GB/s,305.49 W,0.00 GB/s,5.6 %,65.00 °C,1170 MHz,20.60 %,0.00 GB/s,64.00 °C,127.92 W,32.00 %,100.00 %,5.6 %,4,1170 MHz,9.37 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,99.90 %,100.00 %,1512 MHz,0.00 %,0.08 GB/s,304.89 W,0.00 GB/s,5.6 %,65.00 °C,1065 MHz,26.70 %,0.00 GB/s,65.00 °C,128.86 W,25.00 %,100.00 %,4.4 %,4,1065 MHz,9.18 W,0.04 GB/s,94.56 %
2025-05-07 14:40:08.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,273.46 W,0.00 GB/s,5.6 %,65.00 °C,1065 MHz,13.90 %,0.00 GB/s,64.00 °C,134.83 W,25.00 %,100.00 %,6.4 %,4,1065 MHz,9.27 W,0.05 GB/s,94.56 %
2025-05-07 14:40:09.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.30 %,0.08 GB/s,295.86 W,0.00 GB/s,5.6 %,65.00 °C,1170 MHz,16.80 %,0.00 GB/s,64.00 °C,151.20 W,25.00 %,100.00 %,3.3 %,4,1170 MHz,9.00 W,0.04 GB/s,94.56 %
