timestamp,task_name,name,index,temperature.gpu,clocks.current.sm [MHz],temperature.memory,dram_power,cpu_usage,pcie.link.gen.current,nvlink_tx_bytes,power.draw [W],utilization.memory [%],utilization.gpu [%],sm_occupancy,sm_active,dram_usage,cpu_power,usage.memory [%],nvlink_rx_bytes,pcie_tx_bytes,pcie_rx_bytes,clocks.current.memory [MHz],tensor_active,clocks.current.graphics [MHz],pcie.link.width.current,dram_active
2025-05-07 15:46:47.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1065 MHz,61.00 °C,9.17 W,4.7 %,4,0.00 GB/s,319.95 W,31.00 %,100.00 %,12.50 %,100.00 %,5.7 %,151.15 W,75.93 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,69.80 %,1065 MHz,16,13.70 %
2025-05-07 15:46:47.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,1065 MHz,63.00 °C,9.25 W,5.0 %,4,0.00 GB/s,293.22 W,35.00 %,100.00 %,12.50 %,100.00 %,5.7 %,151.81 W,75.93 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1065 MHz,16,14.60 %
2025-05-07 15:46:47.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,61.00 °C,9.29 W,5.0 %,4,0.00 GB/s,307.24 W,35.00 %,100.00 %,12.40 %,99.90 %,5.7 %,149.58 W,75.93 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,92.80 %,1170 MHz,16,16.30 %
2025-05-07 15:46:47.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,1110 MHz,63.00 °C,9.03 W,3.6 %,4,0.00 GB/s,301.70 W,24.00 %,100.00 %,12.50 %,100.00 %,5.7 %,148.91 W,78.00 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,69.80 %,1110 MHz,16,14.50 %
2025-05-07 15:46:47.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,1110 MHz,63.00 °C,9.19 W,4.0 %,4,0.00 GB/s,322.40 W,24.00 %,100.00 %,92.50 %,100.00 %,5.7 %,151.36 W,78.00 %,0.00 GB/s,0.08 GB/s,0.05 GB/s,1512 MHz,0.00 %,1110 MHz,16,56.30 %
2025-05-07 15:46:47.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,63.00 °C,9.09 W,3.4 %,4,0.00 GB/s,311.52 W,29.00 %,100.00 %,12.40 %,99.90 %,5.7 %,150.57 W,78.00 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,94.00 %,1170 MHz,16,15.90 %
2025-05-07 15:46:47.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1080 MHz,63.00 °C,9.07 W,3.7 %,4,0.00 GB/s,294.21 W,29.00 %,100.00 %,12.50 %,100.00 %,5.7 %,148.52 W,80.07 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.00 %,1080 MHz,16,11.20 %
2025-05-07 15:46:47.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1065 MHz,63.00 °C,9.16 W,5.3 %,4,0.00 GB/s,275.17 W,27.00 %,100.00 %,12.50 %,100.00 %,5.7 %,153.26 W,80.07 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.10 %,1065 MHz,16,12.20 %
2025-05-07 15:46:47.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,63.00 °C,9.28 W,5.2 %,4,0.00 GB/s,281.43 W,27.00 %,100.00 %,12.40 %,100.00 %,5.7 %,153.22 W,80.07 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.50 %,1170 MHz,16,21.80 %
2025-05-07 15:46:48.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1110 MHz,63.00 °C,9.06 W,3.7 %,4,0.00 GB/s,314.52 W,27.00 %,100.00 %,12.40 %,100.00 %,5.7 %,149.03 W,80.07 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.60 %,1110 MHz,16,23.70 %
2025-05-07 15:46:48.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1125 MHz,63.00 °C,9.12 W,5.3 %,4,0.00 GB/s,335.87 W,26.00 %,100.00 %,12.50 %,100.00 %,5.7 %,155.71 W,82.14 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,69.90 %,1125 MHz,16,15.70 %
2025-05-07 15:46:48.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,63.00 °C,9.12 W,3.4 %,4,0.00 GB/s,308.99 W,26.00 %,100.00 %,12.40 %,100.00 %,5.7 %,154.19 W,82.14 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,91.50 %,1170 MHz,16,17.40 %
2025-05-07 15:46:48.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1140 MHz,63.00 °C,9.08 W,3.7 %,4,0.00 GB/s,308.99 W,32.00 %,100.00 %,12.40 %,99.90 %,5.7 %,150.89 W,82.14 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,93.70 %,1140 MHz,16,17.60 %
2025-05-07 15:46:48.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1065 MHz,63.00 °C,8.92 W,3.7 %,4,0.00 GB/s,290.40 W,32.00 %,100.00 %,12.50 %,100.00 %,5.7 %,148.81 W,84.21 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1065 MHz,16,15.70 %
2025-05-07 15:46:48.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1065 MHz,63.00 °C,8.94 W,3.3 %,4,0.00 GB/s,281.92 W,25.00 %,100.00 %,12.50 %,100.00 %,5.7 %,151.49 W,84.21 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.00 %,1065 MHz,16,15.00 %
2025-05-07 15:46:48.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1155 MHz,63.00 °C,9.26 W,3.7 %,4,0.00 GB/s,284.85 W,25.00 %,100.00 %,12.40 %,100.00 %,5.7 %,147.88 W,84.21 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.90 %,1155 MHz,16,15.30 %
2025-05-07 15:46:48.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,63.00 °C,9.01 W,4.0 %,4,0.00 GB/s,306.27 W,31.00 %,100.00 %,12.40 %,100.00 %,5.7 %,150.24 W,84.21 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.60 %,1170 MHz,16,16.80 %
2025-05-07 15:46:48.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1065 MHz,63.00 °C,9.01 W,3.4 %,4,0.00 GB/s,305.96 W,31.00 %,100.00 %,12.50 %,100.00 %,5.7 %,150.78 W,86.28 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,69.90 %,1065 MHz,16,12.20 %
2025-05-07 15:46:49.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,63.00 °C,9.29 W,3.4 %,4,0.00 GB/s,286.11 W,24.00 %,100.00 %,92.60 %,100.00 %,5.7 %,150.18 W,86.28 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,4.10 %,1170 MHz,16,38.50 %
2025-05-07 15:46:49.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1155 MHz,63.00 °C,9.28 W,5.0 %,4,0.00 GB/s,305.40 W,24.00 %,100.00 %,12.40 %,99.90 %,5.7 %,157.59 W,86.28 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,93.10 %,1155 MHz,16,16.90 %
2025-05-07 15:46:49.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1050 MHz,63.00 °C,9.18 W,7.2 %,4,0.00 GB/s,328.60 W,24.00 %,100.00 %,12.50 %,100.00 %,5.7 %,148.13 W,88.35 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.00 %,1050 MHz,16,15.30 %
2025-05-07 15:46:49.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,63.00 °C,9.11 W,1.9 %,4,0.00 GB/s,299.66 W,31.00 %,100.00 %,11.80 %,99.80 %,5.7 %,150.13 W,88.35 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,68.80 %,1170 MHz,16,12.60 %
2025-05-07 15:46:49.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,63.00 °C,9.13 W,3.7 %,4,0.00 GB/s,307.91 W,23.00 %,100.00 %,12.40 %,99.90 %,5.7 %,147.96 W,88.35 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,93.10 %,1170 MHz,16,16.80 %
2025-05-07 15:46:49.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1050 MHz,63.00 °C,9.26 W,3.4 %,4,0.00 GB/s,306.56 W,23.00 %,100.00 %,93.30 %,100.00 %,5.7 %,151.40 W,88.35 %,0.00 GB/s,0.08 GB/s,0.05 GB/s,1512 MHz,2.60 %,1050 MHz,16,52.50 %
2025-05-07 15:46:49.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1080 MHz,63.00 °C,9.07 W,3.4 %,4,0.00 GB/s,250.83 W,23.00 %,100.00 %,12.50 %,100.00 %,5.7 %,149.90 W,90.42 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1080 MHz,16,14.40 %
2025-05-07 15:46:49.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1155 MHz,65.00 °C,9.22 W,3.4 %,4,0.00 GB/s,305.59 W,34.00 %,100.00 %,12.40 %,100.00 %,5.7 %,153.11 W,90.42 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.00 %,1155 MHz,16,16.50 %
2025-05-07 15:46:49.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1140 MHz,63.00 °C,9.10 W,3.3 %,4,0.00 GB/s,305.59 W,34.00 %,100.00 %,12.40 %,100.00 %,5.7 %,149.85 W,90.42 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.60 %,1140 MHz,16,16.70 %
2025-05-07 15:46:49.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1095 MHz,63.00 °C,9.02 W,3.1 %,4,0.00 GB/s,323.85 W,23.00 %,100.00 %,12.50 %,100.00 %,5.7 %,149.08 W,92.49 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1095 MHz,16,15.10 %
2025-05-07 15:46:50.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1095 MHz,65.00 °C,8.93 W,3.1 %,4,0.00 GB/s,264.24 W,23.00 %,100.00 %,12.50 %,100.00 %,5.7 %,147.76 W,92.49 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.00 %,1095 MHz,16,16.20 %
2025-05-07 15:46:50.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,63.00 °C,9.01 W,3.4 %,4,0.00 GB/s,304.43 W,31.00 %,100.00 %,12.40 %,100.00 %,5.7 %,148.42 W,92.49 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.60 %,1170 MHz,16,20.20 %
2025-05-07 15:46:50.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1200 MHz,63.00 °C,9.21 W,4.0 %,4,0.00 GB/s,307.91 W,31.00 %,100.00 %,92.40 %,100.00 %,5.7 %,151.51 W,92.49 %,0.00 GB/s,0.08 GB/s,0.05 GB/s,1512 MHz,4.20 %,1200 MHz,16,38.00 %
2025-05-07 15:46:50.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1110 MHz,65.00 °C,9.19 W,5.0 %,4,0.00 GB/s,281.51 W,26.00 %,100.00 %,12.50 %,100.00 %,5.7 %,153.76 W,94.56 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.20 %,1110 MHz,16,11.00 %
2025-05-07 15:46:50.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1170 MHz,65.00 °C,9.26 W,4.4 %,4,0.00 GB/s,234.56 W,26.00 %,100.00 %,12.40 %,100.00 %,5.7 %,146.77 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.50 %,1170 MHz,16,21.50 %
2025-05-07 15:46:50.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1170 MHz,65.00 °C,9.16 W,3.6 %,4,0.00 GB/s,314.14 W,27.00 %,100.00 %,12.40 %,100.00 %,5.7 %,144.91 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.50 %,1170 MHz,16,16.10 %
2025-05-07 15:46:50.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1065 MHz,63.00 °C,9.23 W,3.4 %,4,0.00 GB/s,298.68 W,27.00 %,100.00 %,12.50 %,100.00 %,5.7 %,129.78 W,94.56 %,0.00 GB/s,0.07 GB/s,0.05 GB/s,1512 MHz,70.00 %,1065 MHz,16,11.50 %
2025-05-07 15:46:50.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,65.00 °C,9.14 W,2.5 %,4,0.00 GB/s,305.78 W,31.00 %,100.00 %,12.40 %,100.00 %,5.7 %,127.52 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.50 %,1170 MHz,16,21.90 %
2025-05-07 15:46:50.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,65.00 °C,8.98 W,3.7 %,4,0.00 GB/s,284.45 W,31.00 %,100.00 %,92.70 %,100.00 %,5.7 %,143.49 W,94.56 %,0.00 GB/s,0.08 GB/s,0.05 GB/s,1512 MHz,2.70 %,1170 MHz,16,42.60 %
2025-05-07 15:46:50.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1080 MHz,65.00 °C,9.01 W,3.7 %,4,0.00 GB/s,285.23 W,31.00 %,100.00 %,12.50 %,100.00 %,5.7 %,143.56 W,94.56 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.20 %,1080 MHz,16,15.80 %
2025-05-07 15:46:51.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1170 MHz,65.00 °C,9.20 W,3.4 %,4,0.00 GB/s,285.23 W,22.00 %,100.00 %,12.50 %,100.00 %,5.7 %,132.79 W,94.56 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.00 %,1170 MHz,16,13.80 %
2025-05-07 15:46:51.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1155 MHz,65.00 °C,9.29 W,3.4 %,4,0.00 GB/s,244.36 W,22.00 %,100.00 %,12.40 %,100.00 %,5.7 %,121.19 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.70 %,1155 MHz,16,20.60 %
2025-05-07 15:46:51.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1155 MHz,65.00 °C,9.26 W,3.4 %,4,0.00 GB/s,305.59 W,35.00 %,100.00 %,92.70 %,100.00 %,5.7 %,115.74 W,94.56 %,0.00 GB/s,0.08 GB/s,0.05 GB/s,1512 MHz,2.80 %,1155 MHz,16,42.00 %
2025-05-07 15:46:51.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1065 MHz,65.00 °C,9.37 W,6.8 %,4,0.00 GB/s,308.21 W,35.00 %,100.00 %,12.50 %,100.00 %,5.7 %,117.16 W,94.56 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,69.90 %,1065 MHz,16,14.50 %
2025-05-07 15:46:51.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1170 MHz,65.00 °C,9.32 W,3.1 %,4,0.00 GB/s,307.44 W,29.00 %,100.00 %,12.40 %,100.00 %,5.7 %,123.25 W,94.56 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,91.10 %,1170 MHz,16,16.90 %
2025-05-07 15:46:51.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1170 MHz,65.00 °C,9.24 W,4.0 %,4,0.00 GB/s,321.12 W,29.00 %,100.00 %,12.40 %,100.00 %,5.7 %,111.69 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.50 %,1170 MHz,16,16.40 %
2025-05-07 15:46:51.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1065 MHz,65.00 °C,9.25 W,5.1 %,4,0.00 GB/s,280.36 W,27.00 %,100.00 %,12.50 %,100.00 %,5.7 %,119.30 W,94.56 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.00 %,1065 MHz,16,13.60 %
2025-05-07 15:46:51.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,65.00 °C,9.30 W,4.0 %,4,0.00 GB/s,263.73 W,27.00 %,100.00 %,12.50 %,100.00 %,5.7 %,116.23 W,94.56 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1170 MHz,16,17.00 %
2025-05-07 15:46:51.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1155 MHz,65.00 °C,9.12 W,3.4 %,4,0.00 GB/s,311.03 W,27.00 %,100.00 %,12.40 %,100.00 %,5.7 %,107.98 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.50 %,1155 MHz,16,20.70 %
2025-05-07 15:46:51.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1065 MHz,65.00 °C,9.18 W,3.4 %,4,0.00 GB/s,311.03 W,26.00 %,100.00 %,93.30 %,98.50 %,5.7 %,105.89 W,94.56 %,0.00 GB/s,0.08 GB/s,0.05 GB/s,1512 MHz,1.60 %,1065 MHz,16,34.10 %
2025-05-07 15:46:52.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,65.00 °C,9.25 W,2.5 %,4,0.00 GB/s,322.50 W,26.00 %,100.00 %,12.50 %,100.00 %,5.7 %,105.19 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,70.20 %,1170 MHz,16,13.60 %
2025-05-07 15:46:52.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1155 MHz,65.00 °C,9.27 W,4.0 %,4,0.00 GB/s,322.50 W,31.00 %,100.00 %,12.40 %,100.00 %,5.7 %,104.60 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.30 %,1155 MHz,16,15.70 %
2025-05-07 15:46:52.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1155 MHz,65.00 °C,9.21 W,3.1 %,4,0.00 GB/s,304.91 W,31.00 %,100.00 %,12.40 %,100.00 %,5.7 %,105.50 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.40 %,1155 MHz,16,16.60 %
2025-05-07 15:46:52.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1050 MHz,65.00 °C,9.28 W,3.7 %,4,0.00 GB/s,284.05 W,25.00 %,100.00 %,12.50 %,100.00 %,5.7 %,107.91 W,94.56 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,69.80 %,1050 MHz,16,14.40 %
2025-05-07 15:46:52.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1170 MHz,65.00 °C,9.39 W,3.4 %,4,0.00 GB/s,284.35 W,25.00 %,100.00 %,12.40 %,100.00 %,5.7 %,106.98 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.00 %,1170 MHz,16,22.60 %
2025-05-07 15:46:52.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1155 MHz,65.00 °C,9.39 W,3.7 %,4,0.00 GB/s,306.47 W,32.00 %,100.00 %,12.50 %,99.90 %,5.7 %,104.46 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.80 %,1155 MHz,16,18.60 %
2025-05-07 15:46:52.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1035 MHz,65.00 °C,9.31 W,3.7 %,4,0.00 GB/s,303.55 W,32.00 %,100.00 %,12.50 %,100.00 %,5.7 %,109.43 W,94.56 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,70.10 %,1035 MHz,16,16.20 %
2025-05-07 15:46:52.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1170 MHz,65.00 °C,9.40 W,4.6 %,4,0.00 GB/s,330.37 W,32.00 %,100.00 %,12.50 %,100.00 %,5.7 %,103.79 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,69.90 %,1170 MHz,16,14.50 %
2025-05-07 15:46:52.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1155 MHz,65.00 °C,9.36 W,6.2 %,4,0.00 GB/s,307.92 W,24.00 %,100.00 %,12.40 %,100.00 %,5.7 %,120.68 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.90 %,1155 MHz,16,15.50 %
2025-05-07 15:46:52.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1050 MHz,65.00 °C,9.22 W,3.7 %,4,0.00 GB/s,307.92 W,24.00 %,100.00 %,12.40 %,100.00 %,5.7 %,123.14 W,94.56 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,91.70 %,1050 MHz,16,16.80 %
2025-05-07 15:46:53.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1050 MHz,65.00 °C,9.25 W,4.0 %,4,0.00 GB/s,277.52 W,29.00 %,100.00 %,12.50 %,100.00 %,5.7 %,124.53 W,94.56 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1050 MHz,16,13.70 %
