timestamp,task_name,name,index,dram_power,tensor_active,utilization.memory [%],pcie_rx_bytes,temperature.memory,pcie.link.width.current,clocks.current.graphics [MHz],cpu_usage,dram_active,sm_active,clocks.current.sm [MHz],nvlink_tx_bytes,utilization.gpu [%],cpu_power,temperature.gpu,nvlink_rx_bytes,dram_usage,sm_occupancy,pcie.link.gen.current,pcie_tx_bytes,clocks.current.memory [MHz],usage.memory [%],power.draw [W]
2025-05-07 15:47:41.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.03 W,4.60 %,24.00 %,0.04 GB/s,61.00 °C,16,1065 MHz,6.2 %,36.20 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,153.56 W,62.00 °C,0.00 GB/s,5.7 %,93.10 %,4,0.08 GB/s,1512 MHz,73.85 %,313.47 W
2025-05-07 15:47:41.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.05 W,70.00 %,24.00 %,0.04 GB/s,61.00 °C,16,1050 MHz,4.0 %,14.20 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,150.84 W,61.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,75.93 %,313.47 W
2025-05-07 15:47:42.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.17 W,90.80 %,33.00 %,0.04 GB/s,61.00 °C,16,1155 MHz,3.3 %,17.10 %,100.00 %,1155 MHz,0.00 GB/s,100.00 %,149.79 W,62.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,75.93 %,235.50 W
2025-05-07 15:47:42.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.19 W,0.00 %,33.00 %,0.05 GB/s,61.00 °C,16,1155 MHz,3.7 %,53.20 %,100.00 %,1155 MHz,0.00 GB/s,100.00 %,150.90 W,63.00 °C,0.00 GB/s,5.7 %,92.40 %,4,0.08 GB/s,1512 MHz,75.93 %,302.67 W
2025-05-07 15:47:42.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,8.98 W,70.10 %,24.00 %,0.05 GB/s,61.00 °C,16,1065 MHz,3.7 %,14.50 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,151.02 W,62.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,78.00 %,356.76 W
2025-05-07 15:47:42.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.06 W,70.00 %,24.00 %,0.05 GB/s,63.00 °C,16,1095 MHz,3.4 %,14.60 %,100.00 %,1095 MHz,0.00 GB/s,100.00 %,151.17 W,62.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,78.00 %,263.17 W
2025-05-07 15:47:42.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,8.85 W,90.40 %,31.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,3.4 %,20.90 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,151.95 W,63.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,78.00 %,307.05 W
2025-05-07 15:47:42.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.15 W,0.00 %,31.00 %,0.04 GB/s,63.00 °C,16,1185 MHz,5.9 %,26.10 %,100.00 %,1185 MHz,0.00 GB/s,100.00 %,149.71 W,63.00 °C,0.00 GB/s,5.7 %,73.60 %,4,0.08 GB/s,1512 MHz,78.00 %,308.12 W
2025-05-07 15:47:42.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.00 W,70.10 %,25.00 %,0.04 GB/s,63.00 °C,16,1125 MHz,3.7 %,13.00 %,100.00 %,1125 MHz,0.00 GB/s,100.00 %,150.87 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,80.07 %,290.20 W
2025-05-07 15:47:42.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.01 W,91.40 %,25.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,4.0 %,17.00 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,153.42 W,62.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.09 GB/s,1512 MHz,80.07 %,228.76 W
2025-05-07 15:47:42.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.25 W,0.20 %,25.00 %,0.06 GB/s,63.00 °C,16,1170 MHz,5.3 %,91.50 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,154.48 W,63.00 °C,0.00 GB/s,5.7 %,99.60 %,4,0.08 GB/s,1512 MHz,80.07 %,307.53 W
2025-05-07 15:47:42.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.21 W,70.00 %,28.00 %,0.05 GB/s,63.00 °C,16,1125 MHz,3.4 %,13.30 %,100.00 %,1125 MHz,0.00 GB/s,100.00 %,152.24 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,82.14 %,307.53 W
2025-05-07 15:47:43.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.08 W,69.70 %,28.00 %,0.05 GB/s,63.00 °C,16,1170 MHz,3.0 %,14.90 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,148.14 W,61.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,82.14 %,308.20 W
2025-05-07 15:47:43.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.17 W,90.50 %,31.00 %,0.04 GB/s,63.00 °C,16,1140 MHz,6.3 %,20.30 %,100.00 %,1140 MHz,0.00 GB/s,100.00 %,151.20 W,63.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,82.14 %,304.43 W
2025-05-07 15:47:43.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.11 W,4.30 %,31.00 %,0.05 GB/s,63.00 °C,16,1140 MHz,3.7 %,48.60 %,100.00 %,1140 MHz,0.00 GB/s,100.00 %,153.42 W,63.00 °C,0.00 GB/s,5.7 %,93.40 %,4,0.08 GB/s,1512 MHz,82.14 %,302.96 W
2025-05-07 15:47:43.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.08 W,69.90 %,22.00 %,0.05 GB/s,63.00 °C,16,1065 MHz,3.7 %,15.60 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,148.92 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,84.21 %,271.86 W
2025-05-07 15:47:43.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.07 W,91.00 %,22.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,3.1 %,17.40 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,154.30 W,63.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.09 GB/s,1512 MHz,84.21 %,245.25 W
2025-05-07 15:47:43.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.02 W,0.00 %,35.00 %,0.04 GB/s,63.00 °C,16,1185 MHz,2.2 %,12.90 %,100.00 %,1185 MHz,0.00 GB/s,100.00 %,148.86 W,64.00 °C,0.00 GB/s,5.7 %,25.00 %,4,0.08 GB/s,1512 MHz,84.21 %,307.72 W
2025-05-07 15:47:43.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.20 W,70.20 %,35.00 %,0.04 GB/s,63.00 °C,16,1065 MHz,3.4 %,13.80 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,152.19 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,86.28 %,340.90 W
2025-05-07 15:47:43.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.18 W,0.00 %,30.00 %,0.05 GB/s,63.00 °C,16,1170 MHz,5.2 %,90.30 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,152.49 W,63.00 °C,0.00 GB/s,5.7 %,91.90 %,4,0.06 GB/s,1512 MHz,86.28 %,313.16 W
2025-05-07 15:47:43.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.34 W,90.90 %,30.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,5.0 %,18.60 %,99.90 %,1170 MHz,0.00 GB/s,100.00 %,153.73 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.06 GB/s,1512 MHz,86.28 %,305.78 W
2025-05-07 15:47:44.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.01 W,69.90 %,27.00 %,0.05 GB/s,63.00 °C,16,1050 MHz,4.3 %,15.50 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,150.42 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,88.35 %,280.75 W
2025-05-07 15:47:44.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,69.90 %,27.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,3.4 %,13.00 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,151.99 W,62.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,88.35 %,282.49 W
2025-05-07 15:47:44.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.13 W,91.20 %,27.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,4.3 %,15.20 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,152.51 W,63.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,88.35 %,308.60 W
2025-05-07 15:47:44.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.03 W,90.80 %,27.00 %,0.04 GB/s,63.00 °C,16,1050 MHz,3.3 %,22.10 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,151.67 W,63.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,88.35 %,297.61 W
2025-05-07 15:47:44.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,70.10 %,27.00 %,0.04 GB/s,63.00 °C,16,1050 MHz,3.4 %,12.60 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,152.01 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,90.42 %,297.61 W
2025-05-07 15:47:44.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.11 W,2.70 %,31.00 %,0.05 GB/s,63.00 °C,16,1170 MHz,3.4 %,44.30 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,151.32 W,63.00 °C,0.00 GB/s,5.7 %,92.80 %,4,0.08 GB/s,1512 MHz,90.42 %,329.10 W
2025-05-07 15:47:44.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.42 W,90.90 %,31.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,5.3 %,18.40 %,99.90 %,1170 MHz,0.00 GB/s,100.00 %,152.94 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,90.42 %,312.30 W
2025-05-07 15:47:44.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.35 W,70.00 %,24.00 %,0.05 GB/s,63.00 °C,16,1065 MHz,5.6 %,15.90 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,155.93 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,92.49 %,287.50 W
2025-05-07 15:47:44.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.32 W,69.90 %,24.00 %,0.04 GB/s,63.00 °C,16,1095 MHz,7.1 %,15.00 %,100.00 %,1095 MHz,0.00 GB/s,100.00 %,152.39 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,92.49 %,279.67 W
2025-05-07 15:47:44.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.03 W,90.50 %,33.00 %,0.05 GB/s,63.00 °C,16,1170 MHz,4.3 %,20.30 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,151.26 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.06 GB/s,1512 MHz,92.49 %,290.31 W
2025-05-07 15:47:45.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.24 W,4.20 %,33.00 %,0.05 GB/s,63.00 °C,16,1095 MHz,3.4 %,37.50 %,100.00 %,1095 MHz,0.00 GB/s,100.00 %,149.49 W,64.00 °C,0.00 GB/s,5.7 %,92.30 %,4,0.08 GB/s,1512 MHz,92.49 %,309.18 W
2025-05-07 15:47:45.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.23 W,70.10 %,24.00 %,0.04 GB/s,65.00 °C,16,1125 MHz,6.5 %,12.60 %,100.00 %,1125 MHz,0.00 GB/s,100.00 %,151.10 W,62.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,304.50 W
2025-05-07 15:47:45.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.16 W,90.60 %,24.00 %,0.04 GB/s,65.00 °C,16,1170 MHz,5.2 %,21.50 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,148.84 W,62.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,307.34 W
2025-05-07 15:47:45.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.21 W,90.70 %,29.00 %,0.04 GB/s,65.00 °C,16,1140 MHz,4.3 %,22.50 %,100.00 %,1140 MHz,0.00 GB/s,100.00 %,146.90 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,303.14 W
2025-05-07 15:47:45.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.10 W,70.10 %,29.00 %,0.05 GB/s,63.00 °C,16,1080 MHz,3.1 %,13.60 %,100.00 %,1080 MHz,0.00 GB/s,100.00 %,146.42 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,276.65 W
2025-05-07 15:47:45.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.28 W,70.10 %,29.00 %,0.05 GB/s,63.00 °C,16,1155 MHz,3.1 %,12.40 %,100.00 %,1155 MHz,0.00 GB/s,100.00 %,136.91 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,94.56 %,286.39 W
2025-05-07 15:47:45.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.38 W,94.00 %,27.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,2.8 %,16.40 %,99.90 %,1170 MHz,0.00 GB/s,100.00 %,117.36 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,312.30 W
2025-05-07 15:47:45.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.22 W,69.80 %,26.00 %,0.04 GB/s,63.00 °C,16,1050 MHz,2.5 %,14.70 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,103.83 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,94.56 %,308.79 W
2025-05-07 15:47:45.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.32 W,69.90 %,26.00 %,0.05 GB/s,63.00 °C,16,1125 MHz,3.7 %,13.30 %,100.00 %,1125 MHz,0.00 GB/s,100.00 %,104.26 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,263.84 W
2025-05-07 15:47:45.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.12 W,90.80 %,32.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,2.8 %,18.90 %,99.90 %,1170 MHz,0.00 GB/s,100.00 %,102.55 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,94.56 %,310.25 W
2025-05-07 15:47:46.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.35 W,70.00 %,32.00 %,0.05 GB/s,63.00 °C,16,1050 MHz,4.4 %,13.00 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,113.51 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,347.96 W
2025-05-07 15:47:46.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.30 W,69.80 %,31.00 %,0.05 GB/s,63.00 °C,16,1110 MHz,4.5 %,13.40 %,100.00 %,1110 MHz,0.00 GB/s,100.00 %,104.94 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,242.65 W
2025-05-07 15:47:46.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.53 W,91.00 %,31.00 %,0.04 GB/s,65.00 °C,16,1170 MHz,8.1 %,14.90 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,130.76 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,307.25 W
2025-05-07 15:47:46.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.02 W,91.70 %,31.00 %,0.04 GB/s,63.00 °C,16,1050 MHz,3.4 %,16.50 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,154.70 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,307.91 W
2025-05-07 15:47:46.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.26 W,69.90 %,24.00 %,0.05 GB/s,65.00 °C,16,1080 MHz,3.1 %,15.70 %,100.00 %,1080 MHz,0.00 GB/s,100.00 %,132.44 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,307.91 W
2025-05-07 15:47:46.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.15 W,91.40 %,29.00 %,0.04 GB/s,65.00 °C,16,1170 MHz,1.9 %,15.30 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,115.18 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,308.31 W
2025-05-07 15:47:46.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,91.50 %,29.00 %,0.04 GB/s,63.00 °C,16,1140 MHz,3.7 %,16.80 %,100.00 %,1140 MHz,0.00 GB/s,100.00 %,104.20 W,65.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,330.75 W
2025-05-07 15:47:46.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.36 W,70.00 %,29.00 %,0.05 GB/s,65.00 °C,16,1065 MHz,3.7 %,11.70 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,107.74 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,330.75 W
2025-05-07 15:47:46.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.37 W,59.00 %,30.00 %,0.04 GB/s,65.00 °C,16,1065 MHz,6.7 %,2.00 %,90.70 %,1065 MHz,0.00 GB/s,100.00 %,111.08 W,64.00 °C,0.00 GB/s,5.7 %,8.70 %,4,0.09 GB/s,1512 MHz,94.56 %,275.55 W
2025-05-07 15:47:47.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.36 W,91.30 %,30.00 %,0.04 GB/s,63.00 °C,16,1170 MHz,5.3 %,18.70 %,99.90 %,1170 MHz,0.00 GB/s,100.00 %,116.64 W,65.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,94.56 %,310.16 W
2025-05-07 15:47:47.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.41 W,70.00 %,23.00 %,0.04 GB/s,65.00 °C,16,1065 MHz,5.0 %,12.50 %,100.00 %,1065 MHz,0.00 GB/s,100.00 %,109.73 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,94.56 %,296.15 W
2025-05-07 15:47:47.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.34 W,70.00 %,23.00 %,0.05 GB/s,65.00 °C,16,1095 MHz,4.0 %,16.20 %,100.00 %,1095 MHz,0.00 GB/s,100.00 %,112.98 W,63.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,276.15 W
2025-05-07 15:47:47.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.16 W,90.40 %,34.00 %,0.03 GB/s,65.00 °C,16,1170 MHz,3.1 %,20.00 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,102.47 W,65.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.07 GB/s,1512 MHz,94.56 %,229.23 W
2025-05-07 15:47:47.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.07 W,4.60 %,34.00 %,0.04 GB/s,63.00 °C,16,1155 MHz,3.7 %,36.00 %,100.00 %,1155 MHz,0.00 GB/s,100.00 %,108.92 W,64.00 °C,0.00 GB/s,5.7 %,93.00 %,4,0.08 GB/s,1512 MHz,94.56 %,323.48 W
2025-05-07 15:47:47.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.22 W,69.80 %,23.00 %,0.04 GB/s,65.00 °C,16,1140 MHz,3.7 %,15.80 %,100.00 %,1140 MHz,0.00 GB/s,100.00 %,103.21 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,315.51 W
2025-05-07 15:47:47.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.41 W,90.50 %,23.00 %,0.04 GB/s,65.00 °C,16,1170 MHz,3.4 %,23.30 %,100.00 %,1170 MHz,0.00 GB/s,100.00 %,105.24 W,64.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,94.56 %,312.88 W
2025-05-07 15:47:47.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.12 W,91.10 %,30.00 %,0.04 GB/s,65.00 °C,16,1170 MHz,3.7 %,18.60 %,99.90 %,1170 MHz,0.00 GB/s,100.00 %,108.63 W,65.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.08 GB/s,1512 MHz,94.56 %,303.82 W
2025-05-07 15:47:47.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.42 W,69.90 %,30.00 %,0.05 GB/s,65.00 °C,16,1050 MHz,4.3 %,12.80 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,107.62 W,64.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,94.56 %,280.84 W
