timestamp,task_name,name,index,nvlink_tx_bytes,power.draw [W],usage.memory [%],tensor_active,temperature.memory,clocks.current.sm [MHz],cpu_usage,utilization.gpu [%],clocks.current.graphics [MHz],pcie.link.width.current,dram_active,sm_active,utilization.memory [%],pcie.link.gen.current,cpu_power,temperature.gpu,dram_usage,dram_power,sm_occupancy,clocks.current.memory [MHz],nvlink_rx_bytes,pcie_tx_bytes,pcie_rx_bytes
2025-05-07 14:37:22.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,280.16 W,78.00 %,70.00 %,63.00 °C,1125 MHz,5.2 %,100.00 %,1125 MHz,16,15.80 %,100.00 %,31.00 %,4,151.75 W,62.00 °C,5.6 %,9.13 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.05 GB/s
2025-05-07 14:37:22.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,307.14 W,78.00 %,70.00 %,63.00 °C,1125 MHz,3.4 %,100.00 %,1125 MHz,16,14.90 %,100.00 %,23.00 %,4,150.23 W,61.00 °C,5.6 %,9.10 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:22.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,310.25 W,78.00 %,90.60 %,63.00 °C,1170 MHz,4.0 %,100.00 %,1170 MHz,16,20.60 %,100.00 %,23.00 %,4,151.00 W,63.00 °C,5.6 %,9.18 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:22.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,269.42 W,80.07 %,70.10 %,61.00 °C,1065 MHz,2.2 %,100.00 %,1065 MHz,16,12.80 %,100.00 %,34.00 %,4,152.98 W,63.00 °C,5.6 %,8.97 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:22.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,269.42 W,80.07 %,70.00 %,63.00 °C,1170 MHz,3.7 %,100.00 %,1170 MHz,16,15.40 %,100.00 %,34.00 %,4,151.75 W,62.00 °C,5.6 %,9.08 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:22.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,300.92 W,80.07 %,23.40 %,63.00 °C,1170 MHz,5.3 %,100.00 %,1170 MHz,16,55.70 %,91.60 %,29.00 %,4,151.40 W,63.00 °C,5.6 %,9.31 W,53.50 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.05 GB/s
2025-05-07 14:37:22.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.18 W,80.07 %,91.00 %,63.00 °C,1170 MHz,5.3 %,100.00 %,1170 MHz,16,16.80 %,100.00 %,29.00 %,4,148.75 W,64.00 °C,5.6 %,9.11 W,12.30 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:23.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,289.72 W,82.14 %,69.80 %,63.00 °C,1050 MHz,4.9 %,100.00 %,1050 MHz,16,16.40 %,100.00 %,27.00 %,4,153.03 W,62.00 °C,5.6 %,9.28 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:23.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,226.71 W,82.14 %,91.00 %,63.00 °C,1110 MHz,4.0 %,100.00 %,1110 MHz,16,17.10 %,100.00 %,27.00 %,4,151.84 W,63.00 °C,5.6 %,9.08 W,12.40 %,1512 MHz,0.00 GB/s,0.03 GB/s,0.02 GB/s
2025-05-07 14:37:23.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,310.44 W,82.14 %,91.80 %,63.00 °C,1050 MHz,3.7 %,100.00 %,1050 MHz,16,16.10 %,100.00 %,26.00 %,4,154.09 W,63.00 °C,5.6 %,9.02 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:23.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,360.29 W,84.21 %,70.10 %,63.00 °C,1050 MHz,4.4 %,100.00 %,1050 MHz,16,14.70 %,100.00 %,26.00 %,4,151.04 W,63.00 °C,5.6 %,9.16 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:23.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,303.83 W,84.21 %,69.90 %,63.00 °C,1080 MHz,3.1 %,100.00 %,1080 MHz,16,14.80 %,100.00 %,32.00 %,4,154.17 W,63.00 °C,5.6 %,8.98 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.05 GB/s
2025-05-07 14:37:23.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,311.33 W,84.21 %,93.00 %,63.00 °C,1170 MHz,3.4 %,100.00 %,1170 MHz,16,16.00 %,99.90 %,32.00 %,4,152.48 W,64.00 °C,5.6 %,9.08 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:23.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,312.57 W,84.21 %,0.00 %,63.00 °C,1050 MHz,3.4 %,100.00 %,1050 MHz,16,11.60 %,99.20 %,25.00 %,4,151.57 W,63.00 °C,5.6 %,8.95 W,22.30 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:23.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,277.33 W,86.28 %,70.20 %,63.00 °C,1095 MHz,3.4 %,100.00 %,1095 MHz,16,11.90 %,100.00 %,25.00 %,4,151.34 W,63.00 °C,5.6 %,8.96 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:23.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,253.86 W,86.28 %,90.50 %,63.00 °C,1170 MHz,3.1 %,100.00 %,1170 MHz,16,22.90 %,100.00 %,31.00 %,4,150.07 W,63.00 °C,5.6 %,9.12 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.05 GB/s
2025-05-07 14:37:23.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,313.85 W,86.28 %,90.50 %,63.00 °C,1170 MHz,3.7 %,100.00 %,1170 MHz,16,21.10 %,100.00 %,31.00 %,4,151.18 W,64.00 °C,5.6 %,8.94 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:24.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,295.56 W,88.35 %,69.90 %,63.00 °C,1050 MHz,4.6 %,100.00 %,1050 MHz,16,15.70 %,100.00 %,31.00 %,4,149.35 W,63.00 °C,5.6 %,9.12 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:24.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,295.56 W,88.35 %,69.90 %,63.00 °C,1170 MHz,5.3 %,100.00 %,1170 MHz,16,13.50 %,100.00 %,25.00 %,4,153.71 W,62.00 °C,5.6 %,9.35 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:24.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,310.94 W,88.35 %,93.90 %,63.00 °C,1170 MHz,5.5 %,100.00 %,1170 MHz,16,16.70 %,99.90 %,25.00 %,4,152.58 W,64.00 °C,5.6 %,9.34 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:24.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,280.85 W,90.42 %,70.00 %,63.00 °C,1080 MHz,5.9 %,100.00 %,1080 MHz,16,14.30 %,100.00 %,28.00 %,4,154.10 W,64.00 °C,5.6 %,9.41 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:24.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,280.85 W,90.42 %,70.00 %,63.00 °C,1170 MHz,5.0 %,100.00 %,1170 MHz,16,13.90 %,100.00 %,28.00 %,4,154.04 W,62.00 °C,5.6 %,9.35 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:24.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,272.15 W,90.42 %,90.60 %,63.00 °C,1170 MHz,3.7 %,100.00 %,1170 MHz,16,20.60 %,100.00 %,30.00 %,4,156.74 W,64.00 °C,5.6 %,9.13 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:24.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,308.80 W,90.42 %,4.20 %,63.00 °C,1170 MHz,4.9 %,100.00 %,1170 MHz,16,36.20 %,100.00 %,30.00 %,4,155.90 W,64.00 °C,5.6 %,9.11 W,92.30 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.05 GB/s
2025-05-07 14:37:24.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.37 W,92.49 %,70.00 %,63.00 °C,1080 MHz,4.6 %,100.00 %,1080 MHz,16,13.50 %,100.00 %,23.00 %,4,151.44 W,63.00 °C,5.6 %,9.16 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:24.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,328.13 W,92.49 %,90.40 %,63.00 °C,1170 MHz,2.2 %,100.00 %,1170 MHz,16,20.30 %,100.00 %,23.00 %,4,149.46 W,64.00 °C,5.6 %,9.09 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:25.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,307.05 W,92.49 %,90.50 %,63.00 °C,1035 MHz,3.7 %,100.00 %,1035 MHz,16,21.90 %,100.00 %,34.00 %,4,151.20 W,64.00 °C,5.6 %,9.21 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:25.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,294.80 W,94.56 %,70.00 %,63.00 °C,1035 MHz,4.0 %,100.00 %,1035 MHz,16,15.00 %,100.00 %,34.00 %,4,151.17 W,64.00 °C,5.6 %,9.05 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:25.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,278.03 W,94.56 %,0.20 %,63.00 °C,1170 MHz,3.7 %,100.00 %,1170 MHz,16,91.50 %,100.00 %,30.00 %,4,134.31 W,64.00 °C,5.6 %,9.11 W,99.60 %,1512 MHz,0.00 GB/s,0.07 GB/s,0.05 GB/s
2025-05-07 14:37:25.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,311.62 W,94.56 %,90.80 %,63.00 °C,1170 MHz,3.4 %,100.00 %,1170 MHz,16,18.40 %,99.90 %,30.00 %,4,121.26 W,64.00 °C,5.6 %,9.15 W,12.50 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:25.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,299.26 W,94.56 %,70.10 %,63.00 °C,1050 MHz,5.1 %,100.00 %,1050 MHz,16,13.40 %,100.00 %,26.00 %,4,131.81 W,64.00 °C,5.6 %,9.31 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.05 GB/s
2025-05-07 14:37:25.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,332.39 W,94.56 %,69.90 %,63.00 °C,1095 MHz,4.0 %,100.00 %,1095 MHz,16,16.80 %,100.00 %,26.00 %,4,140.37 W,64.00 °C,5.6 %,9.24 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.05 GB/s
2025-05-07 14:37:25.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,312.68 W,94.56 %,91.30 %,65.00 °C,1170 MHz,3.4 %,100.00 %,1170 MHz,16,15.20 %,100.00 %,27.00 %,4,147.12 W,64.00 °C,5.6 %,9.18 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:25.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,290.20 W,94.56 %,92.00 %,63.00 °C,1050 MHz,3.7 %,100.00 %,1050 MHz,16,17.40 %,100.00 %,27.00 %,4,134.46 W,64.00 °C,5.6 %,9.17 W,12.40 %,1512 MHz,0.00 GB/s,0.07 GB/s,0.04 GB/s
2025-05-07 14:37:25.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,290.20 W,94.56 %,70.00 %,63.00 °C,1050 MHz,3.4 %,100.00 %,1050 MHz,16,13.40 %,100.00 %,27.00 %,4,134.58 W,64.00 °C,5.6 %,9.14 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.05 GB/s
2025-05-07 14:37:25.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,283.38 W,94.56 %,0.00 %,65.00 °C,1170 MHz,3.4 %,100.00 %,1170 MHz,16,56.20 %,100.00 %,31.00 %,4,136.40 W,64.00 °C,5.6 %,9.19 W,92.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.05 GB/s
2025-05-07 14:37:26.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,288.83 W,94.56 %,91.80 %,63.00 °C,1185 MHz,4.0 %,100.00 %,1185 MHz,16,16.80 %,100.00 %,31.00 %,4,136.05 W,64.00 °C,5.6 %,9.31 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:26.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,262.65 W,94.56 %,70.20 %,65.00 °C,1050 MHz,2.5 %,100.00 %,1050 MHz,16,14.50 %,100.00 %,22.00 %,4,131.74 W,63.00 °C,5.6 %,9.20 W,12.50 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:26.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.27 W,94.56 %,90.40 %,65.00 °C,1170 MHz,3.1 %,100.00 %,1170 MHz,16,21.70 %,100.00 %,35.00 %,4,108.83 W,64.00 °C,5.6 %,9.13 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:26.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,347.50 W,94.56 %,91.60 %,63.00 °C,1200 MHz,3.1 %,100.00 %,1200 MHz,16,17.70 %,100.00 %,35.00 %,4,103.66 W,65.00 °C,5.6 %,9.15 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:26.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,237.75 W,94.56 %,69.90 %,63.00 °C,1095 MHz,3.1 %,100.00 %,1095 MHz,16,14.30 %,100.00 %,35.00 %,4,105.32 W,64.00 °C,5.6 %,9.21 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:26.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,237.75 W,94.56 %,47.00 %,65.00 °C,1170 MHz,3.4 %,100.00 %,1170 MHz,16,0.00 %,76.40 %,24.00 %,4,104.33 W,63.00 °C,5.6 %,9.22 W,5.90 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:26.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.47 W,94.56 %,91.10 %,65.00 °C,1170 MHz,4.4 %,100.00 %,1170 MHz,16,18.10 %,99.90 %,24.00 %,4,104.34 W,65.00 °C,5.6 %,9.30 W,12.50 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:26.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,309.39 W,94.56 %,69.80 %,65.00 °C,1065 MHz,4.0 %,100.00 %,1065 MHz,16,12.20 %,100.00 %,29.00 %,4,108.24 W,64.00 °C,5.6 %,9.43 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:26.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,299.74 W,94.56 %,70.00 %,65.00 °C,1065 MHz,2.8 %,100.00 %,1065 MHz,16,13.70 %,100.00 %,29.00 %,4,110.68 W,63.00 °C,5.6 %,9.14 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:27.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,236.19 W,94.56 %,90.50 %,65.00 °C,1170 MHz,3.1 %,100.00 %,1170 MHz,16,15.60 %,100.00 %,27.00 %,4,106.13 W,65.00 °C,5.6 %,9.18 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:27.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.96 W,94.56 %,90.70 %,65.00 °C,1170 MHz,3.1 %,100.00 %,1170 MHz,16,22.10 %,100.00 %,27.00 %,4,108.58 W,64.00 °C,5.6 %,9.28 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:27.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,281.82 W,94.56 %,69.90 %,65.00 °C,1080 MHz,4.4 %,100.00 %,1080 MHz,16,17.50 %,100.00 %,31.00 %,4,113.61 W,64.00 °C,5.6 %,9.34 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:27.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,305.00 W,94.56 %,11.20 %,65.00 °C,1170 MHz,3.1 %,100.00 %,1170 MHz,16,0.00 %,18.70 %,31.00 %,4,117.08 W,64.00 °C,5.6 %,9.20 W,1.30 %,1512 MHz,0.00 GB/s,0.10 GB/s,0.04 GB/s
2025-05-07 14:37:27.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,304.82 W,94.56 %,93.50 %,65.00 °C,1155 MHz,3.1 %,100.00 %,1155 MHz,16,16.50 %,99.90 %,31.00 %,4,112.15 W,65.00 °C,5.6 %,9.23 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:27.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,281.62 W,94.56 %,69.90 %,65.00 °C,1050 MHz,3.4 %,100.00 %,1050 MHz,16,15.00 %,100.00 %,25.00 %,4,109.38 W,65.00 °C,5.6 %,9.36 W,12.50 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:27.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,232.86 W,94.56 %,69.80 %,65.00 °C,1110 MHz,3.4 %,100.00 %,1110 MHz,16,16.30 %,100.00 %,25.00 %,4,107.18 W,64.00 °C,5.6 %,9.39 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:27.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,309.29 W,94.56 %,90.60 %,65.00 °C,1155 MHz,3.1 %,100.00 %,1155 MHz,16,21.50 %,100.00 %,32.00 %,4,104.34 W,65.00 °C,5.6 %,9.34 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:27.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,309.29 W,94.56 %,91.50 %,65.00 °C,1065 MHz,6.7 %,100.00 %,1065 MHz,16,19.00 %,100.00 %,32.00 %,4,128.32 W,65.00 °C,5.6 %,9.30 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:27.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,331.90 W,94.56 %,69.90 %,65.00 °C,1080 MHz,5.6 %,100.00 %,1080 MHz,16,13.00 %,100.00 %,24.00 %,4,145.96 W,64.00 °C,5.6 %,9.06 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
