timestamp,task_name,name,index,temperature.gpu,power.draw [W],pcie_tx_bytes,tensor_active,nvlink_rx_bytes,utilization.memory [%],usage.memory [%],clocks.current.memory [MHz],sm_active,pcie.link.gen.current,sm_occupancy,clocks.current.graphics [MHz],cpu_usage,dram_active,cpu_power,nvlink_tx_bytes,pcie_rx_bytes,clocks.current.sm [MHz],dram_usage,dram_power,utilization.gpu [%],pcie.link.width.current,temperature.memory
2025-05-07 15:48:35.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,237.89 W,0.03 GB/s,24.70 %,0.00 GB/s,34.00 %,78.00 %,1512 MHz,40.20 %,4,3.10 %,1050 MHz,5.2 %,0.00 %,109.72 W,0.00 GB/s,0.02 GB/s,1050 MHz,5.7 %,9.30 W,100.00 %,16,63.00 °C
2025-05-07 15:48:35.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,295.47 W,0.08 GB/s,90.80 %,0.00 GB/s,34.00 %,78.00 %,1512 MHz,99.90 %,4,12.50 %,1170 MHz,4.0 %,19.00 %,118.97 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.20 W,100.00 %,16,63.00 °C
2025-05-07 15:48:35.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,311.90 W,0.08 GB/s,69.90 %,0.00 GB/s,24.00 %,80.07 %,1512 MHz,100.00 %,4,12.50 %,1200 MHz,3.1 %,12.90 %,107.57 W,0.00 GB/s,0.04 GB/s,1200 MHz,5.7 %,9.34 W,100.00 %,16,63.00 °C
2025-05-07 15:48:35.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,235.41 W,0.05 GB/s,0.00 %,0.00 GB/s,29.00 %,80.07 %,1512 MHz,100.00 %,4,91.70 %,1170 MHz,3.1 %,90.20 %,108.60 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.26 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,310.54 W,0.08 GB/s,93.40 %,0.00 GB/s,29.00 %,80.07 %,1512 MHz,99.90 %,4,12.40 %,1200 MHz,5.8 %,19.00 %,109.91 W,0.00 GB/s,0.04 GB/s,1200 MHz,5.7 %,9.36 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,310.54 W,0.09 GB/s,69.80 %,0.00 GB/s,29.00 %,82.14 %,1512 MHz,100.00 %,4,12.50 %,1035 MHz,3.7 %,16.80 %,118.36 W,0.00 GB/s,0.05 GB/s,1035 MHz,5.7 %,9.16 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,247.09 W,0.09 GB/s,70.10 %,0.00 GB/s,28.00 %,82.14 %,1512 MHz,100.00 %,4,12.50 %,1170 MHz,4.0 %,13.10 %,123.67 W,0.00 GB/s,0.05 GB/s,1170 MHz,5.7 %,9.12 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,308.61 W,0.08 GB/s,93.30 %,0.00 GB/s,25.00 %,82.14 %,1512 MHz,99.90 %,4,12.40 %,1170 MHz,2.5 %,16.30 %,122.69 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.12 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,284.93 W,0.09 GB/s,70.00 %,0.00 GB/s,25.00 %,84.21 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,3.7 %,14.70 %,115.21 W,0.00 GB/s,0.04 GB/s,1050 MHz,5.7 %,9.25 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,284.93 W,0.09 GB/s,70.00 %,0.00 GB/s,25.00 %,84.21 %,1512 MHz,100.00 %,4,12.50 %,1185 MHz,6.1 %,15.20 %,114.81 W,0.00 GB/s,0.05 GB/s,1185 MHz,5.7 %,9.27 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,229.14 W,0.08 GB/s,90.50 %,0.00 GB/s,33.00 %,84.21 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,3.1 %,21.70 %,130.17 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.11 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,308.61 W,0.08 GB/s,91.10 %,0.00 GB/s,33.00 %,84.21 %,1512 MHz,100.00 %,4,12.30 %,1050 MHz,4.3 %,16.60 %,129.56 W,0.00 GB/s,0.04 GB/s,1050 MHz,5.7 %,9.27 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,329.88 W,0.09 GB/s,69.80 %,0.00 GB/s,24.00 %,86.28 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,4.0 %,16.30 %,124.73 W,0.00 GB/s,0.05 GB/s,1050 MHz,5.7 %,9.16 W,100.00 %,16,63.00 °C
2025-05-07 15:48:36.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,298.58 W,0.08 GB/s,90.60 %,0.00 GB/s,24.00 %,86.28 %,1512 MHz,100.00 %,4,12.30 %,1140 MHz,4.0 %,17.60 %,119.27 W,0.00 GB/s,0.04 GB/s,1140 MHz,5.7 %,9.39 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,309.10 W,0.08 GB/s,90.40 %,0.00 GB/s,31.00 %,86.28 %,1512 MHz,99.90 %,4,12.50 %,1170 MHz,3.1 %,20.80 %,114.42 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.21 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,296.90 W,0.09 GB/s,70.10 %,0.00 GB/s,31.00 %,88.35 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,3.7 %,13.80 %,105.75 W,0.00 GB/s,0.05 GB/s,1050 MHz,5.7 %,9.22 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,276.93 W,0.09 GB/s,69.80 %,0.00 GB/s,26.00 %,88.35 %,1512 MHz,100.00 %,4,12.50 %,1065 MHz,3.1 %,13.60 %,108.93 W,0.00 GB/s,0.04 GB/s,1065 MHz,5.7 %,9.36 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,307.25 W,0.07 GB/s,90.50 %,0.00 GB/s,26.00 %,88.35 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,2.5 %,20.90 %,103.07 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.45 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,335.23 W,0.08 GB/s,4.60 %,0.00 GB/s,27.00 %,88.35 %,1512 MHz,100.00 %,4,93.00 %,1095 MHz,3.1 %,35.40 %,102.11 W,0.00 GB/s,0.04 GB/s,1095 MHz,5.7 %,9.35 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,316.68 W,0.09 GB/s,70.20 %,0.00 GB/s,27.00 %,90.42 %,1512 MHz,100.00 %,4,12.50 %,1110 MHz,3.1 %,12.70 %,103.90 W,0.00 GB/s,0.04 GB/s,1110 MHz,5.7 %,9.37 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,305.20 W,0.08 GB/s,90.50 %,0.00 GB/s,31.00 %,90.42 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,3.1 %,21.50 %,105.35 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.40 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,326.73 W,0.08 GB/s,90.80 %,0.00 GB/s,31.00 %,90.42 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,2.8 %,22.60 %,103.53 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.22 W,100.00 %,16,63.00 °C
2025-05-07 15:48:37.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,280.04 W,0.09 GB/s,70.10 %,0.00 GB/s,22.00 %,92.49 %,1512 MHz,100.00 %,4,12.50 %,1125 MHz,2.5 %,12.60 %,124.04 W,0.00 GB/s,0.05 GB/s,1125 MHz,5.7 %,9.13 W,100.00 %,16,65.00 °C
2025-05-07 15:48:38.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,261.67 W,0.05 GB/s,0.00 %,0.00 GB/s,22.00 %,92.49 %,1512 MHz,100.00 %,4,92.50 %,1170 MHz,5.8 %,56.30 %,110.10 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.45 W,100.00 %,16,65.00 °C
2025-05-07 15:48:38.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,306.47 W,0.08 GB/s,90.90 %,0.00 GB/s,35.00 %,92.49 %,1512 MHz,99.90 %,4,12.50 %,1170 MHz,4.3 %,19.00 %,143.19 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.16 W,100.00 %,16,63.00 °C
2025-05-07 15:48:38.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,325.01 W,0.09 GB/s,69.90 %,0.00 GB/s,35.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,4.3 %,14.30 %,140.47 W,0.00 GB/s,0.05 GB/s,1050 MHz,5.7 %,9.06 W,100.00 %,16,63.00 °C
2025-05-07 15:48:38.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,325.01 W,0.09 GB/s,70.10 %,0.00 GB/s,35.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1170 MHz,3.4 %,11.70 %,140.47 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.05 W,100.00 %,16,65.00 °C
2025-05-07 15:48:38.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,311.62 W,0.08 GB/s,91.30 %,0.00 GB/s,29.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,4.0 %,15.40 %,147.81 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.04 W,100.00 %,16,63.00 °C
2025-05-07 15:48:38.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,305.50 W,0.08 GB/s,2.60 %,0.00 GB/s,29.00 %,94.56 %,1512 MHz,100.00 %,4,93.30 %,1035 MHz,3.3 %,51.70 %,147.08 W,0.00 GB/s,0.05 GB/s,1035 MHz,5.7 %,9.01 W,100.00 %,16,63.00 °C
2025-05-07 15:48:38.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,291.48 W,0.09 GB/s,69.80 %,0.00 GB/s,27.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1110 MHz,4.3 %,12.60 %,136.63 W,0.00 GB/s,0.05 GB/s,1110 MHz,5.7 %,9.17 W,100.00 %,16,65.00 °C
2025-05-07 15:48:38.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,277.81 W,0.08 GB/s,91.30 %,0.00 GB/s,27.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,3.1 %,16.80 %,127.57 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.09 W,100.00 %,16,65.00 °C
2025-05-07 15:48:38.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,308.60 W,0.08 GB/s,90.80 %,0.00 GB/s,27.00 %,94.56 %,1512 MHz,99.90 %,4,12.50 %,1170 MHz,6.2 %,18.50 %,133.13 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.23 W,100.00 %,16,65.00 °C
2025-05-07 15:48:38.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,297.51 W,0.09 GB/s,70.00 %,0.00 GB/s,27.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,3.1 %,13.70 %,145.35 W,0.00 GB/s,0.05 GB/s,1050 MHz,5.7 %,9.16 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,304.35 W,0.09 GB/s,70.00 %,0.00 GB/s,31.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1080 MHz,4.3 %,14.50 %,140.69 W,0.00 GB/s,0.04 GB/s,1080 MHz,5.7 %,9.33 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,311.81 W,0.08 GB/s,90.50 %,0.00 GB/s,31.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,5.2 %,20.30 %,148.16 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.32 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,308.87 W,0.08 GB/s,4.40 %,0.00 GB/s,25.00 %,94.56 %,1512 MHz,100.00 %,4,93.30 %,1050 MHz,4.6 %,48.10 %,146.09 W,0.00 GB/s,0.04 GB/s,1050 MHz,5.7 %,9.11 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,256.30 W,0.09 GB/s,70.10 %,0.00 GB/s,25.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1095 MHz,5.6 %,15.10 %,146.02 W,0.00 GB/s,0.05 GB/s,1095 MHz,5.7 %,9.32 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,294.39 W,0.08 GB/s,91.10 %,0.00 GB/s,32.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,4.0 %,17.00 %,140.32 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.11 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,308.50 W,0.08 GB/s,89.90 %,0.00 GB/s,32.00 %,94.56 %,1512 MHz,100.00 %,4,12.30 %,1170 MHz,3.7 %,16.50 %,132.91 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.18 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,309.08 W,0.09 GB/s,70.00 %,0.00 GB/s,24.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1080 MHz,2.8 %,12.50 %,127.62 W,0.00 GB/s,0.04 GB/s,1080 MHz,5.7 %,9.02 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,254.93 W,0.08 GB/s,92.00 %,0.00 GB/s,24.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,3.4 %,19.20 %,105.23 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.49 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,312.59 W,0.08 GB/s,90.90 %,0.00 GB/s,29.00 %,94.56 %,1512 MHz,99.90 %,4,12.50 %,1170 MHz,3.1 %,18.90 %,105.84 W,0.00 GB/s,0.05 GB/s,1170 MHz,5.7 %,9.21 W,100.00 %,16,65.00 °C
2025-05-07 15:48:39.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,352.23 W,0.09 GB/s,69.90 %,0.00 GB/s,29.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,2.5 %,13.90 %,105.33 W,0.00 GB/s,0.05 GB/s,1050 MHz,5.7 %,9.12 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,304.43 W,0.08 GB/s,91.30 %,0.00 GB/s,27.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,2.2 %,16.40 %,110.59 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.14 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,306.56 W,0.06 GB/s,0.10 %,0.00 GB/s,27.00 %,94.56 %,1512 MHz,98.90 %,4,94.40 %,1170 MHz,3.4 %,88.90 %,109.73 W,0.00 GB/s,0.05 GB/s,1170 MHz,5.7 %,9.18 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,292.53 W,0.05 GB/s,70.00 %,0.00 GB/s,26.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1065 MHz,3.4 %,15.40 %,107.19 W,0.00 GB/s,0.03 GB/s,1065 MHz,5.7 %,9.13 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,238.43 W,0.08 GB/s,70.00 %,0.00 GB/s,26.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1155 MHz,3.4 %,12.60 %,104.62 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.46 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,309.58 W,0.08 GB/s,90.50 %,0.00 GB/s,32.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,5.9 %,20.50 %,103.73 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.34 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,337.33 W,0.08 GB/s,0.00 %,0.00 GB/s,32.00 %,94.56 %,1512 MHz,100.00 %,4,100.00 %,1050 MHz,5.9 %,27.60 %,109.17 W,0.00 GB/s,0.04 GB/s,1050 MHz,5.7 %,9.40 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,287.86 W,0.09 GB/s,70.10 %,0.00 GB/s,32.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1125 MHz,4.0 %,11.80 %,103.52 W,0.00 GB/s,0.04 GB/s,1125 MHz,5.7 %,9.45 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,310.74 W,0.08 GB/s,91.30 %,0.00 GB/s,31.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1170 MHz,3.4 %,15.40 %,104.07 W,0.00 GB/s,0.04 GB/s,1170 MHz,5.7 %,9.35 W,100.00 %,16,65.00 °C
2025-05-07 15:48:40.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,265.69 W,0.08 GB/s,91.00 %,0.00 GB/s,31.00 %,94.56 %,1512 MHz,100.00 %,4,12.30 %,1080 MHz,3.4 %,16.90 %,103.54 W,0.00 GB/s,0.04 GB/s,1080 MHz,5.7 %,9.21 W,100.00 %,16,65.00 °C
2025-05-07 15:48:41.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,265.69 W,0.09 GB/s,70.00 %,0.00 GB/s,25.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1065 MHz,6.2 %,15.60 %,110.71 W,0.00 GB/s,0.05 GB/s,1065 MHz,5.7 %,9.48 W,100.00 %,16,65.00 °C
2025-05-07 15:48:41.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,231.31 W,0.08 GB/s,90.50 %,0.00 GB/s,25.00 %,94.56 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,2.8 %,23.30 %,115.99 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.22 W,100.00 %,16,65.00 °C
2025-05-07 15:48:41.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,304.23 W,0.08 GB/s,91.00 %,0.00 GB/s,28.00 %,94.56 %,1512 MHz,99.90 %,4,12.50 %,1125 MHz,3.7 %,18.90 %,113.61 W,0.00 GB/s,0.05 GB/s,1125 MHz,5.7 %,9.29 W,100.00 %,16,65.00 °C
2025-05-07 15:48:41.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,326.95 W,0.09 GB/s,70.00 %,0.00 GB/s,28.00 %,94.56 %,1512 MHz,100.00 %,4,12.50 %,1125 MHz,3.1 %,14.70 %,106.92 W,0.00 GB/s,0.05 GB/s,1125 MHz,5.7 %,9.36 W,100.00 %,16,65.00 °C
