timestamp,task_name,name,index,usage.memory [%],sm_occupancy,utilization.memory [%],power.draw [W],cpu_power,temperature.memory,sm_active,clocks.current.sm [MHz],utilization.gpu [%],cpu_usage,pcie_rx_bytes,nvlink_rx_bytes,clocks.current.memory [MHz],clocks.current.graphics [MHz],dram_usage,pcie.link.gen.current,pcie_tx_bytes,pcie.link.width.current,tensor_active,nvlink_tx_bytes,temperature.gpu,dram_active,dram_power
2025-05-07 14:35:35.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.93 %,12.50 %,30.00 %,326.36 W,150.42 W,61.00 °C,100.00 %,1095 MHz,100.00 %,3.1 %,0.05 GB/s,0.00 GB/s,1512 MHz,1095 MHz,5.5 %,4,0.09 GB/s,16,70.10 %,0.00 GB/s,62.00 °C,14.70 %,9.11 W
2025-05-07 14:35:35.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.93 %,12.40 %,26.00 %,306.96 W,152.15 W,61.00 °C,100.00 %,1170 MHz,100.00 %,1.9 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,90.40 %,0.00 GB/s,62.00 °C,21.70 %,9.08 W
2025-05-07 14:35:35.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.93 %,12.40 %,26.00 %,279.28 W,150.63 W,61.00 °C,100.00 %,1125 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1125 MHz,5.5 %,4,0.08 GB/s,16,91.50 %,0.00 GB/s,63.00 °C,17.20 %,9.18 W
2025-05-07 14:35:35.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.00 %,12.50 %,27.00 %,279.28 W,153.13 W,63.00 °C,100.00 %,1095 MHz,100.00 %,4.3 %,0.05 GB/s,0.00 GB/s,1512 MHz,1095 MHz,5.5 %,4,0.09 GB/s,16,70.10 %,0.00 GB/s,62.00 °C,12.60 %,9.12 W
2025-05-07 14:35:35.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.00 %,12.40 %,31.00 %,277.52 W,148.89 W,63.00 °C,100.00 %,1170 MHz,100.00 %,1.9 %,0.02 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.03 GB/s,16,91.10 %,0.00 GB/s,62.00 °C,19.00 %,9.03 W
2025-05-07 14:35:35.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.00 %,90.50 %,31.00 %,306.08 W,152.03 W,63.00 °C,99.50 %,1170 MHz,100.00 %,4.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.05 GB/s,16,0.00 %,0.00 GB/s,63.00 °C,89.80 %,9.09 W
2025-05-07 14:35:35.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,12.50 %,31.00 %,306.08 W,150.30 W,63.00 °C,100.00 %,1080 MHz,100.00 %,5.8 %,0.04 GB/s,0.00 GB/s,1512 MHz,1080 MHz,5.5 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,63.00 °C,12.30 %,9.17 W
2025-05-07 14:35:35.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,12.50 %,23.00 %,303.83 W,152.51 W,63.00 °C,100.00 %,1170 MHz,100.00 %,5.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.09 GB/s,16,70.00 %,0.00 GB/s,62.00 °C,15.30 %,9.10 W
2025-05-07 14:35:36.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,12.40 %,23.00 %,309.39 W,149.69 W,63.00 °C,100.00 %,1200 MHz,100.00 %,4.3 %,0.04 GB/s,0.00 GB/s,1512 MHz,1200 MHz,5.5 %,4,0.08 GB/s,16,90.50 %,0.00 GB/s,63.00 °C,20.70 %,9.15 W
2025-05-07 14:35:36.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,93.40 %,34.00 %,312.38 W,148.61 W,63.00 °C,100.00 %,1200 MHz,100.00 %,4.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1200 MHz,5.5 %,4,0.08 GB/s,16,4.30 %,0.00 GB/s,63.00 °C,49.20 %,9.05 W
2025-05-07 14:35:36.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,12.50 %,34.00 %,271.09 W,150.18 W,63.00 °C,100.00 %,1065 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,70.10 %,0.00 GB/s,63.00 °C,15.10 %,9.05 W
2025-05-07 14:35:36.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,12.40 %,29.00 %,300.23 W,148.94 W,63.00 °C,100.00 %,1155 MHz,100.00 %,2.2 %,0.04 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.5 %,4,0.08 GB/s,16,91.20 %,0.00 GB/s,63.00 °C,15.40 %,9.18 W
2025-05-07 14:35:36.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,12.40 %,29.00 %,306.86 W,148.75 W,63.00 °C,100.00 %,1050 MHz,100.00 %,4.0 %,0.04 GB/s,0.00 GB/s,1512 MHz,1050 MHz,5.5 %,4,0.08 GB/s,16,91.40 %,0.00 GB/s,63.00 °C,16.60 %,9.22 W
2025-05-07 14:35:36.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,84.21 %,12.50 %,27.00 %,303.64 W,150.65 W,63.00 °C,100.00 %,1050 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1050 MHz,5.5 %,4,0.09 GB/s,16,70.00 %,0.00 GB/s,62.00 °C,12.00 %,9.07 W
2025-05-07 14:35:36.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,84.21 %,12.50 %,27.00 %,271.66 W,150.79 W,63.00 °C,99.90 %,1170 MHz,100.00 %,2.8 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,91.40 %,0.00 GB/s,63.00 °C,17.20 %,9.08 W
2025-05-07 14:35:36.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,12.50 %,26.00 %,362.72 W,151.68 W,63.00 °C,100.00 %,1170 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.09 GB/s,16,69.80 %,0.00 GB/s,63.00 °C,15.00 %,9.09 W
2025-05-07 14:35:36.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,12.50 %,26.00 %,238.97 W,151.94 W,63.00 °C,100.00 %,1080 MHz,100.00 %,2.8 %,0.05 GB/s,0.00 GB/s,1512 MHz,1080 MHz,5.5 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,62.00 °C,15.10 %,9.09 W
2025-05-07 14:35:37.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,12.40 %,32.00 %,299.56 W,152.53 W,63.00 °C,100.00 %,1170 MHz,100.00 %,2.8 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,91.00 %,0.00 GB/s,64.00 °C,15.40 %,9.06 W
2025-05-07 14:35:37.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,12.40 %,32.00 %,305.29 W,151.34 W,63.00 °C,100.00 %,1185 MHz,100.00 %,2.8 %,0.04 GB/s,0.00 GB/s,1512 MHz,1185 MHz,5.5 %,4,0.08 GB/s,16,91.30 %,0.00 GB/s,64.00 °C,16.70 %,8.99 W
2025-05-07 14:35:37.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,12.50 %,25.00 %,295.27 W,148.04 W,63.00 °C,100.00 %,1080 MHz,100.00 %,4.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1080 MHz,5.5 %,4,0.09 GB/s,16,70.00 %,0.00 GB/s,63.00 °C,15.60 %,9.09 W
2025-05-07 14:35:37.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,12.30 %,25.00 %,232.85 W,151.02 W,63.00 °C,100.00 %,1170 MHz,100.00 %,4.0 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.09 GB/s,16,91.30 %,0.00 GB/s,62.00 °C,17.80 %,9.22 W
2025-05-07 14:35:37.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,12.50 %,25.00 %,309.20 W,149.88 W,63.00 °C,99.90 %,1170 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,90.90 %,0.00 GB/s,64.00 °C,18.70 %,9.01 W
2025-05-07 14:35:37.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,12.50 %,31.00 %,349.13 W,151.01 W,63.00 °C,100.00 %,1065 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,64.00 °C,13.10 %,9.12 W
2025-05-07 14:35:37.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,12.50 %,31.00 %,349.13 W,148.60 W,63.00 °C,100.00 %,1185 MHz,100.00 %,4.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1185 MHz,5.5 %,4,0.09 GB/s,16,70.20 %,0.00 GB/s,63.00 °C,14.10 %,9.22 W
2025-05-07 14:35:37.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,12.40 %,25.00 %,276.62 W,150.85 W,63.00 °C,100.00 %,1170 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,91.20 %,0.00 GB/s,64.00 °C,15.30 %,9.16 W
2025-05-07 14:35:37.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,12.40 %,25.00 %,316.37 W,150.72 W,63.00 °C,100.00 %,1050 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1050 MHz,5.5 %,4,0.08 GB/s,16,90.80 %,0.00 GB/s,63.00 °C,21.60 %,9.19 W
2025-05-07 14:35:37.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.49 %,12.50 %,29.00 %,283.00 W,150.86 W,63.00 °C,100.00 %,1050 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1050 MHz,5.5 %,4,0.09 GB/s,16,69.80 %,0.00 GB/s,63.00 °C,16.10 %,9.15 W
2025-05-07 14:35:38.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.49 %,12.40 %,29.00 %,219.35 W,150.75 W,63.00 °C,100.00 %,1140 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1140 MHz,5.5 %,4,0.08 GB/s,16,90.60 %,0.00 GB/s,64.00 °C,23.40 %,9.12 W
2025-05-07 14:35:38.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.49 %,12.40 %,22.00 %,308.89 W,149.88 W,63.00 °C,99.90 %,1155 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.5 %,4,0.08 GB/s,16,90.00 %,0.00 GB/s,64.00 °C,20.10 %,8.94 W
2025-05-07 14:35:38.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,22.00 %,353.72 W,150.72 W,63.00 °C,100.00 %,1065 MHz,100.00 %,3.1 %,0.05 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,70.10 %,0.00 GB/s,63.00 °C,17.10 %,9.03 W
2025-05-07 14:35:38.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,35.00 %,300.42 W,147.55 W,63.00 °C,100.00 %,1065 MHz,100.00 %,4.6 %,0.05 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,63.00 °C,14.40 %,9.23 W
2025-05-07 14:35:38.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,35.00 %,305.97 W,149.90 W,63.00 °C,100.00 %,1170 MHz,100.00 %,5.0 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,90.60 %,0.00 GB/s,63.00 °C,20.70 %,9.24 W
2025-05-07 14:35:38.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,93.30 %,24.00 %,311.48 W,144.54 W,63.00 °C,100.00 %,1095 MHz,100.00 %,4.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1095 MHz,5.5 %,4,0.08 GB/s,16,2.60 %,0.00 GB/s,64.00 °C,52.00 %,9.05 W
2025-05-07 14:35:38.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,24.00 %,283.75 W,130.92 W,63.00 °C,100.00 %,1110 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1110 MHz,5.5 %,4,0.09 GB/s,16,70.10 %,0.00 GB/s,64.00 °C,12.20 %,9.24 W
2025-05-07 14:35:38.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,30.00 %,255.02 W,117.81 W,65.00 °C,100.00 %,1170 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,90.90 %,0.00 GB/s,63.00 °C,16.80 %,9.16 W
2025-05-07 14:35:38.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,90.20 %,30.00 %,311.33 W,121.06 W,65.00 °C,99.10 %,1155 MHz,100.00 %,4.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.5 %,4,0.06 GB/s,16,0.00 %,0.00 GB/s,64.00 °C,79.80 %,9.45 W
2025-05-07 14:35:38.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,30.00 %,319.77 W,114.01 W,63.00 °C,100.00 %,1065 MHz,100.00 %,3.8 %,0.05 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,69.80 %,0.00 GB/s,64.00 °C,16.00 %,9.18 W
2025-05-07 14:35:39.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,26.00 %,319.77 W,109.02 W,63.00 °C,100.00 %,1170 MHz,100.00 %,3.1 %,0.05 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.09 GB/s,16,70.20 %,0.00 GB/s,63.00 °C,11.70 %,9.47 W
2025-05-07 14:35:39.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,26.00 %,312.49 W,107.84 W,65.00 °C,100.00 %,1170 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,90.60 %,0.00 GB/s,64.00 °C,20.30 %,9.40 W
2025-05-07 14:35:39.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,93.30 %,27.00 %,301.40 W,106.30 W,63.00 °C,100.00 %,1170 MHz,100.00 %,3.1 %,0.05 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.07 GB/s,16,2.60 %,0.00 GB/s,64.00 °C,51.10 %,9.44 W
2025-05-07 14:35:39.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,27.00 %,277.23 W,107.79 W,65.00 °C,100.00 %,1065 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,64.00 °C,15.30 %,9.09 W
2025-05-07 14:35:39.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,31.00 %,266.30 W,107.96 W,65.00 °C,100.00 %,1170 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,90.90 %,0.00 GB/s,64.00 °C,17.00 %,9.35 W
2025-05-07 14:35:39.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,31.00 %,311.71 W,105.59 W,63.00 °C,100.00 %,1170 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.07 GB/s,16,90.70 %,0.00 GB/s,64.00 °C,20.90 %,9.15 W
2025-05-07 14:35:39.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,22.00 %,369.51 W,108.09 W,65.00 °C,100.00 %,1035 MHz,100.00 %,5.3 %,0.05 GB/s,0.00 GB/s,1512 MHz,1035 MHz,5.6 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,63.00 °C,14.20 %,9.19 W
2025-05-07 14:35:39.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,89.40 %,22.00 %,293.23 W,110.65 W,63.00 °C,100.00 %,1155 MHz,100.00 %,4.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.6 %,4,0.08 GB/s,16,2.30 %,0.00 GB/s,64.00 °C,75.40 %,9.34 W
2025-05-07 14:35:39.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,35.00 %,305.97 W,111.27 W,63.00 °C,99.90 %,1155 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.6 %,4,0.08 GB/s,16,90.00 %,0.00 GB/s,64.00 °C,19.00 %,9.28 W
2025-05-07 14:35:40.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,35.00 %,288.15 W,106.67 W,65.00 °C,100.00 %,1035 MHz,100.00 %,3.6 %,0.04 GB/s,0.00 GB/s,1512 MHz,1035 MHz,5.6 %,4,0.08 GB/s,16,70.00 %,0.00 GB/s,64.00 °C,13.30 %,9.26 W
2025-05-07 14:35:40.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,24.00 %,281.52 W,107.68 W,65.00 °C,100.00 %,1095 MHz,100.00 %,3.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1095 MHz,5.6 %,4,0.09 GB/s,16,70.00 %,0.00 GB/s,64.00 °C,14.90 %,9.39 W
2025-05-07 14:35:40.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,24.00 %,299.26 W,103.18 W,65.00 °C,100.00 %,1170 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.6 %,4,0.07 GB/s,16,91.40 %,0.00 GB/s,64.00 °C,15.10 %,9.25 W
2025-05-07 14:35:40.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,29.00 %,307.06 W,107.11 W,65.00 °C,100.00 %,1050 MHz,100.00 %,4.0 %,0.04 GB/s,0.00 GB/s,1512 MHz,1050 MHz,5.5 %,4,0.08 GB/s,16,90.60 %,0.00 GB/s,65.00 °C,22.90 %,9.15 W
2025-05-07 14:35:40.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,29.00 %,283.67 W,122.02 W,65.00 °C,100.00 %,1095 MHz,100.00 %,2.2 %,0.04 GB/s,0.00 GB/s,1512 MHz,1095 MHz,5.5 %,4,0.08 GB/s,16,70.10 %,0.00 GB/s,64.00 °C,12.80 %,9.24 W
2025-05-07 14:35:40.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,27.00 %,304.81 W,112.35 W,63.00 °C,99.90 %,1155 MHz,100.00 %,2.5 %,0.04 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.5 %,4,0.08 GB/s,16,94.00 %,0.00 GB/s,65.00 °C,16.60 %,9.24 W
2025-05-07 14:35:40.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,27.00 %,312.39 W,115.71 W,63.00 °C,100.00 %,1095 MHz,100.00 %,5.0 %,0.05 GB/s,0.00 GB/s,1512 MHz,1095 MHz,5.6 %,4,0.09 GB/s,16,70.00 %,0.00 GB/s,64.00 °C,15.90 %,9.30 W
2025-05-07 14:35:40.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,32.00 %,297.81 W,112.68 W,65.00 °C,100.00 %,1170 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.6 %,4,0.09 GB/s,16,69.90 %,0.00 GB/s,63.00 °C,15.40 %,9.36 W
2025-05-07 14:35:40.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,32.00 %,297.81 W,115.82 W,65.00 °C,99.90 %,1185 MHz,100.00 %,5.2 %,0.04 GB/s,0.00 GB/s,1512 MHz,1185 MHz,5.6 %,4,0.08 GB/s,16,93.70 %,0.00 GB/s,65.00 °C,16.60 %,9.34 W
2025-05-07 14:35:41.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,93.30 %,25.00 %,307.05 W,112.34 W,65.00 °C,100.00 %,1065 MHz,100.00 %,3.1 %,0.05 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.6 %,4,0.08 GB/s,16,2.60 %,0.00 GB/s,65.00 °C,52.70 %,9.18 W
2025-05-07 14:35:41.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.50 %,25.00 %,302.86 W,107.18 W,65.00 °C,100.00 %,1065 MHz,100.00 %,3.4 %,0.05 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.6 %,4,0.09 GB/s,16,69.80 %,0.00 GB/s,64.00 °C,14.80 %,9.44 W
2025-05-07 14:35:41.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,31.00 %,235.52 W,105.76 W,65.00 °C,100.00 %,1170 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,91.00 %,0.00 GB/s,65.00 °C,17.00 %,9.22 W
2025-05-07 14:35:41.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,12.40 %,31.00 %,312.97 W,103.07 W,65.00 °C,100.00 %,1155 MHz,100.00 %,3.1 %,0.04 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.6 %,4,0.08 GB/s,16,91.50 %,0.00 GB/s,65.00 °C,16.10 %,9.27 W
