timestamp,task_name,name,index,pcie_rx_bytes,dram_usage,nvlink_rx_bytes,usage.memory [%],clocks.current.sm [MHz],pcie_tx_bytes,tensor_active,sm_occupancy,cpu_power,dram_active,sm_active,power.draw [W],nvlink_tx_bytes,temperature.gpu,utilization.memory [%],clocks.current.memory [MHz],dram_power,cpu_usage,temperature.memory,pcie.link.gen.current,pcie.link.width.current,clocks.current.graphics [MHz],utilization.gpu [%]
2025-05-07 16:32:29.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,75.93 %,1050 MHz,0.09 GB/s,70.10 %,12.50 %,151.02 W,15.50 %,100.00 %,282.59 W,0.00 GB/s,64.00 °C,23.00 %,1512 MHz,9.24 W,3.7 %,63.00 °C,4,16,1050 MHz,100.00 %
2025-05-07 16:32:29.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,75.93 %,1050 MHz,0.09 GB/s,70.00 %,12.50 %,151.62 W,13.30 %,100.00 %,286.69 W,0.00 GB/s,64.00 °C,23.00 %,1512 MHz,9.19 W,3.7 %,65.00 °C,4,16,1050 MHz,100.00 %
2025-05-07 16:32:29.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,75.93 %,1170 MHz,0.08 GB/s,94.00 %,12.40 %,151.33 W,16.60 %,99.90 %,279.67 W,0.00 GB/s,65.00 °C,34.00 %,1512 MHz,9.08 W,3.1 %,63.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:30.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,75.93 %,1080 MHz,0.08 GB/s,28.50 %,49.80 %,151.74 W,26.90 %,98.50 %,305.09 W,0.00 GB/s,64.00 °C,34.00 %,1512 MHz,9.20 W,3.7 %,65.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:30.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,78.00 %,1080 MHz,0.09 GB/s,70.20 %,12.50 %,150.41 W,12.20 %,100.00 %,330.46 W,0.00 GB/s,64.00 °C,24.00 %,1512 MHz,9.05 W,3.1 %,65.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:30.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,78.00 %,1155 MHz,0.08 GB/s,90.30 %,12.40 %,150.97 W,22.00 %,100.00 %,309.87 W,0.00 GB/s,64.00 °C,24.00 %,1512 MHz,9.16 W,3.7 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:30.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,78.00 %,1125 MHz,0.08 GB/s,90.80 %,12.40 %,149.80 W,22.10 %,100.00 %,286.40 W,0.00 GB/s,65.00 °C,29.00 %,1512 MHz,9.20 W,3.1 %,65.00 °C,4,16,1125 MHz,100.00 %
2025-05-07 16:32:30.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,80.07 %,1095 MHz,0.09 GB/s,69.90 %,12.50 %,154.84 W,16.20 %,100.00 %,285.71 W,0.00 GB/s,64.00 °C,29.00 %,1512 MHz,9.08 W,4.0 %,65.00 °C,4,16,1095 MHz,100.00 %
2025-05-07 16:32:30.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,80.07 %,1170 MHz,0.09 GB/s,90.90 %,12.40 %,148.19 W,17.20 %,100.00 %,291.67 W,0.00 GB/s,64.00 °C,26.00 %,1512 MHz,9.23 W,4.7 %,65.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:30.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,80.07 %,1170 MHz,0.08 GB/s,90.50 %,12.40 %,151.07 W,21.90 %,100.00 %,306.66 W,0.00 GB/s,65.00 °C,26.00 %,1512 MHz,9.13 W,3.4 %,65.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:30.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,82.14 %,1080 MHz,0.09 GB/s,70.10 %,12.50 %,154.36 W,13.30 %,100.00 %,315.89 W,0.00 GB/s,65.00 °C,32.00 %,1512 MHz,9.06 W,4.3 %,65.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:30.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,82.14 %,1170 MHz,0.09 GB/s,70.10 %,12.50 %,152.80 W,11.80 %,100.00 %,275.97 W,0.00 GB/s,64.00 °C,32.00 %,1512 MHz,9.10 W,3.4 %,65.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:31.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,82.14 %,1170 MHz,0.08 GB/s,93.80 %,12.40 %,153.17 W,17.10 %,99.90 %,310.35 W,0.00 GB/s,65.00 °C,32.00 %,1512 MHz,9.18 W,5.3 %,65.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:31.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,82.14 %,1050 MHz,0.09 GB/s,69.90 %,12.50 %,151.69 W,14.70 %,100.00 %,310.35 W,0.00 GB/s,65.00 °C,25.00 %,1512 MHz,9.06 W,3.7 %,65.00 °C,4,16,1050 MHz,100.00 %
2025-05-07 16:32:31.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,84.21 %,1155 MHz,0.09 GB/s,70.10 %,12.50 %,147.68 W,15.00 %,100.00 %,261.39 W,0.00 GB/s,65.00 °C,25.00 %,1512 MHz,9.33 W,4.0 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:31.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,84.21 %,1155 MHz,0.08 GB/s,90.50 %,12.40 %,152.85 W,22.10 %,100.00 %,297.13 W,0.00 GB/s,66.00 °C,31.00 %,1512 MHz,9.12 W,3.4 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:31.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,84.21 %,1155 MHz,0.08 GB/s,90.60 %,12.40 %,156.05 W,22.10 %,100.00 %,300.53 W,0.00 GB/s,65.00 °C,31.00 %,1512 MHz,9.07 W,5.0 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:31.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,86.28 %,1065 MHz,0.09 GB/s,70.00 %,12.50 %,153.47 W,15.20 %,100.00 %,310.16 W,0.00 GB/s,65.00 °C,24.00 %,1512 MHz,8.97 W,3.1 %,65.00 °C,4,16,1065 MHz,100.00 %
2025-05-07 16:32:31.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,86.28 %,1125 MHz,0.08 GB/s,4.10 %,92.60 %,150.44 W,38.60 %,100.00 %,263.15 W,0.00 GB/s,65.00 °C,24.00 %,1512 MHz,9.05 W,3.7 %,65.00 °C,4,16,1125 MHz,100.00 %
2025-05-07 16:32:31.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,86.28 %,1170 MHz,0.08 GB/s,93.00 %,12.40 %,150.20 W,15.90 %,99.90 %,312.01 W,0.00 GB/s,66.00 °C,29.00 %,1512 MHz,9.01 W,4.1 %,65.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:31.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,88.35 %,1065 MHz,0.09 GB/s,69.90 %,12.50 %,152.18 W,19.40 %,100.00 %,338.49 W,0.00 GB/s,66.00 °C,29.00 %,1512 MHz,9.11 W,3.7 %,65.00 °C,4,16,1065 MHz,100.00 %
2025-05-07 16:32:31.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,88.35 %,1110 MHz,0.09 GB/s,70.00 %,12.50 %,153.58 W,12.10 %,100.00 %,243.38 W,0.00 GB/s,65.00 °C,29.00 %,1512 MHz,9.28 W,3.4 %,65.00 °C,4,16,1110 MHz,100.00 %
2025-05-07 16:32:32.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,88.35 %,1155 MHz,0.08 GB/s,90.40 %,12.40 %,150.12 W,21.20 %,100.00 %,302.87 W,0.00 GB/s,65.00 °C,29.00 %,1512 MHz,9.19 W,3.1 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:32.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,88.35 %,1050 MHz,0.08 GB/s,90.70 %,12.40 %,148.48 W,22.20 %,100.00 %,304.91 W,0.00 GB/s,65.00 °C,29.00 %,1512 MHz,8.92 W,3.1 %,65.00 °C,4,16,1050 MHz,100.00 %
2025-05-07 16:32:32.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,90.42 %,1080 MHz,0.09 GB/s,70.00 %,12.50 %,150.59 W,14.90 %,100.00 %,304.91 W,0.00 GB/s,65.00 °C,24.00 %,1512 MHz,9.07 W,3.7 %,65.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:32.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,90.42 %,1155 MHz,0.08 GB/s,90.40 %,12.40 %,149.02 W,22.40 %,100.00 %,307.83 W,0.00 GB/s,65.00 °C,33.00 %,1512 MHz,9.06 W,1.9 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:32.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,90.42 %,1155 MHz,0.08 GB/s,89.10 %,12.30 %,153.69 W,16.10 %,100.00 %,335.28 W,0.00 GB/s,66.00 °C,33.00 %,1512 MHz,9.05 W,4.0 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:32.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,92.49 %,1095 MHz,0.09 GB/s,69.90 %,12.50 %,151.35 W,15.90 %,100.00 %,335.28 W,0.00 GB/s,66.00 °C,33.00 %,1512 MHz,9.16 W,3.7 %,65.00 °C,4,16,1095 MHz,100.00 %
2025-05-07 16:32:32.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,92.49 %,1095 MHz,0.09 GB/s,69.90 %,12.50 %,150.42 W,15.00 %,100.00 %,261.49 W,0.00 GB/s,65.00 °C,24.00 %,1512 MHz,9.16 W,3.1 %,67.00 °C,4,16,1095 MHz,100.00 %
2025-05-07 16:32:32.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,92.49 %,1185 MHz,0.08 GB/s,93.20 %,12.40 %,148.10 W,16.40 %,99.90 %,306.07 W,0.00 GB/s,66.00 °C,24.00 %,1512 MHz,9.09 W,3.7 %,65.00 °C,4,16,1185 MHz,100.00 %
2025-05-07 16:32:32.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,92.49 %,1185 MHz,0.08 GB/s,0.00 %,100.00 %,150.56 W,27.30 %,100.00 %,303.06 W,0.00 GB/s,66.00 °C,31.00 %,1512 MHz,9.20 W,4.3 %,65.00 °C,4,16,1185 MHz,100.00 %
2025-05-07 16:32:32.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1080 MHz,0.09 GB/s,70.00 %,12.50 %,150.94 W,14.00 %,100.00 %,293.61 W,0.00 GB/s,65.00 °C,31.00 %,1512 MHz,9.23 W,6.5 %,65.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:33.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1170 MHz,0.08 GB/s,91.40 %,12.40 %,150.19 W,16.10 %,100.00 %,232.77 W,0.00 GB/s,66.00 °C,28.00 %,1512 MHz,9.29 W,7.6 %,67.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:33.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,2.40 %,88.80 %,151.42 W,71.90 %,100.00 %,310.44 W,0.00 GB/s,66.00 °C,28.00 %,1512 MHz,9.20 W,3.6 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:33.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1065 MHz,0.09 GB/s,70.10 %,12.50 %,139.63 W,15.90 %,100.00 %,293.71 W,0.00 GB/s,66.00 °C,28.00 %,1512 MHz,9.25 W,3.7 %,65.00 °C,4,16,1065 MHz,100.00 %
2025-05-07 16:32:33.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1170 MHz,0.09 GB/s,70.10 %,12.50 %,134.55 W,12.40 %,100.00 %,293.71 W,0.00 GB/s,65.00 °C,30.00 %,1512 MHz,9.22 W,2.8 %,65.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:33.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,90.50 %,12.40 %,128.52 W,20.90 %,100.00 %,312.78 W,0.00 GB/s,66.00 °C,30.00 %,1512 MHz,9.12 W,3.1 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:33.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,2.80 %,92.60 %,115.12 W,41.50 %,100.00 %,268.64 W,0.00 GB/s,66.00 °C,22.00 %,1512 MHz,9.10 W,3.1 %,65.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:33.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1065 MHz,0.09 GB/s,70.10 %,12.50 %,106.51 W,11.70 %,100.00 %,288.83 W,0.00 GB/s,65.00 °C,22.00 %,1512 MHz,9.41 W,3.4 %,67.00 °C,4,16,1065 MHz,100.00 %
2025-05-07 16:32:33.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1170 MHz,0.08 GB/s,91.10 %,12.40 %,106.12 W,16.70 %,100.00 %,225.63 W,0.00 GB/s,65.00 °C,34.00 %,1512 MHz,9.37 W,3.4 %,67.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:33.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1080 MHz,0.08 GB/s,0.00 %,92.80 %,114.43 W,27.60 %,100.00 %,302.19 W,0.00 GB/s,66.00 °C,34.00 %,1512 MHz,9.32 W,2.8 %,67.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:34.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1080 MHz,0.09 GB/s,70.10 %,12.50 %,120.59 W,12.90 %,100.00 %,334.72 W,0.00 GB/s,66.00 °C,23.00 %,1512 MHz,9.32 W,3.4 %,67.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:34.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1170 MHz,0.08 GB/s,0.00 %,92.40 %,132.86 W,55.50 %,100.00 %,322.40 W,0.00 GB/s,67.00 °C,23.00 %,1512 MHz,9.21 W,4.7 %,67.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:34.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,90.50 %,12.50 %,133.58 W,19.00 %,99.90 %,315.90 W,0.00 GB/s,67.00 °C,31.00 %,1512 MHz,9.48 W,6.3 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:34.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1050 MHz,0.09 GB/s,70.20 %,12.50 %,154.87 W,13.30 %,100.00 %,298.07 W,0.00 GB/s,66.00 °C,31.00 %,1512 MHz,9.00 W,4.6 %,67.00 °C,4,16,1050 MHz,100.00 %
2025-05-07 16:32:34.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1050 MHz,0.09 GB/s,69.80 %,12.50 %,138.59 W,17.20 %,100.00 %,242.01 W,0.00 GB/s,66.00 °C,26.00 %,1512 MHz,9.28 W,3.4 %,67.00 °C,4,16,1050 MHz,100.00 %
2025-05-07 16:32:34.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,91.40 %,12.40 %,128.82 W,15.80 %,100.00 %,307.05 W,0.00 GB/s,66.00 °C,26.00 %,1512 MHz,9.27 W,3.7 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:34.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1080 MHz,0.08 GB/s,69.90 %,12.50 %,120.85 W,15.90 %,100.00 %,335.62 W,0.00 GB/s,66.00 °C,27.00 %,1512 MHz,9.36 W,10.0 %,67.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:34.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1065 MHz,0.09 GB/s,70.00 %,12.50 %,122.27 W,14.20 %,100.00 %,313.08 W,0.00 GB/s,66.00 °C,27.00 %,1512 MHz,9.41 W,3.4 %,67.00 °C,4,16,1065 MHz,100.00 %
2025-05-07 16:32:34.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,90.60 %,12.40 %,153.57 W,20.60 %,100.00 %,305.39 W,0.00 GB/s,67.00 °C,31.00 %,1512 MHz,9.38 W,5.4 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:34.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1125 MHz,0.08 GB/s,4.20 %,92.30 %,147.64 W,36.90 %,100.00 %,308.60 W,0.00 GB/s,66.00 °C,31.00 %,1512 MHz,9.25 W,4.0 %,67.00 °C,4,16,1125 MHz,100.00 %
2025-05-07 16:32:35.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1125 MHz,0.09 GB/s,70.20 %,12.50 %,151.60 W,13.10 %,100.00 %,291.85 W,0.00 GB/s,65.00 °C,22.00 %,1512 MHz,9.06 W,3.7 %,67.00 °C,4,16,1125 MHz,100.00 %
2025-05-07 16:32:35.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1170 MHz,0.08 GB/s,91.10 %,12.40 %,147.98 W,16.70 %,100.00 %,262.75 W,0.00 GB/s,65.00 °C,22.00 %,1512 MHz,9.22 W,4.0 %,67.00 °C,4,16,1170 MHz,100.00 %
2025-05-07 16:32:35.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1140 MHz,0.08 GB/s,90.60 %,12.40 %,131.43 W,21.90 %,100.00 %,311.52 W,0.00 GB/s,67.00 °C,22.00 %,1512 MHz,9.31 W,3.7 %,67.00 °C,4,16,1140 MHz,100.00 %
2025-05-07 16:32:35.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1080 MHz,0.09 GB/s,70.10 %,12.50 %,129.29 W,13.30 %,100.00 %,320.28 W,0.00 GB/s,67.00 °C,24.00 %,1512 MHz,9.19 W,3.7 %,65.00 °C,4,16,1080 MHz,100.00 %
2025-05-07 16:32:35.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.09 GB/s,70.00 %,12.50 %,115.40 W,13.90 %,100.00 %,320.85 W,0.00 GB/s,66.00 °C,24.00 %,1512 MHz,9.36 W,3.1 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:35.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1155 MHz,0.08 GB/s,90.50 %,12.40 %,116.27 W,20.60 %,100.00 %,335.34 W,0.00 GB/s,67.00 °C,29.00 %,1512 MHz,9.28 W,4.7 %,67.00 °C,4,16,1155 MHz,100.00 %
2025-05-07 16:32:35.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,94.56 %,1065 MHz,0.08 GB/s,4.30 %,93.40 %,109.36 W,50.30 %,100.00 %,335.34 W,0.00 GB/s,67.00 °C,29.00 %,1512 MHz,9.09 W,2.8 %,67.00 °C,4,16,1065 MHz,100.00 %
2025-05-07 16:32:35.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,94.56 %,1170 MHz,0.09 GB/s,70.00 %,12.50 %,107.36 W,12.70 %,100.00 %,287.86 W,0.00 GB/s,67.00 °C,26.00 %,1512 MHz,9.30 W,4.1 %,67.00 °C,4,16,1170 MHz,100.00 %
