timestamp,task_name,name,index,cpu_usage,usage.memory [%],sm_active,nvlink_rx_bytes,dram_power,temperature.gpu,nvlink_tx_bytes,utilization.memory [%],dram_usage,sm_occupancy,power.draw [W],cpu_power,temperature.memory,clocks.current.memory [MHz],tensor_active,clocks.current.sm [MHz],pcie_tx_bytes,dram_active,pcie_rx_bytes,utilization.gpu [%],clocks.current.graphics [MHz],pcie.link.width.current,pcie.link.gen.current
2025-05-07 16:40:32.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,78.00 %,100.00 %,0.00 GB/s,9.04 W,64.00 °C,0.00 GB/s,25.00 %,5.6 %,12.50 %,308.89 W,151.99 W,65.00 °C,1512 MHz,70.00 %,1170 MHz,0.09 GB/s,14.10 %,0.04 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:32.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,78.00 %,100.00 %,0.00 GB/s,9.12 W,66.00 °C,0.00 GB/s,25.00 %,5.6 %,12.40 %,308.21 W,144.40 W,65.00 °C,1512 MHz,91.20 %,1155 MHz,0.08 GB/s,24.10 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:32.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,78.00 %,100.00 %,0.00 GB/s,9.25 W,65.00 °C,0.00 GB/s,27.00 %,5.6 %,12.40 %,272.25 W,145.94 W,65.00 °C,1512 MHz,90.50 %,1155 MHz,0.08 GB/s,21.80 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:32.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.0 %,80.07 %,100.00 %,0.00 GB/s,9.21 W,65.00 °C,0.00 GB/s,27.00 %,5.6 %,12.50 %,285.92 W,150.01 W,65.00 °C,1512 MHz,69.80 %,1065 MHz,0.09 GB/s,17.30 %,0.05 GB/s,100.00 %,1065 MHz,16,4
2025-05-07 16:40:32.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,80.07 %,99.30 %,0.00 GB/s,9.30 W,66.00 °C,0.00 GB/s,30.00 %,5.6 %,91.40 %,284.74 W,147.25 W,65.00 °C,1512 MHz,1.10 %,1155 MHz,0.04 GB/s,79.40 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:32.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,80.07 %,99.90 %,0.00 GB/s,9.13 W,66.00 °C,0.00 GB/s,30.00 %,5.6 %,12.50 %,303.35 W,148.85 W,65.00 °C,1512 MHz,90.80 %,1155 MHz,0.09 GB/s,19.10 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:32.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,82.14 %,100.00 %,0.00 GB/s,8.98 W,66.00 °C,0.00 GB/s,22.00 %,5.6 %,12.50 %,316.86 W,149.27 W,65.00 °C,1512 MHz,70.00 %,1050 MHz,0.09 GB/s,13.30 %,0.05 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:33.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,82.14 %,100.00 %,0.00 GB/s,9.16 W,65.00 °C,0.00 GB/s,22.00 %,5.6 %,12.50 %,317.17 W,153.36 W,65.00 °C,1512 MHz,70.10 %,1170 MHz,0.09 GB/s,15.50 %,0.05 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:33.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,82.14 %,100.00 %,0.00 GB/s,9.20 W,66.00 °C,0.00 GB/s,22.00 %,5.6 %,12.40 %,307.24 W,147.40 W,65.00 °C,1512 MHz,91.00 %,1155 MHz,0.08 GB/s,15.30 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:33.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1.9 %,84.21 %,100.00 %,0.00 GB/s,9.29 W,65.00 °C,0.00 GB/s,35.00 %,5.6 %,12.50 %,297.78 W,137.06 W,65.00 °C,1512 MHz,69.90 %,1050 MHz,0.09 GB/s,13.70 %,0.05 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:33.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,84.21 %,100.00 %,0.00 GB/s,9.16 W,65.00 °C,0.00 GB/s,22.00 %,5.6 %,12.50 %,275.07 W,125.43 W,65.00 °C,1512 MHz,70.00 %,1050 MHz,0.09 GB/s,14.40 %,0.04 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:33.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,84.21 %,100.00 %,0.00 GB/s,9.27 W,65.00 °C,0.00 GB/s,22.00 %,5.6 %,12.40 %,292.35 W,120.90 W,65.00 °C,1512 MHz,90.30 %,1155 MHz,0.08 GB/s,22.70 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:33.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,84.21 %,100.00 %,0.00 GB/s,9.03 W,66.00 °C,0.00 GB/s,22.00 %,5.6 %,12.40 %,308.01 W,120.87 W,65.00 °C,1512 MHz,90.60 %,1155 MHz,0.08 GB/s,21.60 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:33.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,86.28 %,100.00 %,0.00 GB/s,9.42 W,65.00 °C,0.00 GB/s,30.00 %,5.6 %,12.50 %,299.99 W,120.13 W,65.00 °C,1512 MHz,69.80 %,1080 MHz,0.09 GB/s,15.70 %,0.04 GB/s,100.00 %,1080 MHz,16,4
2025-05-07 16:40:33.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,86.28 %,71.70 %,0.00 GB/s,9.23 W,65.00 °C,0.00 GB/s,30.00 %,5.6 %,5.40 %,306.67 W,113.66 W,65.00 °C,1512 MHz,44.00 %,1170 MHz,0.09 GB/s,0.00 %,0.04 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:33.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,86.28 %,99.80 %,0.00 GB/s,9.37 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.40 %,314.90 W,104.04 W,65.00 °C,1512 MHz,91.80 %,1170 MHz,0.08 GB/s,19.00 %,0.04 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:34.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,88.35 %,100.00 %,0.00 GB/s,9.34 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.50 %,314.90 W,105.12 W,65.00 °C,1512 MHz,70.00 %,1080 MHz,0.09 GB/s,15.30 %,0.04 GB/s,100.00 %,1080 MHz,16,4
2025-05-07 16:40:34.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,88.35 %,100.00 %,0.00 GB/s,9.34 W,66.00 °C,0.00 GB/s,31.00 %,5.6 %,12.50 %,267.25 W,108.14 W,67.00 °C,1512 MHz,70.00 %,1170 MHz,0.09 GB/s,18.10 %,0.04 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:34.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,88.35 %,100.00 %,0.00 GB/s,9.44 W,66.00 °C,0.00 GB/s,31.00 %,5.6 %,12.40 %,300.14 W,109.02 W,65.00 °C,1512 MHz,90.50 %,1155 MHz,0.08 GB/s,20.70 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:34.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,88.35 %,98.60 %,0.00 GB/s,9.04 W,66.00 °C,0.00 GB/s,22.00 %,5.6 %,95.80 %,306.37 W,110.35 W,65.00 °C,1512 MHz,0.70 %,1035 MHz,0.08 GB/s,30.50 %,0.05 GB/s,100.00 %,1035 MHz,16,4
2025-05-07 16:40:34.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,90.42 %,100.00 %,0.00 GB/s,9.19 W,65.00 °C,0.00 GB/s,22.00 %,5.6 %,12.50 %,318.32 W,122.81 W,67.00 °C,1512 MHz,70.00 %,1035 MHz,0.09 GB/s,14.00 %,0.04 GB/s,100.00 %,1035 MHz,16,4
2025-05-07 16:40:34.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,90.42 %,100.00 %,0.00 GB/s,9.21 W,66.00 °C,0.00 GB/s,35.00 %,5.6 %,12.40 %,255.71 W,115.28 W,67.00 °C,1512 MHz,90.50 %,1140 MHz,0.08 GB/s,23.30 %,0.05 GB/s,100.00 %,1140 MHz,16,4
2025-05-07 16:40:34.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.9 %,90.42 %,99.90 %,0.00 GB/s,9.21 W,66.00 °C,0.00 GB/s,35.00 %,5.6 %,12.50 %,307.63 W,150.07 W,65.00 °C,1512 MHz,90.40 %,1155 MHz,0.08 GB/s,18.30 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:34.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,92.49 %,100.00 %,0.00 GB/s,9.28 W,66.00 °C,0.00 GB/s,24.00 %,5.6 %,12.50 %,328.99 W,148.28 W,67.00 °C,1512 MHz,70.10 %,1110 MHz,0.09 GB/s,14.30 %,0.05 GB/s,100.00 %,1110 MHz,16,4
2025-05-07 16:40:34.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.7 %,92.49 %,100.00 %,0.00 GB/s,9.39 W,66.00 °C,0.00 GB/s,24.00 %,5.6 %,12.40 %,240.32 W,146.60 W,67.00 °C,1512 MHz,92.00 %,1110 MHz,0.05 GB/s,17.90 %,0.03 GB/s,100.00 %,1110 MHz,16,4
2025-05-07 16:40:34.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,92.49 %,99.90 %,0.00 GB/s,9.19 W,66.00 °C,0.00 GB/s,29.00 %,5.6 %,12.50 %,301.41 W,149.36 W,65.00 °C,1512 MHz,90.40 %,1155 MHz,0.08 GB/s,18.90 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:35.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,94.56 %,100.00 %,0.00 GB/s,9.20 W,66.00 °C,0.00 GB/s,29.00 %,5.6 %,12.50 %,303.06 W,150.06 W,67.00 °C,1512 MHz,70.10 %,1065 MHz,0.08 GB/s,13.00 %,0.05 GB/s,100.00 %,1065 MHz,16,4
2025-05-07 16:40:35.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.6 %,94.56 %,100.00 %,0.00 GB/s,9.44 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.50 %,238.58 W,145.46 W,67.00 °C,1512 MHz,70.00 %,1065 MHz,0.09 GB/s,11.90 %,0.05 GB/s,100.00 %,1065 MHz,16,4
2025-05-07 16:40:35.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.18 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.40 %,295.86 W,131.53 W,67.00 °C,1512 MHz,91.10 %,1155 MHz,0.08 GB/s,15.60 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:35.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.26 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.40 %,317.26 W,120.86 W,67.00 °C,1512 MHz,92.00 %,1125 MHz,0.08 GB/s,16.90 %,0.04 GB/s,100.00 %,1125 MHz,16,4
2025-05-07 16:40:35.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,94.56 %,100.00 %,0.00 GB/s,9.07 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.50 %,274.39 W,114.99 W,67.00 °C,1512 MHz,70.10 %,1095 MHz,0.09 GB/s,14.60 %,0.05 GB/s,100.00 %,1095 MHz,16,4
2025-05-07 16:40:35.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,94.56 %,100.00 %,0.00 GB/s,9.17 W,65.00 °C,0.00 GB/s,26.00 %,5.6 %,12.40 %,297.91 W,104.69 W,67.00 °C,1512 MHz,90.80 %,1155 MHz,0.09 GB/s,23.10 %,0.05 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:35.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.2 %,94.56 %,99.90 %,0.00 GB/s,9.40 W,67.00 °C,0.00 GB/s,31.00 %,5.6 %,12.50 %,301.30 W,114.20 W,67.00 °C,1512 MHz,91.20 %,1170 MHz,0.08 GB/s,18.40 %,0.04 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:35.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.42 W,66.00 °C,0.00 GB/s,23.00 %,5.6 %,12.50 %,301.22 W,151.00 W,67.00 °C,1512 MHz,70.00 %,1080 MHz,0.09 GB/s,16.50 %,0.04 GB/s,100.00 %,1080 MHz,16,4
2025-05-07 16:40:35.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.0 %,94.56 %,100.00 %,0.00 GB/s,9.17 W,66.00 °C,0.00 GB/s,23.00 %,5.6 %,12.50 %,232.88 W,149.14 W,67.00 °C,1512 MHz,69.90 %,1155 MHz,0.09 GB/s,11.40 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:36.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,94.56 %,99.90 %,0.00 GB/s,9.17 W,67.00 °C,0.00 GB/s,23.00 %,5.6 %,12.40 %,306.37 W,136.34 W,67.00 °C,1512 MHz,93.40 %,1155 MHz,0.08 GB/s,16.30 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:36.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,94.56 %,100.00 %,0.00 GB/s,9.07 W,67.00 °C,0.00 GB/s,34.00 %,5.6 %,12.50 %,333.36 W,140.96 W,67.00 °C,1512 MHz,70.00 %,1065 MHz,0.09 GB/s,14.60 %,0.04 GB/s,100.00 %,1065 MHz,16,4
2025-05-07 16:40:36.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,94.56 %,100.00 %,0.00 GB/s,9.06 W,66.00 °C,0.00 GB/s,34.00 %,5.6 %,12.50 %,312.78 W,135.57 W,67.00 °C,1512 MHz,70.00 %,1170 MHz,0.09 GB/s,15.00 %,0.04 GB/s,100.00 %,1170 MHz,16,4
2025-05-07 16:40:36.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.27 W,67.00 °C,0.00 GB/s,29.00 %,5.6 %,12.40 %,268.73 W,122.28 W,67.00 °C,1512 MHz,90.50 %,1155 MHz,0.08 GB/s,20.30 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:36.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,94.56 %,98.50 %,0.00 GB/s,9.10 W,67.00 °C,0.00 GB/s,29.00 %,5.6 %,95.80 %,268.73 W,118.34 W,67.00 °C,1512 MHz,0.70 %,1050 MHz,0.08 GB/s,29.20 %,0.05 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:36.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.25 W,66.00 °C,0.00 GB/s,27.00 %,5.6 %,12.50 %,286.79 W,108.28 W,67.00 °C,1512 MHz,70.00 %,1050 MHz,0.09 GB/s,14.50 %,0.04 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:36.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,94.56 %,100.00 %,0.00 GB/s,9.20 W,67.00 °C,0.00 GB/s,27.00 %,5.6 %,12.40 %,306.56 W,104.92 W,67.00 °C,1512 MHz,91.10 %,1155 MHz,0.07 GB/s,15.10 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:36.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.08 W,67.00 °C,0.00 GB/s,26.00 %,5.6 %,12.40 %,306.56 W,107.06 W,67.00 °C,1512 MHz,91.90 %,1035 MHz,0.08 GB/s,17.20 %,0.04 GB/s,100.00 %,1035 MHz,16,4
2025-05-07 16:40:36.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,94.56 %,100.00 %,0.00 GB/s,9.24 W,66.00 °C,0.00 GB/s,26.00 %,5.6 %,12.50 %,357.56 W,114.57 W,67.00 °C,1512 MHz,69.80 %,1035 MHz,0.09 GB/s,14.80 %,0.05 GB/s,100.00 %,1035 MHz,16,4
2025-05-07 16:40:37.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.09 W,67.00 °C,0.00 GB/s,32.00 %,5.6 %,12.40 %,304.32 W,112.16 W,67.00 °C,1512 MHz,90.50 %,1110 MHz,0.08 GB/s,23.00 %,0.05 GB/s,100.00 %,1110 MHz,16,4
2025-05-07 16:40:37.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,94.56 %,100.00 %,0.00 GB/s,9.34 W,67.00 °C,0.00 GB/s,32.00 %,5.6 %,12.40 %,308.22 W,112.42 W,67.00 °C,1512 MHz,90.70 %,1050 MHz,0.08 GB/s,22.70 %,0.04 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:37.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,94.56 %,100.00 %,0.00 GB/s,9.11 W,67.00 °C,0.00 GB/s,25.00 %,5.6 %,12.50 %,286.89 W,109.52 W,67.00 °C,1512 MHz,70.10 %,1050 MHz,0.09 GB/s,12.90 %,0.05 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:37.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,94.56 %,100.00 %,0.00 GB/s,9.44 W,67.00 °C,0.00 GB/s,25.00 %,5.6 %,12.50 %,240.74 W,104.45 W,67.00 °C,1512 MHz,70.00 %,1050 MHz,0.09 GB/s,15.00 %,0.04 GB/s,100.00 %,1050 MHz,16,4
2025-05-07 16:40:37.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,99.90 %,0.00 GB/s,9.26 W,67.00 °C,0.00 GB/s,31.00 %,5.6 %,12.40 %,300.34 W,105.75 W,67.00 °C,1512 MHz,93.20 %,1155 MHz,0.08 GB/s,16.60 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:37.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,94.56 %,100.00 %,0.00 GB/s,9.23 W,67.00 °C,0.00 GB/s,31.00 %,5.6 %,12.50 %,336.46 W,104.14 W,67.00 °C,1512 MHz,69.90 %,1065 MHz,0.08 GB/s,17.50 %,0.04 GB/s,100.00 %,1065 MHz,16,4
2025-05-07 16:40:37.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,94.56 %,100.00 %,0.00 GB/s,9.34 W,66.00 °C,0.00 GB/s,24.00 %,5.6 %,12.50 %,305.39 W,105.60 W,67.00 °C,1512 MHz,69.90 %,1110 MHz,0.09 GB/s,13.80 %,0.04 GB/s,100.00 %,1110 MHz,16,4
2025-05-07 16:40:37.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,94.56 %,100.00 %,0.00 GB/s,9.47 W,67.00 °C,0.00 GB/s,24.00 %,5.6 %,12.40 %,304.62 W,107.77 W,67.00 °C,1512 MHz,91.40 %,1155 MHz,0.07 GB/s,16.10 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:37.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,94.56 %,100.00 %,0.00 GB/s,9.21 W,67.00 °C,0.00 GB/s,24.00 %,5.6 %,12.40 %,312.10 W,107.23 W,67.00 °C,1512 MHz,91.20 %,1110 MHz,0.08 GB/s,17.20 %,0.04 GB/s,100.00 %,1110 MHz,16,4
2025-05-07 16:40:37.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,94.56 %,100.00 %,0.00 GB/s,9.34 W,66.00 °C,0.00 GB/s,29.00 %,5.6 %,12.50 %,282.99 W,116.62 W,67.00 °C,1512 MHz,70.20 %,1125 MHz,0.08 GB/s,13.10 %,0.04 GB/s,100.00 %,1125 MHz,16,4
