timestamp,task_name,name,index,dram_power,sm_active,pcie_tx_bytes,pcie_rx_bytes,temperature.memory,clocks.current.sm [MHz],nvlink_tx_bytes,utilization.gpu [%],clocks.current.graphics [MHz],usage.memory [%],dram_active,pcie.link.gen.current,cpu_usage,temperature.gpu,cpu_power,dram_usage,clocks.current.memory [MHz],nvlink_rx_bytes,pcie.link.width.current,power.draw [W],tensor_active,sm_occupancy,utilization.memory [%]
2025-05-07 16:34:17.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.21 W,100.00 %,0.09 GB/s,0.05 GB/s,63.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,75.93 %,13.60 %,4,3.4 %,65.00 °C,149.33 W,5.6 %,1512 MHz,0.00 GB/s,16,271.76 W,70.10 %,12.50 %,22.00 %
2025-05-07 16:34:17.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.12 W,100.00 %,0.09 GB/s,0.05 GB/s,63.00 °C,1110 MHz,0.00 GB/s,100.00 %,1110 MHz,75.93 %,13.60 %,4,4.7 %,64.00 °C,150.55 W,5.6 %,1512 MHz,0.00 GB/s,16,289.81 W,69.90 %,12.50 %,22.00 %
2025-05-07 16:34:17.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.19 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,75.93 %,14.80 %,4,3.4 %,65.00 °C,150.35 W,5.6 %,1512 MHz,0.00 GB/s,16,308.99 W,91.10 %,12.40 %,22.00 %
2025-05-07 16:34:17.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,8.99 W,100.00 %,0.08 GB/s,0.04 GB/s,63.00 °C,1020 MHz,0.00 GB/s,100.00 %,1020 MHz,75.93 %,21.80 %,4,3.7 %,64.00 °C,150.42 W,5.6 %,1512 MHz,0.00 GB/s,16,308.99 W,90.90 %,12.40 %,35.00 %
2025-05-07 16:34:17.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.30 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1125 MHz,0.00 GB/s,100.00 %,1125 MHz,78.00 %,11.80 %,4,2.2 %,65.00 °C,147.89 W,5.6 %,1512 MHz,0.00 GB/s,16,305.65 W,69.90 %,12.50 %,23.00 %
2025-05-07 16:34:17.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.25 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,78.00 %,20.60 %,4,3.3 %,65.00 °C,151.42 W,5.6 %,1512 MHz,0.00 GB/s,16,307.06 W,90.40 %,12.40 %,23.00 %
2025-05-07 16:34:17.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.13 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1080 MHz,0.00 GB/s,100.00 %,1080 MHz,78.00 %,35.40 %,4,3.1 %,65.00 °C,151.94 W,5.6 %,1512 MHz,0.00 GB/s,16,312.38 W,4.60 %,93.00 %,23.00 %
2025-05-07 16:34:17.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.14 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1065 MHz,0.00 GB/s,100.00 %,1065 MHz,80.07 %,16.00 %,4,3.4 %,65.00 °C,152.31 W,5.6 %,1512 MHz,0.00 GB/s,16,259.57 W,69.70 %,12.50 %,26.00 %
2025-05-07 16:34:17.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.44 W,100.00 %,0.08 GB/s,0.05 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,80.07 %,43.80 %,4,6.9 %,64.00 °C,153.30 W,5.6 %,1512 MHz,0.00 GB/s,16,297.32 W,2.70 %,92.80 %,26.00 %
2025-05-07 16:34:18.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.38 W,100.00 %,0.09 GB/s,0.16 GB/s,65.00 °C,1110 MHz,0.00 GB/s,100.00 %,1110 MHz,80.07 %,70.70 %,4,4.7 %,66.00 °C,151.12 W,5.6 %,1512 MHz,0.00 GB/s,16,297.32 W,2.30 %,89.00 %,26.00 %
2025-05-07 16:34:18.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.13 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1125 MHz,0.00 GB/s,100.00 %,1125 MHz,82.14 %,17.40 %,4,3.4 %,65.00 °C,152.32 W,5.6 %,1512 MHz,0.00 GB/s,16,303.94 W,69.90 %,12.50 %,26.00 %
2025-05-07 16:34:18.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.17 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1125 MHz,0.00 GB/s,100.00 %,1125 MHz,82.14 %,14.80 %,4,3.4 %,64.00 °C,152.52 W,5.6 %,1512 MHz,0.00 GB/s,16,321.23 W,70.00 %,12.50 %,31.00 %
2025-05-07 16:34:18.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.17 W,99.90 %,0.08 GB/s,0.04 GB/s,65.00 °C,1110 MHz,0.00 GB/s,100.00 %,1110 MHz,82.14 %,18.30 %,4,2.2 %,66.00 °C,150.14 W,5.6 %,1512 MHz,0.00 GB/s,16,309.28 W,90.50 %,12.50 %,31.00 %
2025-05-07 16:34:18.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.16 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1095 MHz,0.00 GB/s,100.00 %,1095 MHz,84.21 %,14.60 %,4,3.4 %,65.00 °C,149.15 W,5.6 %,1512 MHz,0.00 GB/s,16,309.28 W,69.90 %,12.50 %,23.00 %
2025-05-07 16:34:18.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.29 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1095 MHz,0.00 GB/s,100.00 %,1095 MHz,84.21 %,13.50 %,4,3.7 %,64.00 °C,150.51 W,5.6 %,1512 MHz,0.00 GB/s,16,241.74 W,70.10 %,12.50 %,23.00 %
2025-05-07 16:34:18.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,8.99 W,100.00 %,0.08 GB/s,0.05 GB/s,65.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,84.21 %,70.10 %,4,3.1 %,66.00 °C,154.02 W,5.6 %,1512 MHz,0.00 GB/s,16,298.20 W,4.60 %,76.10 %,34.00 %
2025-05-07 16:34:18.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.05 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,84.21 %,17.80 %,4,3.4 %,66.00 °C,151.41 W,5.6 %,1512 MHz,0.00 GB/s,16,302.76 W,91.20 %,12.30 %,34.00 %
2025-05-07 16:34:18.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,100.00 %,0.09 GB/s,0.04 GB/s,65.00 °C,1065 MHz,0.00 GB/s,100.00 %,1065 MHz,86.28 %,13.60 %,4,3.7 %,65.00 °C,149.00 W,5.6 %,1512 MHz,0.00 GB/s,16,306.66 W,70.00 %,12.50 %,24.00 %
2025-05-07 16:34:18.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.15 W,6.70 %,0.11 GB/s,0.05 GB/s,65.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,86.28 %,0.00 %,4,4.0 %,65.00 °C,152.68 W,5.6 %,1512 MHz,0.00 GB/s,16,237.26 W,4.00 %,0.40 %,24.00 %
2025-05-07 16:34:19.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.50 W,99.90 %,0.08 GB/s,0.05 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,86.28 %,17.70 %,4,4.7 %,66.00 °C,151.10 W,5.6 %,1512 MHz,0.00 GB/s,16,308.71 W,93.60 %,12.40 %,29.00 %
2025-05-07 16:34:19.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.29 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,88.35 %,15.50 %,4,5.3 %,66.00 °C,150.05 W,5.6 %,1512 MHz,0.00 GB/s,16,350.48 W,70.10 %,12.50 %,29.00 %
2025-05-07 16:34:19.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.33 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,88.35 %,14.00 %,4,6.5 %,65.00 °C,152.57 W,5.6 %,1512 MHz,0.00 GB/s,16,350.48 W,70.00 %,12.50 %,29.00 %
2025-05-07 16:34:19.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.24 W,100.00 %,0.08 GB/s,0.05 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,88.35 %,72.40 %,4,3.3 %,66.00 °C,151.59 W,5.6 %,1512 MHz,0.00 GB/s,16,308.60 W,4.60 %,76.10 %,27.00 %
2025-05-07 16:34:19.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.08 W,98.20 %,0.08 GB/s,0.04 GB/s,65.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,88.35 %,21.40 %,4,3.1 %,65.00 °C,151.97 W,5.6 %,1512 MHz,0.00 GB/s,16,303.07 W,87.10 %,11.60 %,27.00 %
2025-05-07 16:34:19.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.10 W,100.00 %,0.09 GB/s,0.04 GB/s,65.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,90.42 %,13.80 %,4,3.4 %,65.00 °C,152.48 W,5.6 %,1512 MHz,0.00 GB/s,16,285.23 W,70.00 %,12.50 %,26.00 %
2025-05-07 16:34:19.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.04 W,20.80 %,0.11 GB/s,0.05 GB/s,65.00 °C,1140 MHz,0.00 GB/s,100.00 %,1140 MHz,90.42 %,0.00 %,4,3.1 %,66.00 °C,152.06 W,5.6 %,1512 MHz,0.00 GB/s,16,223.53 W,12.30 %,1.40 %,26.00 %
2025-05-07 16:34:19.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.03 W,99.90 %,0.08 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,90.42 %,16.30 %,4,3.1 %,66.00 °C,151.98 W,5.6 %,1512 MHz,0.00 GB/s,16,304.53 W,93.20 %,12.40 %,31.00 %
2025-05-07 16:34:19.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.21 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1080 MHz,0.00 GB/s,100.00 %,1080 MHz,92.49 %,10.40 %,4,3.7 %,66.00 °C,149.87 W,5.6 %,1512 MHz,0.00 GB/s,16,365.45 W,70.00 %,12.50 %,31.00 %
2025-05-07 16:34:19.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.14 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1065 MHz,0.00 GB/s,100.00 %,1065 MHz,92.49 %,13.00 %,4,3.7 %,66.00 °C,148.89 W,5.6 %,1512 MHz,0.00 GB/s,16,290.39 W,69.90 %,12.50 %,25.00 %
2025-05-07 16:34:20.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.17 W,99.90 %,0.07 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,92.49 %,16.10 %,4,2.2 %,66.00 °C,149.42 W,5.6 %,1512 MHz,0.00 GB/s,16,308.12 W,94.40 %,12.50 %,25.00 %
2025-05-07 16:34:20.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.22 W,100.00 %,0.09 GB/s,0.05 GB/s,65.00 °C,1095 MHz,0.00 GB/s,100.00 %,1095 MHz,94.56 %,17.60 %,4,3.7 %,66.00 °C,151.84 W,5.6 %,1512 MHz,0.00 GB/s,16,283.44 W,69.90 %,12.50 %,24.00 %
2025-05-07 16:34:20.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.29 W,100.00 %,0.09 GB/s,0.05 GB/s,67.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,94.56 %,13.60 %,4,2.5 %,65.00 °C,147.17 W,5.6 %,1512 MHz,0.00 GB/s,16,287.76 W,70.00 %,12.50 %,24.00 %
2025-05-07 16:34:20.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.22 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,94.56 %,20.40 %,4,3.4 %,66.00 °C,121.43 W,5.6 %,1512 MHz,0.00 GB/s,16,248.06 W,90.40 %,12.40 %,29.00 %
2025-05-07 16:34:20.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.19 W,100.00 %,0.07 GB/s,0.04 GB/s,65.00 °C,1125 MHz,0.00 GB/s,100.00 %,1125 MHz,94.56 %,24.90 %,4,4.0 %,66.00 °C,122.24 W,5.6 %,1512 MHz,0.00 GB/s,16,307.34 W,0.00 %,67.60 %,29.00 %
2025-05-07 16:34:20.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.46 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,94.56 %,14.80 %,4,3.7 %,65.00 °C,116.01 W,5.6 %,1512 MHz,0.00 GB/s,16,314.53 W,69.90 %,12.50 %,29.00 %
2025-05-07 16:34:20.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.18 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,20.30 %,4,3.7 %,66.00 °C,111.63 W,5.6 %,1512 MHz,0.00 GB/s,16,312.11 W,90.60 %,12.40 %,29.00 %
2025-05-07 16:34:20.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.26 W,100.00 %,0.08 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,22.00 %,4,3.7 %,66.00 °C,104.49 W,5.6 %,1512 MHz,0.00 GB/s,16,315.99 W,90.70 %,12.40 %,24.00 %
2025-05-07 16:34:21.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.36 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1065 MHz,0.00 GB/s,100.00 %,1065 MHz,94.56 %,12.50 %,4,4.3 %,66.00 °C,109.00 W,5.6 %,1512 MHz,0.00 GB/s,16,278.19 W,70.10 %,12.50 %,24.00 %
2025-05-07 16:34:21.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.39 W,100.00 %,0.08 GB/s,0.05 GB/s,67.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,94.56 %,75.60 %,4,3.7 %,66.00 °C,103.53 W,5.6 %,1512 MHz,0.00 GB/s,16,251.00 W,2.30 %,89.40 %,33.00 %
2025-05-07 16:34:21.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.26 W,99.90 %,0.06 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,18.80 %,4,4.6 %,66.00 °C,107.93 W,5.6 %,1512 MHz,0.00 GB/s,16,305.60 W,90.50 %,12.50 %,33.00 %
2025-05-07 16:34:21.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.29 W,100.00 %,0.09 GB/s,0.04 GB/s,65.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,94.56 %,12.70 %,4,4.0 %,66.00 °C,103.99 W,5.6 %,1512 MHz,0.00 GB/s,16,334.54 W,70.10 %,12.50 %,24.00 %
2025-05-07 16:34:21.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.31 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1110 MHz,0.00 GB/s,100.00 %,1110 MHz,94.56 %,23.20 %,4,2.2 %,66.00 °C,112.20 W,5.6 %,1512 MHz,0.00 GB/s,16,327.55 W,90.80 %,12.40 %,24.00 %
2025-05-07 16:34:21.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.13 W,99.90 %,0.08 GB/s,0.04 GB/s,65.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,18.60 %,4,3.4 %,66.00 °C,108.89 W,5.6 %,1512 MHz,0.00 GB/s,16,309.68 W,90.60 %,12.50 %,31.00 %
2025-05-07 16:34:21.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.29 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1080 MHz,0.00 GB/s,100.00 %,1080 MHz,94.56 %,11.60 %,4,2.8 %,65.00 °C,106.04 W,5.6 %,1512 MHz,0.00 GB/s,16,287.37 W,70.10 %,12.50 %,31.00 %
2025-05-07 16:34:21.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.26 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,17.40 %,4,6.1 %,66.00 °C,114.46 W,5.6 %,1512 MHz,0.00 GB/s,16,283.08 W,91.60 %,12.40 %,26.00 %
2025-05-07 16:34:21.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.36 W,99.90 %,0.08 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,16.60 %,4,4.6 %,67.00 °C,103.11 W,5.6 %,1512 MHz,0.00 GB/s,16,276.93 W,93.40 %,12.40 %,26.00 %
2025-05-07 16:34:21.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.44 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1065 MHz,0.00 GB/s,100.00 %,1065 MHz,94.56 %,15.00 %,4,2.8 %,66.00 °C,106.91 W,5.6 %,1512 MHz,0.00 GB/s,16,305.29 W,70.10 %,12.50 %,26.00 %
2025-05-07 16:34:22.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.22 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,94.56 %,12.70 %,4,3.4 %,65.00 °C,107.02 W,5.6 %,1512 MHz,0.00 GB/s,16,318.70 W,70.00 %,12.50 %,26.00 %
2025-05-07 16:34:22.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.27 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,20.50 %,4,3.1 %,67.00 °C,111.07 W,5.6 %,1512 MHz,0.00 GB/s,16,318.70 W,90.40 %,12.40 %,31.00 %
2025-05-07 16:34:22.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.37 W,100.00 %,0.08 GB/s,0.05 GB/s,67.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,94.56 %,50.20 %,4,5.6 %,67.00 °C,111.27 W,5.6 %,1512 MHz,0.00 GB/s,16,296.53 W,4.30 %,93.50 %,31.00 %
2025-05-07 16:34:22.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.19 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1095 MHz,0.00 GB/s,100.00 %,1095 MHz,94.56 %,15.70 %,4,4.3 %,66.00 °C,108.35 W,5.6 %,1512 MHz,0.00 GB/s,16,281.71 W,70.10 %,12.50 %,22.00 %
2025-05-07 16:34:22.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.31 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1095 MHz,0.00 GB/s,100.00 %,1095 MHz,94.56 %,16.40 %,4,3.1 %,67.00 °C,111.82 W,5.6 %,1512 MHz,0.00 GB/s,16,278.59 W,90.80 %,12.40 %,22.00 %
2025-05-07 16:34:22.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.41 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,23.50 %,4,3.7 %,67.00 °C,106.84 W,5.6 %,1512 MHz,0.00 GB/s,16,306.07 W,91.00 %,12.40 %,35.00 %
2025-05-07 16:34:22.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,100.00 %,0.09 GB/s,0.05 GB/s,67.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,94.56 %,13.00 %,4,4.0 %,66.00 °C,108.92 W,5.6 %,1512 MHz,0.00 GB/s,16,308.21 W,70.20 %,12.50 %,35.00 %
2025-05-07 16:34:22.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.38 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1140 MHz,0.00 GB/s,100.00 %,1140 MHz,94.56 %,13.20 %,4,4.7 %,66.00 °C,106.69 W,5.6 %,1512 MHz,0.00 GB/s,16,281.54 W,70.00 %,12.50 %,30.00 %
2025-05-07 16:34:22.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.14 W,100.00 %,0.07 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,20.50 %,4,4.8 %,67.00 °C,149.16 W,5.6 %,1512 MHz,0.00 GB/s,16,303.26 W,90.60 %,12.40 %,30.00 %
2025-05-07 16:34:23.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.16 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,94.56 %,21.70 %,4,4.0 %,66.00 °C,154.91 W,5.6 %,1512 MHz,0.00 GB/s,16,310.44 W,0.00 %,50.00 %,30.00 %
2025-05-07 16:34:23.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.23 W,100.00 %,0.09 GB/s,0.04 GB/s,67.00 °C,1050 MHz,0.00 GB/s,100.00 %,1050 MHz,94.56 %,14.50 %,4,3.7 %,66.00 °C,149.24 W,5.6 %,1512 MHz,0.00 GB/s,16,258.58 W,69.80 %,12.50 %,26.00 %
2025-05-07 16:34:23.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,100.00 %,0.08 GB/s,0.04 GB/s,67.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,94.56 %,23.30 %,4,3.1 %,66.00 °C,144.75 W,5.6 %,1512 MHz,0.00 GB/s,16,289.33 W,90.30 %,12.40 %,26.00 %
