timestamp,task_name,name,index,temperature.memory,utilization.memory [%],dram_usage,pcie.link.gen.current,nvlink_tx_bytes,tensor_active,dram_active,usage.memory [%],sm_active,pcie_tx_bytes,cpu_power,clocks.current.sm [MHz],cpu_usage,dram_power,power.draw [W],pcie.link.width.current,sm_occupancy,nvlink_rx_bytes,utilization.gpu [%],pcie_rx_bytes,clocks.current.graphics [MHz],temperature.gpu,clocks.current.memory [MHz]
2025-05-07 16:41:25.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,23.00 %,5.6 %,4,0.00 GB/s,69.90 %,14.50 %,75.93 %,100.00 %,0.09 GB/s,154.81 W,1080 MHz,3.1 %,9.05 W,306.27 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1080 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:25.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,23.00 %,5.6 %,4,0.00 GB/s,69.90 %,15.30 %,75.93 %,100.00 %,0.09 GB/s,154.59 W,1170 MHz,4.6 %,9.12 W,318.04 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,64.00 °C,1512 MHz
2025-05-07 16:41:25.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,34.00 %,5.6 %,4,0.00 GB/s,90.60 %,20.30 %,75.93 %,100.00 %,0.08 GB/s,153.91 W,1170 MHz,5.3 %,9.44 W,306.56 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:25.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,34.00 %,5.6 %,4,0.00 GB/s,90.90 %,22.10 %,75.93 %,100.00 %,0.08 GB/s,151.83 W,1095 MHz,4.0 %,9.23 W,271.97 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1095 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:25.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,23.00 %,5.6 %,4,0.00 GB/s,69.80 %,13.90 %,78.00 %,100.00 %,0.09 GB/s,151.95 W,1050 MHz,3.1 %,9.07 W,278.20 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1050 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:25.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,23.00 %,5.6 %,4,0.00 GB/s,0.00 %,74.70 %,78.00 %,99.70 %,0.04 GB/s,149.40 W,1155 MHz,3.1 %,9.12 W,285.63 W,16,92.80 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:25.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,31.00 %,5.6 %,4,0.00 GB/s,0.00 %,53.90 %,78.00 %,100.00 %,0.08 GB/s,150.55 W,1155 MHz,3.4 %,9.08 W,301.90 W,16,92.30 %,0.00 GB/s,100.00 %,0.05 GB/s,1155 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:25.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,31.00 %,5.6 %,4,0.00 GB/s,69.90 %,11.80 %,80.07 %,100.00 %,0.09 GB/s,151.74 W,1050 MHz,3.7 %,9.26 W,310.05 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1050 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:25.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,31.00 %,5.6 %,4,0.00 GB/s,69.90 %,11.30 %,80.07 %,100.00 %,0.09 GB/s,155.36 W,1170 MHz,3.9 %,9.09 W,294.20 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1170 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:26.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,26.00 %,5.6 %,4,0.00 GB/s,91.30 %,15.40 %,80.07 %,100.00 %,0.08 GB/s,152.00 W,1155 MHz,4.5 %,9.37 W,303.93 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:26.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,26.00 %,5.6 %,4,0.00 GB/s,4.30 %,49.80 %,80.07 %,100.00 %,0.08 GB/s,151.78 W,1065 MHz,3.4 %,9.07 W,303.93 W,16,93.40 %,0.00 GB/s,100.00 %,0.05 GB/s,1065 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:26.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,27.00 %,5.6 %,4,0.00 GB/s,69.90 %,14.20 %,82.14 %,100.00 %,0.09 GB/s,152.57 W,1155 MHz,3.7 %,9.18 W,303.73 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:26.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,27.00 %,5.6 %,4,0.00 GB/s,90.90 %,16.50 %,82.14 %,100.00 %,0.08 GB/s,153.17 W,1155 MHz,3.1 %,9.06 W,270.78 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:26.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,22.00 %,5.6 %,4,0.00 GB/s,0.20 %,92.90 %,82.14 %,100.00 %,0.07 GB/s,150.61 W,1155 MHz,3.4 %,9.21 W,298.77 W,16,99.60 %,0.00 GB/s,100.00 %,0.05 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:26.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,22.00 %,5.6 %,4,0.00 GB/s,70.00 %,13.30 %,84.21 %,100.00 %,0.09 GB/s,148.72 W,1065 MHz,4.6 %,9.18 W,299.85 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1065 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:26.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,35.00 %,5.6 %,4,0.00 GB/s,90.60 %,23.80 %,84.21 %,100.00 %,0.09 GB/s,153.11 W,1170 MHz,2.8 %,9.24 W,268.43 W,16,12.40 %,0.00 GB/s,100.00 %,0.05 GB/s,1170 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:26.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,35.00 %,5.6 %,4,0.00 GB/s,92.80 %,16.20 %,84.21 %,99.90 %,0.08 GB/s,152.38 W,1170 MHz,3.7 %,9.06 W,315.71 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:26.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,23.00 %,5.6 %,4,0.00 GB/s,69.80 %,18.10 %,86.28 %,100.00 %,0.09 GB/s,153.01 W,1080 MHz,3.4 %,8.99 W,345.65 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1080 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:27.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,23.00 %,5.6 %,4,0.00 GB/s,69.90 %,14.60 %,86.28 %,100.00 %,0.09 GB/s,153.59 W,1065 MHz,2.8 %,9.07 W,243.96 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1065 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:27.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,30.00 %,5.6 %,4,0.00 GB/s,90.60 %,21.80 %,86.28 %,100.00 %,0.08 GB/s,150.89 W,1155 MHz,3.7 %,9.17 W,306.37 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:27.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,30.00 %,5.6 %,4,0.00 GB/s,91.50 %,16.80 %,86.28 %,100.00 %,0.08 GB/s,157.67 W,1110 MHz,3.1 %,8.99 W,308.41 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1110 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:27.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,30.00 %,5.6 %,4,0.00 GB/s,70.10 %,12.00 %,88.35 %,100.00 %,0.09 GB/s,150.82 W,1110 MHz,3.1 %,9.13 W,298.18 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1110 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:27.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,70.00 %,11.60 %,88.35 %,100.00 %,0.09 GB/s,147.63 W,1155 MHz,3.3 %,9.07 W,298.18 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1155 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:27.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,90.30 %,18.80 %,88.35 %,99.90 %,0.08 GB/s,151.52 W,1155 MHz,3.1 %,9.21 W,245.34 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:27.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,26.00 %,5.6 %,4,0.00 GB/s,70.10 %,15.80 %,90.42 %,100.00 %,0.08 GB/s,150.61 W,1065 MHz,5.0 %,9.25 W,334.12 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1065 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:27.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,70.00 %,12.40 %,90.42 %,100.00 %,0.09 GB/s,149.37 W,1065 MHz,3.7 %,9.15 W,253.47 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1065 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:27.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,31.00 %,5.6 %,4,0.00 GB/s,90.70 %,21.50 %,90.42 %,100.00 %,0.08 GB/s,149.98 W,1155 MHz,3.0 %,9.03 W,297.32 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:27.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,31.00 %,5.6 %,4,0.00 GB/s,90.60 %,23.90 %,90.42 %,100.00 %,0.08 GB/s,153.71 W,1155 MHz,5.9 %,9.29 W,300.44 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:28.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,22.00 %,5.6 %,4,0.00 GB/s,69.90 %,14.10 %,92.49 %,100.00 %,0.09 GB/s,150.36 W,1065 MHz,6.4 %,9.41 W,303.45 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1065 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:28.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,22.00 %,5.6 %,4,0.00 GB/s,53.10 %,0.60 %,92.49 %,84.20 %,0.09 GB/s,155.01 W,1155 MHz,4.3 %,9.27 W,240.93 W,16,7.20 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:28.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,35.00 %,5.6 %,4,0.00 GB/s,93.70 %,17.60 %,92.49 %,99.90 %,0.08 GB/s,150.47 W,1155 MHz,3.1 %,8.92 W,309.77 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:28.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,35.00 %,5.6 %,4,0.00 GB/s,69.80 %,15.00 %,94.56 %,100.00 %,0.09 GB/s,153.83 W,1050 MHz,3.7 %,9.04 W,326.37 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1050 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:28.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,35.00 %,5.6 %,4,0.00 GB/s,70.00 %,12.70 %,94.56 %,100.00 %,0.09 GB/s,145.54 W,1155 MHz,3.4 %,9.07 W,326.37 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:28.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,29.00 %,5.6 %,4,0.00 GB/s,90.40 %,21.00 %,94.56 %,100.00 %,0.08 GB/s,132.90 W,1155 MHz,3.4 %,9.17 W,278.79 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:28.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,29.00 %,5.6 %,4,0.00 GB/s,91.60 %,16.60 %,94.56 %,100.00 %,0.08 GB/s,130.47 W,1155 MHz,3.7 %,9.21 W,298.21 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:28.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,70.00 %,15.70 %,94.56 %,100.00 %,0.09 GB/s,119.44 W,1035 MHz,3.1 %,9.15 W,279.86 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1035 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:28.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,4.10 %,38.60 %,94.56 %,100.00 %,0.08 GB/s,114.96 W,1110 MHz,3.1 %,9.22 W,231.59 W,16,92.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1110 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:28.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,93.20 %,16.30 %,94.56 %,99.90 %,0.08 GB/s,113.07 W,1155 MHz,3.7 %,9.21 W,303.06 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:29.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,70.00 %,18.00 %,94.56 %,100.00 %,0.05 GB/s,121.56 W,1050 MHz,3.7 %,9.39 W,329.00 W,16,12.50 %,0.00 GB/s,100.00 %,0.03 GB/s,1050 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:29.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,31.00 %,5.6 %,4,0.00 GB/s,70.00 %,13.90 %,94.56 %,100.00 %,0.09 GB/s,107.30 W,1080 MHz,3.4 %,9.25 W,300.52 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1080 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:29.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,31.00 %,5.6 %,4,0.00 GB/s,90.50 %,22.80 %,94.56 %,100.00 %,0.08 GB/s,106.02 W,1155 MHz,6.5 %,9.32 W,298.48 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:29.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,31.00 %,5.6 %,4,0.00 GB/s,91.90 %,17.10 %,94.56 %,100.00 %,0.06 GB/s,104.69 W,1170 MHz,3.4 %,9.41 W,270.00 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:29.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,23.00 %,5.6 %,4,0.00 GB/s,70.00 %,15.00 %,94.56 %,100.00 %,0.09 GB/s,106.68 W,1080 MHz,3.6 %,9.32 W,290.30 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1080 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:29.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,23.00 %,5.6 %,4,0.00 GB/s,13.10 %,36.30 %,94.56 %,96.80 %,0.08 GB/s,106.48 W,1170 MHz,2.8 %,9.34 W,230.51 W,16,78.60 %,0.00 GB/s,100.00 %,0.06 GB/s,1170 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:29.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,34.00 %,5.6 %,4,0.00 GB/s,90.90 %,19.10 %,94.56 %,99.90 %,0.08 GB/s,104.83 W,1170 MHz,3.1 %,9.28 W,305.88 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:29.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,34.00 %,5.6 %,4,0.00 GB/s,70.10 %,14.90 %,94.56 %,100.00 %,0.09 GB/s,105.45 W,1065 MHz,3.7 %,9.17 W,305.88 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1065 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:29.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,24.00 %,5.6 %,4,0.00 GB/s,70.20 %,13.00 %,94.56 %,100.00 %,0.09 GB/s,112.24 W,1065 MHz,5.0 %,9.24 W,307.06 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1065 MHz,66.00 °C,1512 MHz
2025-05-07 16:41:29.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,24.00 %,5.6 %,4,0.00 GB/s,90.60 %,15.20 %,94.56 %,100.00 %,0.08 GB/s,119.40 W,1170 MHz,3.4 %,9.13 W,307.93 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,29.00 %,5.6 %,4,0.00 GB/s,90.70 %,23.00 %,94.56 %,100.00 %,0.08 GB/s,118.45 W,1155 MHz,3.4 %,9.35 W,293.71 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,29.00 %,5.6 %,4,0.00 GB/s,69.70 %,13.70 %,94.56 %,100.00 %,0.09 GB/s,105.74 W,1065 MHz,3.7 %,9.15 W,288.26 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1065 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,90.30 %,23.10 %,94.56 %,100.00 %,0.08 GB/s,105.32 W,1155 MHz,2.5 %,9.32 W,246.21 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,91.70 %,16.70 %,94.56 %,100.00 %,0.08 GB/s,108.55 W,1155 MHz,3.4 %,9.28 W,305.50 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,68.00 °C,1512 MHz
2025-05-07 16:41:30.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,70.10 %,13.50 %,94.56 %,100.00 %,0.09 GB/s,111.66 W,1065 MHz,5.2 %,9.26 W,340.83 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1065 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,26.00 %,5.6 %,4,0.00 GB/s,4.10 %,37.00 %,94.56 %,100.00 %,0.08 GB/s,133.50 W,1155 MHz,5.2 %,9.34 W,312.29 W,16,92.60 %,0.00 GB/s,100.00 %,0.05 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,25.00 %,5.6 %,4,0.00 GB/s,91.20 %,19.70 %,94.56 %,99.90 %,0.08 GB/s,132.63 W,1155 MHz,5.0 %,9.40 W,314.62 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,25.00 %,5.6 %,4,0.00 GB/s,69.70 %,12.60 %,94.56 %,100.00 %,0.09 GB/s,124.82 W,1065 MHz,4.3 %,9.27 W,290.59 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1065 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:30.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,31.00 %,5.6 %,4,0.00 GB/s,90.60 %,23.10 %,94.56 %,100.00 %,0.08 GB/s,123.96 W,1155 MHz,2.8 %,9.11 W,272.34 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:31.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,31.00 %,5.6 %,4,0.00 GB/s,90.60 %,22.10 %,94.56 %,100.00 %,0.08 GB/s,132.54 W,1155 MHz,5.6 %,9.45 W,302.29 W,16,12.40 %,0.00 GB/s,100.00 %,0.04 GB/s,1155 MHz,67.00 °C,1512 MHz
2025-05-07 16:41:31.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,24.00 %,5.6 %,4,0.00 GB/s,70.10 %,13.20 %,94.56 %,100.00 %,0.09 GB/s,148.41 W,1050 MHz,5.2 %,9.42 W,314.04 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1050 MHz,67.00 °C,1512 MHz
