timestamp,task_name,name,index,cpu_power,usage.memory [%],cpu_usage,dram_power,dram_active,temperature.memory,dram_usage,sm_occupancy,nvlink_tx_bytes,nvlink_rx_bytes,utilization.gpu [%],temperature.gpu,pcie.link.gen.current,pcie.link.width.current,clocks.current.memory [MHz],clocks.current.sm [MHz],pcie_rx_bytes,sm_active,tensor_active,clocks.current.graphics [MHz],utilization.memory [%],pcie_tx_bytes,power.draw [W]
2025-05-07 16:38:45.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.34 W,75.93 %,4.6 %,9.20 W,11.80 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1095 MHz,0.04 GB/s,100.00 %,70.00 %,1095 MHz,22.00 %,0.09 GB/s,326.38 W
2025-05-07 16:38:45.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.87 W,75.93 %,4.0 %,9.08 W,15.70 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,91.40 %,1155 MHz,35.00 %,0.08 GB/s,316.76 W
2025-05-07 16:38:45.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,155.10 W,75.93 %,3.7 %,9.18 W,22.30 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1110 MHz,0.05 GB/s,100.00 %,90.50 %,1110 MHz,35.00 %,0.08 GB/s,258.57 W
2025-05-07 16:38:45.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.30 W,78.00 %,3.1 %,9.18 W,14.00 %,63.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1110 MHz,0.05 GB/s,100.00 %,70.10 %,1110 MHz,35.00 %,0.09 GB/s,275.76 W
2025-05-07 16:38:45.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.60 W,78.00 %,2.8 %,9.08 W,13.90 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,64.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,70.10 %,1155 MHz,23.00 %,0.09 GB/s,271.16 W
2025-05-07 16:38:45.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.74 W,78.00 %,3.1 %,8.98 W,16.20 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,99.80 %,91.50 %,1155 MHz,23.00 %,0.08 GB/s,303.94 W
2025-05-07 16:38:45.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.89 W,80.07 %,3.4 %,9.10 W,12.40 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1050 MHz,0.04 GB/s,100.00 %,69.90 %,1050 MHz,29.00 %,0.08 GB/s,303.94 W
2025-05-07 16:38:45.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.48 W,80.07 %,3.1 %,9.22 W,16.20 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1170 MHz,0.05 GB/s,100.00 %,69.90 %,1170 MHz,29.00 %,0.09 GB/s,320.66 W
2025-05-07 16:38:46.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.54 W,80.07 %,5.2 %,9.27 W,23.30 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.30 %,1155 MHz,26.00 %,0.08 GB/s,320.27 W
2025-05-07 16:38:46.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.38 W,80.07 %,3.4 %,9.19 W,22.20 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1080 MHz,0.04 GB/s,100.00 %,90.80 %,1080 MHz,26.00 %,0.08 GB/s,310.44 W
2025-05-07 16:38:46.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.49 W,82.14 %,3.7 %,9.09 W,14.60 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1080 MHz,0.05 GB/s,100.00 %,69.70 %,1080 MHz,26.00 %,0.09 GB/s,287.19 W
2025-05-07 16:38:46.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,154.24 W,82.14 %,4.3 %,9.09 W,12.90 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1110 MHz,0.04 GB/s,100.00 %,70.00 %,1110 MHz,26.00 %,0.09 GB/s,291.75 W
2025-05-07 16:38:46.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.32 W,82.14 %,3.4 %,9.07 W,16.00 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,91.50 %,1155 MHz,31.00 %,0.08 GB/s,307.15 W
2025-05-07 16:38:46.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.81 W,84.21 %,4.6 %,9.19 W,12.50 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1050 MHz,0.04 GB/s,100.00 %,70.20 %,1050 MHz,31.00 %,0.09 GB/s,344.42 W
2025-05-07 16:38:46.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.61 W,84.21 %,3.0 %,8.92 W,13.50 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1155 MHz,0.05 GB/s,100.00 %,69.90 %,1155 MHz,33.00 %,0.09 GB/s,255.94 W
2025-05-07 16:38:46.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.47 W,84.21 %,3.4 %,9.08 W,15.60 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,99.80 %,90.50 %,1155 MHz,33.00 %,0.08 GB/s,309.68 W
2025-05-07 16:38:46.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.69 W,84.21 %,4.0 %,9.13 W,48.70 %,65.00 °C,5.6 %,93.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1035 MHz,0.05 GB/s,100.00 %,4.30 %,1035 MHz,33.00 %,0.08 GB/s,302.28 W
2025-05-07 16:38:47.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.46 W,86.28 %,3.4 %,9.18 W,18.90 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1125 MHz,0.04 GB/s,100.00 %,69.70 %,1125 MHz,24.00 %,0.09 GB/s,302.28 W
2025-05-07 16:38:47.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,148.77 W,86.28 %,2.4 %,9.11 W,20.90 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.60 %,1155 MHz,24.00 %,0.08 GB/s,300.92 W
2025-05-07 16:38:47.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.08 W,86.28 %,3.4 %,9.12 W,17.00 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1050 MHz,0.04 GB/s,100.00 %,91.50 %,1050 MHz,29.00 %,0.08 GB/s,300.92 W
2025-05-07 16:38:47.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.29 W,88.35 %,3.4 %,8.98 W,15.90 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1050 MHz,0.05 GB/s,100.00 %,69.80 %,1050 MHz,29.00 %,0.09 GB/s,317.74 W
2025-05-07 16:38:47.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.39 W,88.35 %,2.8 %,8.93 W,16.50 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1170 MHz,0.04 GB/s,100.00 %,91.20 %,1170 MHz,27.00 %,0.08 GB/s,243.22 W
2025-05-07 16:38:47.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.89 W,88.35 %,3.4 %,9.13 W,16.10 %,65.00 °C,5.6 %,12.30 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.30 %,1155 MHz,27.00 %,0.08 GB/s,308.80 W
2025-05-07 16:38:47.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.37 W,90.42 %,5.5 %,9.34 W,13.40 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1065 MHz,0.05 GB/s,100.00 %,70.10 %,1065 MHz,26.00 %,0.09 GB/s,329.16 W
2025-05-07 16:38:47.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,154.01 W,90.42 %,5.6 %,9.21 W,14.30 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.05 GB/s,100.00 %,70.10 %,1155 MHz,26.00 %,0.09 GB/s,268.51 W
2025-05-07 16:38:47.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.50 W,90.42 %,5.6 %,9.45 W,20.00 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.50 %,1155 MHz,26.00 %,0.08 GB/s,307.72 W
2025-05-07 16:38:47.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.45 W,90.42 %,4.0 %,9.20 W,51.20 %,65.00 °C,5.6 %,93.20 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1035 MHz,0.04 GB/s,100.00 %,2.60 %,1035 MHz,32.00 %,0.08 GB/s,281.24 W
2025-05-07 16:38:48.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.01 W,92.49 %,3.7 %,9.15 W,11.80 %,65.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1050 MHz,0.04 GB/s,100.00 %,70.20 %,1050 MHz,32.00 %,0.09 GB/s,227.09 W
2025-05-07 16:38:48.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.79 W,92.49 %,3.4 %,9.03 W,17.40 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1170 MHz,0.04 GB/s,100.00 %,91.20 %,1170 MHz,25.00 %,0.08 GB/s,227.09 W
2025-05-07 16:38:48.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,147.04 W,92.49 %,3.4 %,8.91 W,16.30 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1095 MHz,0.04 GB/s,100.00 %,91.60 %,1095 MHz,25.00 %,0.08 GB/s,314.54 W
2025-05-07 16:38:48.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.75 W,94.56 %,3.7 %,8.91 W,15.30 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1095 MHz,0.05 GB/s,100.00 %,69.90 %,1095 MHz,24.00 %,0.09 GB/s,366.22 W
2025-05-07 16:38:48.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,147.85 W,94.56 %,2.8 %,8.99 W,15.10 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1065 MHz,0.05 GB/s,100.00 %,70.10 %,1065 MHz,24.00 %,0.09 GB/s,286.19 W
2025-05-07 16:38:48.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,133.24 W,94.56 %,2.8 %,9.09 W,17.00 %,65.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,99.90 %,94.10 %,1155 MHz,29.00 %,0.08 GB/s,309.09 W
2025-05-07 16:38:48.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,132.28 W,94.56 %,3.7 %,9.28 W,12.70 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1125 MHz,0.04 GB/s,100.00 %,70.10 %,1125 MHz,29.00 %,0.08 GB/s,282.51 W
2025-05-07 16:38:48.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,114.49 W,94.56 %,3.4 %,9.22 W,14.20 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1080 MHz,0.04 GB/s,100.00 %,70.10 %,1080 MHz,30.00 %,0.09 GB/s,296.44 W
2025-05-07 16:38:48.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,118.44 W,94.56 %,8.1 %,9.30 W,21.80 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.60 %,1155 MHz,30.00 %,0.08 GB/s,250.50 W
2025-05-07 16:38:48.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,135.82 W,94.56 %,5.5 %,9.30 W,16.50 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1110 MHz,0.04 GB/s,100.00 %,91.50 %,1110 MHz,22.00 %,0.08 GB/s,323.87 W
2025-05-07 16:38:49.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,138.71 W,94.56 %,4.6 %,9.24 W,17.10 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1080 MHz,0.04 GB/s,100.00 %,69.80 %,1080 MHz,22.00 %,0.09 GB/s,297.79 W
2025-05-07 16:38:49.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,139.25 W,94.56 %,3.4 %,9.32 W,12.20 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1170 MHz,0.04 GB/s,100.00 %,70.00 %,1170 MHz,22.00 %,0.09 GB/s,297.79 W
2025-05-07 16:38:49.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,137.04 W,94.56 %,3.1 %,9.15 W,15.90 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1185 MHz,0.04 GB/s,99.90 %,93.20 %,1185 MHz,34.00 %,0.08 GB/s,308.12 W
2025-05-07 16:38:49.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,129.40 W,94.56 %,3.7 %,9.01 W,13.40 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1185 MHz,0.04 GB/s,100.00 %,70.00 %,1185 MHz,34.00 %,0.08 GB/s,315.16 W
2025-05-07 16:38:49.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,120.84 W,94.56 %,3.4 %,9.22 W,16.70 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1065 MHz,0.05 GB/s,100.00 %,69.90 %,1065 MHz,23.00 %,0.09 GB/s,276.35 W
2025-05-07 16:38:49.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.51 W,94.56 %,3.4 %,9.36 W,22.70 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.30 %,1155 MHz,23.00 %,0.08 GB/s,257.86 W
2025-05-07 16:38:49.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.24 W,94.56 %,3.7 %,9.34 W,21.90 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.70 %,1155 MHz,30.00 %,0.08 GB/s,307.82 W
2025-05-07 16:38:49.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,109.15 W,94.56 %,3.4 %,9.21 W,13.50 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1080 MHz,0.04 GB/s,100.00 %,70.10 %,1080 MHz,30.00 %,0.08 GB/s,330.17 W
2025-05-07 16:38:49.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.09 W,94.56 %,3.7 %,9.46 W,13.00 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1170 MHz,0.04 GB/s,100.00 %,69.90 %,1170 MHz,26.00 %,0.09 GB/s,345.48 W
2025-05-07 16:38:49.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,105.93 W,94.56 %,3.7 %,9.13 W,16.60 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,99.90 %,93.10 %,1155 MHz,26.00 %,0.08 GB/s,316.67 W
2025-05-07 16:38:50.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,101.64 W,94.56 %,3.6 %,9.33 W,36.20 %,67.00 °C,5.6 %,92.30 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1035 MHz,0.04 GB/s,100.00 %,4.20 %,1035 MHz,26.00 %,0.07 GB/s,274.30 W
2025-05-07 16:38:50.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,110.66 W,94.56 %,5.0 %,9.26 W,10.90 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1125 MHz,0.05 GB/s,100.00 %,70.00 %,1125 MHz,27.00 %,0.09 GB/s,274.30 W
2025-05-07 16:38:50.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,111.79 W,94.56 %,3.7 %,9.38 W,23.00 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.40 %,1155 MHz,27.00 %,0.08 GB/s,270.39 W
2025-05-07 16:38:50.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,103.28 W,94.56 %,3.4 %,9.30 W,22.30 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.70 %,1155 MHz,22.00 %,0.08 GB/s,303.83 W
2025-05-07 16:38:50.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,109.83 W,94.56 %,2.8 %,9.29 W,15.00 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1050 MHz,0.04 GB/s,100.00 %,69.80 %,1050 MHz,22.00 %,0.09 GB/s,326.38 W
2025-05-07 16:38:50.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,109.50 W,94.56 %,3.7 %,9.27 W,56.30 %,67.00 °C,5.6 %,92.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1155 MHz,0.05 GB/s,100.00 %,0.00 %,1155 MHz,35.00 %,0.08 GB/s,326.38 W
2025-05-07 16:38:50.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,107.41 W,94.56 %,3.7 %,9.26 W,18.60 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1110 MHz,0.04 GB/s,99.90 %,90.60 %,1110 MHz,35.00 %,0.07 GB/s,308.12 W
2025-05-07 16:38:50.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,110.93 W,94.56 %,4.0 %,9.14 W,18.10 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1125 MHz,0.04 GB/s,100.00 %,69.80 %,1125 MHz,24.00 %,0.08 GB/s,284.34 W
2025-05-07 16:38:50.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,123.61 W,94.56 %,8.4 %,9.44 W,13.10 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,66.00 °C,4,16,1512 MHz,1125 MHz,0.04 GB/s,100.00 %,70.00 %,1125 MHz,24.00 %,0.08 GB/s,292.74 W
2025-05-07 16:38:51.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,135.25 W,94.56 %,4.0 %,9.17 W,20.80 %,67.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,90.40 %,1155 MHz,29.00 %,0.08 GB/s,286.89 W
2025-05-07 16:38:51.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,123.98 W,94.56 %,3.4 %,9.20 W,42.80 %,67.00 °C,5.6 %,92.70 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1125 MHz,0.05 GB/s,100.00 %,2.80 %,1125 MHz,29.00 %,0.08 GB/s,303.06 W
2025-05-07 16:38:51.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,114.41 W,94.56 %,3.7 %,9.22 W,14.60 %,67.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,67.00 °C,4,16,1512 MHz,1110 MHz,0.04 GB/s,100.00 %,69.90 %,1110 MHz,26.00 %,0.08 GB/s,314.90 W
