timestamp,task_name,name,index,nvlink_tx_bytes,clocks.current.sm [MHz],pcie.link.gen.current,utilization.gpu [%],utilization.memory [%],power.draw [W],dram_power,nvlink_rx_bytes,sm_occupancy,pcie.link.width.current,temperature.memory,pcie_tx_bytes,clocks.current.graphics [MHz],sm_active,tensor_active,usage.memory [%],clocks.current.memory [MHz],dram_active,pcie_rx_bytes,dram_usage,cpu_power,cpu_usage,temperature.gpu
2025-05-07 16:36:04.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1050 MHz,4,100.00 %,28.00 %,307.51 W,9.23 W,0.00 GB/s,25.50 %,16,63.00 °C,0.08 GB/s,1050 MHz,100.00 %,0.00 %,73.85 %,1512 MHz,13.20 %,0.04 GB/s,5.6 %,150.37 W,4.4 %,64.00 °C
2025-05-07 16:36:04.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,28.00 %,294.60 W,9.35 W,0.00 GB/s,12.50 %,16,63.00 °C,0.09 GB/s,1065 MHz,100.00 %,69.80 %,75.93 %,1512 MHz,15.10 %,0.04 GB/s,5.6 %,152.37 W,6.2 %,64.00 °C
2025-05-07 16:36:04.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1140 MHz,4,100.00 %,30.00 %,314.92 W,9.02 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1140 MHz,100.00 %,90.40 %,75.93 %,1512 MHz,19.10 %,0.04 GB/s,5.6 %,151.75 W,4.0 %,65.00 °C
2025-05-07 16:36:04.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1110 MHz,4,100.00 %,22.00 %,306.83 W,8.99 W,0.00 GB/s,100.00 %,16,65.00 °C,0.08 GB/s,1110 MHz,100.00 %,0.00 %,75.93 %,1512 MHz,27.50 %,0.04 GB/s,5.6 %,153.31 W,3.4 %,65.00 °C
2025-05-07 16:36:04.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,22.00 %,254.35 W,9.27 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1065 MHz,100.00 %,69.90 %,78.00 %,1512 MHz,15.80 %,0.05 GB/s,5.6 %,150.35 W,3.1 %,64.00 °C
2025-05-07 16:36:04.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,34.00 %,304.62 W,9.04 W,0.00 GB/s,12.50 %,16,65.00 °C,0.05 GB/s,1155 MHz,99.90 %,90.70 %,78.00 %,1512 MHz,19.10 %,0.03 GB/s,5.6 %,153.03 W,3.4 %,65.00 °C
2025-05-07 16:36:04.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1110 MHz,4,100.00 %,34.00 %,329.37 W,9.31 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1110 MHz,100.00 %,70.20 %,80.07 %,1512 MHz,12.70 %,0.05 GB/s,5.6 %,155.14 W,6.0 %,64.00 °C
2025-05-07 16:36:04.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1050 MHz,4,100.00 %,23.00 %,253.38 W,9.19 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1050 MHz,100.00 %,69.90 %,80.07 %,1512 MHz,15.20 %,0.04 GB/s,5.6 %,150.71 W,4.7 %,64.00 °C
2025-05-07 16:36:05.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,23.00 %,306.67 W,9.03 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1155 MHz,100.00 %,91.20 %,80.07 %,1512 MHz,15.50 %,0.04 GB/s,5.6 %,154.29 W,4.3 %,65.00 °C
2025-05-07 16:36:05.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1080 MHz,4,100.00 %,23.00 %,328.61 W,8.96 W,0.00 GB/s,12.50 %,16,65.00 °C,0.08 GB/s,1080 MHz,100.00 %,70.00 %,80.07 %,1512 MHz,13.70 %,0.04 GB/s,5.6 %,151.41 W,4.0 %,66.00 °C
2025-05-07 16:36:05.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1050 MHz,4,100.00 %,26.00 %,245.33 W,9.35 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1050 MHz,100.00 %,70.10 %,82.14 %,1512 MHz,13.40 %,0.04 GB/s,5.6 %,151.72 W,5.5 %,65.00 °C
2025-05-07 16:36:05.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,27.00 %,297.51 W,9.28 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.30 %,82.14 %,1512 MHz,23.00 %,0.04 GB/s,5.6 %,152.34 W,5.0 %,65.00 °C
2025-05-07 16:36:05.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,27.00 %,305.49 W,9.15 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1170 MHz,100.00 %,91.60 %,82.14 %,1512 MHz,17.10 %,0.04 GB/s,5.6 %,154.21 W,4.3 %,66.00 °C
2025-05-07 16:36:05.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1125 MHz,4,100.00 %,27.00 %,297.61 W,9.00 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1125 MHz,100.00 %,70.10 %,84.21 %,1512 MHz,14.00 %,0.04 GB/s,5.6 %,153.95 W,4.0 %,65.00 °C
2025-05-07 16:36:05.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,31.00 %,297.61 W,9.15 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1170 MHz,100.00 %,69.70 %,84.21 %,1512 MHz,16.50 %,0.04 GB/s,5.6 %,150.77 W,3.7 %,64.00 °C
2025-05-07 16:36:05.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1125 MHz,4,100.00 %,31.00 %,238.58 W,9.12 W,0.00 GB/s,12.40 %,16,65.00 °C,0.06 GB/s,1125 MHz,99.90 %,94.00 %,84.21 %,1512 MHz,16.30 %,0.03 GB/s,5.6 %,151.44 W,3.1 %,66.00 °C
2025-05-07 16:36:05.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1095 MHz,4,100.00 %,22.00 %,320.94 W,9.12 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1095 MHz,100.00 %,70.10 %,86.28 %,1512 MHz,15.10 %,0.05 GB/s,5.6 %,148.16 W,2.8 %,65.00 °C
2025-05-07 16:36:05.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1095 MHz,4,100.00 %,22.00 %,263.05 W,8.96 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1095 MHz,100.00 %,69.90 %,86.28 %,1512 MHz,12.60 %,0.04 GB/s,5.6 %,150.86 W,2.8 %,65.00 °C
2025-05-07 16:36:06.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,35.00 %,308.21 W,9.16 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1170 MHz,100.00 %,90.50 %,86.28 %,1512 MHz,23.20 %,0.04 GB/s,5.6 %,151.89 W,3.1 %,66.00 °C
2025-05-07 16:36:06.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,35.00 %,306.85 W,9.15 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.80 %,86.28 %,1512 MHz,22.00 %,0.04 GB/s,5.6 %,147.50 W,3.1 %,66.00 °C
2025-05-07 16:36:06.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,24.00 %,286.68 W,8.94 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1065 MHz,100.00 %,69.90 %,88.35 %,1512 MHz,16.60 %,0.05 GB/s,5.6 %,154.50 W,3.4 %,66.00 °C
2025-05-07 16:36:06.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,24.00 %,228.08 W,9.14 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1155 MHz,100.00 %,70.10 %,88.35 %,1512 MHz,14.70 %,0.05 GB/s,5.6 %,152.05 W,3.1 %,66.00 °C
2025-05-07 16:36:06.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,29.00 %,307.63 W,9.33 W,0.00 GB/s,12.50 %,16,65.00 °C,0.08 GB/s,1170 MHz,99.90 %,90.70 %,88.35 %,1512 MHz,18.50 %,0.04 GB/s,5.6 %,151.47 W,4.9 %,66.00 °C
2025-05-07 16:36:06.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,29.00 %,339.76 W,9.18 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1065 MHz,100.00 %,70.00 %,90.42 %,1512 MHz,13.00 %,0.04 GB/s,5.6 %,149.39 W,4.7 %,66.00 °C
2025-05-07 16:36:06.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1080 MHz,4,100.00 %,26.00 %,290.11 W,9.11 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1080 MHz,100.00 %,70.00 %,90.42 %,1512 MHz,14.40 %,0.04 GB/s,5.6 %,149.95 W,4.0 %,66.00 °C
2025-05-07 16:36:06.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,26.00 %,311.73 W,9.41 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.60 %,90.42 %,1512 MHz,21.70 %,0.04 GB/s,5.6 %,153.17 W,6.5 %,66.00 °C
2025-05-07 16:36:06.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1110 MHz,4,100.00 %,27.00 %,274.10 W,9.12 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1110 MHz,100.00 %,92.00 %,90.42 %,1512 MHz,16.50 %,0.04 GB/s,5.6 %,152.13 W,3.4 %,66.00 °C
2025-05-07 16:36:06.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1080 MHz,4,100.00 %,27.00 %,274.98 W,9.04 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1080 MHz,100.00 %,70.00 %,92.49 %,1512 MHz,12.80 %,0.04 GB/s,5.6 %,148.50 W,3.7 %,65.00 °C
2025-05-07 16:36:07.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,31.00 %,224.63 W,8.97 W,0.00 GB/s,12.40 %,16,65.00 °C,0.09 GB/s,1170 MHz,100.00 %,90.50 %,92.49 %,1512 MHz,23.10 %,0.04 GB/s,5.6 %,151.55 W,1.9 %,66.00 °C
2025-05-07 16:36:07.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1185 MHz,4,100.00 %,31.00 %,302.86 W,8.93 W,0.00 GB/s,12.30 %,16,65.00 °C,0.08 GB/s,1185 MHz,100.00 %,89.20 %,92.49 %,1512 MHz,15.80 %,0.04 GB/s,5.6 %,151.48 W,3.7 %,66.00 °C
2025-05-07 16:36:07.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,31.00 %,302.38 W,9.34 W,0.00 GB/s,12.50 %,16,65.00 °C,0.09 GB/s,1065 MHz,100.00 %,69.70 %,94.56 %,1512 MHz,18.10 %,0.05 GB/s,5.6 %,151.69 W,5.0 %,66.00 °C
2025-05-07 16:36:07.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,23.00 %,302.38 W,9.01 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1170 MHz,100.00 %,69.90 %,94.56 %,1512 MHz,13.60 %,0.04 GB/s,5.6 %,139.17 W,3.1 %,65.00 °C
2025-05-07 16:36:07.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,23.00 %,314.63 W,9.20 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.70 %,94.56 %,1512 MHz,20.40 %,0.04 GB/s,5.6 %,148.73 W,3.1 %,67.00 °C
2025-05-07 16:36:07.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,34.00 %,297.02 W,9.26 W,0.00 GB/s,93.40 %,16,65.00 °C,0.08 GB/s,1155 MHz,100.00 %,4.30 %,94.56 %,1512 MHz,48.60 %,0.04 GB/s,5.6 %,129.94 W,3.1 %,66.00 °C
2025-05-07 16:36:07.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1080 MHz,4,100.00 %,34.00 %,281.32 W,9.15 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1080 MHz,100.00 %,69.80 %,94.56 %,1512 MHz,16.10 %,0.04 GB/s,5.6 %,121.62 W,3.4 %,66.00 °C
2025-05-07 16:36:07.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,24.00 %,242.90 W,9.43 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.90 %,94.56 %,1512 MHz,16.80 %,0.04 GB/s,5.6 %,114.96 W,4.6 %,66.00 °C
2025-05-07 16:36:07.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,24.00 %,306.17 W,9.25 W,0.00 GB/s,12.40 %,16,65.00 °C,0.08 GB/s,1155 MHz,100.00 %,91.90 %,94.56 %,1512 MHz,16.60 %,0.04 GB/s,5.6 %,113.01 W,5.0 %,66.00 °C
2025-05-07 16:36:08.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1050 MHz,4,100.00 %,27.00 %,335.90 W,9.32 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1050 MHz,100.00 %,69.90 %,94.56 %,1512 MHz,14.40 %,0.05 GB/s,5.6 %,134.69 W,3.7 %,66.00 °C
2025-05-07 16:36:08.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1050 MHz,4,100.00 %,27.00 %,311.43 W,8.99 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1050 MHz,100.00 %,69.90 %,94.56 %,1512 MHz,14.20 %,0.04 GB/s,5.6 %,127.36 W,3.4 %,66.00 °C
2025-05-07 16:36:08.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,26.00 %,301.60 W,9.28 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.60 %,94.56 %,1512 MHz,20.70 %,0.04 GB/s,5.6 %,117.60 W,3.7 %,67.00 °C
2025-05-07 16:36:08.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1110 MHz,4,100.00 %,26.00 %,302.19 W,9.39 W,0.00 GB/s,44.50 %,16,67.00 °C,0.06 GB/s,1110 MHz,100.00 %,0.00 %,94.56 %,1512 MHz,20.00 %,0.04 GB/s,5.6 %,115.86 W,3.6 %,67.00 °C
2025-05-07 16:36:08.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,31.00 %,281.71 W,9.33 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1065 MHz,100.00 %,70.10 %,94.56 %,1512 MHz,12.50 %,0.05 GB/s,5.6 %,113.36 W,3.4 %,66.00 °C
2025-05-07 16:36:08.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,31.00 %,298.29 W,9.28 W,0.00 GB/s,11.00 %,16,67.00 °C,0.08 GB/s,1155 MHz,95.30 %,84.20 %,94.56 %,1512 MHz,27.90 %,0.04 GB/s,5.6 %,118.10 W,3.7 %,66.00 °C
2025-05-07 16:36:08.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1125 MHz,4,100.00 %,25.00 %,322.03 W,9.32 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1125 MHz,100.00 %,91.30 %,94.56 %,1512 MHz,17.60 %,0.04 GB/s,5.6 %,104.22 W,3.1 %,67.00 °C
2025-05-07 16:36:08.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1095 MHz,4,100.00 %,25.00 %,324.43 W,9.11 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1095 MHz,100.00 %,70.00 %,94.56 %,1512 MHz,16.70 %,0.04 GB/s,5.6 %,105.32 W,3.4 %,66.00 °C
2025-05-07 16:36:08.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,25.00 %,308.11 W,9.55 W,0.00 GB/s,12.40 %,16,67.00 °C,0.09 GB/s,1155 MHz,100.00 %,91.30 %,94.56 %,1512 MHz,17.50 %,0.05 GB/s,5.6 %,110.72 W,5.8 %,65.00 °C
2025-05-07 16:36:08.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,31.00 %,332.49 W,9.13 W,0.00 GB/s,12.50 %,16,67.00 °C,0.08 GB/s,1170 MHz,99.90 %,90.50 %,94.56 %,1512 MHz,21.30 %,0.04 GB/s,5.6 %,119.50 W,3.7 %,67.00 °C
2025-05-07 16:36:09.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1080 MHz,4,100.00 %,31.00 %,332.49 W,9.17 W,0.00 GB/s,12.50 %,16,67.00 °C,0.08 GB/s,1080 MHz,100.00 %,70.00 %,94.56 %,1512 MHz,13.20 %,0.04 GB/s,5.6 %,120.83 W,3.7 %,67.00 °C
2025-05-07 16:36:09.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1080 MHz,4,100.00 %,24.00 %,283.67 W,9.29 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1080 MHz,100.00 %,70.10 %,94.56 %,1512 MHz,12.60 %,0.05 GB/s,5.6 %,115.18 W,5.6 %,66.00 °C
2025-05-07 16:36:09.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,24.00 %,274.50 W,9.15 W,0.00 GB/s,12.40 %,16,67.00 °C,0.04 GB/s,1170 MHz,100.00 %,91.10 %,94.56 %,1512 MHz,15.20 %,0.03 GB/s,5.6 %,124.00 W,3.4 %,67.00 °C
2025-05-07 16:36:09.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,29.00 %,305.58 W,9.26 W,0.00 GB/s,12.30 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.60 %,94.56 %,1512 MHz,16.10 %,0.04 GB/s,5.6 %,126.92 W,3.7 %,67.00 °C
2025-05-07 16:36:09.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,29.00 %,311.03 W,9.02 W,0.00 GB/s,12.50 %,16,67.00 °C,0.09 GB/s,1065 MHz,100.00 %,70.00 %,94.56 %,1512 MHz,12.40 %,0.04 GB/s,5.6 %,120.75 W,3.4 %,67.00 °C
2025-05-07 16:36:09.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,27.00 %,306.27 W,9.26 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,91.30 %,94.56 %,1512 MHz,17.50 %,0.04 GB/s,5.6 %,109.54 W,3.1 %,66.00 °C
2025-05-07 16:36:09.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,27.00 %,303.26 W,9.31 W,0.00 GB/s,12.50 %,16,67.00 °C,0.08 GB/s,1155 MHz,99.90 %,90.60 %,94.56 %,1512 MHz,19.10 %,0.04 GB/s,5.6 %,107.41 W,3.4 %,67.00 °C
2025-05-07 16:36:09.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1050 MHz,4,100.00 %,27.00 %,281.91 W,9.18 W,0.00 GB/s,12.50 %,16,67.00 °C,0.08 GB/s,1050 MHz,100.00 %,70.10 %,94.56 %,1512 MHz,12.50 %,0.04 GB/s,5.6 %,107.65 W,3.4 %,67.00 °C
2025-05-07 16:36:09.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,26.00 %,281.91 W,9.34 W,0.00 GB/s,12.50 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,69.90 %,94.56 %,1512 MHz,15.20 %,0.04 GB/s,5.6 %,104.35 W,3.4 %,66.00 °C
2025-05-07 16:36:09.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,26.00 %,270.88 W,9.25 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.90 %,94.56 %,1512 MHz,15.70 %,0.04 GB/s,5.6 %,106.53 W,3.7 %,67.00 °C
2025-05-07 16:36:10.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,100.00 %,25.00 %,307.54 W,9.43 W,0.00 GB/s,12.40 %,16,67.00 °C,0.08 GB/s,1155 MHz,100.00 %,90.50 %,94.56 %,1512 MHz,22.50 %,0.04 GB/s,5.6 %,105.78 W,3.4 %,66.00 °C
2025-05-07 16:36:10.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,25.00 %,313.76 W,9.36 W,0.00 GB/s,12.50 %,16,67.00 °C,0.08 GB/s,1170 MHz,100.00 %,70.00 %,94.56 %,1512 MHz,13.50 %,0.04 GB/s,5.6 %,108.52 W,2.5 %,67.00 °C
