timestamp,task_name,name,index,cpu_usage,cpu_power,tensor_active,utilization.memory [%],dram_active,temperature.memory,clocks.current.memory [MHz],utilization.gpu [%],clocks.current.sm [MHz],clocks.current.graphics [MHz],dram_power,pcie_rx_bytes,power.draw [W],pcie.link.gen.current,dram_usage,nvlink_rx_bytes,usage.memory [%],pcie_tx_bytes,sm_occupancy,temperature.gpu,pcie.link.width.current,sm_active,nvlink_tx_bytes
2025-05-07 14:34:42.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.0 %,151.04 W,90.40 %,26.00 %,21.50 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,8.95 W,0.04 GB/s,309.19 W,4,5.5 %,0.00 GB/s,82.14 %,0.08 GB/s,12.40 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,6.2 %,156.19 W,90.80 %,27.00 %,16.10 %,63.00 °C,1512 MHz,100.00 %,1140 MHz,1140 MHz,9.22 W,0.04 GB/s,288.06 W,4,5.5 %,0.00 GB/s,82.14 %,0.08 GB/s,12.30 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,6.5 %,150.63 W,70.10 %,27.00 %,13.70 %,63.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.17 W,0.05 GB/s,270.78 W,4,5.5 %,0.00 GB/s,84.21 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.4 %,151.91 W,70.00 %,27.00 %,16.10 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.07 W,0.05 GB/s,265.30 W,4,5.5 %,0.00 GB/s,84.21 %,0.09 GB/s,12.50 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,150.10 W,94.30 %,31.00 %,16.70 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.17 W,0.04 GB/s,307.15 W,4,5.5 %,0.00 GB/s,84.21 %,0.08 GB/s,12.40 %,63.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:43.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,152.13 W,4.20 %,31.00 %,37.90 %,63.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,8.95 W,0.05 GB/s,307.15 W,4,5.5 %,0.00 GB/s,84.21 %,0.08 GB/s,92.30 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,149.83 W,69.90 %,22.00 %,12.50 %,63.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,8.91 W,0.04 GB/s,330.07 W,4,5.5 %,0.00 GB/s,86.28 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,152.28 W,90.30 %,22.00 %,22.90 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.08 W,0.04 GB/s,322.29 W,4,5.5 %,0.00 GB/s,86.28 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,151.03 W,90.60 %,35.00 %,22.80 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.12 W,0.04 GB/s,311.03 W,4,5.5 %,0.00 GB/s,86.28 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,152.60 W,69.90 %,35.00 %,15.60 %,63.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,8.91 W,0.05 GB/s,284.74 W,4,5.5 %,0.00 GB/s,88.35 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,149.30 W,91.30 %,24.00 %,16.40 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,8.92 W,0.04 GB/s,285.92 W,4,5.5 %,0.00 GB/s,88.35 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,154.69 W,0.20 %,24.00 %,92.20 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,8.98 W,0.05 GB/s,309.68 W,4,5.5 %,0.00 GB/s,88.35 %,0.07 GB/s,99.60 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:43.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,154.04 W,70.10 %,27.00 %,12.30 %,63.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.01 W,0.04 GB/s,303.05 W,4,5.5 %,0.00 GB/s,90.42 %,0.09 GB/s,12.50 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,154.06 W,69.70 %,27.00 %,15.70 %,63.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,8.89 W,0.05 GB/s,292.78 W,4,5.5 %,0.00 GB/s,90.42 %,0.09 GB/s,12.50 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,150.86 W,90.20 %,26.00 %,19.30 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.02 W,0.04 GB/s,298.19 W,4,5.5 %,0.00 GB/s,90.42 %,0.08 GB/s,12.50 %,64.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:44.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.6 %,152.11 W,69.90 %,26.00 %,14.80 %,63.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.22 W,0.05 GB/s,311.52 W,4,5.5 %,0.00 GB/s,92.49 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,7.7 %,152.80 W,70.00 %,32.00 %,13.50 %,63.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.35 W,0.05 GB/s,251.91 W,4,5.5 %,0.00 GB/s,92.49 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.9 %,152.52 W,91.10 %,32.00 %,15.60 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.22 W,0.04 GB/s,296.84 W,4,5.5 %,0.00 GB/s,92.49 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.9 %,149.73 W,91.20 %,32.00 %,19.70 %,63.00 °C,1512 MHz,100.00 %,1080 MHz,1080 MHz,9.21 W,0.04 GB/s,306.07 W,4,5.5 %,0.00 GB/s,92.49 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,147.28 W,69.90 %,25.00 %,15.30 %,63.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.15 W,0.04 GB/s,235.75 W,4,5.6 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,147.39 W,91.20 %,31.00 %,15.90 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.04 W,0.04 GB/s,310.14 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:44.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,146.27 W,91.00 %,31.00 %,22.50 %,63.00 °C,1512 MHz,100.00 %,1095 MHz,1095 MHz,9.03 W,0.04 GB/s,360.13 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,152.87 W,70.10 %,31.00 %,14.80 %,63.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.10 W,0.04 GB/s,360.13 W,4,5.6 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.6 %,151.24 W,14.70 %,25.00 %,0.00 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.08 W,0.04 GB/s,278.58 W,4,5.6 %,0.00 GB/s,94.56 %,0.10 GB/s,1.70 %,64.00 °C,16,24.50 %,0.00 GB/s
2025-05-07 14:34:45.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,150.22 W,93.70 %,25.00 %,17.10 %,63.00 °C,1512 MHz,100.00 %,1110 MHz,1110 MHz,9.03 W,0.04 GB/s,305.00 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:45.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,148.94 W,69.90 %,28.00 %,13.50 %,63.00 °C,1512 MHz,100.00 %,1110 MHz,1110 MHz,9.07 W,0.04 GB/s,304.23 W,4,5.5 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.6 %,150.20 W,70.10 %,28.00 %,15.70 %,65.00 °C,1512 MHz,100.00 %,1125 MHz,1125 MHz,9.19 W,0.05 GB/s,286.11 W,4,5.5 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,148.67 W,90.60 %,30.00 %,21.90 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.04 W,0.04 GB/s,221.70 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,138.88 W,90.80 %,30.00 %,22.10 %,63.00 °C,1512 MHz,100.00 %,1140 MHz,1140 MHz,8.99 W,0.04 GB/s,312.21 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,127.24 W,69.90 %,22.00 %,14.10 %,65.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.11 W,0.04 GB/s,305.77 W,4,5.5 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,113.37 W,91.90 %,22.00 %,17.50 %,65.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.21 W,0.04 GB/s,307.93 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:45.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,106.84 W,90.50 %,35.00 %,19.60 %,63.00 °C,1512 MHz,100.00 %,1155 MHz,1155 MHz,9.23 W,0.04 GB/s,304.11 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.50 %,64.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:46.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,103.57 W,70.00 %,35.00 %,11.90 %,65.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,9.02 W,0.05 GB/s,285.52 W,4,5.5 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,65.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,107.43 W,70.10 %,35.00 %,14.00 %,65.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.30 W,0.04 GB/s,285.52 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,110.58 W,91.20 %,30.00 %,16.00 %,65.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.12 W,0.04 GB/s,254.06 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.3 %,112.99 W,91.60 %,30.00 %,16.80 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.26 W,0.04 GB/s,312.30 W,4,5.5 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,131.67 W,70.10 %,26.00 %,14.10 %,65.00 °C,1512 MHz,100.00 %,1020 MHz,1020 MHz,9.13 W,0.04 GB/s,327.65 W,4,5.6 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,131.09 W,90.70 %,26.00 %,23.40 %,65.00 °C,1512 MHz,100.00 %,1185 MHz,1185 MHz,9.06 W,0.04 GB/s,320.84 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,12.40 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.8 %,127.92 W,90.80 %,27.00 %,19.00 %,65.00 °C,1512 MHz,100.00 %,1155 MHz,1155 MHz,9.36 W,0.04 GB/s,311.92 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,12.50 %,64.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:46.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,138.36 W,69.90 %,27.00 %,16.00 %,65.00 °C,1512 MHz,100.00 %,1065 MHz,1065 MHz,9.06 W,0.04 GB/s,287.20 W,4,5.6 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.6 %,129.22 W,69.80 %,32.00 %,12.70 %,65.00 °C,1512 MHz,100.00 %,1080 MHz,1080 MHz,9.21 W,0.04 GB/s,289.13 W,4,5.6 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:46.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,123.78 W,58.10 %,32.00 %,20.70 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.30 W,0.05 GB/s,310.16 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,30.80 %,64.00 °C,16,91.60 %,0.00 GB/s
2025-05-07 14:34:47.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,108.64 W,69.90 %,25.00 %,13.70 %,65.00 °C,1512 MHz,100.00 %,1005 MHz,1005 MHz,9.43 W,0.04 GB/s,353.11 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:47.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,105.09 W,0.00 %,25.00 %,56.30 %,65.00 °C,1512 MHz,100.00 %,1140 MHz,1140 MHz,9.29 W,0.05 GB/s,257.87 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,92.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:47.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,6.0 %,111.58 W,90.80 %,31.00 %,18.40 %,65.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.22 W,0.04 GB/s,304.62 W,4,5.6 %,0.00 GB/s,94.56 %,0.08 GB/s,12.50 %,65.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:47.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.0 %,131.57 W,70.00 %,31.00 %,12.90 %,65.00 °C,1512 MHz,100.00 %,1035 MHz,1035 MHz,9.36 W,0.04 GB/s,299.06 W,4,5.5 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:47.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,123.88 W,69.90 %,24.00 %,14.90 %,65.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,9.22 W,0.04 GB/s,251.21 W,4,5.5 %,0.00 GB/s,94.56 %,0.09 GB/s,12.50 %,64.00 °C,16,100.00 %,0.00 GB/s
