timestamp,task_name,name,index,dram_power,nvlink_tx_bytes,dram_active,pcie_tx_bytes,utilization.memory [%],usage.memory [%],clocks.current.memory [MHz],clocks.current.graphics [MHz],nvlink_rx_bytes,temperature.gpu,utilization.gpu [%],sm_occupancy,tensor_active,dram_usage,cpu_power,power.draw [W],temperature.memory,pcie.link.gen.current,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,sm_active,pcie_rx_bytes
2025-05-07 17:17:23.7,sleep,NVIDIA A800 80GB PCIe,0,9.08 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,140.97 W,63.10 W,35.00 °C,4,16,1290 MHz,1.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.8,sleep,NVIDIA A800 80GB PCIe,0,9.13 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,141.74 W,63.39 W,35.00 °C,4,16,1290 MHz,2.2 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.9,sleep,NVIDIA A800 80GB PCIe,0,9.26 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,143.30 W,63.59 W,35.00 °C,4,16,1290 MHz,3.1 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.0,sleep,NVIDIA A800 80GB PCIe,0,9.30 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,144.77 W,63.39 W,35.00 °C,4,16,1290 MHz,4.6 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.1,sleep,NVIDIA A800 80GB PCIe,0,9.39 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,142.98 W,55.91 W,35.00 °C,4,16,1290 MHz,6.8 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.2,sleep,NVIDIA A800 80GB PCIe,0,9.67 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,143.33 W,63.39 W,35.00 °C,4,16,1290 MHz,6.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.3,sleep,NVIDIA A800 80GB PCIe,0,9.36 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,143.77 W,62.30 W,35.00 °C,4,16,1290 MHz,4.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.4,sleep,NVIDIA A800 80GB PCIe,0,9.73 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,139.50 W,62.10 W,35.00 °C,4,16,1290 MHz,6.5 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.5,sleep,NVIDIA A800 80GB PCIe,0,9.89 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,141.32 W,62.10 W,35.00 °C,4,16,1290 MHz,6.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.6,sleep,NVIDIA A800 80GB PCIe,0,10.01 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,139.98 W,62.59 W,35.00 °C,4,16,1290 MHz,6.7 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.7,sleep,NVIDIA A800 80GB PCIe,0,9.60 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,141.98 W,62.40 W,35.00 °C,4,16,1290 MHz,9.2 %,0.00 %,0.05 GB/s
2025-05-07 17:17:24.8,sleep,NVIDIA A800 80GB PCIe,0,9.67 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,144.33 W,61.02 W,35.00 °C,4,16,1200 MHz,8.4 %,0.00 %,0.04 GB/s
2025-05-07 17:17:24.9,sleep,NVIDIA A800 80GB PCIe,0,9.86 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,141.80 W,56.97 W,35.00 °C,4,16,1200 MHz,9.1 %,0.00 %,0.04 GB/s
2025-05-07 17:17:25.0,sleep,NVIDIA A800 80GB PCIe,0,9.85 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,141.92 W,57.07 W,35.00 °C,4,16,1200 MHz,12.3 %,0.00 %,0.04 GB/s
2025-05-07 17:17:25.1,sleep,NVIDIA A800 80GB PCIe,0,9.79 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,143.31 W,57.17 W,35.00 °C,4,16,1200 MHz,6.3 %,0.00 %,0.04 GB/s
2025-05-07 17:17:25.2,sleep,NVIDIA A800 80GB PCIe,0,9.94 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1155 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,140.43 W,51.28 W,35.00 °C,4,16,1155 MHz,8.8 %,0.00 %,0.04 GB/s
2025-05-07 17:17:25.3,sleep,NVIDIA A800 80GB PCIe,0,10.08 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1155 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,143.09 W,54.03 W,35.00 °C,4,16,1155 MHz,6.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:25.4,sleep,NVIDIA A800 80GB PCIe,0,9.94 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,142.93 W,55.01 W,35.00 °C,4,16,1350 MHz,5.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:25.5,sleep,NVIDIA A800 80GB PCIe,0,9.78 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,142.06 W,62.70 W,35.00 °C,4,16,1350 MHz,6.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:25.6,sleep,NVIDIA A800 80GB PCIe,0,9.82 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,142.48 W,62.99 W,35.00 °C,4,16,1350 MHz,6.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:25.7,sleep,NVIDIA A800 80GB PCIe,0,9.59 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,140.22 W,62.97 W,35.00 °C,4,16,1350 MHz,8.0 %,0.00 %,0.05 GB/s
2025-05-07 17:17:25.8,sleep,NVIDIA A800 80GB PCIe,0,9.51 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,140.66 W,63.39 W,35.00 °C,4,16,1350 MHz,4.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:25.9,sleep,NVIDIA A800 80GB PCIe,0,9.53 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,139.53 W,63.88 W,35.00 °C,4,16,1350 MHz,3.7 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.0,sleep,NVIDIA A800 80GB PCIe,0,9.43 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.9 %,143.40 W,64.47 W,35.00 °C,4,16,1350 MHz,5.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.1,sleep,NVIDIA A800 80GB PCIe,0,9.33 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.84 W,64.07 W,35.00 °C,4,16,1350 MHz,3.1 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.2,sleep,NVIDIA A800 80GB PCIe,0,9.53 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,139.78 W,64.07 W,35.00 °C,4,16,1350 MHz,4.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.3,sleep,NVIDIA A800 80GB PCIe,0,9.36 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,142.67 W,63.98 W,35.00 °C,4,16,1350 MHz,5.2 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.4,sleep,NVIDIA A800 80GB PCIe,0,9.51 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.80 W,64.77 W,35.00 °C,4,16,1350 MHz,6.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.5,sleep,NVIDIA A800 80GB PCIe,0,9.54 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.29 W,64.36 W,35.00 °C,4,16,1350 MHz,3.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.6,sleep,NVIDIA A800 80GB PCIe,0,9.18 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.18 W,60.23 W,35.00 °C,4,16,1350 MHz,3.7 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.7,sleep,NVIDIA A800 80GB PCIe,0,9.48 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.82 W,65.07 W,35.00 °C,4,16,1350 MHz,3.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.8,sleep,NVIDIA A800 80GB PCIe,0,9.08 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,140.08 W,65.07 W,35.00 °C,4,16,1350 MHz,3.1 %,0.00 %,0.05 GB/s
2025-05-07 17:17:26.9,sleep,NVIDIA A800 80GB PCIe,0,9.09 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,142.69 W,60.73 W,35.00 °C,4,16,1350 MHz,1.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:27.0,sleep,NVIDIA A800 80GB PCIe,0,8.97 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.60 W,60.73 W,35.00 °C,4,16,1350 MHz,3.7 %,0.00 %,0.05 GB/s
2025-05-07 17:17:27.1,sleep,NVIDIA A800 80GB PCIe,0,9.22 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1350 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.03 W,67.22 W,35.00 °C,4,16,1350 MHz,5.3 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.2,sleep,NVIDIA A800 80GB PCIe,0,9.35 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,144.29 W,58.07 W,35.00 °C,4,16,1200 MHz,4.3 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.3,sleep,NVIDIA A800 80GB PCIe,0,9.43 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.45 W,52.95 W,35.00 °C,4,16,1200 MHz,4.7 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.4,sleep,NVIDIA A800 80GB PCIe,0,9.44 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,140.99 W,52.76 W,35.00 °C,4,16,1200 MHz,4.0 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.5,sleep,NVIDIA A800 80GB PCIe,0,9.50 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1200 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,142.47 W,53.24 W,35.00 °C,4,16,1200 MHz,6.7 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.6,sleep,NVIDIA A800 80GB PCIe,0,9.40 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1185 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.30 W,52.85 W,35.00 °C,4,16,1185 MHz,6.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:27.7,sleep,NVIDIA A800 80GB PCIe,0,9.29 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1185 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,139.82 W,52.06 W,35.00 °C,4,16,1185 MHz,4.6 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.8,sleep,NVIDIA A800 80GB PCIe,0,9.39 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1185 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,143.80 W,51.97 W,35.00 °C,4,16,1185 MHz,4.0 %,0.00 %,0.04 GB/s
2025-05-07 17:17:27.9,sleep,NVIDIA A800 80GB PCIe,0,9.49 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1185 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,139.88 W,52.06 W,35.00 °C,4,16,1185 MHz,5.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.0,sleep,NVIDIA A800 80GB PCIe,0,9.31 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1185 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,143.95 W,52.16 W,35.00 °C,4,16,1185 MHz,3.7 %,0.00 %,0.04 GB/s
2025-05-07 17:17:28.1,sleep,NVIDIA A800 80GB PCIe,0,9.36 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1185 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,142.50 W,52.16 W,35.00 °C,4,16,1185 MHz,4.6 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.2,sleep,NVIDIA A800 80GB PCIe,0,9.46 W,0.00 GB/s,0.00 %,0.10 GB/s,0.00 %,0.00 %,1512 MHz,1155 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.12 W,56.71 W,35.00 °C,4,16,1155 MHz,4.6 %,0.00 %,0.04 GB/s
2025-05-07 17:17:28.3,sleep,NVIDIA A800 80GB PCIe,0,9.39 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1155 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,142.54 W,50.88 W,35.00 °C,4,16,1155 MHz,4.0 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.4,sleep,NVIDIA A800 80GB PCIe,0,9.38 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.13 W,53.26 W,35.00 °C,4,16,1290 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.5,sleep,NVIDIA A800 80GB PCIe,0,9.31 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,140.55 W,57.09 W,35.00 °C,4,16,1290 MHz,4.0 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.6,sleep,NVIDIA A800 80GB PCIe,0,9.41 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.29 W,56.78 W,35.00 °C,4,16,1290 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.7,sleep,NVIDIA A800 80GB PCIe,0,9.40 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.03 W,57.09 W,35.00 °C,4,16,1290 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:28.8,sleep,NVIDIA A800 80GB PCIe,0,9.47 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,143.50 W,56.78 W,35.00 °C,4,16,1290 MHz,6.2 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.0,sleep,NVIDIA A800 80GB PCIe,0,9.61 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,143.35 W,56.99 W,35.00 °C,4,16,1290 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.1,sleep,NVIDIA A800 80GB PCIe,0,9.49 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,141.80 W,63.98 W,35.00 °C,4,16,1290 MHz,7.1 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.2,sleep,NVIDIA A800 80GB PCIe,0,9.57 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,142.08 W,57.66 W,35.00 °C,4,16,1290 MHz,3.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.3,sleep,NVIDIA A800 80GB PCIe,0,9.27 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.0 %,143.37 W,58.55 W,35.00 °C,4,16,1305 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.4,sleep,NVIDIA A800 80GB PCIe,0,9.35 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.1 %,143.05 W,58.65 W,35.00 °C,4,16,1305 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.5,sleep,NVIDIA A800 80GB PCIe,0,9.32 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.1 %,141.84 W,58.94 W,35.00 °C,4,16,1305 MHz,3.7 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.6,sleep,NVIDIA A800 80GB PCIe,0,9.31 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.1 %,144.02 W,58.75 W,35.00 °C,4,16,1305 MHz,6.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.7,sleep,NVIDIA A800 80GB PCIe,0,9.33 W,0.00 GB/s,0.00 %,0.12 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.1 %,140.53 W,58.75 W,35.00 °C,4,16,1305 MHz,4.3 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.8,sleep,NVIDIA A800 80GB PCIe,0,9.34 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.1 %,141.67 W,58.65 W,35.00 °C,4,16,1305 MHz,3.1 %,0.00 %,0.05 GB/s
2025-05-07 17:17:29.9,sleep,NVIDIA A800 80GB PCIe,0,9.24 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1305 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,5.1 %,143.76 W,58.65 W,35.00 °C,4,16,1305 MHz,4.0 %,0.00 %,0.05 GB/s
