timestamp,task_name,name,index,power.draw [W],utilization.memory [%],temperature.memory,temperature.gpu,clocks.current.memory [MHz],cpu_power,pcie_tx_bytes,clocks.current.sm [MHz],nvlink_tx_bytes,pcie_rx_bytes,nvlink_rx_bytes,utilization.gpu [%],dram_active,dram_power,clocks.current.graphics [MHz],tensor_active,cpu_usage,usage.memory [%],dram_usage,pcie.link.gen.current,pcie.link.width.current,sm_occupancy,sm_active
2025-05-07 17:15:30.7,sleep,NVIDIA A800 80GB PCIe,0,54.05 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.60 W,0.10 GB/s,1215 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.19 W,1215 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.8,sleep,NVIDIA A800 80GB PCIe,0,54.53 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.28 W,0.10 GB/s,1215 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.23 W,1215 MHz,0.00 %,4.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.9,sleep,NVIDIA A800 80GB PCIe,0,58.69 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.91 W,0.10 GB/s,1215 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.31 W,1215 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.0,sleep,NVIDIA A800 80GB PCIe,0,54.25 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.82 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.37 W,1245 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.1,sleep,NVIDIA A800 80GB PCIe,0,54.73 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.54 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.22 W,1245 MHz,0.00 %,1.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.2,sleep,NVIDIA A800 80GB PCIe,0,55.04 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.80 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.30 W,1245 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.3,sleep,NVIDIA A800 80GB PCIe,0,55.23 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.59 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.33 W,1245 MHz,0.00 %,1.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.4,sleep,NVIDIA A800 80GB PCIe,0,55.04 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.73 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.46 W,1245 MHz,0.00 %,4.3 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.5,sleep,NVIDIA A800 80GB PCIe,0,55.03 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.05 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.54 W,1245 MHz,0.00 %,2.7 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.6,sleep,NVIDIA A800 80GB PCIe,0,54.82 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.66 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.36 W,1245 MHz,0.00 %,2.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.7,sleep,NVIDIA A800 80GB PCIe,0,54.83 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.83 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.47 W,1245 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.8,sleep,NVIDIA A800 80GB PCIe,0,54.83 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.59 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.34 W,1245 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:31.9,sleep,NVIDIA A800 80GB PCIe,0,54.25 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.15 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.21 W,1245 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.0,sleep,NVIDIA A800 80GB PCIe,0,54.54 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.70 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.42 W,1245 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.1,sleep,NVIDIA A800 80GB PCIe,0,54.44 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.31 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.29 W,1245 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.2,sleep,NVIDIA A800 80GB PCIe,0,54.44 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,85.34 W,0.09 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.50 W,1245 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.3,sleep,NVIDIA A800 80GB PCIe,0,54.54 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.10 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.40 W,1245 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.4,sleep,NVIDIA A800 80GB PCIe,0,54.15 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.35 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.33 W,1245 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.5,sleep,NVIDIA A800 80GB PCIe,0,54.44 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.44 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.18 W,1245 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.6,sleep,NVIDIA A800 80GB PCIe,0,54.25 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.99 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.31 W,1245 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.7,sleep,NVIDIA A800 80GB PCIe,0,54.25 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.90 W,0.10 GB/s,1245 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.29 W,1245 MHz,0.00 %,3.7 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.8,sleep,NVIDIA A800 80GB PCIe,0,54.15 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.29 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.55 W,1140 MHz,0.00 %,4.4 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:32.9,sleep,NVIDIA A800 80GB PCIe,0,50.30 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.80 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.44 W,1185 MHz,0.00 %,3.7 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.0,sleep,NVIDIA A800 80GB PCIe,0,50.30 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.77 W,0.09 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.33 W,1185 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.1,sleep,NVIDIA A800 80GB PCIe,0,56.62 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.64 W,0.03 GB/s,1185 MHz,0.00 GB/s,0.01 GB/s,0.00 GB/s,0.00 %,0.00 %,9.27 W,1185 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.2,sleep,NVIDIA A800 80GB PCIe,0,55.13 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.87 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.32 W,1185 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.3,sleep,NVIDIA A800 80GB PCIe,0,55.83 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.82 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.25 W,1185 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.4,sleep,NVIDIA A800 80GB PCIe,0,55.04 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.70 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.52 W,1185 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.5,sleep,NVIDIA A800 80GB PCIe,0,54.24 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.32 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.41 W,1185 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.6,sleep,NVIDIA A800 80GB PCIe,0,54.34 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.19 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.12 W,1185 MHz,0.00 %,1.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.7,sleep,NVIDIA A800 80GB PCIe,0,54.25 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.84 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.27 W,1185 MHz,0.00 %,0.3 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.8,sleep,NVIDIA A800 80GB PCIe,0,53.55 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.73 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.32 W,1185 MHz,0.00 %,3.1 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:33.9,sleep,NVIDIA A800 80GB PCIe,0,55.73 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.50 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.24 W,1185 MHz,0.00 %,3.7 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.0,sleep,NVIDIA A800 80GB PCIe,0,56.81 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.59 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.45 W,1185 MHz,0.00 %,2.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.1,sleep,NVIDIA A800 80GB PCIe,0,56.72 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.39 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.46 W,1185 MHz,0.00 %,0.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.3,sleep,NVIDIA A800 80GB PCIe,0,50.80 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.69 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.22 W,1185 MHz,0.00 %,0.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.4,sleep,NVIDIA A800 80GB PCIe,0,50.80 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.35 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.40 W,1185 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.5,sleep,NVIDIA A800 80GB PCIe,0,54.82 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.44 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.38 W,1185 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.6,sleep,NVIDIA A800 80GB PCIe,0,53.65 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.16 W,0.10 GB/s,1185 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.23 W,1185 MHz,0.00 %,1.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.7,sleep,NVIDIA A800 80GB PCIe,0,60.06 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,85.72 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.24 W,1290 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.8,sleep,NVIDIA A800 80GB PCIe,0,60.33 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.29 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.22 W,1290 MHz,0.00 %,2.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:34.9,sleep,NVIDIA A800 80GB PCIe,0,60.26 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.63 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.31 W,1290 MHz,0.00 %,2.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.0,sleep,NVIDIA A800 80GB PCIe,0,55.92 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.42 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.27 W,1290 MHz,0.00 %,3.1 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.1,sleep,NVIDIA A800 80GB PCIe,0,59.38 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.74 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.43 W,1290 MHz,0.00 %,6.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.2,sleep,NVIDIA A800 80GB PCIe,0,61.52 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.96 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.58 W,1290 MHz,0.00 %,3.4 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.3,sleep,NVIDIA A800 80GB PCIe,0,63.49 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.03 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.41 W,1290 MHz,0.00 %,2.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.4,sleep,NVIDIA A800 80GB PCIe,0,62.11 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.43 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.43 W,1290 MHz,0.00 %,0.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.6,sleep,NVIDIA A800 80GB PCIe,0,58.30 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.82 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.37 W,1290 MHz,0.00 %,3.4 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.7,sleep,NVIDIA A800 80GB PCIe,0,63.49 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.90 W,0.10 GB/s,1290 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.42 W,1290 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.8,sleep,NVIDIA A800 80GB PCIe,0,63.39 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.61 W,0.11 GB/s,1380 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.24 W,1380 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:35.9,sleep,NVIDIA A800 80GB PCIe,0,71.36 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.86 W,0.11 GB/s,1380 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.15 W,1380 MHz,0.00 %,2.4 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.0,sleep,NVIDIA A800 80GB PCIe,0,71.46 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.56 W,0.10 GB/s,1380 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.44 W,1380 MHz,0.00 %,4.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.1,sleep,NVIDIA A800 80GB PCIe,0,71.36 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.00 W,0.11 GB/s,1380 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.25 W,1380 MHz,0.00 %,2.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.2,sleep,NVIDIA A800 80GB PCIe,0,61.81 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.04 W,0.11 GB/s,1380 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.23 W,1380 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.3,sleep,NVIDIA A800 80GB PCIe,0,70.59 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.84 W,0.10 GB/s,1380 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.35 W,1380 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.4,sleep,NVIDIA A800 80GB PCIe,0,69.92 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.17 W,0.10 GB/s,1410 MHz,0.00 GB/s,0.05 GB/s,0.00 GB/s,0.00 %,0.00 %,9.19 W,1410 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.5,sleep,NVIDIA A800 80GB PCIe,0,64.67 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,84.74 W,0.11 GB/s,1410 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.53 W,1410 MHz,0.00 %,4.3 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.6,sleep,NVIDIA A800 80GB PCIe,0,72.34 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.23 W,0.11 GB/s,1410 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.17 W,1410 MHz,0.00 %,2.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:36.7,sleep,NVIDIA A800 80GB PCIe,0,71.56 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.16 W,0.11 GB/s,1410 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.29 W,1410 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
