timestamp,task_name,name,index,pcie_rx_bytes,dram_active,pcie.link.gen.current,temperature.memory,pcie_tx_bytes,dram_power,clocks.current.memory [MHz],utilization.gpu [%],utilization.memory [%],sm_active,nvlink_rx_bytes,power.draw [W],tensor_active,cpu_usage,clocks.current.sm [MHz],sm_occupancy,usage.memory [%],nvlink_tx_bytes,cpu_power,clocks.current.graphics [MHz],temperature.gpu,dram_usage,pcie.link.width.current
2025-05-07 17:17:39.8,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.23 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,65.56 W,0.00 %,5.6 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,141.70 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.9,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.27 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.38 W,0.00 %,2.8 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,144.12 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.0,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.16 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,72.34 W,0.00 %,2.5 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,143.60 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.1,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.97 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,71.92 W,0.00 %,1.6 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,140.88 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.2,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.99 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,70.36 W,0.00 %,1.8 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,146.44 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.3,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.08 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,70.16 W,0.00 %,1.6 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,141.34 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.4,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.09 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,70.26 W,0.00 %,1.2 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,143.24 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.5,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.07 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,69.48 W,0.00 %,2.8 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,142.28 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.6,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.06 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,69.17 W,0.00 %,2.2 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,140.67 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.7,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.85 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,69.07 W,0.00 %,2.8 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,140.66 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.8,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.24 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,69.76 W,0.00 %,3.1 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,143.23 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:40.9,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.14 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,71.04 W,0.00 %,2.1 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,144.43 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.0,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.33 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,69.38 W,0.00 %,3.1 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,140.45 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.1,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.16 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.78 W,0.00 %,3.7 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,140.02 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.2,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.98 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.78 W,0.00 %,2.2 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,143.03 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.3,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.17 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.80 W,0.00 %,2.5 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,140.88 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.4,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.96 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.87 W,0.00 %,1.6 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,139.44 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.5,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.28 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.72 W,0.00 %,3.1 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,141.24 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.6,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.23 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.50 W,0.00 %,0.9 %,1410 MHz,0.00 %,0.00 %,0.00 GB/s,144.00 W,1410 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.7,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.12 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,64.17 W,0.00 %,1.6 %,1245 MHz,0.00 %,0.00 %,0.00 GB/s,143.62 W,1245 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.8,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.10 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,60.92 W,0.00 %,1.5 %,1245 MHz,0.00 %,0.00 %,0.00 GB/s,139.93 W,1245 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:41.9,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.97 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,60.33 W,0.00 %,1.8 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,140.86 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.0,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.04 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,59.83 W,0.00 %,1.6 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,137.96 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.1,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.04 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,59.44 W,0.00 %,1.9 %,1215 MHz,0.00 %,0.00 %,0.00 GB/s,143.11 W,1215 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.2,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.31 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,59.25 W,0.00 %,4.0 %,1215 MHz,0.00 %,0.00 %,0.00 GB/s,143.73 W,1215 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.3,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.24 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,59.44 W,0.00 %,3.4 %,1215 MHz,0.00 %,0.00 %,0.00 GB/s,141.88 W,1215 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.4,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.94 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.65 W,0.00 %,1.9 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,146.64 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.5,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.04 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.84 W,0.00 %,1.9 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,143.98 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.6,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.00 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.26 W,0.00 %,1.9 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,142.04 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.7,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.84 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.55 W,0.00 %,1.9 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,141.89 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.8,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.01 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.55 W,0.00 %,4.0 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,144.43 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:42.9,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.17 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.08 W,0.00 %,3.1 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,142.77 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.0,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.03 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.28 W,0.00 %,1.5 %,1185 MHz,0.00 %,0.00 %,0.00 GB/s,142.77 W,1185 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.1,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.94 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.97 W,0.00 %,1.5 %,1185 MHz,0.00 %,0.00 %,0.00 GB/s,143.53 W,1185 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.2,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.98 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.99 W,0.00 %,1.6 %,1185 MHz,0.00 %,0.00 %,0.00 GB/s,141.13 W,1185 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.3,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.09 GB/s,9.07 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.70 W,0.00 %,1.2 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,141.08 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.4,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.92 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.47 W,0.00 %,1.6 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,143.20 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.5,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.17 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.67 W,0.00 %,3.8 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,141.50 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.6,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.08 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.37 W,0.00 %,2.5 %,1200 MHz,0.00 %,0.00 %,0.00 GB/s,142.62 W,1200 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.7,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.02 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.38 W,0.00 %,1.6 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,142.03 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.8,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.83 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.28 W,0.00 %,1.5 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,141.64 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:43.9,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.05 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.07 W,0.00 %,1.6 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,145.03 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.0,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.98 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.09 W,0.00 %,1.9 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,141.50 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.1,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.94 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,57.36 W,0.00 %,1.6 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,142.68 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.2,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.99 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.87 W,0.00 %,1.5 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,141.97 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.3,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.15 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.87 W,0.00 %,1.5 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,143.71 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.4,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,8.94 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.87 W,0.00 %,1.5 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,139.65 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.5,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.94 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.60 W,0.00 %,1.8 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,142.62 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.6,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.29 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.00 W,0.00 %,3.7 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,143.93 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.7,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.26 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,55.71 W,0.00 %,4.3 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,141.91 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.8,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.55 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,55.89 W,0.00 %,4.7 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,140.30 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:44.9,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.39 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,55.63 W,0.00 %,5.3 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,102.11 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.0,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.25 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,55.92 W,0.00 %,7.1 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,84.64 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.1,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.12 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.11 W,0.00 %,1.2 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,83.65 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.3,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.19 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,58.99 W,0.00 %,2.5 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,83.85 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.4,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.44 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,60.23 W,0.00 %,0.3 %,1230 MHz,0.00 %,0.00 %,0.00 GB/s,82.91 W,1230 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.5,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.32 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,52.86 W,0.00 %,0.9 %,1140 MHz,0.00 %,0.00 %,0.00 GB/s,84.42 W,1140 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.6,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.20 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,52.06 W,0.00 %,1.2 %,1185 MHz,0.00 %,0.00 %,0.00 GB/s,82.93 W,1185 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.7,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.27 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,52.06 W,0.00 %,2.5 %,1185 MHz,0.00 %,0.00 %,0.00 GB/s,83.95 W,1185 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:45.8,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.31 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,54.73 W,0.00 %,0.6 %,1185 MHz,0.00 %,0.00 %,0.00 GB/s,81.83 W,1185 MHz,33.00 °C,5.1 %,16
