timestamp,task_name,name,index,sm_active,temperature.gpu,pcie.link.width.current,temperature.memory,pcie_rx_bytes,pcie.link.gen.current,cpu_power,clocks.current.memory [MHz],power.draw [W],tensor_active,clocks.current.graphics [MHz],dram_power,dram_active,dram_usage,utilization.memory [%],sm_occupancy,pcie_tx_bytes,usage.memory [%],nvlink_rx_bytes,cpu_usage,clocks.current.sm [MHz],nvlink_tx_bytes,utilization.gpu [%]
2025-05-07 17:16:03.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.52 W,1512 MHz,60.57 W,0.00 %,1245 MHz,9.09 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.2 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,82.11 W,1512 MHz,60.57 W,0.00 %,1245 MHz,9.31 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.6 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,83.16 W,1512 MHz,59.67 W,0.00 %,1365 MHz,9.23 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,2.2 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,83.47 W,1512 MHz,62.53 W,0.00 %,1365 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,0.3 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.88 W,1512 MHz,60.46 W,0.00 %,1365 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,1.9 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,81.98 W,1512 MHz,65.47 W,0.00 %,1365 MHz,9.44 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,0.3 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,81.19 W,1512 MHz,70.01 W,0.00 %,1365 MHz,9.24 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.2 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,82.46 W,1512 MHz,69.60 W,0.00 %,1365 MHz,9.42 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,3.4 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.88 W,1512 MHz,59.87 W,0.00 %,1365 MHz,9.24 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.9 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,82.07 W,1512 MHz,61.35 W,0.00 %,1365 MHz,9.41 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,4.3 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.83 W,1512 MHz,69.81 W,0.00 %,1365 MHz,9.36 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,2.2 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.22 W,1512 MHz,61.35 W,0.00 %,1365 MHz,9.38 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,1.8 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,81.08 W,1512 MHz,62.01 W,0.00 %,1365 MHz,9.34 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,1.9 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,83.49 W,1512 MHz,64.88 W,0.00 %,1365 MHz,9.38 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,1.5 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,84.66 W,1512 MHz,64.39 W,0.00 %,1365 MHz,9.41 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,2.5 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:04.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,85.48 W,1512 MHz,64.77 W,0.00 %,1365 MHz,9.23 W,0.00 %,4.6 %,0.00 %,0.00 %,0.11 GB/s,0.00 %,0.00 GB/s,5.3 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.83 W,1512 MHz,70.11 W,0.00 %,1365 MHz,9.26 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,2.5 %,1365 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.06 W,1512 MHz,60.08 W,0.00 %,1125 MHz,9.30 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,8.2 %,1125 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.99 W,1512 MHz,49.12 W,0.00 %,1125 MHz,9.42 W,0.00 %,4.7 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,1.2 %,1125 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.29 W,1512 MHz,53.86 W,0.00 %,1200 MHz,9.41 W,0.00 %,4.7 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.2 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.28 W,1512 MHz,58.30 W,0.00 %,1200 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.5 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.92 W,1512 MHz,56.72 W,0.00 %,1200 MHz,9.33 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.9 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.05 W,1512 MHz,56.72 W,0.00 %,1200 MHz,9.30 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.5 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:05.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,84.85 W,1512 MHz,51.89 W,0.00 %,1200 MHz,9.32 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.6 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:06.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.77 W,1512 MHz,51.40 W,0.00 %,1200 MHz,9.39 W,0.00 %,4.7 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.1 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:06.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.46 W,1512 MHz,51.50 W,0.00 %,1200 MHz,9.27 W,0.00 %,4.7 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.9 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,82.26 W,1512 MHz,51.30 W,0.00 %,1200 MHz,9.37 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,4.6 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,81.30 W,1512 MHz,57.11 W,0.00 %,1200 MHz,9.19 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,3.7 %,1200 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,82.88 W,1512 MHz,44.98 W,0.00 %,255 MHz,9.23 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,1.8 %,255 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,84.21 W,1512 MHz,43.80 W,0.00 %,915 MHz,9.36 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,2.5 %,915 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.65 W,1512 MHz,49.72 W,0.00 %,990 MHz,9.36 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,0.9 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.38 W,1512 MHz,46.08 W,0.00 %,990 MHz,9.20 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,1.9 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.09 W,1512 MHz,49.32 W,0.00 %,990 MHz,9.37 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,1.6 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:07.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.71 W,1512 MHz,48.45 W,0.00 %,990 MHz,9.34 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,0.6 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.92 W,1512 MHz,46.67 W,0.00 %,1050 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,3.1 %,1050 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,84.19 W,1512 MHz,51.59 W,0.00 %,1050 MHz,9.43 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.2 %,1050 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.81 W,1512 MHz,49.03 W,0.00 %,1155 MHz,9.23 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.9 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.35 W,1512 MHz,50.40 W,0.00 %,1155 MHz,9.41 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,3.6 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.21 W,1512 MHz,50.40 W,0.00 %,1155 MHz,9.34 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,4.0 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.85 W,1512 MHz,50.50 W,0.00 %,1155 MHz,9.46 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,3.7 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.69 W,1512 MHz,50.40 W,0.00 %,1155 MHz,9.24 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.5 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.53 W,1512 MHz,50.50 W,0.00 %,1155 MHz,9.24 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.8 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.96 W,1512 MHz,50.30 W,0.00 %,1155 MHz,9.22 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.9 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:08.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.90 W,1512 MHz,50.30 W,0.00 %,1155 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.5 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.05 W,1512 MHz,50.40 W,0.00 %,1155 MHz,9.40 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.6 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.31 W,1512 MHz,50.11 W,0.00 %,1155 MHz,9.26 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.2 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.00 W,1512 MHz,50.40 W,0.00 %,1155 MHz,9.33 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.5 %,1155 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,84.16 W,1512 MHz,50.50 W,0.00 %,1185 MHz,9.22 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.2 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.01 GB/s,4,82.62 W,1512 MHz,50.60 W,0.00 %,1185 MHz,9.27 W,0.00 %,4.6 %,0.00 %,0.00 %,0.03 GB/s,0.00 %,0.00 GB/s,1.2 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.05 W,1512 MHz,51.30 W,0.00 %,1185 MHz,9.37 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.5 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.02 W,1512 MHz,51.21 W,0.00 %,1185 MHz,9.38 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.5 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,84.99 W,1512 MHz,51.50 W,0.00 %,1185 MHz,9.23 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.6 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.74 W,1512 MHz,56.72 W,0.00 %,1185 MHz,9.35 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.9 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:09.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.60 W,1512 MHz,56.02 W,0.00 %,1185 MHz,9.18 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.6 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:10.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.41 W,1512 MHz,53.05 W,0.00 %,1185 MHz,9.24 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.6 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:10.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.32 W,1512 MHz,56.62 W,0.00 %,1185 MHz,9.33 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.6 %,1185 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:10.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.40 W,1512 MHz,50.49 W,0.00 %,1185 MHz,9.28 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.3 %,1185 MHz,0.00 GB/s,0.00 %
