timestamp,task_name,name,index,cpu_power,sm_occupancy,cpu_usage,clocks.current.sm [MHz],pcie.link.gen.current,sm_active,clocks.current.memory [MHz],pcie_rx_bytes,pcie.link.width.current,clocks.current.graphics [MHz],temperature.gpu,dram_usage,pcie_tx_bytes,dram_active,usage.memory [%],nvlink_rx_bytes,utilization.memory [%],tensor_active,nvlink_tx_bytes,temperature.memory,power.draw [W],dram_power,utilization.gpu [%]
2025-05-07 17:15:47.8,sleep,NVIDIA A800 80GB PCIe,0,82.53 W,0.00 %,1.2 %,1095 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1095 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,47.85 W,9.32 W,0.00 %
2025-05-07 17:15:48.0,sleep,NVIDIA A800 80GB PCIe,0,83.28 W,0.00 %,2.8 %,1095 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1095 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,49.42 W,9.40 W,0.00 %
2025-05-07 17:15:48.1,sleep,NVIDIA A800 80GB PCIe,0,81.76 W,0.00 %,2.1 %,1095 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1095 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,49.42 W,9.28 W,0.00 %
2025-05-07 17:15:48.2,sleep,NVIDIA A800 80GB PCIe,0,83.11 W,0.00 %,0.3 %,1125 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1125 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,49.32 W,9.26 W,0.00 %
2025-05-07 17:15:48.3,sleep,NVIDIA A800 80GB PCIe,0,82.19 W,0.00 %,2.2 %,1125 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1125 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.55 W,9.25 W,0.00 %
2025-05-07 17:15:48.4,sleep,NVIDIA A800 80GB PCIe,0,82.34 W,0.00 %,1.2 %,1140 MHz,4,0.00 %,1512 MHz,0.03 GB/s,16,1140 MHz,32.00 °C,4.6 %,0.08 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.55 W,9.27 W,0.00 %
2025-05-07 17:15:48.5,sleep,NVIDIA A800 80GB PCIe,0,83.23 W,0.00 %,2.2 %,1140 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1140 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.64 W,9.25 W,0.00 %
2025-05-07 17:15:48.6,sleep,NVIDIA A800 80GB PCIe,0,83.18 W,0.00 %,3.7 %,1140 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1140 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,51.98 W,9.19 W,0.00 %
2025-05-07 17:15:48.7,sleep,NVIDIA A800 80GB PCIe,0,82.58 W,0.00 %,1.9 %,1140 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1140 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.95 W,9.21 W,0.00 %
2025-05-07 17:15:48.8,sleep,NVIDIA A800 80GB PCIe,0,82.14 W,0.00 %,0.6 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.05 W,9.30 W,0.00 %
2025-05-07 17:15:49.0,sleep,NVIDIA A800 80GB PCIe,0,81.84 W,0.00 %,4.3 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.26 W,9.37 W,0.00 %
2025-05-07 17:15:49.1,sleep,NVIDIA A800 80GB PCIe,0,82.93 W,0.00 %,2.5 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,59.67 W,9.21 W,0.00 %
2025-05-07 17:15:49.2,sleep,NVIDIA A800 80GB PCIe,0,83.09 W,0.00 %,0.6 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.11 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.78 W,9.19 W,0.00 %
2025-05-07 17:15:49.3,sleep,NVIDIA A800 80GB PCIe,0,81.37 W,0.00 %,3.0 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.86 W,9.19 W,0.00 %
2025-05-07 17:15:49.4,sleep,NVIDIA A800 80GB PCIe,0,83.54 W,0.00 %,0.9 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.30 W,9.17 W,0.00 %
2025-05-07 17:15:49.5,sleep,NVIDIA A800 80GB PCIe,0,83.33 W,0.00 %,2.2 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.83 W,9.22 W,0.00 %
2025-05-07 17:15:49.6,sleep,NVIDIA A800 80GB PCIe,0,83.88 W,0.00 %,1.9 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.11 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,61.26 W,9.23 W,0.00 %
2025-05-07 17:15:49.7,sleep,NVIDIA A800 80GB PCIe,0,82.92 W,0.00 %,1.9 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.93 W,9.16 W,0.00 %
2025-05-07 17:15:49.8,sleep,NVIDIA A800 80GB PCIe,0,83.29 W,0.00 %,3.1 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.63 W,9.17 W,0.00 %
2025-05-07 17:15:49.9,sleep,NVIDIA A800 80GB PCIe,0,82.35 W,0.00 %,1.6 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.64 W,9.32 W,0.00 %
2025-05-07 17:15:50.0,sleep,NVIDIA A800 80GB PCIe,0,84.82 W,0.00 %,0.6 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.83 W,9.17 W,0.00 %
2025-05-07 17:15:50.1,sleep,NVIDIA A800 80GB PCIe,0,82.08 W,0.00 %,1.9 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.64 W,9.20 W,0.00 %
2025-05-07 17:15:50.2,sleep,NVIDIA A800 80GB PCIe,0,82.84 W,0.00 %,3.7 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,55.33 W,9.32 W,0.00 %
2025-05-07 17:15:50.3,sleep,NVIDIA A800 80GB PCIe,0,81.89 W,0.00 %,3.4 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,55.54 W,9.39 W,0.00 %
2025-05-07 17:15:50.4,sleep,NVIDIA A800 80GB PCIe,0,82.41 W,0.00 %,2.8 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,55.23 W,9.30 W,0.00 %
2025-05-07 17:15:50.5,sleep,NVIDIA A800 80GB PCIe,0,81.13 W,0.00 %,1.9 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,55.23 W,9.43 W,0.00 %
2025-05-07 17:15:50.6,sleep,NVIDIA A800 80GB PCIe,0,82.40 W,0.00 %,1.9 %,1260 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1260 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,55.23 W,9.35 W,0.00 %
2025-05-07 17:15:50.7,sleep,NVIDIA A800 80GB PCIe,0,83.67 W,0.00 %,1.2 %,1125 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1125 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,51.50 W,9.26 W,0.00 %
2025-05-07 17:15:50.8,sleep,NVIDIA A800 80GB PCIe,0,84.05 W,0.00 %,8.0 %,1125 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1125 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.86 W,9.41 W,0.00 %
2025-05-07 17:15:50.9,sleep,NVIDIA A800 80GB PCIe,0,83.90 W,0.00 %,1.6 %,1125 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1125 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.86 W,9.31 W,0.00 %
2025-05-07 17:15:51.0,sleep,NVIDIA A800 80GB PCIe,0,80.89 W,0.00 %,0.6 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.05 W,9.15 W,0.00 %
2025-05-07 17:15:51.2,sleep,NVIDIA A800 80GB PCIe,0,81.68 W,0.00 %,1.9 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,55.33 W,9.16 W,0.00 %
2025-05-07 17:15:51.3,sleep,NVIDIA A800 80GB PCIe,0,82.76 W,0.00 %,1.2 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,59.28 W,9.13 W,0.00 %
2025-05-07 17:15:51.4,sleep,NVIDIA A800 80GB PCIe,0,84.23 W,0.00 %,2.2 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.52 W,9.26 W,0.00 %
2025-05-07 17:15:51.5,sleep,NVIDIA A800 80GB PCIe,0,81.68 W,0.00 %,3.1 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.12 W,9.30 W,0.00 %
2025-05-07 17:15:51.6,sleep,NVIDIA A800 80GB PCIe,0,84.20 W,0.00 %,2.5 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.31 W,9.20 W,0.00 %
2025-05-07 17:15:51.7,sleep,NVIDIA A800 80GB PCIe,0,83.21 W,0.00 %,3.7 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,63.79 W,9.23 W,0.00 %
2025-05-07 17:15:51.8,sleep,NVIDIA A800 80GB PCIe,0,81.45 W,0.00 %,2.8 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.31 W,9.26 W,0.00 %
2025-05-07 17:15:51.9,sleep,NVIDIA A800 80GB PCIe,0,81.54 W,0.00 %,1.5 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.62 W,9.17 W,0.00 %
2025-05-07 17:15:52.0,sleep,NVIDIA A800 80GB PCIe,0,81.56 W,0.00 %,2.5 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.52 W,9.25 W,0.00 %
2025-05-07 17:15:52.1,sleep,NVIDIA A800 80GB PCIe,0,81.85 W,0.00 %,1.2 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.72 W,9.38 W,0.00 %
2025-05-07 17:15:52.2,sleep,NVIDIA A800 80GB PCIe,0,82.88 W,0.00 %,3.1 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,63.59 W,9.37 W,0.00 %
2025-05-07 17:15:52.3,sleep,NVIDIA A800 80GB PCIe,0,83.15 W,0.00 %,3.1 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.40 W,9.48 W,0.00 %
2025-05-07 17:15:52.4,sleep,NVIDIA A800 80GB PCIe,0,83.32 W,0.00 %,8.0 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.60 W,9.40 W,0.00 %
2025-05-07 17:15:52.5,sleep,NVIDIA A800 80GB PCIe,0,82.52 W,0.00 %,5.0 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.91 W,9.41 W,0.00 %
2025-05-07 17:15:52.6,sleep,NVIDIA A800 80GB PCIe,0,81.65 W,0.00 %,3.4 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.81 W,9.32 W,0.00 %
2025-05-07 17:15:52.7,sleep,NVIDIA A800 80GB PCIe,0,83.47 W,0.00 %,7.3 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.10 W,9.32 W,0.00 %
2025-05-07 17:15:52.8,sleep,NVIDIA A800 80GB PCIe,0,82.18 W,0.00 %,5.8 %,1290 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1290 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.81 W,9.48 W,0.00 %
2025-05-07 17:15:52.9,sleep,NVIDIA A800 80GB PCIe,0,83.67 W,0.00 %,5.3 %,1200 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1200 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.65 W,9.33 W,0.00 %
2025-05-07 17:15:53.0,sleep,NVIDIA A800 80GB PCIe,0,82.33 W,0.00 %,2.1 %,1200 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1200 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.34 W,9.26 W,0.00 %
