timestamp,task_name,name,index,pcie.link.gen.current,temperature.gpu,clocks.current.memory [MHz],cpu_usage,nvlink_rx_bytes,clocks.current.graphics [MHz],dram_usage,clocks.current.sm [MHz],power.draw [W],sm_occupancy,nvlink_tx_bytes,cpu_power,utilization.memory [%],pcie_rx_bytes,pcie_tx_bytes,usage.memory [%],pcie.link.width.current,dram_power,temperature.memory,utilization.gpu [%],sm_active,tensor_active,dram_active
2025-05-07 17:15:13.9,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.6 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.49 W,0.00 %,0.00 GB/s,134.57 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.31 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.0,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,3.7 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.59 W,0.00 %,0.00 GB/s,146.43 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.21 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.1,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.6 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.30 W,0.00 %,0.00 GB/s,145.74 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.04 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.2,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.5 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.30 W,0.00 %,0.00 GB/s,146.69 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.16 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.3,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.89 W,0.00 %,0.00 GB/s,147.62 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.22 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.4,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,75.08 W,0.00 %,0.00 GB/s,143.91 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.17 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.5,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.50 W,0.00 %,0.00 GB/s,131.19 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.13 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.6,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.8 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.20 W,0.00 %,0.00 GB/s,131.84 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.22 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.7,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.2 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.89 W,0.00 %,0.00 GB/s,123.71 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.24 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.8,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.8 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,75.08 W,0.00 %,0.00 GB/s,147.67 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.27 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:14.9,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,6.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.50 W,0.00 %,0.00 GB/s,151.53 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.62 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.0,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.29 W,0.00 %,0.00 GB/s,144.50 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.14 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.1,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.8 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,63.98 W,0.00 %,0.00 GB/s,128.92 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.26 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.2,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,75.08 W,0.00 %,0.00 GB/s,121.45 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.32 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.3,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.60 W,0.00 %,0.00 GB/s,120.75 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.43 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.4,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.6 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.02 W,0.00 %,0.00 GB/s,118.79 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.05 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.5,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,3.1 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.81 W,0.00 %,0.00 GB/s,123.41 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.32 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.7,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,63.78 W,0.00 %,0.00 GB/s,135.91 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.14 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.8,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.2 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.31 W,0.00 %,0.00 GB/s,133.18 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.11 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:15.9,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.6 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.23 W,0.00 %,0.00 GB/s,147.03 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.12 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.0,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.23 W,0.00 %,0.00 GB/s,139.95 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.34 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.1,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.6 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.73 W,0.00 %,0.00 GB/s,132.51 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.10 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.2,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.60 W,0.00 %,0.00 GB/s,133.67 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.07 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.3,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,3.1 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.63 W,0.00 %,0.00 GB/s,128.29 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.38 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.4,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,3.7 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.73 W,0.00 %,0.00 GB/s,120.60 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.10 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.5,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.2 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.53 W,0.00 %,0.00 GB/s,125.10 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.22 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.6,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.1 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.73 W,0.00 %,0.00 GB/s,118.82 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.30 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.7,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.21 W,0.00 %,0.00 GB/s,117.62 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.32 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.8,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.81 W,0.00 %,0.00 GB/s,117.28 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.29 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:16.9,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.91 W,0.00 %,0.00 GB/s,115.22 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.13 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.0,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.2 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.21 W,0.00 %,0.00 GB/s,114.91 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.14 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.1,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,6.2 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.21 W,0.00 %,0.00 GB/s,125.03 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.30 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.2,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.8 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,72.92 W,0.00 %,0.00 GB/s,147.08 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.30 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.3,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.1 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.60 W,0.00 %,0.00 GB/s,145.54 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.25 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.4,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.9 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,73.81 W,0.00 %,0.00 GB/s,143.57 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.35 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.5,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.5 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.29 W,0.00 %,0.00 GB/s,142.10 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.08 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.6,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,3.8 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.10 W,0.00 %,0.00 GB/s,142.29 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.15 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.7,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,4.7 %,0.00 GB/s,1410 MHz,4.6 %,1410 MHz,74.40 W,0.00 %,0.00 GB/s,145.51 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.19 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.8,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,1.9 %,0.00 GB/s,1230 MHz,4.6 %,1230 MHz,74.50 W,0.00 %,0.00 GB/s,145.24 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.16 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:17.9,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,2.2 %,0.00 GB/s,1230 MHz,4.6 %,1230 MHz,58.94 W,0.00 %,0.00 GB/s,145.55 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.03 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.0,sleep,NVIDIA A800 80GB PCIe,0,4,32.00 °C,1512 MHz,3.1 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,57.57 W,0.00 %,0.00 GB/s,144.18 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.29 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.1,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.6 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,57.97 W,0.00 %,0.00 GB/s,146.53 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.16 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.2,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.2 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,58.28 W,0.00 %,0.00 GB/s,145.45 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.19 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.3,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,58.38 W,0.00 %,0.00 GB/s,140.05 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.19 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.4,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.8 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,58.49 W,0.00 %,0.00 GB/s,136.55 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.22 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.5,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.8 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,58.28 W,0.00 %,0.00 GB/s,135.17 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.22 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.6,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,58.38 W,0.00 %,0.00 GB/s,129.64 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.25 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.7,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.5 %,0.00 GB/s,1215 MHz,4.6 %,1215 MHz,58.38 W,0.00 %,0.00 GB/s,130.20 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.27 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.8,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,3.1 %,0.00 GB/s,1200 MHz,4.6 %,1200 MHz,57.59 W,0.00 %,0.00 GB/s,129.48 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.32 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:18.9,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1200 MHz,4.6 %,1200 MHz,57.57 W,0.00 %,0.00 GB/s,122.84 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.15 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.0,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.6 %,0.00 GB/s,1200 MHz,4.6 %,1200 MHz,57.70 W,0.00 %,0.00 GB/s,117.30 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.30 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.1,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.5 %,0.00 GB/s,1200 MHz,4.6 %,1200 MHz,57.79 W,0.00 %,0.00 GB/s,115.19 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.10 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.2,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1200 MHz,4.6 %,1200 MHz,57.80 W,0.00 %,0.00 GB/s,110.99 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.36 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.3,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,57.79 W,0.00 %,0.00 GB/s,113.47 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.26 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.4,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.8 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,57.79 W,0.00 %,0.00 GB/s,109.95 W,0.00 %,0.04 GB/s,0.11 GB/s,0.00 %,16,9.29 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.5,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,56.52 W,0.00 %,0.00 GB/s,108.28 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.17 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.6,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,56.52 W,0.00 %,0.00 GB/s,106.72 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.40 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.7,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.6 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,56.52 W,0.00 %,0.00 GB/s,106.98 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.23 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.8,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.6 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,56.52 W,0.00 %,0.00 GB/s,105.95 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.25 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:19.9,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.2 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,56.52 W,0.00 %,0.00 GB/s,95.10 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.38 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:20.0,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.2 %,0.00 GB/s,1185 MHz,4.6 %,1185 MHz,56.41 W,0.00 %,0.00 GB/s,93.92 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.43 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:20.1,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.2 %,0.00 GB/s,1140 MHz,4.6 %,1140 MHz,50.30 W,0.00 %,0.00 GB/s,91.21 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.26 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:20.2,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,4.4 %,0.00 GB/s,1140 MHz,4.6 %,1140 MHz,50.40 W,0.00 %,0.00 GB/s,87.16 W,0.00 %,0.04 GB/s,0.10 GB/s,0.00 %,16,9.30 W,35.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
