timestamp,task_name,name,index,nvlink_tx_bytes,clocks.current.memory [MHz],nvlink_rx_bytes,pcie_tx_bytes,sm_occupancy,clocks.current.sm [MHz],clocks.current.graphics [MHz],pcie.link.gen.current,temperature.gpu,pcie_rx_bytes,tensor_active,temperature.memory,sm_active,dram_power,power.draw [W],pcie.link.width.current,usage.memory [%],dram_usage,utilization.memory [%],cpu_power,cpu_usage,utilization.gpu [%],dram_active
2025-05-07 17:16:53.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.30 W,69.11 W,16,0.00 %,4.6 %,0.00 %,81.83 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:53.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.19 W,70.30 W,16,0.00 %,4.6 %,0.00 %,81.40 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:53.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.08 W,70.40 W,16,0.00 %,4.6 %,0.00 %,84.07 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:53.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.37 W,70.47 W,16,0.00 %,4.6 %,0.00 %,82.67 W,3.0 %,0.00 %,0.00 %
2025-05-07 17:16:54.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.38 W,63.69 W,16,0.00 %,4.6 %,0.00 %,81.24 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:54.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.18 W,72.75 W,16,0.00 %,4.6 %,0.00 %,83.19 W,0.9 %,0.00 %,0.00 %
2025-05-07 17:16:54.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.19 W,69.81 W,16,0.00 %,4.6 %,0.00 %,82.68 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:16:54.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.41 W,73.93 W,16,0.00 %,4.6 %,0.00 %,81.21 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:16:54.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,73.93 W,16,0.00 %,4.6 %,0.00 %,84.22 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:54.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,73.93 W,16,0.00 %,4.6 %,0.00 %,81.57 W,2.8 %,0.00 %,0.00 %
2025-05-07 17:16:54.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.44 W,73.93 W,16,0.00 %,4.6 %,0.00 %,82.03 W,6.2 %,0.00 %,0.00 %
2025-05-07 17:16:54.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,63.98 W,16,0.00 %,4.6 %,0.00 %,82.19 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:54.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,63.88 W,16,0.00 %,4.6 %,0.00 %,83.60 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:16:55.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1230 MHz,1230 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,66.54 W,16,0.00 %,4.6 %,0.00 %,83.51 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:55.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1230 MHz,1230 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.23 W,53.16 W,16,0.00 %,4.6 %,0.00 %,81.77 W,4.6 %,0.00 %,0.00 %
2025-05-07 17:16:55.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1200 MHz,1200 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,57.00 W,16,0.00 %,4.6 %,0.00 %,82.22 W,4.0 %,0.00 %,0.00 %
2025-05-07 17:16:55.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.47 W,53.55 W,16,0.00 %,4.6 %,0.00 %,81.30 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:55.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.20 W,63.59 W,16,0.00 %,4.6 %,0.00 %,83.51 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:55.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.27 W,63.59 W,16,0.00 %,4.6 %,0.00 %,80.68 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:55.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.25 W,62.90 W,16,0.00 %,4.6 %,0.00 %,85.08 W,0.3 %,0.00 %,0.00 %
2025-05-07 17:16:55.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,62.90 W,16,0.00 %,4.6 %,0.00 %,83.93 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:55.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.15 W,63.98 W,16,0.00 %,4.6 %,0.00 %,83.74 W,0.3 %,0.00 %,0.00 %
2025-05-07 17:16:56.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.26 W,58.98 W,16,0.00 %,4.6 %,0.00 %,81.27 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:16:56.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,58.98 W,16,0.00 %,4.6 %,0.00 %,82.92 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:16:56.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.27 W,62.69 W,16,0.00 %,4.6 %,0.00 %,82.00 W,0.3 %,0.00 %,0.00 %
2025-05-07 17:16:56.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.31 W,62.69 W,16,0.00 %,4.6 %,0.00 %,84.50 W,3.4 %,0.00 %,0.00 %
2025-05-07 17:16:56.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.25 W,61.02 W,16,0.00 %,4.6 %,0.00 %,84.22 W,3.1 %,0.00 %,0.00 %
2025-05-07 17:16:56.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.13 W,60.16 W,16,0.00 %,4.6 %,0.00 %,83.44 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:56.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.31 W,63.88 W,16,0.00 %,4.7 %,0.00 %,83.07 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:56.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.22 W,57.00 W,16,0.00 %,4.7 %,0.00 %,82.15 W,2.8 %,0.00 %,0.00 %
2025-05-07 17:16:56.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,56.91 W,16,0.00 %,4.6 %,0.00 %,83.85 W,0.3 %,0.00 %,0.00 %
2025-05-07 17:16:57.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,63.49 W,16,0.00 %,4.6 %,0.00 %,80.75 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:57.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.21 W,60.14 W,16,0.00 %,4.6 %,0.00 %,84.31 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:16:57.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.12 W,60.47 W,16,0.00 %,4.6 %,0.00 %,82.14 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:57.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.33 W,62.11 W,16,0.00 %,4.6 %,0.00 %,83.24 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:57.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,62.40 W,16,0.00 %,4.6 %,0.00 %,83.03 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:57.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,62.40 W,16,0.00 %,4.6 %,0.00 %,84.43 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:57.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.19 W,61.82 W,16,0.00 %,4.6 %,0.00 %,81.83 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:57.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.21 W,61.31 W,16,0.00 %,4.6 %,0.00 %,83.68 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:16:57.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.49 W,61.06 W,16,0.00 %,4.6 %,0.00 %,83.22 W,4.3 %,0.00 %,0.00 %
2025-05-07 17:16:57.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.20 W,61.42 W,16,0.00 %,4.6 %,0.00 %,83.47 W,4.3 %,0.00 %,0.00 %
2025-05-07 17:16:58.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,61.16 W,16,0.00 %,4.6 %,0.00 %,82.45 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:58.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.27 W,65.66 W,16,0.00 %,4.6 %,0.00 %,82.21 W,0.9 %,0.00 %,0.00 %
