timestamp,task_name,name,index,sm_active,pcie.link.width.current,dram_active,dram_power,usage.memory [%],clocks.current.memory [MHz],clocks.current.graphics [MHz],utilization.gpu [%],pcie_rx_bytes,clocks.current.sm [MHz],pcie.link.gen.current,nvlink_tx_bytes,cpu_power,nvlink_rx_bytes,sm_occupancy,pcie_tx_bytes,temperature.memory,tensor_active,power.draw [W],dram_usage,utilization.memory [%],temperature.gpu,cpu_usage
2025-05-07 16:36:58.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.20 %,9.03 W,75.93 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,154.59 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.00 %,297.12 W,5.6 %,23.00 %,63.00 °C,2.2 %
2025-05-07 16:36:58.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,20.20 %,9.32 W,75.93 %,1512 MHz,1110 MHz,100.00 %,0.04 GB/s,1110 MHz,4,0.00 GB/s,148.65 W,0.00 GB/s,12.40 %,0.08 GB/s,63.00 °C,90.50 %,241.12 W,5.6 %,31.00 %,65.00 °C,3.7 %
2025-05-07 16:36:58.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.40 %,9.00 W,75.93 %,1512 MHz,1110 MHz,100.00 %,0.04 GB/s,1110 MHz,4,0.00 GB/s,149.58 W,0.00 GB/s,26.10 %,0.08 GB/s,63.00 °C,0.00 %,310.95 W,5.6 %,31.00 %,65.00 °C,3.7 %
2025-05-07 16:36:58.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.20 %,9.22 W,78.00 %,1512 MHz,1065 MHz,100.00 %,0.05 GB/s,1065 MHz,4,0.00 GB/s,150.79 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.10 %,275.48 W,5.6 %,26.00 %,64.00 °C,5.3 %
2025-05-07 16:36:58.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,18.80 %,9.37 W,78.00 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,153.89 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,90.00 %,307.24 W,5.6 %,26.00 %,65.00 °C,4.3 %
2025-05-07 16:36:58.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,11.90 %,9.41 W,80.07 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,150.16 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.20 %,286.74 W,5.6 %,27.00 %,65.00 °C,4.7 %
2025-05-07 16:36:58.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.10 %,9.08 W,80.07 %,1512 MHz,1095 MHz,100.00 %,0.04 GB/s,1095 MHz,4,0.00 GB/s,152.80 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.00 %,292.25 W,5.6 %,27.00 %,64.00 °C,3.7 %
2025-05-07 16:36:59.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,20.30 %,9.05 W,80.07 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,151.59 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,90.60 %,227.68 W,5.6 %,31.00 %,65.00 °C,3.7 %
2025-05-07 16:36:59.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.00 %,9.00 W,82.14 %,1512 MHz,1050 MHz,100.00 %,0.04 GB/s,1050 MHz,4,0.00 GB/s,152.68 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.10 %,359.87 W,5.6 %,31.00 %,64.00 °C,3.1 %
2025-05-07 16:36:59.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,15.10 %,9.27 W,82.14 %,1512 MHz,1170 MHz,100.00 %,0.05 GB/s,1170 MHz,4,0.00 GB/s,150.19 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,69.90 %,296.73 W,5.6 %,35.00 %,64.00 °C,3.7 %
2025-05-07 16:36:59.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,20.00 %,8.99 W,82.14 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,150.41 W,0.00 GB/s,12.40 %,0.07 GB/s,65.00 °C,90.50 %,309.29 W,5.6 %,35.00 %,65.00 °C,3.4 %
2025-05-07 16:36:59.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,51.10 %,9.30 W,82.14 %,1512 MHz,1035 MHz,100.00 %,0.04 GB/s,1035 MHz,4,0.00 GB/s,152.53 W,0.00 GB/s,93.20 %,0.08 GB/s,65.00 °C,2.60 %,301.70 W,5.6 %,35.00 %,65.00 °C,3.7 %
2025-05-07 16:36:59.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,10.70 %,9.22 W,84.21 %,1512 MHz,1125 MHz,100.00 %,0.04 GB/s,1125 MHz,4,0.00 GB/s,152.95 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.00 %,301.70 W,5.6 %,24.00 %,65.00 °C,3.7 %
2025-05-07 16:36:59.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,17.70 %,9.28 W,84.21 %,1512 MHz,1155 MHz,100.00 %,0.03 GB/s,1155 MHz,4,0.00 GB/s,151.72 W,0.00 GB/s,12.40 %,0.05 GB/s,65.00 °C,91.00 %,240.33 W,5.6 %,24.00 %,65.00 °C,5.0 %
2025-05-07 16:36:59.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.30 %,16,89.20 %,9.25 W,84.21 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,156.72 W,0.00 GB/s,92.50 %,0.05 GB/s,65.00 °C,0.10 %,305.98 W,5.6 %,29.00 %,66.00 °C,3.4 %
2025-05-07 16:36:59.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.50 %,9.16 W,86.28 %,1512 MHz,1050 MHz,100.00 %,0.04 GB/s,1050 MHz,4,0.00 GB/s,152.25 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.10 %,335.90 W,5.6 %,29.00 %,65.00 °C,6.2 %
2025-05-07 16:37:00.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.70 %,9.16 W,86.28 %,1512 MHz,1065 MHz,100.00 %,0.05 GB/s,1065 MHz,4,0.00 GB/s,150.65 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.10 %,313.27 W,5.6 %,26.00 %,65.00 °C,4.7 %
2025-05-07 16:37:00.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.20 %,9.29 W,86.28 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,148.54 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,90.30 %,306.76 W,5.6 %,26.00 %,66.00 °C,3.4 %
2025-05-07 16:37:00.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,87.00 %,16,37.60 %,9.22 W,86.28 %,1512 MHz,1125 MHz,100.00 %,0.05 GB/s,1125 MHz,4,0.00 GB/s,152.31 W,0.00 GB/s,65.70 %,0.08 GB/s,65.00 °C,1.70 %,321.13 W,5.6 %,27.00 %,66.00 °C,3.7 %
2025-05-07 16:37:00.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.20 %,9.17 W,88.35 %,1512 MHz,1140 MHz,100.00 %,0.04 GB/s,1140 MHz,4,0.00 GB/s,151.45 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.00 %,291.86 W,5.6 %,27.00 %,66.00 °C,3.7 %
2025-05-07 16:37:00.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.50 %,9.05 W,88.35 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,151.39 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,90.40 %,277.73 W,5.6 %,31.00 %,65.00 °C,3.4 %
2025-05-07 16:37:00.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,16.40 %,9.11 W,88.35 %,1512 MHz,1110 MHz,100.00 %,0.04 GB/s,1110 MHz,4,0.00 GB/s,153.72 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,91.70 %,302.57 W,5.6 %,31.00 %,66.00 °C,3.7 %
2025-05-07 16:37:00.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.30 %,9.43 W,90.42 %,1512 MHz,1080 MHz,100.00 %,0.04 GB/s,1080 MHz,4,0.00 GB/s,152.21 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.20 %,299.84 W,5.6 %,31.00 %,65.00 °C,3.4 %
2025-05-07 16:37:00.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,12.10 %,9.06 W,90.42 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,150.75 W,0.00 GB/s,12.30 %,0.09 GB/s,65.00 °C,69.90 %,299.84 W,5.6 %,25.00 %,65.00 °C,3.7 %
2025-05-07 16:37:00.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,16.20 %,8.97 W,90.42 %,1512 MHz,1185 MHz,100.00 %,0.04 GB/s,1185 MHz,4,0.00 GB/s,150.31 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,93.60 %,309.20 W,5.6 %,25.00 %,66.00 °C,3.7 %
2025-05-07 16:37:00.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.40 %,9.09 W,92.49 %,1512 MHz,1065 MHz,100.00 %,0.04 GB/s,1065 MHz,4,0.00 GB/s,154.06 W,0.00 GB/s,12.50 %,0.07 GB/s,65.00 °C,70.00 %,326.01 W,5.6 %,32.00 %,66.00 °C,3.7 %
2025-05-07 16:37:01.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.60 %,9.29 W,92.49 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,156.02 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.00 %,275.45 W,5.6 %,32.00 %,65.00 °C,5.3 %
2025-05-07 16:37:01.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.80 %,8.97 W,92.49 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,150.62 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,90.40 %,280.17 W,5.6 %,24.00 %,66.00 °C,3.4 %
2025-05-07 16:37:01.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,16.90 %,9.27 W,92.49 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,153.32 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,91.60 %,304.81 W,5.6 %,24.00 %,66.00 °C,3.4 %
2025-05-07 16:37:01.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.20 %,9.23 W,94.56 %,1512 MHz,1065 MHz,100.00 %,0.05 GB/s,1065 MHz,4,0.00 GB/s,148.21 W,0.00 GB/s,12.50 %,0.09 GB/s,67.00 °C,69.90 %,308.70 W,5.6 %,27.00 %,65.00 °C,5.8 %
2025-05-07 16:37:01.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.80 %,9.19 W,94.56 %,1512 MHz,1050 MHz,100.00 %,0.04 GB/s,1050 MHz,4,0.00 GB/s,143.78 W,0.00 GB/s,12.50 %,0.09 GB/s,67.00 °C,70.00 %,331.98 W,5.6 %,27.00 %,66.00 °C,3.1 %
2025-05-07 16:37:01.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,16.80 %,9.29 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,136.39 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,93.40 %,300.63 W,5.6 %,26.00 %,66.00 °C,4.0 %
2025-05-07 16:37:01.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,12.80 %,9.32 W,94.56 %,1512 MHz,1080 MHz,100.00 %,0.04 GB/s,1080 MHz,4,0.00 GB/s,130.20 W,0.00 GB/s,12.50 %,0.08 GB/s,65.00 °C,70.00 %,291.67 W,5.6 %,26.00 %,66.00 °C,3.4 %
2025-05-07 16:37:01.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.00 %,9.02 W,94.56 %,1512 MHz,1110 MHz,100.00 %,0.04 GB/s,1110 MHz,4,0.00 GB/s,126.34 W,0.00 GB/s,12.50 %,0.09 GB/s,65.00 °C,70.00 %,287.07 W,5.6 %,26.00 %,66.00 °C,3.4 %
2025-05-07 16:37:01.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,20.90 %,9.37 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,120.66 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.50 %,303.64 W,5.6 %,32.00 %,66.00 °C,3.4 %
2025-05-07 16:37:01.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,17.10 %,9.42 W,94.56 %,1512 MHz,1080 MHz,100.00 %,0.04 GB/s,1080 MHz,4,0.00 GB/s,112.12 W,0.00 GB/s,12.40 %,0.08 GB/s,65.00 °C,91.90 %,299.66 W,5.6 %,32.00 %,66.00 °C,3.7 %
2025-05-07 16:37:02.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,14.20 %,9.19 W,94.56 %,1512 MHz,1065 MHz,100.00 %,0.04 GB/s,1065 MHz,4,0.00 GB/s,108.63 W,0.00 GB/s,12.50 %,0.09 GB/s,67.00 °C,70.00 %,299.66 W,5.6 %,25.00 %,66.00 °C,3.4 %
2025-05-07 16:37:02.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,15.30 %,9.14 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.05 GB/s,1155 MHz,4,0.00 GB/s,104.70 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,69.90 %,324.36 W,5.6 %,25.00 %,65.00 °C,3.1 %
2025-05-07 16:37:02.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,17.00 %,9.17 W,94.56 %,1512 MHz,1125 MHz,100.00 %,0.04 GB/s,1125 MHz,4,0.00 GB/s,104.38 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,94.00 %,304.81 W,5.6 %,31.00 %,67.00 °C,4.0 %
2025-05-07 16:37:02.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,4.60 %,9.31 W,94.56 %,1512 MHz,1125 MHz,100.00 %,0.04 GB/s,1125 MHz,4,0.00 GB/s,105.64 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,70.00 %,277.91 W,5.6 %,31.00 %,66.00 °C,3.4 %
2025-05-07 16:37:02.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.20 %,9.22 W,94.56 %,1512 MHz,1110 MHz,100.00 %,0.04 GB/s,1110 MHz,4,0.00 GB/s,103.61 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,69.90 %,289.31 W,5.6 %,24.00 %,65.00 °C,3.7 %
2025-05-07 16:37:02.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.30 %,9.48 W,94.56 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,104.85 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.60 %,289.52 W,5.6 %,24.00 %,67.00 °C,5.5 %
2025-05-07 16:37:02.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.90 %,9.35 W,94.56 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,108.77 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.70 %,302.57 W,5.6 %,29.00 %,67.00 °C,4.8 %
2025-05-07 16:37:02.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.30 %,9.17 W,94.56 %,1512 MHz,1065 MHz,100.00 %,0.04 GB/s,1065 MHz,4,0.00 GB/s,107.36 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,70.00 %,312.58 W,5.6 %,29.00 %,67.00 °C,5.0 %
2025-05-07 16:37:02.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.40 %,9.46 W,94.56 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,111.60 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,70.10 %,305.60 W,5.6 %,29.00 %,65.00 °C,5.6 %
2025-05-07 16:37:02.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,16.60 %,9.20 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,142.76 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,93.90 %,305.60 W,5.6 %,29.00 %,67.00 °C,3.4 %
2025-05-07 16:37:03.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,98.30 %,16,35.80 %,9.18 W,94.56 %,1512 MHz,1050 MHz,100.00 %,0.05 GB/s,1050 MHz,4,0.00 GB/s,130.88 W,0.00 GB/s,89.90 %,0.08 GB/s,67.00 °C,4.10 %,313.67 W,5.6 %,29.00 %,67.00 °C,3.4 %
2025-05-07 16:37:03.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.60 %,9.18 W,94.56 %,1512 MHz,1050 MHz,100.00 %,0.05 GB/s,1050 MHz,4,0.00 GB/s,120.04 W,0.00 GB/s,12.50 %,0.09 GB/s,67.00 °C,69.90 %,265.81 W,5.6 %,24.00 %,66.00 °C,3.4 %
2025-05-07 16:37:03.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,22.10 %,9.31 W,94.56 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,113.33 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.50 %,298.87 W,5.6 %,24.00 %,67.00 °C,3.1 %
2025-05-07 16:37:03.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.70 %,9.25 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,124.75 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.60 %,306.77 W,5.6 %,24.00 %,67.00 °C,3.7 %
2025-05-07 16:37:03.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.10 %,9.36 W,94.56 %,1512 MHz,1035 MHz,100.00 %,0.04 GB/s,1035 MHz,4,0.00 GB/s,110.81 W,0.00 GB/s,12.50 %,0.09 GB/s,67.00 °C,70.10 %,295.94 W,5.6 %,24.00 %,66.00 °C,3.4 %
2025-05-07 16:37:03.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.50 %,9.27 W,94.56 %,1512 MHz,1170 MHz,100.00 %,0.04 GB/s,1170 MHz,4,0.00 GB/s,111.63 W,0.00 GB/s,12.50 %,0.09 GB/s,67.00 °C,70.00 %,268.93 W,5.6 %,31.00 %,66.00 °C,2.8 %
2025-05-07 16:37:03.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,17.10 %,9.21 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,112.83 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,92.90 %,306.66 W,5.6 %,31.00 %,67.00 °C,3.1 %
2025-05-07 16:37:03.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,17.60 %,9.22 W,94.56 %,1512 MHz,1065 MHz,100.00 %,0.04 GB/s,1065 MHz,4,0.00 GB/s,106.92 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,70.10 %,331.71 W,5.6 %,25.00 %,67.00 °C,3.4 %
2025-05-07 16:37:03.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,12.20 %,9.18 W,94.56 %,1512 MHz,1095 MHz,100.00 %,0.04 GB/s,1095 MHz,4,0.00 GB/s,114.30 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,69.90 %,258.36 W,5.6 %,25.00 %,67.00 °C,4.4 %
2025-05-07 16:37:04.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,20.60 %,9.37 W,94.56 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,114.04 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.40 %,308.22 W,5.6 %,28.00 %,67.00 °C,4.6 %
2025-05-07 16:37:04.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,21.60 %,9.13 W,94.56 %,1512 MHz,1050 MHz,100.00 %,0.04 GB/s,1050 MHz,4,0.00 GB/s,118.62 W,0.00 GB/s,12.40 %,0.08 GB/s,67.00 °C,90.70 %,301.21 W,5.6 %,28.00 %,67.00 °C,3.4 %
2025-05-07 16:37:04.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.60 %,9.33 W,94.56 %,1512 MHz,1050 MHz,100.00 %,0.04 GB/s,1050 MHz,4,0.00 GB/s,110.32 W,0.00 GB/s,12.50 %,0.08 GB/s,67.00 °C,70.10 %,301.21 W,5.6 %,28.00 %,66.00 °C,3.7 %
