timestamp,task_name,name,index,temperature.memory,nvlink_tx_bytes,nvlink_rx_bytes,usage.memory [%],tensor_active,sm_occupancy,power.draw [W],utilization.memory [%],dram_active,dram_usage,clocks.current.graphics [MHz],cpu_usage,cpu_power,pcie.link.gen.current,pcie_rx_bytes,clocks.current.memory [MHz],dram_power,clocks.current.sm [MHz],temperature.gpu,pcie_tx_bytes,pcie.link.width.current,sm_active,utilization.gpu [%]
2025-05-07 16:35:11.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,78.00 %,70.20 %,12.50 %,287.58 W,27.00 %,13.50 %,5.6 %,1050 MHz,4.0 %,150.61 W,4,0.04 GB/s,1512 MHz,9.16 W,1050 MHz,64.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,78.00 %,91.20 %,12.40 %,248.16 W,30.00 %,18.50 %,5.6 %,1170 MHz,3.7 %,150.89 W,4,0.05 GB/s,1512 MHz,9.16 W,1170 MHz,64.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,78.00 %,2.60 %,93.30 %,348.66 W,30.00 %,51.60 %,5.6 %,1155 MHz,3.7 %,151.02 W,4,0.05 GB/s,1512 MHz,9.05 W,1155 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,80.07 %,70.10 %,12.50 %,262.65 W,30.00 %,12.90 %,5.6 %,1065 MHz,4.0 %,152.30 W,4,0.04 GB/s,1512 MHz,9.03 W,1065 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,80.07 %,0.00 %,92.50 %,262.65 W,35.00 %,55.90 %,5.6 %,1155 MHz,3.1 %,148.51 W,4,0.05 GB/s,1512 MHz,9.11 W,1155 MHz,64.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,80.07 %,90.80 %,12.50 %,309.96 W,35.00 %,18.30 %,5.6 %,1125 MHz,4.3 %,148.32 W,4,0.05 GB/s,1512 MHz,9.15 W,1125 MHz,65.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:11.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,82.14 %,70.10 %,12.50 %,303.84 W,24.00 %,13.40 %,5.6 %,1125 MHz,5.0 %,152.13 W,4,0.05 GB/s,1512 MHz,9.21 W,1125 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,82.14 %,70.00 %,12.50 %,282.30 W,24.00 %,13.30 %,5.6 %,1095 MHz,3.6 %,151.30 W,4,0.04 GB/s,1512 MHz,9.09 W,1095 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,82.14 %,90.60 %,12.40 %,309.20 W,29.00 %,19.70 %,5.6 %,1170 MHz,5.0 %,151.66 W,4,0.04 GB/s,1512 MHz,9.05 W,1170 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,82.14 %,0.40 %,96.70 %,369.75 W,29.00 %,27.90 %,5.6 %,1200 MHz,4.7 %,153.95 W,4,0.05 GB/s,1512 MHz,8.96 W,1200 MHz,65.00 °C,0.08 GB/s,16,98.50 %,100.00 %
2025-05-07 16:35:12.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,84.21 %,70.10 %,12.50 %,280.36 W,26.00 %,13.10 %,5.6 %,1170 MHz,2.2 %,151.58 W,4,0.04 GB/s,1512 MHz,8.94 W,1170 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,84.21 %,90.50 %,12.40 %,309.49 W,26.00 %,21.60 %,5.6 %,1170 MHz,3.4 %,148.52 W,4,0.04 GB/s,1512 MHz,9.29 W,1170 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,84.21 %,4.20 %,92.20 %,268.54 W,26.00 %,36.20 %,5.6 %,1065 MHz,1.9 %,153.53 W,4,0.04 GB/s,1512 MHz,9.18 W,1065 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,86.28 %,70.00 %,12.50 %,231.51 W,32.00 %,12.90 %,5.6 %,1140 MHz,2.2 %,149.51 W,4,0.05 GB/s,1512 MHz,9.10 W,1140 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,86.28 %,4.60 %,76.00 %,312.21 W,32.00 %,70.20 %,5.6 %,1155 MHz,3.7 %,149.65 W,4,0.05 GB/s,1512 MHz,9.16 W,1155 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,86.28 %,90.90 %,12.40 %,312.21 W,32.00 %,22.20 %,5.6 %,1050 MHz,4.0 %,148.81 W,4,0.04 GB/s,1512 MHz,9.03 W,1050 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:12.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,88.35 %,70.00 %,12.50 %,345.68 W,25.00 %,12.00 %,5.6 %,1050 MHz,4.3 %,156.22 W,4,0.04 GB/s,1512 MHz,9.23 W,1050 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,88.35 %,90.90 %,12.40 %,305.19 W,25.00 %,24.60 %,5.6 %,1155 MHz,3.7 %,150.95 W,4,0.04 GB/s,1512 MHz,9.29 W,1155 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,88.35 %,90.90 %,12.50 %,308.50 W,31.00 %,18.90 %,5.6 %,1155 MHz,3.4 %,151.06 W,4,0.04 GB/s,1512 MHz,9.01 W,1155 MHz,66.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:13.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.42 %,69.90 %,12.50 %,302.57 W,31.00 %,12.90 %,5.6 %,1095 MHz,5.3 %,148.82 W,4,0.05 GB/s,1512 MHz,9.06 W,1095 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.42 %,69.90 %,12.50 %,280.17 W,24.00 %,11.80 %,5.6 %,1170 MHz,3.7 %,150.41 W,4,0.04 GB/s,1512 MHz,9.25 W,1170 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.42 %,90.40 %,12.40 %,251.03 W,24.00 %,20.70 %,5.6 %,1170 MHz,4.6 %,151.19 W,4,0.04 GB/s,1512 MHz,9.01 W,1170 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.42 %,0.00 %,99.40 %,309.19 W,29.00 %,27.10 %,5.6 %,1125 MHz,3.7 %,149.52 W,4,0.04 GB/s,1512 MHz,9.06 W,1125 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,92.49 %,69.90 %,12.50 %,322.32 W,29.00 %,12.80 %,5.6 %,1065 MHz,3.9 %,151.62 W,4,0.05 GB/s,1512 MHz,9.07 W,1065 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,92.49 %,91.10 %,12.40 %,306.76 W,28.00 %,17.00 %,5.6 %,1155 MHz,3.6 %,153.17 W,4,0.04 GB/s,1512 MHz,8.97 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,92.49 %,0.00 %,92.40 %,325.76 W,28.00 %,54.80 %,5.6 %,1155 MHz,5.0 %,149.66 W,4,0.05 GB/s,1512 MHz,9.47 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:13.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.20 %,12.50 %,281.52 W,28.00 %,13.70 %,5.6 %,1065 MHz,4.3 %,156.20 W,4,0.05 GB/s,1512 MHz,9.23 W,1065 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.90 %,12.50 %,267.17 W,25.00 %,12.20 %,5.6 %,1170 MHz,3.1 %,138.19 W,4,0.05 GB/s,1512 MHz,9.21 W,1170 MHz,64.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.50 %,12.40 %,267.17 W,25.00 %,20.30 %,5.6 %,1170 MHz,3.7 %,131.00 W,4,0.04 GB/s,1512 MHz,9.17 W,1170 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.00 %,39.20 %,310.44 W,25.00 %,18.40 %,5.6 %,1170 MHz,3.1 %,124.87 W,4,0.04 GB/s,1512 MHz,9.13 W,1170 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,308.60 W,25.00 %,12.40 %,5.6 %,1050 MHz,3.4 %,119.70 W,4,0.05 GB/s,1512 MHz,9.25 W,1050 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.30 %,12.40 %,338.12 W,31.00 %,16.10 %,5.6 %,1170 MHz,3.1 %,113.89 W,4,0.04 GB/s,1512 MHz,9.15 W,1170 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.00 %,92.30 %,315.21 W,31.00 %,55.00 %,5.6 %,1155 MHz,5.2 %,121.61 W,4,0.05 GB/s,1512 MHz,9.40 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,290.90 W,24.00 %,13.70 %,5.6 %,1065 MHz,7.7 %,123.75 W,4,0.04 GB/s,1512 MHz,9.27 W,1065 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,272.25 W,24.00 %,11.70 %,5.6 %,1125 MHz,4.6 %,138.16 W,4,0.05 GB/s,1512 MHz,9.32 W,1125 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.60 %,12.40 %,313.47 W,28.00 %,20.70 %,5.6 %,1155 MHz,6.8 %,143.77 W,4,0.04 GB/s,1512 MHz,9.30 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:14.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.90 %,95.20 %,320.85 W,28.00 %,30.50 %,5.6 %,1065 MHz,5.9 %,149.20 W,4,0.05 GB/s,1512 MHz,9.23 W,1065 MHz,66.00 °C,0.08 GB/s,16,98.50 %,100.00 %
2025-05-07 16:35:15.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.20 %,12.50 %,322.40 W,31.00 %,13.50 %,5.6 %,1050 MHz,4.3 %,145.13 W,4,0.05 GB/s,1512 MHz,9.24 W,1050 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.10 %,12.40 %,312.30 W,31.00 %,16.80 %,5.6 %,1155 MHz,5.0 %,147.72 W,4,0.04 GB/s,1512 MHz,9.33 W,1155 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,2.40 %,88.80 %,312.30 W,31.00 %,72.60 %,5.6 %,1110 MHz,4.3 %,148.72 W,4,0.05 GB/s,1512 MHz,9.21 W,1110 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,281.03 W,22.00 %,14.20 %,5.6 %,1110 MHz,4.3 %,146.46 W,4,0.05 GB/s,1512 MHz,9.19 W,1110 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,290.88 W,22.00 %,13.90 %,5.6 %,1080 MHz,3.4 %,148.75 W,4,0.05 GB/s,1512 MHz,9.16 W,1080 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.40 %,12.40 %,298.77 W,35.00 %,20.80 %,5.6 %,1155 MHz,3.4 %,136.31 W,4,0.04 GB/s,1512 MHz,9.28 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.00 %,100.00 %,299.45 W,35.00 %,27.10 %,5.6 %,1065 MHz,3.4 %,128.62 W,4,0.04 GB/s,1512 MHz,9.23 W,1065 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,316.62 W,35.00 %,13.50 %,5.6 %,1095 MHz,4.0 %,131.88 W,4,0.04 GB/s,1512 MHz,9.18 W,1095 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.80 %,12.40 %,304.43 W,23.00 %,17.30 %,5.6 %,1155 MHz,5.3 %,128.21 W,4,0.04 GB/s,1512 MHz,9.48 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:15.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.70 %,12.40 %,304.43 W,23.00 %,16.50 %,5.6 %,1185 MHz,4.0 %,124.30 W,4,0.04 GB/s,1512 MHz,9.44 W,1185 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,304.87 W,31.00 %,12.50 %,5.6 %,1110 MHz,4.9 %,114.66 W,4,0.05 GB/s,1512 MHz,9.44 W,1110 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.80 %,12.50 %,272.17 W,31.00 %,16.90 %,5.6 %,1110 MHz,3.4 %,138.70 W,4,0.05 GB/s,1512 MHz,9.20 W,1110 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.50 %,12.40 %,298.87 W,27.00 %,20.60 %,5.6 %,1170 MHz,3.4 %,148.60 W,4,0.04 GB/s,1512 MHz,9.09 W,1170 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.00 %,50.00 %,307.63 W,27.00 %,22.30 %,5.6 %,1155 MHz,3.1 %,150.90 W,4,0.04 GB/s,1512 MHz,9.15 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,306.66 W,31.00 %,15.60 %,5.6 %,1065 MHz,3.1 %,144.12 W,4,0.05 GB/s,1512 MHz,9.25 W,1065 MHz,65.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.30 %,12.40 %,279.19 W,31.00 %,16.30 %,5.6 %,1170 MHz,2.8 %,134.65 W,4,0.04 GB/s,1512 MHz,9.22 W,1170 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:16.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,63.10 %,8.70 %,310.65 W,22.00 %,12.30 %,5.6 %,1155 MHz,3.4 %,124.54 W,4,0.04 GB/s,1512 MHz,9.24 W,1155 MHz,67.00 °C,0.08 GB/s,16,70.20 %,100.00 %
2025-05-07 16:35:16.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.20 %,12.50 %,257.88 W,22.00 %,12.40 %,5.6 %,1065 MHz,1.9 %,118.34 W,4,0.04 GB/s,1512 MHz,9.11 W,1065 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
