timestamp,task_name,name,index,power.draw [W],nvlink_tx_bytes,pcie.link.width.current,usage.memory [%],pcie_tx_bytes,tensor_active,cpu_power,dram_power,clocks.current.sm [MHz],clocks.current.graphics [MHz],pcie.link.gen.current,sm_occupancy,sm_active,cpu_usage,temperature.memory,clocks.current.memory [MHz],pcie_rx_bytes,utilization.memory [%],dram_active,nvlink_rx_bytes,dram_usage,utilization.gpu [%],temperature.gpu
2025-05-07 15:50:22.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,283.77 W,0.00 GB/s,16,78.00 %,0.09 GB/s,69.90 %,150.86 W,9.17 W,1080 MHz,1080 MHz,4,12.50 %,100.00 %,3.7 %,63.00 °C,1512 MHz,0.05 GB/s,26.00 %,15.00 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:23.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,272.35 W,0.00 GB/s,16,78.00 %,0.08 GB/s,90.40 %,151.74 W,8.92 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.1 %,63.00 °C,1512 MHz,0.04 GB/s,26.00 %,21.30 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:23.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,323.07 W,0.00 GB/s,16,78.00 %,0.08 GB/s,91.50 %,152.39 W,8.92 W,1125 MHz,1125 MHz,4,12.40 %,100.00 %,3.4 %,63.00 °C,1512 MHz,0.04 GB/s,32.00 %,17.10 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:23.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,334.81 W,0.00 GB/s,16,80.07 %,0.09 GB/s,70.00 %,150.32 W,9.05 W,1080 MHz,1080 MHz,4,12.50 %,100.00 %,3.4 %,63.00 °C,1512 MHz,0.04 GB/s,32.00 %,12.10 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:23.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,300.33 W,0.00 GB/s,16,80.07 %,0.08 GB/s,91.10 %,155.56 W,9.00 W,1155 MHz,1155 MHz,4,12.40 %,100.00 %,2.2 %,63.00 °C,1512 MHz,0.04 GB/s,25.00 %,15.50 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:23.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,320.48 W,0.00 GB/s,16,80.07 %,0.08 GB/s,0.00 %,153.41 W,9.04 W,1170 MHz,1170 MHz,4,50.00 %,100.00 %,3.7 %,63.00 °C,1512 MHz,0.04 GB/s,31.00 %,21.70 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:23.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,277.82 W,0.00 GB/s,16,82.14 %,0.09 GB/s,70.00 %,148.60 W,9.18 W,1080 MHz,1080 MHz,4,12.50 %,100.00 %,3.6 %,63.00 °C,1512 MHz,0.05 GB/s,31.00 %,14.90 %,0.00 GB/s,5.7 %,100.00 %,62.00 °C
2025-05-07 15:50:23.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,269.34 W,0.00 GB/s,16,82.14 %,0.09 GB/s,91.20 %,153.31 W,9.18 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,4.7 %,63.00 °C,1512 MHz,0.04 GB/s,28.00 %,17.60 %,0.00 GB/s,5.7 %,100.00 %,62.00 °C
2025-05-07 15:50:23.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,311.13 W,0.00 GB/s,16,82.14 %,0.08 GB/s,0.00 %,155.82 W,9.07 W,1200 MHz,1200 MHz,4,92.30 %,100.00 %,3.7 %,63.00 °C,1512 MHz,0.05 GB/s,28.00 %,53.80 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:23.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,305.00 W,0.00 GB/s,16,84.21 %,0.09 GB/s,70.00 %,148.89 W,8.95 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,4.0 %,63.00 °C,1512 MHz,0.05 GB/s,28.00 %,12.50 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:24.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,326.58 W,0.00 GB/s,16,84.21 %,0.09 GB/s,70.20 %,149.38 W,9.16 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,3.4 %,63.00 °C,1512 MHz,0.05 GB/s,31.00 %,13.20 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:24.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,301.29 W,0.00 GB/s,16,84.21 %,0.08 GB/s,91.60 %,155.25 W,8.98 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.4 %,63.00 °C,1512 MHz,0.04 GB/s,31.00 %,17.00 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:24.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,301.29 W,0.00 GB/s,16,86.28 %,0.09 GB/s,70.10 %,152.74 W,8.93 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,4.0 %,63.00 °C,1512 MHz,0.05 GB/s,22.00 %,16.00 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:24.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,306.95 W,0.00 GB/s,16,88.35 %,0.09 GB/s,69.70 %,154.22 W,9.33 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,8.0 %,63.00 °C,1512 MHz,0.05 GB/s,36.00 %,12.70 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:24.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,291.96 W,0.00 GB/s,16,88.35 %,0.09 GB/s,70.00 %,152.44 W,9.16 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,6.3 %,63.00 °C,1512 MHz,0.05 GB/s,22.00 %,14.20 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:24.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,290.34 W,0.00 GB/s,16,88.35 %,0.08 GB/s,91.20 %,148.36 W,9.44 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,9.7 %,63.00 °C,1512 MHz,0.04 GB/s,22.00 %,15.70 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:24.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,327.03 W,0.00 GB/s,16,88.35 %,0.08 GB/s,91.50 %,153.83 W,9.23 W,1185 MHz,1185 MHz,4,12.40 %,100.00 %,4.3 %,63.00 °C,1512 MHz,0.04 GB/s,30.00 %,16.70 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:24.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,254.66 W,0.00 GB/s,16,90.42 %,0.09 GB/s,70.00 %,154.77 W,9.14 W,1050 MHz,1050 MHz,4,12.50 %,100.00 %,4.0 %,63.00 °C,1512 MHz,0.05 GB/s,30.00 %,13.50 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:25.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,303.25 W,0.00 GB/s,16,90.42 %,0.06 GB/s,0.00 %,153.84 W,8.97 W,1170 MHz,1170 MHz,4,91.00 %,99.30 %,3.7 %,63.00 °C,1512 MHz,0.05 GB/s,26.00 %,85.80 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,308.21 W,0.00 GB/s,16,90.42 %,0.08 GB/s,90.50 %,153.42 W,9.13 W,1155 MHz,1155 MHz,4,12.50 %,99.90 %,4.3 %,63.00 °C,1512 MHz,0.04 GB/s,26.00 %,19.10 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,310.83 W,0.00 GB/s,16,92.49 %,0.09 GB/s,70.10 %,149.83 W,9.00 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,3.7 %,63.00 °C,1512 MHz,0.04 GB/s,27.00 %,15.60 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,245.53 W,0.00 GB/s,16,92.49 %,0.09 GB/s,69.80 %,150.52 W,9.03 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,3.1 %,65.00 °C,1512 MHz,0.05 GB/s,27.00 %,15.10 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,312.19 W,0.00 GB/s,16,92.49 %,0.08 GB/s,90.50 %,150.28 W,9.23 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.7 %,63.00 °C,1512 MHz,0.04 GB/s,22.00 %,19.90 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,334.51 W,0.00 GB/s,16,92.49 %,0.08 GB/s,2.60 %,148.67 W,9.06 W,1035 MHz,1035 MHz,4,93.20 %,100.00 %,3.1 %,63.00 °C,1512 MHz,0.05 GB/s,22.00 %,51.20 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,334.51 W,0.00 GB/s,16,94.56 %,0.09 GB/s,69.90 %,147.19 W,9.31 W,1140 MHz,1140 MHz,4,12.50 %,100.00 %,3.6 %,63.00 °C,1512 MHz,0.05 GB/s,22.00 %,12.70 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:25.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,261.51 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.10 %,139.44 W,9.15 W,1140 MHz,1140 MHz,4,12.40 %,100.00 %,3.0 %,65.00 °C,1512 MHz,0.04 GB/s,35.00 %,16.80 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:25.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,307.15 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.50 %,126.01 W,9.25 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.3 %,63.00 °C,1512 MHz,0.04 GB/s,35.00 %,16.10 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:26.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,282.30 W,0.00 GB/s,16,94.56 %,0.09 GB/s,69.90 %,119.20 W,9.22 W,1050 MHz,1050 MHz,4,12.50 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.05 GB/s,24.00 %,15.80 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:26.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,236.90 W,0.00 GB/s,16,94.56 %,0.08 GB/s,69.90 %,116.98 W,9.19 W,1125 MHz,1125 MHz,4,12.50 %,100.00 %,3.1 %,65.00 °C,1512 MHz,0.04 GB/s,24.00 %,13.60 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:26.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,308.51 W,0.00 GB/s,16,94.56 %,0.08 GB/s,90.40 %,125.03 W,9.09 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,4.0 %,63.00 °C,1512 MHz,0.04 GB/s,29.00 %,20.40 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:26.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,351.26 W,0.00 GB/s,16,94.56 %,0.08 GB/s,0.00 %,115.70 W,9.20 W,1095 MHz,1095 MHz,4,100.00 %,100.00 %,3.7 %,63.00 °C,1512 MHz,0.04 GB/s,29.00 %,28.30 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:26.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,293.23 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.00 %,109.30 W,9.17 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,3.7 %,65.00 °C,1512 MHz,0.05 GB/s,29.00 %,13.00 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:26.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,311.73 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.00 %,105.80 W,9.28 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.7 %,65.00 °C,1512 MHz,0.04 GB/s,27.00 %,16.30 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:26.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,311.73 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.00 %,103.50 W,9.29 W,1110 MHz,1110 MHz,4,12.30 %,100.00 %,4.0 %,65.00 °C,1512 MHz,0.04 GB/s,27.00 %,16.40 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:26.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,275.86 W,0.00 GB/s,16,94.56 %,0.08 GB/s,70.00 %,108.35 W,9.21 W,1125 MHz,1125 MHz,4,12.50 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.03 GB/s,26.00 %,13.10 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:26.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,284.36 W,0.00 GB/s,16,94.56 %,0.04 GB/s,70.00 %,106.78 W,9.40 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,4.6 %,65.00 °C,1512 MHz,0.02 GB/s,26.00 %,14.90 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:26.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,298.77 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.80 %,119.84 W,9.14 W,1155 MHz,1155 MHz,4,12.40 %,100.00 %,1.6 %,65.00 °C,1512 MHz,0.04 GB/s,32.00 %,16.70 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:27.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,352.43 W,0.00 GB/s,16,94.56 %,0.09 GB/s,69.80 %,109.10 W,9.36 W,1080 MHz,1080 MHz,4,12.50 %,100.00 %,2.5 %,65.00 °C,1512 MHz,0.04 GB/s,25.00 %,14.50 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:27.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,305.21 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.30 %,107.12 W,9.29 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.1 %,65.00 °C,1512 MHz,0.04 GB/s,25.00 %,17.40 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:27.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,313.06 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.80 %,104.83 W,9.20 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.04 GB/s,31.00 %,16.40 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:27.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,278.50 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.00 %,105.28 W,9.30 W,1050 MHz,1050 MHz,4,12.50 %,100.00 %,3.7 %,65.00 °C,1512 MHz,0.04 GB/s,31.00 %,12.40 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:27.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,257.68 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.00 %,102.74 W,9.34 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.04 GB/s,24.00 %,14.20 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:27.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,308.40 W,0.00 GB/s,16,94.56 %,0.08 GB/s,90.50 %,103.04 W,9.39 W,1155 MHz,1155 MHz,4,12.40 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.04 GB/s,24.00 %,20.60 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:27.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,316.48 W,0.00 GB/s,16,94.56 %,0.08 GB/s,4.30 %,108.57 W,9.31 W,1065 MHz,1065 MHz,4,93.40 %,100.00 %,4.9 %,65.00 °C,1512 MHz,0.05 GB/s,24.00 %,48.60 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:27.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,330.56 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.00 %,130.47 W,9.23 W,1050 MHz,1050 MHz,4,12.50 %,100.00 %,5.5 %,65.00 °C,1512 MHz,0.05 GB/s,29.00 %,12.60 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:27.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,297.81 W,0.00 GB/s,16,94.56 %,0.08 GB/s,90.30 %,136.49 W,9.16 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,4.0 %,65.00 °C,1512 MHz,0.04 GB/s,29.00 %,22.70 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:28.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,297.81 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.80 %,128.64 W,9.27 W,1080 MHz,1080 MHz,4,12.40 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.04 GB/s,24.00 %,16.40 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,331.66 W,0.00 GB/s,16,94.56 %,0.09 GB/s,69.90 %,133.97 W,9.25 W,1095 MHz,1095 MHz,4,12.50 %,100.00 %,6.5 %,65.00 °C,1512 MHz,0.05 GB/s,24.00 %,16.30 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,281.04 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.10 %,147.88 W,9.19 W,1095 MHz,1095 MHz,4,12.50 %,100.00 %,3.7 %,65.00 °C,1512 MHz,0.04 GB/s,33.00 %,15.70 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:28.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,264.14 W,0.00 GB/s,16,94.56 %,0.08 GB/s,93.80 %,128.67 W,9.22 W,1170 MHz,1170 MHz,4,12.40 %,99.90 %,3.3 %,65.00 °C,1512 MHz,0.04 GB/s,33.00 %,16.80 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,307.24 W,0.00 GB/s,16,94.56 %,0.08 GB/s,4.10 %,124.60 W,9.28 W,1185 MHz,1185 MHz,4,89.90 %,98.40 %,4.0 %,65.00 °C,1512 MHz,0.05 GB/s,24.00 %,36.20 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,335.49 W,0.00 GB/s,16,94.56 %,0.09 GB/s,69.90 %,110.08 W,9.34 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,2.5 %,65.00 °C,1512 MHz,0.05 GB/s,24.00 %,17.20 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
2025-05-07 15:50:28.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,335.49 W,0.00 GB/s,16,94.56 %,0.08 GB/s,91.10 %,109.25 W,9.32 W,1155 MHz,1155 MHz,4,12.40 %,100.00 %,3.6 %,65.00 °C,1512 MHz,0.04 GB/s,31.00 %,15.40 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,305.88 W,0.00 GB/s,16,94.56 %,0.08 GB/s,90.70 %,106.09 W,9.27 W,1155 MHz,1155 MHz,4,12.40 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.04 GB/s,31.00 %,22.70 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,288.06 W,0.00 GB/s,16,94.56 %,0.09 GB/s,69.90 %,110.34 W,9.09 W,1065 MHz,1065 MHz,4,12.50 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.05 GB/s,25.00 %,15.70 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:28.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,288.15 W,0.00 GB/s,16,94.56 %,0.08 GB/s,90.40 %,111.71 W,9.09 W,1170 MHz,1170 MHz,4,12.40 %,100.00 %,3.4 %,65.00 °C,1512 MHz,0.04 GB/s,25.00 %,23.00 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:29.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,308.51 W,0.00 GB/s,16,94.56 %,0.08 GB/s,90.80 %,104.07 W,9.13 W,1170 MHz,1170 MHz,4,12.50 %,99.90 %,3.7 %,65.00 °C,1512 MHz,0.04 GB/s,28.00 %,18.20 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:29.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,299.17 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.00 %,121.24 W,9.46 W,1050 MHz,1050 MHz,4,12.50 %,100.00 %,4.0 %,65.00 °C,1512 MHz,0.04 GB/s,28.00 %,12.30 %,0.00 GB/s,5.7 %,100.00 %,65.00 °C
2025-05-07 15:50:29.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,316.29 W,0.00 GB/s,16,94.56 %,0.09 GB/s,70.00 %,123.64 W,9.23 W,1125 MHz,1125 MHz,4,12.50 %,100.00 %,3.7 %,65.00 °C,1512 MHz,0.05 GB/s,28.00 %,12.60 %,0.00 GB/s,5.7 %,100.00 %,64.00 °C
