timestamp,task_name,name,index,sm_occupancy,pcie.link.gen.current,temperature.gpu,clocks.current.memory [MHz],sm_active,cpu_usage,pcie.link.width.current,clocks.current.sm [MHz],tensor_active,pcie_rx_bytes,dram_power,nvlink_tx_bytes,utilization.gpu [%],utilization.memory [%],power.draw [W],pcie_tx_bytes,dram_usage,nvlink_rx_bytes,clocks.current.graphics [MHz],usage.memory [%],dram_active,temperature.memory,cpu_power
2025-05-07 16:39:38.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,65.00 °C,1512 MHz,100.00 %,3.1 %,16,1080 MHz,70.00 %,0.04 GB/s,9.10 W,0.00 GB/s,100.00 %,26.00 %,317.04 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,75.93 %,13.20 %,65.00 °C,151.56 W
2025-05-07 16:39:38.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,64.00 °C,1512 MHz,100.00 %,3.7 %,16,1080 MHz,70.10 %,0.05 GB/s,9.24 W,0.00 GB/s,100.00 %,26.00 %,279.38 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,75.93 %,12.70 %,65.00 °C,151.14 W
2025-05-07 16:39:38.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,65.00 °C,1512 MHz,100.00 %,3.3 %,16,1170 MHz,90.40 %,0.04 GB/s,9.03 W,0.00 GB/s,100.00 %,31.00 %,297.02 W,0.08 GB/s,5.6 %,0.00 GB/s,1170 MHz,75.93 %,21.70 %,65.00 °C,151.37 W
2025-05-07 16:39:38.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,65.00 °C,1512 MHz,100.00 %,3.7 %,16,1125 MHz,91.50 %,0.04 GB/s,8.89 W,0.00 GB/s,100.00 %,31.00 %,304.62 W,0.08 GB/s,5.6 %,0.00 GB/s,1125 MHz,75.93 %,17.10 %,65.00 °C,152.50 W
2025-05-07 16:39:38.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,64.00 °C,1512 MHz,100.00 %,3.1 %,16,1125 MHz,70.10 %,0.05 GB/s,9.14 W,0.00 GB/s,100.00 %,22.00 %,304.51 W,0.09 GB/s,5.6 %,0.00 GB/s,1125 MHz,78.00 %,13.40 %,65.00 °C,158.00 W
2025-05-07 16:39:38.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,65.00 °C,1512 MHz,100.00 %,3.7 %,16,1125 MHz,91.10 %,0.04 GB/s,8.92 W,0.00 GB/s,100.00 %,22.00 %,284.76 W,0.09 GB/s,5.6 %,0.00 GB/s,1125 MHz,78.00 %,16.70 %,65.00 °C,151.72 W
2025-05-07 16:39:38.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,3.6 %,16,1155 MHz,91.90 %,0.04 GB/s,8.97 W,0.00 GB/s,100.00 %,35.00 %,306.96 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,78.00 %,16.70 %,65.00 °C,151.29 W
2025-05-07 16:39:38.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,65.00 °C,1512 MHz,100.00 %,3.4 %,16,1050 MHz,70.10 %,0.04 GB/s,9.11 W,0.00 GB/s,100.00 %,35.00 %,323.45 W,0.09 GB/s,5.6 %,0.00 GB/s,1050 MHz,80.07 %,12.90 %,65.00 °C,151.89 W
2025-05-07 16:39:38.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,65.00 °C,1512 MHz,100.00 %,4.3 %,16,1050 MHz,69.90 %,0.04 GB/s,9.08 W,0.00 GB/s,100.00 %,24.00 %,264.62 W,0.09 GB/s,5.6 %,0.00 GB/s,1050 MHz,80.07 %,12.80 %,65.00 °C,148.86 W
2025-05-07 16:39:38.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,4.9 %,16,1155 MHz,90.60 %,0.04 GB/s,9.24 W,0.00 GB/s,100.00 %,24.00 %,291.96 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,80.07 %,20.40 %,65.00 °C,153.26 W
2025-05-07 16:39:39.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,4,65.00 °C,1512 MHz,100.00 %,5.2 %,16,1095 MHz,0.00 %,0.04 GB/s,9.18 W,0.00 GB/s,100.00 %,29.00 %,308.12 W,0.08 GB/s,5.6 %,0.00 GB/s,1095 MHz,80.07 %,27.90 %,65.00 °C,153.10 W
2025-05-07 16:39:39.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,65.00 °C,1512 MHz,100.00 %,3.7 %,16,1125 MHz,70.10 %,0.05 GB/s,9.30 W,0.00 GB/s,100.00 %,29.00 %,300.52 W,0.09 GB/s,5.6 %,0.00 GB/s,1125 MHz,82.14 %,14.80 %,65.00 °C,149.57 W
2025-05-07 16:39:39.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,65.00 °C,1512 MHz,100.00 %,4.9 %,16,1170 MHz,91.20 %,0.04 GB/s,9.16 W,0.00 GB/s,100.00 %,27.00 %,310.25 W,0.08 GB/s,5.6 %,0.00 GB/s,1170 MHz,82.14 %,15.30 %,65.00 °C,156.00 W
2025-05-07 16:39:39.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,2.8 %,16,1125 MHz,90.50 %,0.04 GB/s,9.00 W,0.00 GB/s,100.00 %,27.00 %,327.74 W,0.08 GB/s,5.6 %,0.00 GB/s,1125 MHz,82.14 %,21.60 %,65.00 °C,151.07 W
2025-05-07 16:39:39.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.1 %,16,1080 MHz,70.00 %,0.05 GB/s,9.07 W,0.00 GB/s,100.00 %,31.00 %,239.07 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,84.21 %,13.20 %,65.00 °C,156.81 W
2025-05-07 16:39:39.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.70 %,4,64.00 °C,1512 MHz,98.90 %,3.4 %,16,1170 MHz,0.00 %,0.05 GB/s,9.06 W,0.00 GB/s,100.00 %,31.00 %,299.17 W,0.07 GB/s,5.6 %,0.00 GB/s,1170 MHz,84.21 %,70.90 %,65.00 °C,153.90 W
2025-05-07 16:39:39.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,99.90 %,2.8 %,16,1185 MHz,90.60 %,0.04 GB/s,9.11 W,0.00 GB/s,100.00 %,31.00 %,309.68 W,0.08 GB/s,5.6 %,0.00 GB/s,1185 MHz,84.21 %,18.30 %,65.00 °C,151.76 W
2025-05-07 16:39:39.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.1 %,16,1050 MHz,70.10 %,0.04 GB/s,8.96 W,0.00 GB/s,100.00 %,25.00 %,295.55 W,0.09 GB/s,5.6 %,0.00 GB/s,1050 MHz,86.28 %,13.80 %,65.00 °C,151.66 W
2025-05-07 16:39:39.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.1 %,16,1170 MHz,69.90 %,0.06 GB/s,9.08 W,0.00 GB/s,100.00 %,25.00 %,295.55 W,0.09 GB/s,5.6 %,0.00 GB/s,1170 MHz,86.28 %,19.00 %,65.00 °C,151.65 W
2025-05-07 16:39:40.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,2.8 %,16,1155 MHz,90.60 %,0.04 GB/s,8.89 W,0.00 GB/s,100.00 %,32.00 %,238.66 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,86.28 %,20.00 %,65.00 °C,151.03 W
2025-05-07 16:39:40.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,6.2 %,16,1155 MHz,90.50 %,0.03 GB/s,9.34 W,0.00 GB/s,100.00 %,32.00 %,310.16 W,0.06 GB/s,5.6 %,0.00 GB/s,1155 MHz,86.28 %,21.80 %,65.00 °C,151.86 W
2025-05-07 16:39:40.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,5.0 %,16,1050 MHz,69.90 %,0.05 GB/s,9.26 W,0.00 GB/s,100.00 %,24.00 %,334.73 W,0.09 GB/s,5.6 %,0.00 GB/s,1050 MHz,88.35 %,15.00 %,67.00 °C,152.48 W
2025-05-07 16:39:40.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,5.9 %,16,1155 MHz,91.30 %,0.04 GB/s,9.35 W,0.00 GB/s,100.00 %,24.00 %,311.73 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,88.35 %,15.30 %,65.00 °C,152.61 W
2025-05-07 16:39:40.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,3.4 %,16,1035 MHz,91.70 %,0.04 GB/s,9.19 W,0.00 GB/s,100.00 %,29.00 %,303.06 W,0.08 GB/s,5.6 %,0.00 GB/s,1035 MHz,88.35 %,16.60 %,65.00 °C,150.38 W
2025-05-07 16:39:40.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,65.00 °C,1512 MHz,100.00 %,4.0 %,16,1035 MHz,69.80 %,0.04 GB/s,9.13 W,0.00 GB/s,100.00 %,29.00 %,282.21 W,0.09 GB/s,5.6 %,0.00 GB/s,1035 MHz,90.42 %,13.80 %,67.00 °C,154.92 W
2025-05-07 16:39:40.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.20 %,4,66.00 °C,1512 MHz,2.90 %,4.0 %,16,1110 MHz,1.70 %,0.05 GB/s,9.29 W,0.00 GB/s,100.00 %,27.00 %,229.75 W,0.09 GB/s,5.6 %,0.00 GB/s,1110 MHz,90.42 %,0.00 %,67.00 °C,152.60 W
2025-05-07 16:39:40.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,99.90 %,3.4 %,16,1155 MHz,90.60 %,0.04 GB/s,9.16 W,0.00 GB/s,100.00 %,27.00 %,300.92 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,90.42 %,19.70 %,65.00 °C,155.44 W
2025-05-07 16:39:40.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,4.0 %,16,1080 MHz,69.90 %,0.05 GB/s,9.05 W,0.00 GB/s,100.00 %,26.00 %,337.92 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,92.49 %,13.30 %,67.00 °C,157.02 W
2025-05-07 16:39:40.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,4.0 %,16,1080 MHz,70.00 %,0.05 GB/s,9.17 W,0.00 GB/s,100.00 %,26.00 %,286.30 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,92.49 %,14.50 %,67.00 °C,150.75 W
2025-05-07 16:39:41.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.90 %,4,66.00 °C,1512 MHz,100.00 %,3.4 %,16,1155 MHz,4.60 %,0.05 GB/s,9.21 W,0.00 GB/s,100.00 %,32.00 %,310.55 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,92.49 %,73.40 %,67.00 °C,157.21 W
2025-05-07 16:39:41.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,3.4 %,16,1125 MHz,90.70 %,0.04 GB/s,9.11 W,0.00 GB/s,100.00 %,32.00 %,294.21 W,0.08 GB/s,5.6 %,0.00 GB/s,1125 MHz,92.49 %,22.00 %,67.00 °C,156.13 W
2025-05-07 16:39:41.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.7 %,16,1095 MHz,70.20 %,0.05 GB/s,9.13 W,0.00 GB/s,100.00 %,32.00 %,289.03 W,0.09 GB/s,5.6 %,0.00 GB/s,1095 MHz,94.56 %,13.10 %,67.00 °C,149.68 W
2025-05-07 16:39:41.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,66.00 °C,1512 MHz,100.00 %,8.2 %,16,1170 MHz,91.50 %,0.04 GB/s,9.33 W,0.00 GB/s,100.00 %,25.00 %,221.46 W,0.08 GB/s,5.6 %,0.00 GB/s,1170 MHz,94.56 %,17.70 %,67.00 °C,150.19 W
2025-05-07 16:39:41.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,99.90 %,3.7 %,16,1170 MHz,90.10 %,0.04 GB/s,9.31 W,0.00 GB/s,100.00 %,25.00 %,313.46 W,0.08 GB/s,5.6 %,0.00 GB/s,1170 MHz,94.56 %,18.70 %,67.00 °C,153.43 W
2025-05-07 16:39:41.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,2.8 %,16,1065 MHz,70.10 %,0.04 GB/s,9.13 W,0.00 GB/s,100.00 %,31.00 %,293.33 W,0.09 GB/s,5.6 %,0.00 GB/s,1065 MHz,94.56 %,14.30 %,67.00 °C,148.42 W
2025-05-07 16:39:41.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.7 %,16,1170 MHz,70.00 %,0.05 GB/s,9.31 W,0.00 GB/s,100.00 %,31.00 %,314.73 W,0.09 GB/s,5.6 %,0.00 GB/s,1170 MHz,94.56 %,12.40 %,67.00 °C,138.58 W
2025-05-07 16:39:41.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,99.90 %,3.1 %,16,1155 MHz,93.70 %,0.04 GB/s,9.05 W,0.00 GB/s,100.00 %,29.00 %,276.84 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,16.80 %,67.00 °C,134.79 W
2025-05-07 16:39:41.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,4.0 %,16,1050 MHz,70.00 %,0.04 GB/s,9.19 W,0.00 GB/s,100.00 %,29.00 %,280.75 W,0.08 GB/s,5.6 %,0.00 GB/s,1050 MHz,94.56 %,5.30 %,67.00 °C,130.55 W
2025-05-07 16:39:41.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,3.7 %,16,1140 MHz,70.00 %,0.04 GB/s,9.04 W,0.00 GB/s,100.00 %,29.00 %,280.75 W,0.09 GB/s,5.6 %,0.00 GB/s,1140 MHz,94.56 %,15.10 %,67.00 °C,119.98 W
2025-05-07 16:39:42.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,3.1 %,16,1140 MHz,90.60 %,0.04 GB/s,9.38 W,0.00 GB/s,100.00 %,29.00 %,237.37 W,0.08 GB/s,5.6 %,0.00 GB/s,1140 MHz,94.56 %,22.20 %,67.00 °C,115.51 W
2025-05-07 16:39:42.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,3.4 %,16,1155 MHz,90.90 %,0.04 GB/s,9.29 W,0.00 GB/s,100.00 %,24.00 %,314.15 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,21.90 %,67.00 °C,107.76 W
2025-05-07 16:39:42.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.4 %,16,1050 MHz,70.10 %,0.04 GB/s,9.20 W,0.00 GB/s,100.00 %,24.00 %,333.97 W,0.09 GB/s,5.6 %,0.00 GB/s,1050 MHz,94.56 %,13.00 %,67.00 °C,110.69 W
2025-05-07 16:39:42.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,3.7 %,16,1050 MHz,70.00 %,0.04 GB/s,9.30 W,0.00 GB/s,100.00 %,33.00 %,308.21 W,0.08 GB/s,5.6 %,0.00 GB/s,1050 MHz,94.56 %,13.90 %,67.00 °C,107.33 W
2025-05-07 16:39:42.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,99.90 %,3.4 %,16,1155 MHz,92.30 %,0.04 GB/s,9.22 W,0.00 GB/s,100.00 %,33.00 %,301.40 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,16.30 %,67.00 °C,106.62 W
2025-05-07 16:39:42.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.30 %,4,67.00 °C,1512 MHz,100.00 %,3.7 %,16,1065 MHz,4.20 %,0.04 GB/s,9.23 W,0.00 GB/s,100.00 %,24.00 %,298.48 W,0.08 GB/s,5.6 %,0.00 GB/s,1065 MHz,94.56 %,37.10 %,67.00 °C,108.27 W
2025-05-07 16:39:42.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,4.3 %,16,1080 MHz,70.00 %,0.05 GB/s,9.38 W,0.00 GB/s,100.00 %,24.00 %,250.31 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,94.56 %,15.40 %,67.00 °C,106.40 W
2025-05-07 16:39:42.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,3.1 %,16,1155 MHz,90.50 %,0.04 GB/s,9.31 W,0.00 GB/s,100.00 %,24.00 %,304.13 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,22.10 %,67.00 °C,107.12 W
2025-05-07 16:39:42.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,11.80 %,4,67.00 °C,1512 MHz,95.80 %,3.7 %,16,1050 MHz,85.10 %,0.05 GB/s,9.42 W,0.00 GB/s,100.00 %,31.00 %,304.13 W,0.08 GB/s,5.6 %,0.00 GB/s,1050 MHz,94.56 %,17.20 %,67.00 °C,110.95 W
2025-05-07 16:39:42.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,3.4 %,16,1080 MHz,70.00 %,0.04 GB/s,9.30 W,0.00 GB/s,100.00 %,31.00 %,324.93 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,94.56 %,11.90 %,67.00 °C,138.19 W
2025-05-07 16:39:43.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,3.1 %,16,1080 MHz,69.90 %,0.05 GB/s,9.22 W,0.00 GB/s,100.00 %,24.00 %,313.86 W,0.09 GB/s,5.6 %,0.00 GB/s,1080 MHz,94.56 %,13.90 %,67.00 °C,139.00 W
2025-05-07 16:39:43.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,99.90 %,3.1 %,16,1155 MHz,93.40 %,0.04 GB/s,9.13 W,0.00 GB/s,100.00 %,24.00 %,306.17 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,17.20 %,67.00 °C,138.40 W
2025-05-07 16:39:43.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.30 %,4,67.00 °C,1512 MHz,100.00 %,3.7 %,16,1185 MHz,4.20 %,0.05 GB/s,9.08 W,0.00 GB/s,100.00 %,28.00 %,319.06 W,0.08 GB/s,5.6 %,0.00 GB/s,1185 MHz,94.56 %,37.40 %,67.00 °C,135.04 W
2025-05-07 16:39:43.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,66.00 °C,1512 MHz,100.00 %,4.4 %,16,1095 MHz,70.10 %,0.04 GB/s,9.21 W,0.00 GB/s,100.00 %,28.00 %,283.18 W,0.07 GB/s,5.6 %,0.00 GB/s,1095 MHz,94.56 %,13.60 %,67.00 °C,137.41 W
2025-05-07 16:39:43.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,3.1 %,16,1170 MHz,90.60 %,0.04 GB/s,9.07 W,0.00 GB/s,100.00 %,30.00 %,255.51 W,0.07 GB/s,5.6 %,0.00 GB/s,1170 MHz,94.56 %,21.60 %,67.00 °C,151.45 W
2025-05-07 16:39:43.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,3.1 %,16,1155 MHz,91.40 %,0.04 GB/s,9.14 W,0.00 GB/s,100.00 %,30.00 %,309.29 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,17.10 %,67.00 °C,149.87 W
2025-05-07 16:39:43.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,4.0 %,16,1065 MHz,69.90 %,0.04 GB/s,9.23 W,0.00 GB/s,100.00 %,22.00 %,321.35 W,0.09 GB/s,5.6 %,0.00 GB/s,1065 MHz,94.56 %,15.50 %,67.00 °C,152.31 W
2025-05-07 16:39:43.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,67.00 °C,1512 MHz,100.00 %,3.4 %,16,1170 MHz,69.90 %,0.05 GB/s,9.12 W,0.00 GB/s,100.00 %,22.00 %,334.37 W,0.09 GB/s,5.6 %,0.00 GB/s,1170 MHz,94.56 %,11.90 %,67.00 °C,147.43 W
2025-05-07 16:39:43.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,67.00 °C,1512 MHz,100.00 %,4.7 %,16,1155 MHz,90.40 %,0.04 GB/s,9.26 W,0.00 GB/s,100.00 %,22.00 %,315.41 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,94.56 %,20.30 %,67.00 °C,139.12 W
2025-05-07 16:39:43.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,93.20 %,4,67.00 °C,1512 MHz,100.00 %,4.7 %,16,1035 MHz,2.60 %,0.05 GB/s,9.16 W,0.00 GB/s,100.00 %,35.00 %,315.41 W,0.08 GB/s,5.6 %,0.00 GB/s,1035 MHz,94.56 %,51.50 %,67.00 °C,146.43 W
