timestamp,task_name,name,index,sm_active,temperature.gpu,nvlink_rx_bytes,pcie_tx_bytes,tensor_active,pcie.link.gen.current,sm_occupancy,clocks.current.memory [MHz],dram_active,pcie_rx_bytes,usage.memory [%],clocks.current.graphics [MHz],cpu_power,pcie.link.width.current,clocks.current.sm [MHz],temperature.memory,nvlink_tx_bytes,cpu_usage,dram_power,power.draw [W],utilization.memory [%],dram_usage,utilization.gpu [%]
2025-05-07 16:33:24.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,90.60 %,4,12.40 %,1512 MHz,20.40 %,0.04 GB/s,75.93 %,1140 MHz,152.42 W,16,1140 MHz,63.00 °C,0.00 GB/s,3.7 %,9.07 W,304.62 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,4.60 %,4,93.00 %,1512 MHz,36.40 %,0.04 GB/s,75.93 %,1140 MHz,150.66 W,16,1140 MHz,63.00 °C,0.00 GB/s,3.4 %,8.97 W,294.50 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,64.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,14.60 %,0.05 GB/s,78.00 %,1035 MHz,152.01 W,16,1035 MHz,65.00 °C,0.00 GB/s,3.7 %,9.13 W,299.36 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,91.10 %,4,12.40 %,1512 MHz,15.20 %,0.04 GB/s,78.00 %,1170 MHz,151.92 W,16,1170 MHz,65.00 °C,0.00 GB/s,3.7 %,9.23 W,248.37 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,90.70 %,4,12.40 %,1512 MHz,22.10 %,0.04 GB/s,78.00 %,1155 MHz,152.44 W,16,1155 MHz,65.00 °C,0.00 GB/s,3.7 %,9.11 W,316.19 W,29.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.20 %,4,12.50 %,1512 MHz,13.10 %,0.05 GB/s,80.07 %,1065 MHz,151.60 W,16,1065 MHz,65.00 °C,0.00 GB/s,3.4 %,9.11 W,259.55 W,29.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,64.00 °C,0.00 GB/s,0.08 GB/s,2.30 %,4,89.20 %,1512 MHz,75.10 %,0.05 GB/s,80.07 %,1170 MHz,153.66 W,16,1170 MHz,65.00 °C,0.00 GB/s,5.3 %,9.23 W,312.11 W,28.00 %,5.6 %,100.00 %
2025-05-07 16:33:24.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,90.90 %,4,12.40 %,1512 MHz,21.50 %,0.04 GB/s,80.07 %,1155 MHz,155.83 W,16,1155 MHz,65.00 °C,0.00 GB/s,4.3 %,9.41 W,303.26 W,28.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,16.90 %,0.05 GB/s,82.14 %,1065 MHz,153.34 W,16,1065 MHz,65.00 °C,0.00 GB/s,4.0 %,9.14 W,290.79 W,25.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,91.00 %,4,12.40 %,1512 MHz,16.20 %,0.04 GB/s,82.14 %,1170 MHz,150.93 W,16,1170 MHz,65.00 °C,0.00 GB/s,3.1 %,9.28 W,230.61 W,25.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,90.50 %,4,12.40 %,1512 MHz,22.10 %,0.04 GB/s,82.14 %,1035 MHz,152.14 W,16,1035 MHz,65.00 °C,0.00 GB/s,2.2 %,8.92 W,305.67 W,33.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,64.00 °C,0.00 GB/s,0.09 GB/s,69.80 %,4,12.50 %,1512 MHz,17.00 %,0.04 GB/s,84.21 %,1050 MHz,154.74 W,16,1050 MHz,65.00 °C,0.00 GB/s,3.7 %,9.23 W,325.12 W,33.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.05 GB/s,90.90 %,4,12.40 %,1512 MHz,23.90 %,0.03 GB/s,84.21 %,1050 MHz,150.92 W,16,1050 MHz,65.00 °C,0.00 GB/s,3.4 %,9.20 W,281.33 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,65.00 °C,0.00 GB/s,0.08 GB/s,91.10 %,4,12.50 %,1512 MHz,20.10 %,0.04 GB/s,84.21 %,1155 MHz,154.18 W,16,1155 MHz,65.00 °C,0.00 GB/s,3.4 %,9.12 W,311.33 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,14.70 %,0.05 GB/s,86.28 %,1050 MHz,153.71 W,16,1050 MHz,65.00 °C,0.00 GB/s,3.7 %,9.17 W,271.95 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,14.90 %,0.05 GB/s,86.28 %,1065 MHz,153.26 W,16,1065 MHz,65.00 °C,0.00 GB/s,3.3 %,9.24 W,238.58 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,91.00 %,4,12.40 %,1512 MHz,15.90 %,0.04 GB/s,86.28 %,1170 MHz,152.60 W,16,1170 MHz,65.00 °C,0.00 GB/s,5.6 %,9.26 W,309.29 W,28.00 %,5.6 %,100.00 %
2025-05-07 16:33:25.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,90.70 %,4,12.40 %,1512 MHz,22.40 %,0.04 GB/s,86.28 %,1095 MHz,148.55 W,16,1095 MHz,65.00 °C,0.00 GB/s,3.1 %,9.20 W,330.08 W,28.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,16.10 %,0.04 GB/s,88.35 %,1080 MHz,148.84 W,16,1080 MHz,65.00 °C,0.00 GB/s,4.0 %,9.39 W,313.45 W,30.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,91.10 %,4,12.40 %,1512 MHz,16.20 %,0.04 GB/s,88.35 %,1170 MHz,152.67 W,16,1170 MHz,65.00 °C,0.00 GB/s,3.4 %,9.18 W,313.17 W,30.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,0.00 %,4,92.40 %,1512 MHz,53.20 %,0.05 GB/s,88.35 %,1125 MHz,148.63 W,16,1125 MHz,65.00 °C,0.00 GB/s,3.7 %,9.17 W,307.60 W,30.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,11.90 %,0.04 GB/s,90.42 %,1095 MHz,150.82 W,16,1095 MHz,65.00 °C,0.00 GB/s,3.4 %,9.17 W,307.60 W,22.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,64.00 °C,0.00 GB/s,0.08 GB/s,2.60 %,4,92.80 %,1512 MHz,44.80 %,0.05 GB/s,90.42 %,1155 MHz,151.90 W,16,1155 MHz,65.00 °C,0.00 GB/s,2.5 %,9.26 W,250.46 W,34.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,66.00 °C,0.00 GB/s,0.08 GB/s,90.70 %,4,12.50 %,1512 MHz,18.90 %,0.04 GB/s,90.42 %,1185 MHz,152.49 W,16,1185 MHz,65.00 °C,0.00 GB/s,5.6 %,9.29 W,310.84 W,34.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,14.50 %,0.04 GB/s,92.49 %,1065 MHz,155.36 W,16,1065 MHz,65.00 °C,0.00 GB/s,2.2 %,9.05 W,346.91 W,23.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,13.30 %,0.04 GB/s,92.49 %,1170 MHz,153.99 W,16,1170 MHz,65.00 °C,0.00 GB/s,3.4 %,9.00 W,313.85 W,23.00 %,5.6 %,100.00 %
2025-05-07 16:33:26.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,66.00 °C,0.00 GB/s,0.08 GB/s,94.00 %,4,12.40 %,1512 MHz,16.80 %,0.04 GB/s,92.49 %,1170 MHz,158.08 W,16,1170 MHz,65.00 °C,0.00 GB/s,3.4 %,9.10 W,319.35 W,23.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,4.20 %,4,92.30 %,1512 MHz,37.00 %,0.05 GB/s,92.49 %,1065 MHz,150.87 W,16,1065 MHz,65.00 °C,0.00 GB/s,3.3 %,8.95 W,319.35 W,30.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,13.70 %,0.05 GB/s,94.56 %,1065 MHz,151.62 W,16,1065 MHz,65.00 °C,0.00 GB/s,5.9 %,9.43 W,282.40 W,30.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,90.30 %,4,12.40 %,1512 MHz,22.10 %,0.04 GB/s,94.56 %,1170 MHz,135.99 W,16,1170 MHz,65.00 °C,0.00 GB/s,4.3 %,9.35 W,279.08 W,26.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,90.60 %,4,12.40 %,1512 MHz,21.80 %,0.04 GB/s,94.56 %,1155 MHz,122.95 W,16,1155 MHz,65.00 °C,0.00 GB/s,4.3 %,9.14 W,305.69 W,26.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,15.10 %,0.05 GB/s,94.56 %,1125 MHz,127.65 W,16,1125 MHz,65.00 °C,0.00 GB/s,2.2 %,9.29 W,302.38 W,27.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,0.00 %,4,92.50 %,1512 MHz,58.80 %,0.05 GB/s,94.56 %,1125 MHz,111.43 W,16,1125 MHz,67.00 °C,0.00 GB/s,3.4 %,9.19 W,317.84 W,27.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,66.00 °C,0.00 GB/s,0.08 GB/s,90.70 %,4,12.50 %,1512 MHz,18.60 %,0.04 GB/s,94.56 %,1155 MHz,108.63 W,16,1155 MHz,65.00 °C,0.00 GB/s,3.4 %,9.31 W,310.35 W,22.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,16.70 %,0.05 GB/s,94.56 %,1065 MHz,104.34 W,16,1065 MHz,65.00 °C,0.00 GB/s,2.4 %,9.38 W,298.78 W,22.00 %,5.6 %,100.00 %
2025-05-07 16:33:27.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,91.00 %,4,12.40 %,1512 MHz,23.50 %,0.04 GB/s,94.56 %,1170 MHz,112.40 W,16,1170 MHz,67.00 °C,0.00 GB/s,4.9 %,9.34 W,283.08 W,35.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,66.00 °C,0.00 GB/s,0.08 GB/s,91.10 %,4,12.50 %,1512 MHz,19.40 %,0.04 GB/s,94.56 %,1125 MHz,122.63 W,16,1125 MHz,67.00 °C,0.00 GB/s,3.7 %,9.37 W,278.20 W,35.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,11.30 %,0.05 GB/s,94.56 %,1125 MHz,143.01 W,16,1125 MHz,65.00 °C,0.00 GB/s,6.2 %,9.63 W,310.63 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.20 %,4,12.50 %,1512 MHz,13.10 %,0.05 GB/s,94.56 %,1125 MHz,152.06 W,16,1125 MHz,67.00 °C,0.00 GB/s,3.4 %,9.07 W,329.28 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,91.50 %,4,12.40 %,1512 MHz,15.50 %,0.03 GB/s,94.56 %,1155 MHz,150.29 W,16,1155 MHz,65.00 °C,0.00 GB/s,3.1 %,9.13 W,308.50 W,29.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,91.20 %,4,12.40 %,1512 MHz,16.50 %,0.04 GB/s,94.56 %,1155 MHz,151.16 W,16,1155 MHz,65.00 °C,0.00 GB/s,6.5 %,9.34 W,286.20 W,29.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,15.20 %,0.05 GB/s,94.56 %,1080 MHz,149.49 W,16,1080 MHz,67.00 °C,0.00 GB/s,4.6 %,9.14 W,286.21 W,29.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.08 GB/s,90.90 %,4,12.40 %,1512 MHz,23.80 %,0.04 GB/s,94.56 %,1155 MHz,149.20 W,16,1155 MHz,67.00 °C,0.00 GB/s,3.4 %,9.22 W,283.57 W,27.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,66.00 °C,0.00 GB/s,0.09 GB/s,90.80 %,4,12.50 %,1512 MHz,18.60 %,0.05 GB/s,94.56 %,1170 MHz,147.43 W,16,1170 MHz,67.00 °C,0.00 GB/s,3.9 %,9.31 W,283.57 W,27.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,14.40 %,0.05 GB/s,94.56 %,1065 MHz,150.60 W,16,1065 MHz,67.00 °C,0.00 GB/s,4.6 %,9.14 W,300.82 W,26.00 %,5.6 %,100.00 %
2025-05-07 16:33:28.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,65.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,12.50 %,0.05 GB/s,94.56 %,1065 MHz,147.78 W,16,1065 MHz,67.00 °C,0.00 GB/s,2.8 %,9.28 W,299.64 W,26.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,67.00 °C,0.00 GB/s,0.08 GB/s,91.00 %,4,12.40 %,1512 MHz,15.60 %,0.04 GB/s,94.56 %,1170 MHz,149.56 W,16,1170 MHz,67.00 °C,0.00 GB/s,3.4 %,9.06 W,310.85 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,90.50 %,4,12.40 %,1512 MHz,21.80 %,0.04 GB/s,94.56 %,1155 MHz,139.72 W,16,1155 MHz,67.00 °C,0.00 GB/s,3.1 %,9.20 W,292.73 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,15.30 %,0.04 GB/s,94.56 %,1080 MHz,142.48 W,16,1080 MHz,67.00 °C,0.00 GB/s,3.4 %,9.15 W,285.04 W,23.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,91.50 %,4,12.40 %,1512 MHz,17.50 %,0.04 GB/s,94.56 %,1170 MHz,145.44 W,16,1170 MHz,67.00 °C,0.00 GB/s,3.4 %,9.22 W,297.02 W,23.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,2.40 %,4,88.80 %,1512 MHz,71.70 %,0.05 GB/s,94.56 %,1155 MHz,135.19 W,16,1155 MHz,67.00 °C,0.00 GB/s,3.7 %,9.18 W,301.30 W,34.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,14.30 %,0.04 GB/s,94.56 %,1050 MHz,122.74 W,16,1050 MHz,67.00 °C,0.00 GB/s,3.7 %,9.29 W,308.02 W,34.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,70.10 %,4,12.50 %,1512 MHz,15.30 %,0.05 GB/s,94.56 %,1170 MHz,115.53 W,16,1170 MHz,67.00 °C,0.00 GB/s,5.0 %,9.37 W,263.63 W,34.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,67.00 °C,0.00 GB/s,0.08 GB/s,90.60 %,4,12.40 %,1512 MHz,20.90 %,0.04 GB/s,94.56 %,1155 MHz,124.94 W,16,1155 MHz,67.00 °C,0.00 GB/s,5.9 %,9.22 W,304.53 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,67.00 °C,0.00 GB/s,0.08 GB/s,4.60 %,4,93.00 %,1512 MHz,35.40 %,0.04 GB/s,94.56 %,1065 MHz,132.23 W,16,1065 MHz,65.00 °C,0.00 GB/s,4.3 %,9.26 W,321.79 W,24.00 %,5.6 %,100.00 %
2025-05-07 16:33:29.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,13.00 %,0.04 GB/s,94.56 %,1065 MHz,130.95 W,16,1065 MHz,67.00 °C,0.00 GB/s,3.4 %,9.26 W,321.79 W,29.00 %,5.6 %,100.00 %
2025-05-07 16:33:30.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,66.00 °C,0.00 GB/s,0.08 GB/s,91.20 %,4,12.40 %,1512 MHz,15.60 %,0.04 GB/s,94.56 %,1155 MHz,128.17 W,16,1155 MHz,67.00 °C,0.00 GB/s,2.2 %,9.16 W,294.30 W,26.00 %,5.6 %,100.00 %
