timestamp,task_name,name,index,clocks.current.memory [MHz],sm_occupancy,utilization.gpu [%],pcie.link.gen.current,usage.memory [%],utilization.memory [%],clocks.current.graphics [MHz],sm_active,dram_power,nvlink_tx_bytes,cpu_power,pcie_tx_bytes,cpu_usage,tensor_active,dram_active,temperature.gpu,pcie_rx_bytes,power.draw [W],dram_usage,nvlink_rx_bytes,pcie.link.width.current,clocks.current.sm [MHz],temperature.memory
2025-05-07 14:32:55.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,78.00 %,24.00 %,1170 MHz,100.00 %,9.12 W,0.00 GB/s,152.58 W,0.09 GB/s,4.0 %,69.90 %,14.20 %,62.00 °C,0.04 GB/s,290.79 W,5.5 %,0.00 GB/s,16,1170 MHz,61.00 °C
2025-05-07 14:32:55.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,78.00 %,24.00 %,1155 MHz,100.00 %,9.08 W,0.00 GB/s,151.42 W,0.08 GB/s,3.1 %,90.50 %,20.40 %,62.00 °C,0.04 GB/s,304.02 W,5.5 %,0.00 GB/s,16,1155 MHz,61.00 °C
2025-05-07 14:32:55.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,46.80 %,100.00 %,4,78.00 %,28.00 %,1050 MHz,100.00 %,9.04 W,0.00 GB/s,151.20 W,0.08 GB/s,6.2 %,0.00 %,20.90 %,63.00 °C,0.04 GB/s,304.02 W,5.5 %,0.00 GB/s,16,1050 MHz,61.00 °C
2025-05-07 14:32:55.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,80.07 %,28.00 %,1050 MHz,100.00 %,9.20 W,0.00 GB/s,153.07 W,0.09 GB/s,3.1 %,70.10 %,14.70 %,62.00 °C,0.05 GB/s,302.85 W,5.5 %,0.00 GB/s,16,1050 MHz,61.00 °C
2025-05-07 14:32:55.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,80.07 %,30.00 %,1170 MHz,100.00 %,9.00 W,0.00 GB/s,150.45 W,0.03 GB/s,3.7 %,90.50 %,22.50 %,63.00 °C,0.02 GB/s,289.92 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:55.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,93.00 %,100.00 %,4,80.07 %,30.00 %,1005 MHz,100.00 %,8.89 W,0.00 GB/s,148.54 W,0.08 GB/s,3.4 %,4.60 %,35.50 %,63.00 °C,0.04 GB/s,307.63 W,5.5 %,0.00 GB/s,16,1005 MHz,63.00 °C
2025-05-07 14:32:55.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,82.14 %,22.00 %,1005 MHz,100.00 %,9.08 W,0.00 GB/s,150.45 W,0.09 GB/s,5.2 %,70.10 %,11.80 %,62.00 °C,0.04 GB/s,327.13 W,5.5 %,0.00 GB/s,16,1005 MHz,63.00 °C
2025-05-07 14:32:55.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,89.40 %,100.00 %,4,82.14 %,22.00 %,1170 MHz,100.00 %,9.25 W,0.00 GB/s,150.45 W,0.08 GB/s,4.7 %,2.20 %,74.90 %,63.00 °C,0.05 GB/s,300.43 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:56.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,82.14 %,35.00 %,1170 MHz,99.90 %,9.26 W,0.00 GB/s,151.17 W,0.08 GB/s,3.6 %,90.60 %,18.90 %,63.00 °C,0.04 GB/s,306.17 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:56.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,84.21 %,35.00 %,1050 MHz,100.00 %,9.26 W,0.00 GB/s,153.13 W,0.09 GB/s,3.4 %,70.10 %,12.70 %,62.00 °C,0.04 GB/s,299.94 W,5.5 %,0.00 GB/s,16,1050 MHz,63.00 °C
2025-05-07 14:32:56.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,84.21 %,23.00 %,1065 MHz,100.00 %,9.04 W,0.00 GB/s,152.24 W,0.09 GB/s,2.8 %,70.10 %,12.80 %,62.00 °C,0.05 GB/s,236.13 W,5.5 %,0.00 GB/s,16,1065 MHz,63.00 °C
2025-05-07 14:32:56.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,84.21 %,23.00 %,1170 MHz,100.00 %,9.04 W,0.00 GB/s,153.88 W,0.08 GB/s,3.1 %,90.50 %,20.10 %,63.00 °C,0.04 GB/s,310.46 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:56.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,84.21 %,30.00 %,1140 MHz,100.00 %,9.05 W,0.00 GB/s,147.55 W,0.08 GB/s,3.7 %,90.60 %,21.20 %,63.00 °C,0.04 GB/s,329.17 W,5.5 %,0.00 GB/s,16,1140 MHz,63.00 °C
2025-05-07 14:32:56.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,86.28 %,30.00 %,1095 MHz,100.00 %,8.98 W,0.00 GB/s,148.70 W,0.09 GB/s,3.4 %,70.20 %,11.30 %,62.00 °C,0.04 GB/s,256.63 W,5.5 %,0.00 GB/s,16,1095 MHz,63.00 °C
2025-05-07 14:32:56.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,86.28 %,30.00 %,1170 MHz,100.00 %,8.96 W,0.00 GB/s,149.41 W,0.09 GB/s,3.4 %,90.90 %,17.50 %,63.00 °C,0.04 GB/s,306.36 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:56.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,88.90 %,100.00 %,4,86.28 %,27.00 %,1215 MHz,100.00 %,9.18 W,0.00 GB/s,149.71 W,0.08 GB/s,3.4 %,2.30 %,72.00 %,63.00 °C,0.05 GB/s,306.36 W,5.5 %,0.00 GB/s,16,1215 MHz,63.00 °C
2025-05-07 14:32:56.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,88.35 %,27.00 %,1110 MHz,100.00 %,9.20 W,0.00 GB/s,151.23 W,0.09 GB/s,3.4 %,70.00 %,15.50 %,63.00 °C,0.04 GB/s,308.51 W,5.5 %,0.00 GB/s,16,1110 MHz,63.00 °C
2025-05-07 14:32:56.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,88.35 %,32.00 %,1170 MHz,100.00 %,9.08 W,0.00 GB/s,149.41 W,0.09 GB/s,3.4 %,70.10 %,12.80 %,62.00 °C,0.04 GB/s,290.01 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:57.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,88.35 %,32.00 %,1170 MHz,100.00 %,9.06 W,0.00 GB/s,148.29 W,0.08 GB/s,3.6 %,90.40 %,20.90 %,63.00 °C,0.04 GB/s,226.71 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:57.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,50.00 %,100.00 %,4,88.35 %,23.00 %,1170 MHz,100.00 %,9.19 W,0.00 GB/s,152.84 W,0.08 GB/s,5.2 %,0.00 %,22.30 %,63.00 °C,0.04 GB/s,305.97 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:57.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,90.42 %,23.00 %,1080 MHz,100.00 %,9.06 W,0.00 GB/s,150.09 W,0.09 GB/s,3.7 %,69.80 %,13.90 %,63.00 °C,0.05 GB/s,315.57 W,5.5 %,0.00 GB/s,16,1080 MHz,63.00 °C
2025-05-07 14:32:57.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,90.42 %,34.00 %,1170 MHz,100.00 %,8.90 W,0.00 GB/s,149.13 W,0.08 GB/s,3.4 %,91.30 %,16.10 %,63.00 °C,0.04 GB/s,307.05 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:57.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,88.80 %,100.00 %,4,90.42 %,34.00 %,1170 MHz,98.40 %,9.03 W,0.00 GB/s,153.03 W,0.08 GB/s,3.1 %,0.90 %,60.20 %,63.00 °C,0.06 GB/s,303.22 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:57.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,92.49 %,24.00 %,1050 MHz,100.00 %,9.06 W,0.00 GB/s,150.77 W,0.09 GB/s,3.4 %,69.80 %,15.80 %,63.00 °C,0.05 GB/s,281.42 W,5.5 %,0.00 GB/s,16,1050 MHz,63.00 °C
2025-05-07 14:32:57.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,92.49 %,24.00 %,1170 MHz,100.00 %,9.15 W,0.00 GB/s,151.94 W,0.09 GB/s,3.4 %,70.10 %,14.40 %,63.00 °C,0.05 GB/s,242.72 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:57.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,92.49 %,24.00 %,1155 MHz,100.00 %,9.16 W,0.00 GB/s,148.60 W,0.08 GB/s,5.0 %,90.50 %,20.80 %,63.00 °C,0.04 GB/s,307.62 W,5.5 %,0.00 GB/s,16,1155 MHz,63.00 °C
2025-05-07 14:32:57.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,93.30 %,100.00 %,4,92.49 %,29.00 %,1050 MHz,100.00 %,9.27 W,0.00 GB/s,151.47 W,0.08 GB/s,4.0 %,2.60 %,51.70 %,64.00 °C,0.05 GB/s,307.62 W,5.5 %,0.00 GB/s,16,1050 MHz,63.00 °C
2025-05-07 14:32:57.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,29.00 %,1125 MHz,100.00 %,9.16 W,0.00 GB/s,144.62 W,0.09 GB/s,3.7 %,70.00 %,13.10 %,63.00 °C,0.04 GB/s,345.15 W,5.5 %,0.00 GB/s,16,1125 MHz,63.00 °C
2025-05-07 14:32:58.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,27.00 %,1170 MHz,100.00 %,9.29 W,0.00 GB/s,134.21 W,0.08 GB/s,2.2 %,91.30 %,15.50 %,63.00 °C,0.04 GB/s,304.80 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:58.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,27.00 %,1065 MHz,100.00 %,9.43 W,0.00 GB/s,113.81 W,0.08 GB/s,3.7 %,91.40 %,17.30 %,63.00 °C,0.04 GB/s,333.88 W,5.5 %,0.00 GB/s,16,1065 MHz,63.00 °C
2025-05-07 14:32:58.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,26.00 %,1065 MHz,100.00 %,9.19 W,0.00 GB/s,115.04 W,0.09 GB/s,4.9 %,70.00 %,12.80 %,63.00 °C,0.05 GB/s,333.88 W,5.5 %,0.00 GB/s,16,1065 MHz,63.00 °C
2025-05-07 14:32:58.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,26.00 %,1170 MHz,100.00 %,9.26 W,0.00 GB/s,128.58 W,0.09 GB/s,7.1 %,90.60 %,23.30 %,63.00 °C,0.04 GB/s,284.93 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:58.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,32.00 %,1170 MHz,99.90 %,9.11 W,0.00 GB/s,147.72 W,0.08 GB/s,3.7 %,90.80 %,19.00 %,64.00 °C,0.04 GB/s,265.80 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:58.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,32.00 %,1125 MHz,100.00 %,9.14 W,0.00 GB/s,145.98 W,0.09 GB/s,4.0 %,70.00 %,12.20 %,63.00 °C,0.04 GB/s,306.94 W,5.5 %,0.00 GB/s,16,1125 MHz,63.00 °C
2025-05-07 14:32:58.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,25.00 %,1125 MHz,100.00 %,9.18 W,0.00 GB/s,148.31 W,0.09 GB/s,3.4 %,69.70 %,14.90 %,63.00 °C,0.04 GB/s,326.09 W,5.5 %,0.00 GB/s,16,1125 MHz,63.00 °C
2025-05-07 14:32:58.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,25.00 %,1170 MHz,100.00 %,9.15 W,0.00 GB/s,150.29 W,0.08 GB/s,3.1 %,91.40 %,15.50 %,64.00 °C,0.04 GB/s,300.91 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:58.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,31.00 %,1170 MHz,100.00 %,9.10 W,0.00 GB/s,151.25 W,0.08 GB/s,3.7 %,90.70 %,22.00 %,64.00 °C,0.04 GB/s,291.29 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:58.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,31.00 %,1095 MHz,100.00 %,9.28 W,0.00 GB/s,135.08 W,0.09 GB/s,4.3 %,70.20 %,12.70 %,63.00 °C,0.04 GB/s,284.45 W,5.5 %,0.00 GB/s,16,1095 MHz,63.00 °C
2025-05-07 14:32:59.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,31.00 %,1170 MHz,100.00 %,9.10 W,0.00 GB/s,130.09 W,0.05 GB/s,3.7 %,91.60 %,18.30 %,63.00 °C,0.03 GB/s,279.29 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:59.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,29.00 %,1200 MHz,99.90 %,9.23 W,0.00 GB/s,119.14 W,0.08 GB/s,3.4 %,90.00 %,18.90 %,64.00 °C,0.04 GB/s,311.03 W,5.5 %,0.00 GB/s,16,1200 MHz,63.00 °C
2025-05-07 14:32:59.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,31.00 %,1065 MHz,100.00 %,9.12 W,0.00 GB/s,123.53 W,0.09 GB/s,2.8 %,70.20 %,12.50 %,64.00 °C,0.04 GB/s,319.87 W,5.5 %,0.00 GB/s,16,1065 MHz,63.00 °C
2025-05-07 14:32:59.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,31.00 %,1170 MHz,100.00 %,9.15 W,0.00 GB/s,118.12 W,0.09 GB/s,3.7 %,70.10 %,14.50 %,64.00 °C,0.04 GB/s,313.85 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:59.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,31.00 %,1170 MHz,99.90 %,9.27 W,0.00 GB/s,122.51 W,0.08 GB/s,3.7 %,93.40 %,17.00 %,64.00 °C,0.04 GB/s,305.69 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:59.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,93.50 %,100.00 %,4,94.56 %,23.00 %,1065 MHz,100.00 %,9.12 W,0.00 GB/s,146.71 W,0.08 GB/s,7.1 %,4.30 %,49.50 %,64.00 °C,0.05 GB/s,305.69 W,5.5 %,0.00 GB/s,16,1065 MHz,63.00 °C
2025-05-07 14:32:59.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,23.00 %,1065 MHz,100.00 %,9.10 W,0.00 GB/s,152.29 W,0.09 GB/s,3.4 %,70.10 %,12.20 %,63.00 °C,0.04 GB/s,287.08 W,5.5 %,0.00 GB/s,16,1065 MHz,65.00 °C
2025-05-07 14:32:59.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,35.00 %,1170 MHz,100.00 %,9.12 W,0.00 GB/s,145.35 W,0.08 GB/s,3.1 %,90.60 %,21.80 %,64.00 °C,0.04 GB/s,298.29 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:32:59.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,35.00 %,1155 MHz,100.00 %,9.18 W,0.00 GB/s,143.72 W,0.08 GB/s,3.1 %,90.90 %,20.90 %,64.00 °C,0.04 GB/s,298.19 W,5.5 %,0.00 GB/s,16,1155 MHz,63.00 °C
2025-05-07 14:32:59.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,23.00 %,1050 MHz,100.00 %,9.20 W,0.00 GB/s,137.41 W,0.09 GB/s,2.8 %,70.00 %,14.90 %,64.00 °C,0.04 GB/s,299.26 W,5.5 %,0.00 GB/s,16,1050 MHz,63.00 °C
2025-05-07 14:33:00.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,23.00 %,1170 MHz,100.00 %,9.18 W,0.00 GB/s,131.34 W,0.09 GB/s,3.4 %,70.10 %,10.70 %,64.00 °C,0.04 GB/s,276.06 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
2025-05-07 14:33:00.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,91.60 %,100.00 %,4,94.56 %,31.00 %,1170 MHz,100.00 %,9.21 W,0.00 GB/s,128.55 W,0.05 GB/s,3.4 %,0.00 %,90.80 %,64.00 °C,0.04 GB/s,306.95 W,5.5 %,0.00 GB/s,16,1170 MHz,65.00 °C
2025-05-07 14:33:00.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,91.10 %,100.00 %,4,94.56 %,31.00 %,1065 MHz,98.40 %,9.31 W,0.00 GB/s,123.59 W,0.08 GB/s,3.1 %,3.90 %,49.60 %,64.00 °C,0.05 GB/s,334.40 W,5.5 %,0.00 GB/s,16,1065 MHz,63.00 °C
2025-05-07 14:33:00.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,94.56 %,31.00 %,1170 MHz,100.00 %,9.21 W,0.00 GB/s,114.09 W,0.09 GB/s,3.7 %,70.00 %,12.10 %,63.00 °C,0.04 GB/s,334.40 W,5.5 %,0.00 GB/s,16,1170 MHz,65.00 °C
2025-05-07 14:33:00.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,26.00 %,1170 MHz,100.00 %,9.29 W,0.00 GB/s,105.58 W,0.08 GB/s,3.1 %,90.40 %,21.90 %,64.00 °C,0.04 GB/s,253.69 W,5.5 %,0.00 GB/s,16,1170 MHz,65.00 °C
2025-05-07 14:33:00.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,94.56 %,26.00 %,1170 MHz,100.00 %,9.43 W,0.00 GB/s,112.40 W,0.09 GB/s,5.3 %,90.50 %,23.00 %,64.00 °C,0.04 GB/s,305.59 W,5.5 %,0.00 GB/s,16,1170 MHz,63.00 °C
