timestamp,task_name,name,index,cpu_usage,temperature.gpu,clocks.current.sm [MHz],pcie_rx_bytes,dram_active,usage.memory [%],pcie.link.gen.current,pcie_tx_bytes,clocks.current.memory [MHz],tensor_active,dram_power,utilization.gpu [%],dram_usage,sm_occupancy,nvlink_tx_bytes,power.draw [W],utilization.memory [%],temperature.memory,clocks.current.graphics [MHz],cpu_power,pcie.link.width.current,sm_active,nvlink_rx_bytes
2025-05-07 14:38:14.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,62.00 °C,1065 MHz,0.05 GB/s,50.30 %,73.85 %,4,0.08 GB/s,1512 MHz,4.30 %,9.00 W,100.00 %,5.6 %,93.50 %,0.00 GB/s,299.37 W,22.00 %,61.00 °C,1065 MHz,150.84 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,62.00 °C,1155 MHz,0.05 GB/s,13.50 %,75.93 %,4,0.09 GB/s,1512 MHz,69.90 %,9.11 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,299.37 W,22.00 %,63.00 °C,1155 MHz,150.33 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.3 %,63.00 °C,1155 MHz,0.04 GB/s,16.60 %,75.93 %,4,0.08 GB/s,1512 MHz,90.90 %,9.21 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,237.30 W,35.00 %,63.00 °C,1155 MHz,155.92 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.0 %,63.00 °C,1065 MHz,0.04 GB/s,17.20 %,75.93 %,4,0.08 GB/s,1512 MHz,91.60 %,9.30 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,307.91 W,35.00 %,63.00 °C,1065 MHz,151.82 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.2 %,63.00 °C,1065 MHz,0.05 GB/s,11.50 %,78.00 %,4,0.09 GB/s,1512 MHz,70.00 %,9.53 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,340.34 W,24.00 %,63.00 °C,1065 MHz,151.36 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.8 %,63.00 °C,1050 MHz,0.05 GB/s,13.60 %,78.00 %,4,0.09 GB/s,1512 MHz,70.00 %,9.35 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,277.23 W,24.00 %,63.00 °C,1050 MHz,151.49 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,6.7 %,64.00 °C,1170 MHz,0.04 GB/s,21.00 %,78.00 %,4,0.08 GB/s,1512 MHz,90.50 %,9.18 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,309.68 W,29.00 %,63.00 °C,1170 MHz,148.80 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.6 %,63.00 °C,1095 MHz,0.05 GB/s,50.70 %,78.00 %,4,0.08 GB/s,1512 MHz,4.30 %,9.24 W,100.00 %,5.6 %,93.50 %,0.00 GB/s,269.80 W,29.00 %,63.00 °C,1095 MHz,150.77 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,63.00 °C,1125 MHz,0.05 GB/s,11.30 %,80.07 %,4,0.09 GB/s,1512 MHz,70.10 %,9.29 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,286.59 W,26.00 %,63.00 °C,1125 MHz,151.40 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.2 %,64.00 °C,1155 MHz,0.04 GB/s,17.30 %,80.07 %,4,0.09 GB/s,1512 MHz,93.80 %,9.22 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,237.98 W,26.00 %,63.00 °C,1155 MHz,152.02 W,16,99.90 %,0.00 GB/s
2025-05-07 14:38:15.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1155 MHz,0.05 GB/s,13.50 %,82.14 %,4,0.09 GB/s,1512 MHz,70.00 %,9.14 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,308.89 W,26.00 %,63.00 °C,1155 MHz,151.48 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,62.00 °C,1125 MHz,0.05 GB/s,12.70 %,82.14 %,4,0.09 GB/s,1512 MHz,70.00 %,9.04 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,326.85 W,26.00 %,63.00 °C,1125 MHz,151.23 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,64.00 °C,1170 MHz,0.04 GB/s,21.60 %,82.14 %,4,0.08 GB/s,1512 MHz,90.40 %,9.08 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,312.88 W,32.00 %,63.00 °C,1170 MHz,153.27 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,64.00 °C,1125 MHz,0.04 GB/s,17.20 %,82.14 %,4,0.08 GB/s,1512 MHz,91.50 %,9.15 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,327.65 W,32.00 %,63.00 °C,1125 MHz,153.15 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1080 MHz,0.04 GB/s,12.60 %,84.21 %,4,0.09 GB/s,1512 MHz,70.10 %,8.89 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,285.52 W,25.00 %,63.00 °C,1080 MHz,153.57 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,63.00 °C,1155 MHz,0.04 GB/s,12.40 %,84.21 %,4,0.09 GB/s,1512 MHz,70.00 %,8.97 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,260.03 W,25.00 %,63.00 °C,1155 MHz,150.18 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:15.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1170 MHz,0.04 GB/s,14.90 %,84.21 %,4,0.08 GB/s,1512 MHz,91.20 %,8.94 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,312.19 W,25.00 %,63.00 °C,1170 MHz,149.74 W,16,99.80 %,0.00 GB/s
2025-05-07 14:38:16.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.6 %,64.00 °C,1020 MHz,0.05 GB/s,19.40 %,86.28 %,4,0.09 GB/s,1512 MHz,70.00 %,9.07 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,312.19 W,31.00 %,63.00 °C,1020 MHz,154.08 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,7.1 %,63.00 °C,1170 MHz,0.05 GB/s,15.40 %,86.28 %,4,0.09 GB/s,1512 MHz,69.90 %,9.43 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,315.31 W,31.00 %,63.00 °C,1170 MHz,155.40 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1170 MHz,0.04 GB/s,21.20 %,86.28 %,4,0.08 GB/s,1512 MHz,90.40 %,9.18 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,308.69 W,24.00 %,63.00 °C,1170 MHz,148.58 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1170 MHz,0.04 GB/s,17.50 %,86.28 %,4,0.08 GB/s,1512 MHz,91.80 %,8.95 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,307.52 W,24.00 %,63.00 °C,1170 MHz,152.75 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,63.00 °C,1095 MHz,0.04 GB/s,14.80 %,88.35 %,4,0.09 GB/s,1512 MHz,69.90 %,9.24 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,285.42 W,28.00 %,65.00 °C,1095 MHz,153.15 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,64.00 °C,1170 MHz,0.04 GB/s,16.90 %,88.35 %,4,0.08 GB/s,1512 MHz,91.00 %,9.14 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,285.42 W,28.00 %,63.00 °C,1170 MHz,149.23 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1050 MHz,0.03 GB/s,16.80 %,88.35 %,4,0.05 GB/s,1512 MHz,91.60 %,9.03 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,308.11 W,24.00 %,63.00 °C,1050 MHz,150.04 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1050 MHz,0.05 GB/s,15.30 %,90.42 %,4,0.09 GB/s,1512 MHz,70.00 %,9.23 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,311.21 W,24.00 %,63.00 °C,1050 MHz,156.50 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,64.00 °C,1050 MHz,0.05 GB/s,14.00 %,90.42 %,4,0.09 GB/s,1512 MHz,70.00 %,8.99 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,327.54 W,34.00 %,65.00 °C,1050 MHz,148.87 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:16.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,65.00 °C,1170 MHz,0.04 GB/s,15.30 %,90.42 %,4,0.08 GB/s,1512 MHz,91.20 %,9.06 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,298.39 W,34.00 %,63.00 °C,1170 MHz,150.60 W,16,99.90 %,0.00 GB/s
2025-05-07 14:38:17.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1050 MHz,0.05 GB/s,12.80 %,90.42 %,4,0.08 GB/s,1512 MHz,0.20 %,8.95 W,100.00 %,5.6 %,23.10 %,0.00 GB/s,293.61 W,24.00 %,65.00 °C,1050 MHz,151.25 W,16,84.70 %,0.00 GB/s
2025-05-07 14:38:17.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1080 MHz,0.05 GB/s,11.90 %,92.49 %,4,0.09 GB/s,1512 MHz,69.90 %,9.22 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,272.93 W,24.00 %,65.00 °C,1080 MHz,150.67 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1170 MHz,0.04 GB/s,17.20 %,92.49 %,4,0.09 GB/s,1512 MHz,90.90 %,9.08 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,292.85 W,31.00 %,65.00 °C,1170 MHz,150.01 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.6 %,65.00 °C,1185 MHz,0.04 GB/s,21.70 %,92.49 %,4,0.08 GB/s,1512 MHz,90.60 %,9.13 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,307.82 W,31.00 %,63.00 °C,1185 MHz,149.55 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1080 MHz,0.05 GB/s,16.20 %,94.56 %,4,0.09 GB/s,1512 MHz,70.10 %,9.01 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,305.18 W,31.00 %,65.00 °C,1080 MHz,148.53 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,63.00 °C,1170 MHz,0.04 GB/s,13.60 %,94.56 %,4,0.09 GB/s,1512 MHz,70.00 %,9.10 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,305.18 W,26.00 %,65.00 °C,1170 MHz,133.70 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.0 %,65.00 °C,1140 MHz,0.04 GB/s,16.00 %,94.56 %,4,0.08 GB/s,1512 MHz,93.10 %,9.19 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,295.18 W,26.00 %,65.00 °C,1140 MHz,138.36 W,16,99.90 %,0.00 GB/s
2025-05-07 14:38:17.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.9 %,64.00 °C,1140 MHz,0.05 GB/s,48.80 %,94.56 %,4,0.08 GB/s,1512 MHz,4.30 %,9.14 W,100.00 %,5.6 %,93.40 %,0.00 GB/s,308.20 W,27.00 %,63.00 °C,1140 MHz,141.66 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,64.00 °C,1065 MHz,0.05 GB/s,13.80 %,94.56 %,4,0.09 GB/s,1512 MHz,70.10 %,9.19 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,260.15 W,27.00 %,65.00 °C,1065 MHz,148.19 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:17.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1155 MHz,0.04 GB/s,22.60 %,94.56 %,4,0.08 GB/s,1512 MHz,90.40 %,9.21 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,289.33 W,31.00 %,65.00 °C,1155 MHz,139.91 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,65.00 °C,1155 MHz,0.04 GB/s,17.30 %,94.56 %,4,0.08 GB/s,1512 MHz,91.20 %,9.27 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,298.77 W,31.00 %,65.00 °C,1155 MHz,135.03 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,65.00 °C,1080 MHz,0.05 GB/s,14.60 %,94.56 %,4,0.09 GB/s,1512 MHz,70.10 %,9.23 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,311.02 W,31.00 %,65.00 °C,1080 MHz,133.86 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,65.00 °C,1170 MHz,0.04 GB/s,17.40 %,94.56 %,4,0.09 GB/s,1512 MHz,91.10 %,9.12 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,257.37 W,22.00 %,65.00 °C,1170 MHz,124.30 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,65.00 °C,1170 MHz,0.05 GB/s,54.90 %,94.56 %,4,0.08 GB/s,1512 MHz,0.00 %,9.13 W,100.00 %,5.6 %,92.40 %,0.00 GB/s,307.53 W,35.00 %,65.00 °C,1170 MHz,119.74 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1050 MHz,0.05 GB/s,16.80 %,94.56 %,4,0.09 GB/s,1512 MHz,70.00 %,9.36 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,352.32 W,35.00 %,65.00 °C,1050 MHz,117.74 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,65.00 °C,1170 MHz,0.04 GB/s,16.40 %,94.56 %,4,0.08 GB/s,1512 MHz,91.10 %,9.43 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,253.65 W,24.00 %,65.00 °C,1170 MHz,119.89 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,65.00 °C,1050 MHz,0.04 GB/s,22.80 %,94.56 %,4,0.08 GB/s,1512 MHz,90.90 %,9.21 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,307.34 W,24.00 %,65.00 °C,1050 MHz,111.29 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1050 MHz,0.04 GB/s,16.60 %,94.56 %,4,0.08 GB/s,1512 MHz,70.00 %,9.25 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,293.04 W,26.00 %,65.00 °C,1050 MHz,105.16 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:18.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.3 %,64.00 °C,1140 MHz,0.04 GB/s,17.50 %,94.56 %,4,0.08 GB/s,1512 MHz,91.00 %,9.41 W,100.00 %,5.6 %,12.30 %,0.00 GB/s,232.28 W,26.00 %,65.00 °C,1140 MHz,106.66 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:19.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,64.00 °C,1170 MHz,0.04 GB/s,17.30 %,94.56 %,4,0.08 GB/s,1512 MHz,94.00 %,9.35 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,303.26 W,26.00 %,65.00 °C,1170 MHz,105.82 W,16,99.90 %,0.00 GB/s
2025-05-07 14:38:19.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,65.00 °C,1050 MHz,0.04 GB/s,14.30 %,94.56 %,4,0.08 GB/s,1512 MHz,70.00 %,9.32 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,344.88 W,26.00 %,65.00 °C,1050 MHz,104.56 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:19.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.0 %,65.00 °C,1170 MHz,0.04 GB/s,13.70 %,94.56 %,4,0.09 GB/s,1512 MHz,70.00 %,9.26 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,344.88 W,26.00 %,65.00 °C,1170 MHz,108.01 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:19.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,65.00 °C,1155 MHz,0.05 GB/s,67.10 %,94.56 %,4,0.08 GB/s,1512 MHz,4.50 %,9.12 W,100.00 %,5.6 %,74.60 %,0.00 GB/s,274.30 W,31.00 %,65.00 °C,1155 MHz,104.19 W,16,97.80 %,0.00 GB/s
2025-05-07 14:38:19.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,64.00 °C,1155 MHz,0.04 GB/s,22.50 %,94.56 %,4,0.08 GB/s,1512 MHz,90.60 %,9.23 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,293.56 W,31.00 %,65.00 °C,1155 MHz,102.62 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:19.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,64.00 °C,1050 MHz,0.05 GB/s,12.90 %,94.56 %,4,0.09 GB/s,1512 MHz,69.80 %,9.31 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,283.18 W,23.00 %,65.00 °C,1050 MHz,106.65 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:19.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,65.00 °C,1170 MHz,0.04 GB/s,0.00 %,94.56 %,4,0.10 GB/s,1512 MHz,37.50 %,9.09 W,100.00 %,5.6 %,4.70 %,0.00 GB/s,230.31 W,23.00 %,65.00 °C,1170 MHz,105.07 W,16,60.90 %,0.00 GB/s
2025-05-07 14:38:19.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,65.00 °C,1155 MHz,0.05 GB/s,19.80 %,94.56 %,4,0.08 GB/s,1512 MHz,93.40 %,9.23 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,309.49 W,34.00 %,65.00 °C,1155 MHz,107.06 W,16,99.90 %,0.00 GB/s
2025-05-07 14:38:19.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.7 %,65.00 °C,1065 MHz,0.05 GB/s,12.60 %,94.56 %,4,0.09 GB/s,1512 MHz,70.00 %,9.34 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,333.84 W,34.00 %,65.00 °C,1065 MHz,105.01 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:19.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,65.00 °C,1065 MHz,0.05 GB/s,13.40 %,94.56 %,4,0.09 GB/s,1512 MHz,70.10 %,9.22 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,300.92 W,24.00 %,65.00 °C,1065 MHz,108.15 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:20.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,65.00 °C,1170 MHz,0.04 GB/s,22.20 %,94.56 %,4,0.08 GB/s,1512 MHz,90.50 %,9.21 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,310.74 W,24.00 %,65.00 °C,1170 MHz,109.50 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:20.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1.9 %,65.00 °C,1140 MHz,0.04 GB/s,13.00 %,94.56 %,4,0.08 GB/s,1512 MHz,69.90 %,9.15 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,290.70 W,29.00 %,65.00 °C,1140 MHz,112.73 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:20.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,64.00 °C,1170 MHz,0.05 GB/s,12.60 %,94.56 %,4,0.09 GB/s,1512 MHz,69.90 %,9.23 W,100.00 %,5.6 %,12.50 %,0.00 GB/s,282.70 W,29.00 %,65.00 °C,1170 MHz,106.78 W,16,100.00 %,0.00 GB/s
