timestamp,task_name,name,index,usage.memory [%],tensor_active,dram_usage,pcie.link.width.current,clocks.current.sm [MHz],nvlink_rx_bytes,pcie_tx_bytes,dram_power,clocks.current.memory [MHz],nvlink_tx_bytes,sm_active,power.draw [W],cpu_power,pcie.link.gen.current,temperature.memory,clocks.current.graphics [MHz],dram_active,pcie_rx_bytes,utilization.memory [%],temperature.gpu,cpu_usage,utilization.gpu [%],sm_occupancy
2025-05-07 15:44:59.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.93 %,69.90 %,5.7 %,16,1095 MHz,0.00 GB/s,0.09 GB/s,9.03 W,1512 MHz,0.00 GB/s,100.00 %,250.26 W,152.39 W,4,63.00 °C,1095 MHz,13.40 %,0.04 GB/s,26.00 %,63.00 °C,3.3 %,100.00 %,12.50 %
2025-05-07 15:44:59.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.93 %,90.60 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,8.98 W,1512 MHz,0.00 GB/s,100.00 %,307.05 W,149.99 W,4,63.00 °C,1170 MHz,16.50 %,0.04 GB/s,31.00 %,63.00 °C,3.1 %,100.00 %,12.30 %
2025-05-07 15:44:59.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.00 %,70.10 %,5.7 %,16,1080 MHz,0.00 GB/s,0.09 GB/s,9.15 W,1512 MHz,0.00 GB/s,100.00 %,300.33 W,150.24 W,4,63.00 °C,1080 MHz,13.90 %,0.05 GB/s,31.00 %,63.00 °C,3.7 %,100.00 %,12.50 %
2025-05-07 15:45:00.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.00 %,91.00 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.21 W,1512 MHz,0.00 GB/s,100.00 %,233.74 W,152.64 W,4,63.00 °C,1155 MHz,16.90 %,0.04 GB/s,35.00 %,63.00 °C,2.4 %,100.00 %,12.40 %
2025-05-07 15:45:00.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.00 %,91.00 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.13 W,1512 MHz,0.00 GB/s,99.90 %,308.99 W,150.72 W,4,63.00 °C,1155 MHz,18.30 %,0.04 GB/s,35.00 %,63.00 °C,4.9 %,100.00 %,12.50 %
2025-05-07 15:45:00.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,69.90 %,5.7 %,16,1050 MHz,0.00 GB/s,0.09 GB/s,9.14 W,1512 MHz,0.00 GB/s,100.00 %,350.29 W,152.09 W,4,63.00 °C,1050 MHz,16.50 %,0.05 GB/s,24.00 %,62.00 °C,5.6 %,100.00 %,12.50 %
2025-05-07 15:45:00.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,70.00 %,5.7 %,16,1095 MHz,0.00 GB/s,0.09 GB/s,9.07 W,1512 MHz,0.00 GB/s,100.00 %,266.08 W,153.19 W,4,63.00 °C,1095 MHz,12.20 %,0.04 GB/s,24.00 %,62.00 °C,3.7 %,100.00 %,12.50 %
2025-05-07 15:45:00.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,80.07 %,91.10 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.01 W,1512 MHz,0.00 GB/s,100.00 %,305.19 W,150.44 W,4,63.00 °C,1170 MHz,15.40 %,0.04 GB/s,29.00 %,63.00 °C,3.4 %,100.00 %,12.40 %
2025-05-07 15:45:00.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,70.10 %,5.7 %,16,1125 MHz,0.00 GB/s,0.09 GB/s,9.11 W,1512 MHz,0.00 GB/s,100.00 %,300.92 W,149.77 W,4,63.00 °C,1125 MHz,15.10 %,0.05 GB/s,29.00 %,63.00 °C,2.2 %,100.00 %,12.50 %
2025-05-07 15:45:00.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,70.00 %,5.7 %,16,1110 MHz,0.00 GB/s,0.07 GB/s,9.12 W,1512 MHz,0.00 GB/s,100.00 %,288.17 W,149.50 W,4,63.00 °C,1110 MHz,13.30 %,0.05 GB/s,27.00 %,62.00 °C,3.7 %,100.00 %,12.50 %
2025-05-07 15:45:00.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,91.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.29 W,1512 MHz,0.00 GB/s,100.00 %,219.33 W,155.36 W,4,63.00 °C,1170 MHz,15.90 %,0.04 GB/s,27.00 %,64.00 °C,5.0 %,100.00 %,12.40 %
2025-05-07 15:45:00.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,82.14 %,91.90 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.01 W,1512 MHz,0.00 GB/s,100.00 %,309.49 W,151.80 W,4,63.00 °C,1170 MHz,17.00 %,0.04 GB/s,26.00 %,64.00 °C,4.3 %,100.00 %,12.40 %
2025-05-07 15:45:01.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,84.21 %,70.10 %,5.7 %,16,1080 MHz,0.00 GB/s,0.09 GB/s,8.98 W,1512 MHz,0.00 GB/s,100.00 %,302.38 W,151.52 W,4,63.00 °C,1080 MHz,15.40 %,0.05 GB/s,26.00 %,64.00 °C,4.0 %,100.00 %,12.50 %
2025-05-07 15:45:01.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,84.21 %,91.60 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.09 W,1512 MHz,0.00 GB/s,100.00 %,307.15 W,150.04 W,4,63.00 °C,1170 MHz,17.80 %,0.05 GB/s,32.00 %,63.00 °C,3.1 %,100.00 %,12.40 %
2025-05-07 15:45:01.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,84.21 %,90.50 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.09 W,1512 MHz,0.00 GB/s,100.00 %,309.16 W,150.42 W,4,63.00 °C,1170 MHz,22.40 %,0.04 GB/s,32.00 %,64.00 °C,2.2 %,100.00 %,12.40 %
2025-05-07 15:45:01.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,70.00 %,5.7 %,16,1020 MHz,0.00 GB/s,0.09 GB/s,9.04 W,1512 MHz,0.00 GB/s,100.00 %,276.45 W,148.47 W,4,63.00 °C,1020 MHz,14.30 %,0.05 GB/s,26.00 %,64.00 °C,4.0 %,100.00 %,12.50 %
2025-05-07 15:45:01.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,70.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,9.28 W,1512 MHz,0.00 GB/s,100.00 %,250.74 W,152.05 W,4,63.00 °C,1170 MHz,15.40 %,0.04 GB/s,26.00 %,64.00 °C,7.2 %,100.00 %,12.50 %
2025-05-07 15:45:01.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,86.28 %,93.60 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.07 W,1512 MHz,0.00 GB/s,99.90 %,306.46 W,153.40 W,4,63.00 °C,1170 MHz,16.30 %,0.04 GB/s,31.00 %,64.00 °C,3.7 %,100.00 %,12.40 %
2025-05-07 15:45:01.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,70.10 %,5.7 %,16,1050 MHz,0.00 GB/s,0.09 GB/s,9.81 W,1512 MHz,0.00 GB/s,100.00 %,316.66 W,155.45 W,4,63.00 °C,1050 MHz,3.20 %,0.04 GB/s,31.00 %,63.00 °C,10.6 %,100.00 %,12.50 %
2025-05-07 15:45:01.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,70.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,8.93 W,1512 MHz,0.00 GB/s,100.00 %,316.66 W,153.20 W,4,63.00 °C,1170 MHz,15.80 %,0.05 GB/s,31.00 %,63.00 °C,3.4 %,100.00 %,12.50 %
2025-05-07 15:45:01.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,90.50 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.10 W,1512 MHz,0.00 GB/s,100.00 %,337.77 W,151.88 W,4,63.00 °C,1170 MHz,21.80 %,0.04 GB/s,24.00 %,64.00 °C,4.0 %,100.00 %,12.40 %
2025-05-07 15:45:01.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,88.35 %,90.50 %,5.7 %,16,1065 MHz,0.00 GB/s,0.08 GB/s,9.19 W,1512 MHz,0.00 GB/s,100.00 %,306.76 W,152.10 W,4,63.00 °C,1065 MHz,16.70 %,0.04 GB/s,24.00 %,64.00 °C,2.8 %,100.00 %,12.30 %
2025-05-07 15:45:02.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,69.90 %,5.7 %,16,1065 MHz,0.00 GB/s,0.09 GB/s,8.92 W,1512 MHz,0.00 GB/s,100.00 %,305.92 W,153.67 W,4,63.00 °C,1065 MHz,13.60 %,0.05 GB/s,29.00 %,64.00 °C,4.3 %,100.00 %,12.50 %
2025-05-07 15:45:02.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,18.70 %,5.7 %,16,1140 MHz,0.00 GB/s,0.11 GB/s,9.23 W,1512 MHz,0.00 GB/s,31.50 %,273.91 W,151.49 W,4,65.00 °C,1140 MHz,0.00 %,0.04 GB/s,29.00 %,64.00 °C,3.4 %,100.00 %,2.10 %
2025-05-07 15:45:02.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.42 %,89.50 %,5.7 %,16,1170 MHz,0.00 GB/s,0.06 GB/s,9.20 W,1512 MHz,0.00 GB/s,99.90 %,306.76 W,151.23 W,4,63.00 °C,1170 MHz,18.60 %,0.03 GB/s,23.00 %,64.00 °C,3.4 %,100.00 %,12.40 %
2025-05-07 15:45:02.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.49 %,69.90 %,5.7 %,16,1065 MHz,0.00 GB/s,0.09 GB/s,9.05 W,1512 MHz,0.00 GB/s,100.00 %,304.32 W,146.73 W,4,63.00 °C,1065 MHz,16.50 %,0.04 GB/s,23.00 %,63.00 °C,2.8 %,100.00 %,12.50 %
2025-05-07 15:45:02.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.49 %,69.90 %,5.7 %,16,1065 MHz,0.00 GB/s,0.09 GB/s,8.99 W,1512 MHz,0.00 GB/s,100.00 %,324.23 W,150.33 W,4,65.00 °C,1065 MHz,14.30 %,0.04 GB/s,33.00 %,64.00 °C,3.4 %,100.00 %,12.50 %
2025-05-07 15:45:02.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.49 %,0.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.05 GB/s,9.16 W,1512 MHz,0.00 GB/s,100.00 %,279.88 W,149.70 W,4,63.00 °C,1170 MHz,90.30 %,0.05 GB/s,33.00 %,65.00 °C,2.2 %,100.00 %,91.20 %
2025-05-07 15:45:02.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.00 %,5.7 %,16,1125 MHz,0.00 GB/s,0.09 GB/s,9.23 W,1512 MHz,0.00 GB/s,100.00 %,279.88 W,151.32 W,4,63.00 °C,1125 MHz,13.80 %,0.04 GB/s,24.00 %,64.00 °C,5.0 %,100.00 %,12.50 %
2025-05-07 15:45:02.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.00 %,5.7 %,16,1125 MHz,0.00 GB/s,0.09 GB/s,9.10 W,1512 MHz,0.00 GB/s,100.00 %,290.70 W,153.61 W,4,65.00 °C,1125 MHz,14.20 %,0.04 GB/s,24.00 %,63.00 °C,5.6 %,100.00 %,12.50 %
2025-05-07 15:45:02.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,90.50 %,5.7 %,16,1140 MHz,0.00 GB/s,0.08 GB/s,9.01 W,1512 MHz,0.00 GB/s,99.90 %,313.47 W,149.80 W,4,65.00 °C,1140 MHz,18.70 %,0.04 GB/s,31.00 %,65.00 °C,2.2 %,100.00 %,12.50 %
2025-05-07 15:45:03.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,69.90 %,5.7 %,16,1065 MHz,0.00 GB/s,0.08 GB/s,9.10 W,1512 MHz,0.00 GB/s,100.00 %,313.47 W,128.84 W,4,63.00 °C,1065 MHz,13.20 %,0.04 GB/s,31.00 %,64.00 °C,4.3 %,100.00 %,12.50 %
2025-05-07 15:45:03.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.10 %,5.7 %,16,1155 MHz,0.00 GB/s,0.09 GB/s,9.19 W,1512 MHz,0.00 GB/s,100.00 %,296.83 W,127.20 W,4,65.00 °C,1155 MHz,13.20 %,0.04 GB/s,26.00 %,63.00 °C,3.7 %,100.00 %,12.50 %
2025-05-07 15:45:03.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,91.30 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.30 W,1512 MHz,0.00 GB/s,100.00 %,276.85 W,120.53 W,4,65.00 °C,1155 MHz,15.20 %,0.04 GB/s,26.00 %,64.00 °C,3.3 %,100.00 %,12.40 %
2025-05-07 15:45:03.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,91.50 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.11 W,1512 MHz,0.00 GB/s,100.00 %,307.24 W,107.75 W,4,65.00 °C,1170 MHz,16.80 %,0.04 GB/s,27.00 %,65.00 °C,3.4 %,100.00 %,12.40 %
2025-05-07 15:45:03.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.20 %,5.7 %,16,1035 MHz,0.00 GB/s,0.09 GB/s,9.43 W,1512 MHz,0.00 GB/s,100.00 %,252.97 W,104.83 W,4,65.00 °C,1035 MHz,14.30 %,0.04 GB/s,27.00 %,64.00 °C,4.0 %,100.00 %,12.50 %
2025-05-07 15:45:03.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,91.60 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.27 W,1512 MHz,0.00 GB/s,100.00 %,300.44 W,104.37 W,4,65.00 °C,1170 MHz,17.50 %,0.04 GB/s,31.00 %,64.00 °C,3.1 %,100.00 %,12.40 %
2025-05-07 15:45:03.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,91.10 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.34 W,1512 MHz,0.00 GB/s,99.90 %,309.09 W,104.06 W,4,65.00 °C,1170 MHz,19.20 %,0.04 GB/s,31.00 %,64.00 °C,3.1 %,100.00 %,12.50 %
2025-05-07 15:45:03.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.10 %,5.7 %,16,1065 MHz,0.00 GB/s,0.09 GB/s,9.31 W,1512 MHz,0.00 GB/s,100.00 %,311.52 W,107.12 W,4,65.00 °C,1065 MHz,15.70 %,0.05 GB/s,22.00 %,64.00 °C,4.0 %,100.00 %,12.50 %
2025-05-07 15:45:03.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,69.90 %,5.7 %,16,1110 MHz,0.00 GB/s,0.09 GB/s,9.34 W,1512 MHz,0.00 GB/s,100.00 %,241.02 W,130.60 W,4,65.00 °C,1110 MHz,15.80 %,0.05 GB/s,22.00 %,64.00 °C,3.7 %,100.00 %,12.50 %
2025-05-07 15:45:04.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,90.20 %,5.7 %,16,1095 MHz,0.00 GB/s,0.08 GB/s,9.24 W,1512 MHz,0.00 GB/s,99.90 %,312.11 W,136.52 W,4,65.00 °C,1095 MHz,18.20 %,0.04 GB/s,35.00 %,65.00 °C,4.4 %,100.00 %,12.50 %
2025-05-07 15:45:04.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.10 %,5.7 %,16,1125 MHz,0.00 GB/s,0.09 GB/s,9.07 W,1512 MHz,0.00 GB/s,100.00 %,263.93 W,139.18 W,4,65.00 °C,1125 MHz,13.60 %,0.04 GB/s,35.00 %,64.00 °C,2.2 %,100.00 %,12.50 %
2025-05-07 15:45:04.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,9.05 W,1512 MHz,0.00 GB/s,100.00 %,263.93 W,129.14 W,4,65.00 °C,1170 MHz,14.30 %,0.05 GB/s,24.00 %,64.00 °C,3.7 %,100.00 %,12.50 %
2025-05-07 15:45:04.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,2.70 %,5.7 %,16,1125 MHz,0.00 GB/s,0.06 GB/s,9.21 W,1512 MHz,0.00 GB/s,100.00 %,301.01 W,120.71 W,4,65.00 °C,1125 MHz,42.30 %,0.04 GB/s,29.00 %,65.00 °C,2.5 %,100.00 %,92.70 %
2025-05-07 15:45:04.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.00 %,5.7 %,16,1065 MHz,0.00 GB/s,0.09 GB/s,9.36 W,1512 MHz,0.00 GB/s,100.00 %,292.26 W,107.49 W,4,65.00 °C,1065 MHz,15.40 %,0.05 GB/s,29.00 %,64.00 °C,5.0 %,100.00 %,12.50 %
2025-05-07 15:45:04.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.10 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,9.12 W,1512 MHz,0.00 GB/s,100.00 %,292.26 W,139.82 W,4,65.00 °C,1170 MHz,13.30 %,0.05 GB/s,29.00 %,63.00 °C,6.2 %,100.00 %,12.50 %
2025-05-07 15:45:04.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,90.40 %,5.7 %,16,1185 MHz,0.00 GB/s,0.08 GB/s,9.24 W,1512 MHz,0.00 GB/s,100.00 %,223.03 W,152.17 W,4,65.00 °C,1185 MHz,20.30 %,0.04 GB/s,26.00 %,65.00 °C,9.1 %,100.00 %,12.40 %
2025-05-07 15:45:04.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,4.60 %,5.7 %,16,1185 MHz,0.00 GB/s,0.08 GB/s,9.20 W,1512 MHz,0.00 GB/s,100.00 %,313.07 W,150.61 W,4,65.00 °C,1185 MHz,35.50 %,0.05 GB/s,26.00 %,65.00 °C,4.6 %,100.00 %,93.00 %
2025-05-07 15:45:04.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.00 %,5.7 %,16,1035 MHz,0.00 GB/s,0.08 GB/s,9.25 W,1512 MHz,0.00 GB/s,100.00 %,287.49 W,143.22 W,4,65.00 °C,1035 MHz,14.90 %,0.05 GB/s,31.00 %,65.00 °C,4.0 %,100.00 %,12.50 %
2025-05-07 15:45:05.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,91.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,9.30 W,1512 MHz,0.00 GB/s,100.00 %,305.88 W,146.26 W,4,65.00 °C,1170 MHz,17.20 %,0.04 GB/s,31.00 %,65.00 °C,4.3 %,100.00 %,12.40 %
2025-05-07 15:45:05.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,2.40 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.19 W,1512 MHz,0.00 GB/s,100.00 %,274.11 W,153.11 W,4,65.00 °C,1170 MHz,71.80 %,0.05 GB/s,25.00 %,65.00 °C,4.3 %,100.00 %,88.80 %
2025-05-07 15:45:05.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,69.90 %,5.7 %,16,1065 MHz,0.00 GB/s,0.09 GB/s,9.10 W,1512 MHz,0.00 GB/s,100.00 %,285.02 W,145.58 W,4,65.00 °C,1065 MHz,16.30 %,0.04 GB/s,25.00 %,65.00 °C,4.6 %,100.00 %,12.50 %
2025-05-07 15:45:05.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,70.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,9.13 W,1512 MHz,0.00 GB/s,100.00 %,246.93 W,151.50 W,4,65.00 °C,1170 MHz,13.10 %,0.05 GB/s,32.00 %,65.00 °C,4.3 %,100.00 %,12.50 %
2025-05-07 15:45:05.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,90.70 %,5.7 %,16,1170 MHz,0.00 GB/s,0.08 GB/s,9.27 W,1512 MHz,0.00 GB/s,100.00 %,315.19 W,135.54 W,4,65.00 °C,1170 MHz,20.30 %,0.04 GB/s,32.00 %,65.00 °C,3.7 %,100.00 %,12.40 %
2025-05-07 15:45:05.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,0.00 %,5.7 %,16,1035 MHz,0.00 GB/s,0.08 GB/s,9.24 W,1512 MHz,0.00 GB/s,100.00 %,309.38 W,130.37 W,4,65.00 °C,1035 MHz,27.20 %,0.04 GB/s,32.00 %,65.00 °C,4.0 %,100.00 %,100.00 %
2025-05-07 15:45:05.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,69.90 %,5.7 %,16,1140 MHz,0.00 GB/s,0.09 GB/s,9.22 W,1512 MHz,0.00 GB/s,100.00 %,309.38 W,118.99 W,4,65.00 °C,1140 MHz,13.40 %,0.05 GB/s,24.00 %,64.00 °C,3.4 %,100.00 %,12.50 %
2025-05-07 15:45:05.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,90.30 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.32 W,1512 MHz,0.00 GB/s,100.00 %,321.61 W,112.81 W,4,65.00 °C,1155 MHz,22.40 %,0.04 GB/s,24.00 %,65.00 °C,3.4 %,100.00 %,12.40 %
2025-05-07 15:45:05.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,94.56 %,91.80 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.22 W,1512 MHz,0.00 GB/s,100.00 %,307.83 W,104.47 W,4,65.00 °C,1155 MHz,16.40 %,0.04 GB/s,29.00 %,65.00 °C,3.4 %,100.00 %,12.40 %
